	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
641	Chowan	1	US	0	36.12908077	-76.60118385	North Carolina	0	03/22/2020
504	Chowan	1	US	0	36.12908077	-76.60118385	North Carolina	0	03/23/2020
504	Chowan	1	US	0	36.12908077	-76.60118385	North Carolina	0	03/24/2020
504	Chowan	0	US	0	36.12908077	-76.60118385	North Carolina	0	03/25/2020
504	Chowan	0	US	0	36.12908077	-76.60118385	North Carolina	0	03/26/2020
504	Chowan	0	US	0	36.12908077	-76.60118385	North Carolina	0	03/27/2020
504	Chowan	0	US	0	36.12908077	-76.60118385	North Carolina	0	03/28/2020
504	Chowan	0	US	0	36.12908077	-76.60118385	North Carolina	0	03/29/2020
504	Chowan	0	US	0	36.12908077	-76.60118385	North Carolina	0	03/30/2020
380	Chowan	1	US	0	36.12908077	-76.60118385	North Carolina	0	04/02/2020
384	Chowan	1	US	0	36.12908077	-76.60118385	North Carolina	0	04/03/2020
393	Chowan	1	US	0	36.12908077	-76.60118385	North Carolina	0	04/04/2020
406	Chowan	1	US	0	36.12908077	-76.60118385	North Carolina	0	04/05/2020
409	Chowan	1	US	0	36.12908077	-76.60118385	North Carolina	0	04/06/2020
417	Chowan	1	US	0	36.12908077	-76.60118385	North Carolina	0	04/07/2020
421	Chowan	1	US	0	36.12908077	-76.60118385	North Carolina	0	04/08/2020
424	Chowan	2	US	0	36.12908077	-76.60118385	North Carolina	0	04/09/2020
425	Chowan	2	US	0	36.12908077	-76.60118385	North Carolina	0	04/10/2020
429	Chowan	3	US	0	36.12908077	-76.60118385	North Carolina	0	04/11/2020
432	Chowan	3	US	0	36.12908077	-76.60118385	North Carolina	0	04/12/2020
435	Chowan	3	US	0	36.12908077	-76.60118385	North Carolina	0	04/13/2020
436	Chowan	4	US	0	36.12908077	-76.60118385	North Carolina	0	04/14/2020
439	Chowan	5	US	0	36.12908077	-76.60118385	North Carolina	0	04/15/2020
439	Chowan	5	US	0	36.12908077	-76.60118385	North Carolina	0	04/16/2020
441	Chowan	6	US	0	36.12908077	-76.60118385	North Carolina	0	04/17/2020
442	Chowan	6	US	0	36.12908077	-76.60118385	North Carolina	0	04/18/2020
445	Chowan	6	US	0	36.12908077	-76.60118385	North Carolina	0	04/19/2020
446	Chowan	6	US	0	36.12908077	-76.60118385	North Carolina	0	04/20/2020
449	Chowan	6	US	0	36.12908077	-76.60118385	North Carolina	0	04/21/2020
451	Chowan	6	US	0	36.12908077	-76.60118385	North Carolina	0	04/22/2020
452	Chowan	6	US	0	36.12908077	-76.60118385	North Carolina	0	04/23/2020
452	Chowan	6	US	0	36.12908077	-76.60118385	North Carolina	0	04/24/2020
452	Chowan	9	US	0	36.12908077	-76.60118385	North Carolina	0	04/25/2020
453	Chowan	7	US	0	36.12908077	-76.60118385	North Carolina	0	04/26/2020
454	Chowan	7	US	0	36.12908077	-76.60118385	North Carolina	0	04/27/2020
456	Chowan	7	US	0	36.12908077	-76.60118385	North Carolina	0	04/28/2020
456	Chowan	7	US	0	36.12908077	-76.60118385	North Carolina	0	04/29/2020
456	Chowan	7	US	0	36.12908077	-76.60118385	North Carolina	0	04/30/2020
459	Chowan	7	US	0	36.12908077	-76.60118385	North Carolina	0	05/01/2020
460	Chowan	7	US	0	36.12908077	-76.60118385	North Carolina	0	05/02/2020
461	Chowan	7	US	0	36.12908077	-76.60118385	North Carolina	0	05/03/2020
462	Chowan	7	US	0	36.12908077	-76.60118385	North Carolina	0	05/04/2020
464	Chowan	7	US	0	36.12908077	-76.60118385	North Carolina	0	05/05/2020
465	Chowan	7	US	0	36.12908077	-76.60118385	North Carolina	0	05/06/2020
466	Chowan	7	US	0	36.12908077	-76.60118385	North Carolina	0	05/07/2020
467	Chowan	8	US	0	36.12908077	-76.60118385	North Carolina	0	05/08/2020
467	Chowan	10	US	0	36.12908077	-76.60118385	North Carolina	0	05/09/2020
468	Chowan	11	US	0	36.12908077	-76.60118385	North Carolina	0	05/10/2020
468	Chowan	11	US	0	36.12908077	-76.60118385	North Carolina	0	05/11/2020
468	Chowan	11	US	0	36.12908077	-76.60118385	North Carolina	0	05/12/2020
468	Chowan	12	US	0	36.12908077	-76.60118385	North Carolina	0	05/13/2020
469	Chowan	12	US	0	36.12908077	-76.60118385	North Carolina	0	05/14/2020
470	Chowan	12	US	0	36.12908077	-76.60118385	North Carolina	0	05/15/2020
471	Chowan	14	US	0	36.12908077	-76.60118385	North Carolina	0	05/16/2020
472	Chowan	14	US	0	36.12908077	-76.60118385	North Carolina	0	05/17/2020
473	Chowan	15	US	0	36.12908077	-76.60118385	North Carolina	0	05/18/2020
475	Chowan	15	US	0	36.12908077	-76.60118385	North Carolina	0	05/19/2020
475	Chowan	15	US	0	36.12908077	-76.60118385	North Carolina	0	05/20/2020
475	Chowan	15	US	0	36.12908077	-76.60118385	North Carolina	0	05/21/2020
476	Chowan	15	US	0	36.12908077	-76.60118385	North Carolina	0	05/22/2020
476	Chowan	15	US	0	36.12908077	-76.60118385	North Carolina	0	05/23/2020
477	Chowan	15	US	0	36.12908077	-76.60118385	North Carolina	0	05/24/2020
477	Chowan	15	US	0	36.12908077	-76.60118385	North Carolina	0	05/25/2020
