	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2376	Edgecombe	0	US	0	35.91230639	-77.59436892	North Carolina	0	03/22/2020
849	Edgecombe	0	US	0	35.91230639	-77.59436892	North Carolina	0	03/23/2020
849	Edgecombe	0	US	0	35.91230639	-77.59436892	North Carolina	0	03/24/2020
849	Edgecombe	0	US	0	35.91230639	-77.59436892	North Carolina	0	03/25/2020
849	Edgecombe	0	US	0	35.91230639	-77.59436892	North Carolina	0	03/26/2020
849	Edgecombe	0	US	0	35.91230639	-77.59436892	North Carolina	0	03/27/2020
849	Edgecombe	1	US	0	35.91230639	-77.59436892	North Carolina	0	03/28/2020
849	Edgecombe	1	US	0	35.91230639	-77.59436892	North Carolina	0	03/29/2020
849	Edgecombe	1	US	0	35.91230639	-77.59436892	North Carolina	0	03/30/2020
594	Edgecombe	3	US	0	35.91230639	-77.59436892	North Carolina	0	03/31/2020
612	Edgecombe	3	US	0	35.91230639	-77.59436892	North Carolina	0	04/01/2020
634	Edgecombe	4	US	0	35.91230639	-77.59436892	North Carolina	0	04/02/2020
643	Edgecombe	4	US	0	35.91230639	-77.59436892	North Carolina	0	04/03/2020
658	Edgecombe	5	US	0	35.91230639	-77.59436892	North Carolina	0	04/04/2020
679	Edgecombe	5	US	0	35.91230639	-77.59436892	North Carolina	0	04/05/2020
689	Edgecombe	5	US	0	35.91230639	-77.59436892	North Carolina	0	04/06/2020
702	Edgecombe	11	US	0	35.91230639	-77.59436892	North Carolina	0	04/07/2020
708	Edgecombe	12	US	0	35.91230639	-77.59436892	North Carolina	0	04/08/2020
713	Edgecombe	15	US	0	35.91230639	-77.59436892	North Carolina	0	04/09/2020
717	Edgecombe	18	US	1	35.91230639	-77.59436892	North Carolina	0	04/10/2020
723	Edgecombe	22	US	1	35.91230639	-77.59436892	North Carolina	0	04/11/2020
727	Edgecombe	23	US	1	35.91230639	-77.59436892	North Carolina	0	04/12/2020
731	Edgecombe	26	US	1	35.91230639	-77.59436892	North Carolina	0	04/13/2020
734	Edgecombe	31	US	1	35.91230639	-77.59436892	North Carolina	0	04/14/2020
738	Edgecombe	36	US	1	35.91230639	-77.59436892	North Carolina	0	04/15/2020
739	Edgecombe	42	US	1	35.91230639	-77.59436892	North Carolina	0	04/16/2020
741	Edgecombe	46	US	1	35.91230639	-77.59436892	North Carolina	0	04/17/2020
743	Edgecombe	49	US	1	35.91230639	-77.59436892	North Carolina	0	04/18/2020
747	Edgecombe	58	US	1	35.91230639	-77.59436892	North Carolina	0	04/19/2020
749	Edgecombe	58	US	1	35.91230639	-77.59436892	North Carolina	0	04/20/2020
753	Edgecombe	58	US	1	35.91230639	-77.59436892	North Carolina	0	04/21/2020
755	Edgecombe	60	US	1	35.91230639	-77.59436892	North Carolina	0	04/22/2020
758	Edgecombe	62	US	1	35.91230639	-77.59436892	North Carolina	0	04/23/2020
759	Edgecombe	67	US	1	35.91230639	-77.59436892	North Carolina	0	04/24/2020
759	Edgecombe	77	US	1	35.91230639	-77.59436892	North Carolina	0	04/25/2020
761	Edgecombe	78	US	1	35.91230639	-77.59436892	North Carolina	0	04/26/2020
763	Edgecombe	78	US	3	35.91230639	-77.59436892	North Carolina	0	04/27/2020
766	Edgecombe	78	US	3	35.91230639	-77.59436892	North Carolina	0	04/28/2020
767	Edgecombe	81	US	4	35.91230639	-77.59436892	North Carolina	0	04/29/2020
767	Edgecombe	94	US	4	35.91230639	-77.59436892	North Carolina	0	04/30/2020
772	Edgecombe	96	US	4	35.91230639	-77.59436892	North Carolina	0	05/01/2020
773	Edgecombe	98	US	5	35.91230639	-77.59436892	North Carolina	0	05/02/2020
774	Edgecombe	105	US	5	35.91230639	-77.59436892	North Carolina	0	05/03/2020
776	Edgecombe	113	US	5	35.91230639	-77.59436892	North Carolina	0	05/04/2020
780	Edgecombe	123	US	5	35.91230639	-77.59436892	North Carolina	0	05/05/2020
781	Edgecombe	128	US	5	35.91230639	-77.59436892	North Carolina	0	05/06/2020
782	Edgecombe	137	US	7	35.91230639	-77.59436892	North Carolina	0	05/07/2020
785	Edgecombe	139	US	7	35.91230639	-77.59436892	North Carolina	0	05/08/2020
785	Edgecombe	151	US	7	35.91230639	-77.59436892	North Carolina	0	05/09/2020
786	Edgecombe	153	US	7	35.91230639	-77.59436892	North Carolina	0	05/10/2020
786	Edgecombe	155	US	7	35.91230639	-77.59436892	North Carolina	0	05/11/2020
786	Edgecombe	156	US	7	35.91230639	-77.59436892	North Carolina	0	05/12/2020
