	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2379	Greene	0	US	0	35.48544173	-77.67578087	North Carolina	0	03/22/2020
1120	Greene	0	US	0	35.48544173	-77.67578087	North Carolina	0	03/23/2020
1120	Greene	0	US	0	35.48544173	-77.67578087	North Carolina	0	03/24/2020
1120	Greene	0	US	0	35.48544173	-77.67578087	North Carolina	0	03/25/2020
1119	Greene	0	US	0	35.48544173	-77.67578087	North Carolina	0	03/26/2020
1119	Greene	0	US	0	35.48544173	-77.67578087	North Carolina	0	03/27/2020
1119	Greene	3	US	0	35.48544173	-77.67578087	North Carolina	0	03/28/2020
1119	Greene	3	US	0	35.48544173	-77.67578087	North Carolina	0	03/29/2020
1119	Greene	3	US	0	35.48544173	-77.67578087	North Carolina	0	03/30/2020
762	Greene	3	US	0	35.48544173	-77.67578087	North Carolina	0	03/31/2020
784	Greene	4	US	0	35.48544173	-77.67578087	North Carolina	0	04/01/2020
813	Greene	5	US	0	35.48544173	-77.67578087	North Carolina	0	04/02/2020
828	Greene	5	US	0	35.48544173	-77.67578087	North Carolina	0	04/03/2020
844	Greene	5	US	0	35.48544173	-77.67578087	North Carolina	0	04/04/2020
877	Greene	6	US	0	35.48544173	-77.67578087	North Carolina	0	04/05/2020
889	Greene	10	US	0	35.48544173	-77.67578087	North Carolina	0	04/06/2020
908	Greene	10	US	0	35.48544173	-77.67578087	North Carolina	0	04/07/2020
917	Greene	10	US	0	35.48544173	-77.67578087	North Carolina	0	04/08/2020
924	Greene	10	US	0	35.48544173	-77.67578087	North Carolina	0	04/09/2020
931	Greene	10	US	0	35.48544173	-77.67578087	North Carolina	0	04/10/2020
939	Greene	10	US	0	35.48544173	-77.67578087	North Carolina	0	04/11/2020
947	Greene	10	US	0	35.48544173	-77.67578087	North Carolina	0	04/12/2020
955	Greene	12	US	0	35.48544173	-77.67578087	North Carolina	0	04/13/2020
958	Greene	13	US	0	35.48544173	-77.67578087	North Carolina	0	04/14/2020
964	Greene	16	US	0	35.48544173	-77.67578087	North Carolina	0	04/15/2020
965	Greene	16	US	0	35.48544173	-77.67578087	North Carolina	0	04/16/2020
964	Greene	14	US	0	35.48544173	-77.67578087	North Carolina	0	04/17/2020
966	Greene	14	US	0	35.48544173	-77.67578087	North Carolina	0	04/18/2020
973	Greene	14	US	0	35.48544173	-77.67578087	North Carolina	0	04/19/2020
976	Greene	14	US	0	35.48544173	-77.67578087	North Carolina	0	04/20/2020
980	Greene	14	US	0	35.48544173	-77.67578087	North Carolina	0	04/21/2020
983	Greene	14	US	0	35.48544173	-77.67578087	North Carolina	0	04/22/2020
990	Greene	14	US	0	35.48544173	-77.67578087	North Carolina	0	04/23/2020
992	Greene	15	US	0	35.48544173	-77.67578087	North Carolina	0	04/24/2020
992	Greene	16	US	0	35.48544173	-77.67578087	North Carolina	0	04/25/2020
996	Greene	15	US	0	35.48544173	-77.67578087	North Carolina	0	04/26/2020
998	Greene	15	US	0	35.48544173	-77.67578087	North Carolina	0	04/27/2020
1002	Greene	15	US	0	35.48544173	-77.67578087	North Carolina	0	04/28/2020
1004	Greene	15	US	0	35.48544173	-77.67578087	North Carolina	0	04/29/2020
1008	Greene	16	US	0	35.48544173	-77.67578087	North Carolina	0	04/30/2020
1014	Greene	17	US	0	35.48544173	-77.67578087	North Carolina	0	05/01/2020
1016	Greene	19	US	0	35.48544173	-77.67578087	North Carolina	0	05/02/2020
1017	Greene	19	US	0	35.48544173	-77.67578087	North Carolina	0	05/03/2020
1019	Greene	22	US	0	35.48544173	-77.67578087	North Carolina	0	05/04/2020
