	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
635	North Carolina	US	03/22/2020	35.48508185	-81.21740317	1	0	0	Lincoln
1679	North Carolina	US	03/23/2020	35.48508185	-81.21740317	1	0	0	Lincoln
1679	North Carolina	US	03/24/2020	35.48508185	-81.21740317	1	0	0	Lincoln
1679	North Carolina	US	03/25/2020	35.48508185	-81.21740317	1	0	0	Lincoln
1678	North Carolina	US	03/26/2020	35.48508185	-81.21740317	1	0	0	Lincoln
1678	North Carolina	US	03/27/2020	35.48508185	-81.21740317	1	0	0	Lincoln
1678	North Carolina	US	03/28/2020	35.48508185	-81.21740317	1	0	0	Lincoln
1678	North Carolina	US	03/29/2020	35.48508185	-81.21740317	3	0	0	Lincoln
1678	North Carolina	US	03/30/2020	35.48508185	-81.21740317	3	0	0	Lincoln
1128	North Carolina	US	03/31/2020	35.48508185	-81.21740317	4	0	0	Lincoln
1159	North Carolina	US	04/01/2020	35.48508185	-81.21740317	4	0	0	Lincoln
1205	North Carolina	US	04/02/2020	35.48508185	-81.21740317	8	0	0	Lincoln
1226	North Carolina	US	04/03/2020	35.48508185	-81.21740317	9	0	0	Lincoln
1256	North Carolina	US	04/04/2020	35.48508185	-81.21740317	9	0	0	Lincoln
1298	North Carolina	US	04/05/2020	35.48508185	-81.21740317	9	0	0	Lincoln
1317	North Carolina	US	04/06/2020	35.48508185	-81.21740317	9	0	0	Lincoln
1346	North Carolina	US	04/07/2020	35.48508185	-81.21740317	11	0	0	Lincoln
1361	North Carolina	US	04/08/2020	35.48508185	-81.21740317	11	0	0	Lincoln
1377	North Carolina	US	04/09/2020	35.48508185	-81.21740317	12	0	0	Lincoln
1384	North Carolina	US	04/10/2020	35.48508185	-81.21740317	13	0	0	Lincoln
1399	North Carolina	US	04/11/2020	35.48508185	-81.21740317	15	0	0	Lincoln
1411	North Carolina	US	04/12/2020	35.48508185	-81.21740317	15	0	0	Lincoln
1421	North Carolina	US	04/13/2020	35.48508185	-81.21740317	15	0	0	Lincoln
1427	North Carolina	US	04/14/2020	35.48508185	-81.21740317	15	0	0	Lincoln
1433	North Carolina	US	04/15/2020	35.48508185	-81.21740317	15	0	0	Lincoln
1438	North Carolina	US	04/16/2020	35.48508185	-81.21740317	18	0	0	Lincoln
1437	North Carolina	US	04/17/2020	35.48508185	-81.21740317	20	0	0	Lincoln
1443	North Carolina	US	04/18/2020	35.48508185	-81.21740317	20	0	0	Lincoln
1453	North Carolina	US	04/19/2020	35.48508185	-81.21740317	19	0	0	Lincoln
1457	North Carolina	US	04/20/2020	35.48508185	-81.21740317	19	0	0	Lincoln
1464	North Carolina	US	04/21/2020	35.48508185	-81.21740317	22	0	0	Lincoln
1469	North Carolina	US	04/22/2020	35.48508185	-81.21740317	24	0	0	Lincoln
1479	North Carolina	US	04/23/2020	35.48508185	-81.21740317	25	0	0	Lincoln
1481	North Carolina	US	04/24/2020	35.48508185	-81.21740317	25	0	0	Lincoln
1483	North Carolina	US	04/25/2020	35.48508185	-81.21740317	25	0	0	Lincoln
1489	North Carolina	US	04/26/2020	35.48508185	-81.21740317	25	0	0	Lincoln
1491	North Carolina	US	04/27/2020	35.48508185	-81.21740317	25	0	0	Lincoln
1496	North Carolina	US	04/28/2020	35.48508185	-81.21740317	25	0	0	Lincoln
1498	North Carolina	US	04/29/2020	35.48508185	-81.21740317	27	0	0	Lincoln
1504	North Carolina	US	04/30/2020	35.48508185	-81.21740317	27	0	0	Lincoln
1511	North Carolina	US	05/01/2020	35.48508185	-81.21740317	27	0	0	Lincoln
1515	North Carolina	US	05/02/2020	35.48508185	-81.21740317	28	0	0	Lincoln
1517	North Carolina	US	05/03/2020	35.48508185	-81.21740317	28	0	0	Lincoln
1519	North Carolina	US	05/04/2020	35.48508185	-81.21740317	32	0	0	Lincoln
1525	North Carolina	US	05/05/2020	35.48508185	-81.21740317	35	0	0	Lincoln
1528	North Carolina	US	05/06/2020	35.48508185	-81.21740317	37	0	0	Lincoln
1532	North Carolina	US	05/07/2020	35.48508185	-81.21740317	37	0	0	Lincoln
1537	North Carolina	US	05/08/2020	35.48508185	-81.21740317	39	0	0	Lincoln
1538	North Carolina	US	05/09/2020	35.48508185	-81.21740317	39	0	0	Lincoln
1539	North Carolina	US	05/10/2020	35.48508185	-81.21740317	40	0	0	Lincoln
1539	North Carolina	US	05/11/2020	35.48508185	-81.21740317	40	0	0	Lincoln
1541	North Carolina	US	05/12/2020	35.48508185	-81.21740317	40	0	0	Lincoln
1541	North Carolina	US	05/13/2020	35.48508185	-81.21740317	44	0	0	Lincoln
1542	North Carolina	US	05/14/2020	35.48508185	-81.21740317	44	0	0	Lincoln
1546	North Carolina	US	05/15/2020	35.48508185	-81.21740317	44	0	0	Lincoln
1547	North Carolina	US	05/16/2020	35.48508185	-81.21740317	45	0	0	Lincoln
1548	North Carolina	US	05/17/2020	35.48508185	-81.21740317	48	0	0	Lincoln
1549	North Carolina	US	05/18/2020	35.48508185	-81.21740317	48	0	0	Lincoln
1551	North Carolina	US	05/19/2020	35.48508185	-81.21740317	48	0	0	Lincoln
1556	North Carolina	US	05/20/2020	35.48508185	-81.21740317	52	0	0	Lincoln
1557	North Carolina	US	05/21/2020	35.48508185	-81.21740317	52	0	0	Lincoln
1562	North Carolina	US	05/22/2020	35.48508185	-81.21740317	56	0	0	Lincoln
1564	North Carolina	US	05/23/2020	35.48508185	-81.21740317	58	0	0	Lincoln
1567	North Carolina	US	05/24/2020	35.48508185	-81.21740317	58	0	0	Lincoln
1567	North Carolina	US	05/25/2020	35.48508185	-81.21740317	60	0	0	Lincoln
1568	North Carolina	US	05/26/2020	35.48508185	-81.21740317	60	0	0	Lincoln
1570	North Carolina	US	05/27/2020	35.48508185	-81.21740317	61	0	0	Lincoln
1571	North Carolina	US	05/28/2020	35.48508185	-81.21740317	63	0	0	Lincoln
1574	North Carolina	US	05/29/2020	35.48508185	-81.21740317	67	0	0	Lincoln
1576	North Carolina	US	05/30/2020	35.48508185	-81.21740317	67	0	0	Lincoln
1577	North Carolina	US	05/31/2020	35.48508185	-81.21740317	69	0	0	Lincoln
1579	North Carolina	US	06/01/2020	35.48508185	-81.21740317	70	0	0	Lincoln
1583	North Carolina	US	06/02/2020	35.48508185	-81.21740317	72	0	0	Lincoln
1584	North Carolina	US	06/03/2020	35.48508185	-81.21740317	78	0	0	Lincoln
1585	North Carolina	US	06/04/2020	35.48508185	-81.21740317	87	0	0	Lincoln
1587	North Carolina	US	06/05/2020	35.48508185	-81.21740317	93	0	0	Lincoln
1588	North Carolina	US	06/06/2020	35.48508185	-81.21740317	101	0	0	Lincoln
1588	North Carolina	US	06/07/2020	35.48508185	-81.21740317	101	0	0	Lincoln
1588	North Carolina	US	06/08/2020	35.48508185	-81.21740317	105	0	0	Lincoln
1590	North Carolina	US	06/09/2020	35.48508185	-81.21740317	105	0	0	Lincoln
1592	North Carolina	US	06/10/2020	35.48508185	-81.21740317	108	0	0	Lincoln
1593	North Carolina	US	06/11/2020	35.48508185	-81.21740317	113	0	0	Lincoln
1601	North Carolina	US	06/12/2020	35.48508185	-81.21740317	118	0	0	Lincoln
1602	North Carolina	US	06/13/2020	35.48508185	-81.21740317	125	0	0	Lincoln
1602	North Carolina	US	06/14/2020	35.48508185	-81.21740317	138	0	0	Lincoln
1604	North Carolina	US	06/15/2020	35.48508185	-81.21740317	140	0	0	Lincoln
1603	North Carolina	US	06/16/2020	35.48508185	-81.21740317	148	0	0	Lincoln
1605	North Carolina	US	06/17/2020	35.48508185	-81.21740317	157	0	0	Lincoln
1605	North Carolina	US	06/18/2020	35.48508185	-81.21740317	164	0	0	Lincoln
1605	North Carolina	US	06/19/2020	35.48508185	-81.21740317	172	0	0	Lincoln
1609	North Carolina	US	06/20/2020	35.48508185	-81.21740317	178	0	0	Lincoln
1609	North Carolina	US	06/21/2020	35.48508185	-81.21740317	186	0	0	Lincoln
1610	North Carolina	US	06/22/2020	35.48508185	-81.21740317	189	1	0	Lincoln
1612	North Carolina	US	06/23/2020	35.48508185	-81.21740317	196	1	0	Lincoln
1618	North Carolina	US	06/24/2020	35.48508185	-81.21740317	204	2	0	Lincoln
1623	North Carolina	US	06/25/2020	35.48508185	-81.21740317	208	2	0	Lincoln
1624	North Carolina	US	06/26/2020	35.48508185	-81.21740317	220	2	0	Lincoln
1625	North Carolina	US	06/27/2020	35.48508185	-81.21740317	232	2	0	Lincoln
1625	North Carolina	US	06/28/2020	35.48508185	-81.21740317	240	2	0	Lincoln
1626	North Carolina	US	06/29/2020	35.48508185	-81.21740317	246	2	0	Lincoln
1627	North Carolina	US	06/30/2020	35.48508185	-81.21740317	252	2	0	Lincoln
1627	North Carolina	US	07/01/2020	35.48508185	-81.21740317	258	2	0	Lincoln
1629	North Carolina	US	07/02/2020	35.48508185	-81.21740317	268	2	0	Lincoln
1632	North Carolina	US	07/03/2020	35.48508185	-81.21740317	283	2	0	Lincoln
1632	North Carolina	US	07/04/2020	35.48508185	-81.21740317	295	2	0	Lincoln
1632	North Carolina	US	07/05/2020	35.48508185	-81.21740317	300	2	0	Lincoln
1635	North Carolina	US	07/06/2020	35.48508185	-81.21740317	323	2	0	Lincoln
1635	North Carolina	US	07/07/2020	35.48508185	-81.21740317	334	2	0	Lincoln
1637	North Carolina	US	07/08/2020	35.48508185	-81.21740317	341	2	0	Lincoln
1636	North Carolina	US	07/09/2020	35.48508185	-81.21740317	347	2	0	Lincoln
1638	North Carolina	US	07/10/2020	35.48508185	-81.21740317	360	2	0	Lincoln
1638	North Carolina	US	07/11/2020	35.48508185	-81.21740317	390	2	0	Lincoln
1640	North Carolina	US	07/12/2020	35.48508185	-81.21740317	414	2	0	Lincoln
1642	North Carolina	US	07/13/2020	35.48508185	-81.21740317	433	2	0	Lincoln
1644	North Carolina	US	07/14/2020	35.48508185	-81.21740317	450	2	0	Lincoln
1644	North Carolina	US	07/15/2020	35.48508185	-81.21740317	473	2	0	Lincoln
1646	North Carolina	US	07/16/2020	35.48508185	-81.21740317	508	2	0	Lincoln
1646	North Carolina	US	07/17/2020	35.48508185	-81.21740317	521	2	0	Lincoln
1690	North Carolina	US	07/18/2020	35.48508185	-81.21740317	535	2	0	Lincoln
1691	North Carolina	US	07/19/2020	35.48508185	-81.21740317	547	2	0	Lincoln
