	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2386	Macon	0	US	0	35.14867843	-83.41696617	North Carolina	0	03/22/2020
1751	Macon	0	US	0	35.14867843	-83.41696617	North Carolina	0	03/23/2020
1751	Macon	0	US	0	35.14867843	-83.41696617	North Carolina	0	03/24/2020
1751	Macon	0	US	0	35.14867843	-83.41696617	North Carolina	0	03/25/2020
1750	Macon	0	US	0	35.14867843	-83.41696617	North Carolina	0	03/26/2020
1750	Macon	0	US	0	35.14867843	-83.41696617	North Carolina	0	03/27/2020
1750	Macon	0	US	0	35.14867843	-83.41696617	North Carolina	0	03/28/2020
1750	Macon	0	US	0	35.14867843	-83.41696617	North Carolina	0	03/29/2020
1750	Macon	0	US	0	35.14867843	-83.41696617	North Carolina	0	03/30/2020
1257	Macon	1	US	0	35.14867843	-83.41696617	North Carolina	0	04/02/2020
1282	Macon	1	US	0	35.14867843	-83.41696617	North Carolina	0	04/03/2020
1312	Macon	1	US	0	35.14867843	-83.41696617	North Carolina	0	04/04/2020
1356	Macon	1	US	0	35.14867843	-83.41696617	North Carolina	0	04/05/2020
1377	Macon	1	US	0	35.14867843	-83.41696617	North Carolina	0	04/06/2020
1407	Macon	1	US	0	35.14867843	-83.41696617	North Carolina	0	04/07/2020
1422	Macon	1	US	1	35.14867843	-83.41696617	North Carolina	0	04/08/2020
1438	Macon	2	US	1	35.14867843	-83.41696617	North Carolina	0	04/09/2020
1445	Macon	2	US	1	35.14867843	-83.41696617	North Carolina	0	04/10/2020
1461	Macon	2	US	1	35.14867843	-83.41696617	North Carolina	0	04/11/2020
1473	Macon	2	US	1	35.14867843	-83.41696617	North Carolina	0	04/12/2020
1483	Macon	2	US	1	35.14867843	-83.41696617	North Carolina	0	04/13/2020
1489	Macon	2	US	1	35.14867843	-83.41696617	North Carolina	0	04/14/2020
1497	Macon	2	US	1	35.14867843	-83.41696617	North Carolina	0	04/15/2020
1502	Macon	2	US	1	35.14867843	-83.41696617	North Carolina	0	04/16/2020
1501	Macon	2	US	1	35.14867843	-83.41696617	North Carolina	0	04/17/2020
1507	Macon	2	US	1	35.14867843	-83.41696617	North Carolina	0	04/18/2020
