	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
638	North Carolina	US	03/22/2020	36.26723798	-76.25134778	1	0	0	Pasquotank
2206	North Carolina	US	03/23/2020	36.26723798	-76.25134778	1	0	0	Pasquotank
2206	North Carolina	US	03/24/2020	36.26723798	-76.25134778	1	0	0	Pasquotank
2206	North Carolina	US	03/25/2020	36.26723798	-76.25134778	1	0	0	Pasquotank
2205	North Carolina	US	03/26/2020	36.26723798	-76.25134778	1	0	0	Pasquotank
2205	North Carolina	US	03/27/2020	36.26723798	-76.25134778	1	0	0	Pasquotank
2205	North Carolina	US	03/28/2020	36.26723798	-76.25134778	1	0	0	Pasquotank
2205	North Carolina	US	03/29/2020	36.26723798	-76.25134778	2	0	0	Pasquotank
2205	North Carolina	US	03/30/2020	36.26723798	-76.25134778	2	0	0	Pasquotank
1500	North Carolina	US	03/31/2020	36.26723798	-76.25134778	4	0	0	Pasquotank
1539	North Carolina	US	04/01/2020	36.26723798	-76.25134778	4	0	0	Pasquotank
1600	North Carolina	US	04/02/2020	36.26723798	-76.25134778	7	0	0	Pasquotank
1634	North Carolina	US	04/03/2020	36.26723798	-76.25134778	7	0	0	Pasquotank
1674	North Carolina	US	04/04/2020	36.26723798	-76.25134778	8	0	0	Pasquotank
1728	North Carolina	US	04/05/2020	36.26723798	-76.25134778	8	0	0	Pasquotank
1754	North Carolina	US	04/06/2020	36.26723798	-76.25134778	8	0	0	Pasquotank
1792	North Carolina	US	04/07/2020	36.26723798	-76.25134778	9	0	0	Pasquotank
1808	North Carolina	US	04/08/2020	36.26723798	-76.25134778	10	0	0	Pasquotank
1828	North Carolina	US	04/09/2020	36.26723798	-76.25134778	10	0	0	Pasquotank
1842	North Carolina	US	04/10/2020	36.26723798	-76.25134778	11	0	0	Pasquotank
1861	North Carolina	US	04/11/2020	36.26723798	-76.25134778	15	0	0	Pasquotank
1873	North Carolina	US	04/12/2020	36.26723798	-76.25134778	15	0	0	Pasquotank
1887	North Carolina	US	04/13/2020	36.26723798	-76.25134778	15	0	0	Pasquotank
1895	North Carolina	US	04/14/2020	36.26723798	-76.25134778	15	0	0	Pasquotank
1905	North Carolina	US	04/15/2020	36.26723798	-76.25134778	15	0	0	Pasquotank
1914	North Carolina	US	04/16/2020	36.26723798	-76.25134778	16	0	0	Pasquotank
