	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
643	Robeson	1	US	0	34.64244496	-79.10250529999999	North Carolina	0	03/22/2020
2450	Robeson	1	US	0	34.64244496	-79.10250529999998	North Carolina	0	03/23/2020
2450	Robeson	2	US	0	34.64244496	-79.10250529999998	North Carolina	0	03/24/2020
2450	Robeson	2	US	0	34.64244496	-79.10250529999998	North Carolina	0	03/25/2020
2449	Robeson	2	US	0	34.64244496	-79.10250529999998	North Carolina	0	03/26/2020
2449	Robeson	2	US	0	34.64244496	-79.10250529999998	North Carolina	0	03/27/2020
2449	Robeson	2	US	0	34.64244496	-79.10250529999999	North Carolina	0	03/28/2020
2449	Robeson	2	US	0	34.64244496	-79.10250529999999	North Carolina	0	03/29/2020
2449	Robeson	2	US	0	34.64244496	-79.10250529999999	North Carolina	0	03/30/2020
1645	Robeson	3	US	0	34.64244496	-79.10250529999998	North Carolina	0	03/31/2020
1686	Robeson	3	US	0	34.64244496	-79.10250529999998	North Carolina	0	04/01/2020
1750	Robeson	3	US	0	34.64244496	-79.10250529999999	North Carolina	0	04/02/2020
1794	Robeson	3	US	0	34.64244496	-79.10250529999998	North Carolina	0	04/03/2020
1838	Robeson	5	US	0	34.64244496	-79.10250529999999	North Carolina	0	04/04/2020
1902	Robeson	5	US	0	34.64244496	-79.10250529999998	North Carolina	0	04/05/2020
1935	Robeson	5	US	0	34.64244496	-79.10250529999999	North Carolina	0	04/06/2020
1976	Robeson	6	US	0	34.64244496	-79.10250529999998	North Carolina	0	04/07/2020
1994	Robeson	7	US	0	34.64244496	-79.10250529999998	North Carolina	0	04/08/2020
2017	Robeson	7	US	0	34.64244496	-79.10250529999998	North Carolina	0	04/09/2020
2036	Robeson	7	US	0	34.64244496	-79.10250529999998	North Carolina	0	04/10/2020
2060	Robeson	7	US	0	34.64244496	-79.10250529999998	North Carolina	0	04/11/2020
2075	Robeson	8	US	0	34.64244496	-79.10250529999999	North Carolina	0	04/12/2020
2089	Robeson	11	US	0	34.64244496	-79.10250529999998	North Carolina	0	04/13/2020
2097	Robeson	11	US	0	34.64244496	-79.10250529999998	North Carolina	0	04/14/2020
2108	Robeson	11	US	0	34.64244496	-79.10250529999998	North Carolina	0	04/15/2020
2119	Robeson	15	US	0	34.64244496	-79.10250529999998	North Carolina	0	04/16/2020
2121	Robeson	20	US	0	34.64244496	-79.10250529999998	North Carolina	0	04/17/2020
2128	Robeson	22	US	2	34.64244496	-79.10250529999999	North Carolina	0	04/18/2020
2141	Robeson	25	US	2	34.64244496	-79.10250529999999	North Carolina	0	04/19/2020
2148	Robeson	27	US	2	34.64244496	-79.10250529999998	North Carolina	0	04/20/2020
2157	Robeson	34	US	2	34.64244496	-79.10250529999998	North Carolina	0	04/21/2020
2164	Robeson	44	US	2	34.64244496	-79.10250529999998	North Carolina	0	04/22/2020
2178	Robeson	53	US	3	34.64244496	-79.10250529999998	North Carolina	0	04/23/2020
2183	Robeson	85	US	3	34.64244496	-79.10250529999998	North Carolina	0	04/24/2020
2188	Robeson	92	US	3	34.64244496	-79.10250529999998	North Carolina	0	04/25/2020
2195	Robeson	97	US	3	34.64244496	-79.10250529999998	North Carolina	0	04/26/2020
2201	Robeson	104	US	3	34.64244496	-79.10250529999998	North Carolina	0	04/27/2020
2209	Robeson	106	US	3	34.64244496	-79.10250529999998	North Carolina	0	04/28/2020
2212	Robeson	162	US	3	34.64244496	-79.10250529999998	North Carolina	0	04/29/2020
2218	Robeson	162	US	3	34.64244496	-79.10250529999998	North Carolina	0	04/30/2020
2228	Robeson	175	US	3	34.64244496	-79.10250529999998	North Carolina	0	05/01/2020
2232	Robeson	201	US	3	34.64244496	-79.10250529999998	North Carolina	0	05/02/2020
2236	Robeson	201	US	3	34.64244496	-79.10250529999998	North Carolina	0	05/03/2020
2239	Robeson	204	US	3	34.64244496	-79.10250529999998	North Carolina	0	05/04/2020
2246	Robeson	281	US	3	34.64244496	-79.10250529999998	North Carolina	0	05/05/2020
2251	Robeson	323	US	3	34.64244496	-79.10250529999998	North Carolina	0	05/06/2020
