	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2401	North Carolina	US	03/22/2020	35.31647813	-80.25093221	0	0	0	Stanly
2683	North Carolina	US	03/23/2020	35.31647813	-80.25093221	0	0	0	Stanly
2683	North Carolina	US	03/24/2020	35.31647813	-80.25093221	0	0	0	Stanly
2683	North Carolina	US	03/25/2020	35.31647813	-80.25093221	0	0	0	Stanly
2682	North Carolina	US	03/26/2020	35.31647813	-80.25093221	0	0	0	Stanly
2682	North Carolina	US	03/27/2020	35.31647813	-80.25093221	0	0	0	Stanly
2682	North Carolina	US	03/28/2020	35.31647813	-80.25093221	3	0	0	Stanly
2682	North Carolina	US	03/29/2020	35.31647813	-80.25093221	5	0	0	Stanly
2682	North Carolina	US	03/30/2020	35.31647813	-80.25093221	5	0	0	Stanly
1810	North Carolina	US	03/31/2020	35.31647813	-80.25093221	5	0	0	Stanly
1854	North Carolina	US	04/01/2020	35.31647813	-80.25093221	5	0	0	Stanly
1921	North Carolina	US	04/02/2020	35.31647813	-80.25093221	5	0	0	Stanly
1966	North Carolina	US	04/03/2020	35.31647813	-80.25093221	7	0	0	Stanly
2013	North Carolina	US	04/04/2020	35.31647813	-80.25093221	7	0	0	Stanly
2084	North Carolina	US	04/05/2020	35.31647813	-80.25093221	7	0	0	Stanly
2118	North Carolina	US	04/06/2020	35.31647813	-80.25093221	8	0	0	Stanly
2162	North Carolina	US	04/07/2020	35.31647813	-80.25093221	8	0	0	Stanly
2183	North Carolina	US	04/08/2020	35.31647813	-80.25093221	8	0	0	Stanly
2207	North Carolina	US	04/09/2020	35.31647813	-80.25093221	10	1	0	Stanly
2230	North Carolina	US	04/10/2020	35.31647813	-80.25093221	11	1	0	Stanly
2255	North Carolina	US	04/11/2020	35.31647813	-80.25093221	14	1	0	Stanly
2272	North Carolina	US	04/12/2020	35.31647813	-80.25093221	16	1	0	Stanly
2286	North Carolina	US	04/13/2020	35.31647813	-80.25093221	17	1	0	Stanly
2295	North Carolina	US	04/14/2020	35.31647813	-80.25093221	17	2	0	Stanly
2307	North Carolina	US	04/15/2020	35.31647813	-80.25093221	17	2	0	Stanly
2320	North Carolina	US	04/16/2020	35.31647813	-80.25093221	19	2	0	Stanly
2323	North Carolina	US	04/17/2020	35.31647813	-80.25093221	20	2	0	Stanly
2330	North Carolina	US	04/18/2020	35.31647813	-80.25093221	20	2	0	Stanly
2345	North Carolina	US	04/19/2020	35.31647813	-80.25093221	20	3	0	Stanly
2353	North Carolina	US	04/20/2020	35.31647813	-80.25093221	21	3	0	Stanly
2362	North Carolina	US	04/21/2020	35.31647813	-80.25093221	21	3	0	Stanly
2369	North Carolina	US	04/22/2020	35.31647813	-80.25093221	22	4	0	Stanly
2385	North Carolina	US	04/23/2020	35.31647813	-80.25093221	24	4	0	Stanly
2391	North Carolina	US	04/24/2020	35.31647813	-80.25093221	24	4	0	Stanly
2396	North Carolina	US	04/25/2020	35.31647813	-80.25093221	28	4	0	Stanly
2404	North Carolina	US	04/26/2020	35.31647813	-80.25093221	28	4	0	Stanly
2411	North Carolina	US	04/27/2020	35.31647813	-80.25093221	29	4	0	Stanly
2420	North Carolina	US	04/28/2020	35.31647813	-80.25093221	29	4	0	Stanly
2424	North Carolina	US	04/29/2020	35.31647813	-80.25093221	29	4	0	Stanly
2430	North Carolina	US	04/30/2020	35.31647813	-80.25093221	29	4	0	Stanly
2441	North Carolina	US	05/01/2020	35.31647813	-80.25093221	29	4	0	Stanly
2444	North Carolina	US	05/02/2020	35.31647813	-80.25093221	29	4	0	Stanly
2448	North Carolina	US	05/03/2020	35.31647813	-80.25093221	29	4	0	Stanly
2451	North Carolina	US	05/04/2020	35.31647813	-80.25093221	30	4	0	Stanly
2458	North Carolina	US	05/05/2020	35.31647813	-80.25093221	30	4	0	Stanly
2463	North Carolina	US	05/06/2020	35.31647813	-80.25093221	30	4	0	Stanly
2468	North Carolina	US	05/07/2020	35.31647813	-80.25093221	30	4	0	Stanly
2475	North Carolina	US	05/08/2020	35.31647813	-80.25093221	30	4	0	Stanly
2476	North Carolina	US	05/09/2020	35.31647813	-80.25093221	30	4	0	Stanly
2478	North Carolina	US	05/10/2020	35.31647813	-80.25093221	30	4	0	Stanly
2478	North Carolina	US	05/11/2020	35.31647813	-80.25093221	30	4	0	Stanly
2481	North Carolina	US	05/12/2020	35.31647813	-80.25093221	30	4	0	Stanly
2482	North Carolina	US	05/13/2020	35.31647813	-80.25093221	30	4	0	Stanly
2483	North Carolina	US	05/14/2020	35.31647813	-80.25093221	32	4	0	Stanly
2487	North Carolina	US	05/15/2020	35.31647813	-80.25093221	32	4	0	Stanly
2492	North Carolina	US	05/16/2020	35.31647813	-80.25093221	32	4	0	Stanly
2494	North Carolina	US	05/17/2020	35.31647813	-80.25093221	32	4	0	Stanly
2496	North Carolina	US	05/18/2020	35.31647813	-80.25093221	32	4	0	Stanly
2500	North Carolina	US	05/19/2020	35.31647813	-80.25093221	32	4	0	Stanly
2506	North Carolina	US	05/20/2020	35.31647813	-80.25093221	33	4	0	Stanly
2507	North Carolina	US	05/21/2020	35.31647813	-80.25093221	33	4	0	Stanly
2513	North Carolina	US	05/22/2020	35.31647813	-80.25093221	37	4	0	Stanly
2515	North Carolina	US	05/23/2020	35.31647813	-80.25093221	42	4	0	Stanly
2518	North Carolina	US	05/24/2020	35.31647813	-80.25093221	45	4	0	Stanly
2519	North Carolina	US	05/25/2020	35.31647813	-80.25093221	50	4	0	Stanly
2520	North Carolina	US	05/26/2020	35.31647813	-80.25093221	53	4	0	Stanly
2523	North Carolina	US	05/27/2020	35.31647813	-80.25093221	54	4	0	Stanly
2525	North Carolina	US	05/28/2020	35.31647813	-80.25093221	55	4	0	Stanly
2528	North Carolina	US	05/29/2020	35.31647813	-80.25093221	57	4	0	Stanly
2530	North Carolina	US	05/30/2020	35.31647813	-80.25093221	72	4	0	Stanly
2531	North Carolina	US	05/31/2020	35.31647813	-80.25093221	78	4	0	Stanly
2533	North Carolina	US	06/01/2020	35.31647813	-80.25093221	82	4	0	Stanly
2538	North Carolina	US	06/02/2020	35.31647813	-80.25093221	86	4	0	Stanly
2540	North Carolina	US	06/03/2020	35.31647813	-80.25093221	92	4	0	Stanly
2541	North Carolina	US	06/04/2020	35.31647813	-80.25093221	96	4	0	Stanly
2544	North Carolina	US	06/05/2020	35.31647813	-80.25093221	103	4	0	Stanly
2546	North Carolina	US	06/06/2020	35.31647813	-80.25093221	115	4	0	Stanly
2546	North Carolina	US	06/07/2020	35.31647813	-80.25093221	118	4	0	Stanly
2546	North Carolina	US	06/08/2020	35.31647813	-80.25093221	118	4	0	Stanly
2548	North Carolina	US	06/09/2020	35.31647813	-80.25093221	118	4	0	Stanly
2550	North Carolina	US	06/10/2020	35.31647813	-80.25093221	124	4	0	Stanly
2552	North Carolina	US	06/11/2020	35.31647813	-80.25093221	130	4	0	Stanly
2566	North Carolina	US	06/12/2020	35.31647813	-80.25093221	144	4	0	Stanly
2569	North Carolina	US	06/13/2020	35.31647813	-80.25093221	150	4	0	Stanly
2569	North Carolina	US	06/14/2020	35.31647813	-80.25093221	163	5	0	Stanly
2573	North Carolina	US	06/15/2020	35.31647813	-80.25093221	164	5	0	Stanly
2571	North Carolina	US	06/16/2020	35.31647813	-80.25093221	167	5	0	Stanly
2573	North Carolina	US	06/17/2020	35.31647813	-80.25093221	174	5	0	Stanly
2573	North Carolina	US	06/18/2020	35.31647813	-80.25093221	180	5	0	Stanly
2573	North Carolina	US	06/19/2020	35.31647813	-80.25093221	195	5	0	Stanly
2577	North Carolina	US	06/20/2020	35.31647813	-80.25093221	208	5	0	Stanly
2577	North Carolina	US	06/21/2020	35.31647813	-80.25093221	234	5	0	Stanly
2579	North Carolina	US	06/22/2020	35.31647813	-80.25093221	277	5	0	Stanly
2583	North Carolina	US	06/23/2020	35.31647813	-80.25093221	282	5	0	Stanly
2594	North Carolina	US	06/24/2020	35.31647813	-80.25093221	298	5	0	Stanly
2599	North Carolina	US	06/25/2020	35.31647813	-80.25093221	308	5	0	Stanly
2600	North Carolina	US	06/26/2020	35.31647813	-80.25093221	315	5	0	Stanly
2601	North Carolina	US	06/27/2020	35.31647813	-80.25093221	340	5	0	Stanly
2601	North Carolina	US	06/28/2020	35.31647813	-80.25093221	359	5	0	Stanly
2603	North Carolina	US	06/29/2020	35.31647813	-80.25093221	373	5	0	Stanly
2605	North Carolina	US	06/30/2020	35.31647813	-80.25093221	378	5	0	Stanly
2607	North Carolina	US	07/01/2020	35.31647813	-80.25093221	394	5	0	Stanly
2609	North Carolina	US	07/02/2020	35.31647813	-80.25093221	411	5	0	Stanly
2614	North Carolina	US	07/03/2020	35.31647813	-80.25093221	437	5	0	Stanly
2615	North Carolina	US	07/04/2020	35.31647813	-80.25093221	459	5	0	Stanly
2615	North Carolina	US	07/05/2020	35.31647813	-80.25093221	468	5	0	Stanly
2618	North Carolina	US	07/06/2020	35.31647813	-80.25093221	479	5	0	Stanly
2618	North Carolina	US	07/07/2020	35.31647813	-80.25093221	481	5	0	Stanly
2621	North Carolina	US	07/08/2020	35.31647813	-80.25093221	484	5	0	Stanly
2620	North Carolina	US	07/09/2020	35.31647813	-80.25093221	531	5	0	Stanly
2624	North Carolina	US	07/10/2020	35.31647813	-80.25093221	558	5	0	Stanly
2625	North Carolina	US	07/11/2020	35.31647813	-80.25093221	558	5	0	Stanly
2627	North Carolina	US	07/12/2020	35.31647813	-80.25093221	563	5	0	Stanly
2629	North Carolina	US	07/13/2020	35.31647813	-80.25093221	572	5	0	Stanly
2634	North Carolina	US	07/14/2020	35.31647813	-80.25093221	589	6	0	Stanly
2634	North Carolina	US	07/15/2020	35.31647813	-80.25093221	597	6	0	Stanly
2636	North Carolina	US	07/16/2020	35.31647813	-80.25093221	613	6	0	Stanly
2636	North Carolina	US	07/17/2020	35.31647813	-80.25093221	621	6	0	Stanly
2705	North Carolina	US	07/18/2020	35.31647813	-80.25093221	640	6	0	Stanly
2705	North Carolina	US	07/19/2020	35.31647813	-80.25093221	657	6	0	Stanly
2635	North Carolina	US	07/20/2020	35.31647813	-80.25093221	662	6	0	Stanly
2709	North Carolina	US	07/21/2020	35.31647813	-80.25093221	685	6	0	Stanly
2710	North Carolina	US	07/22/2020	35.31647813	-80.25093221	723	8	0	Stanly
2713	North Carolina	US	07/23/2020	35.31647813	-80.25093221	723	8	0	Stanly
2712	North Carolina	US	07/24/2020	35.31647813	-80.25093221	768	9	0	Stanly
2713	North Carolina	US	07/25/2020	35.31647813	-80.25093221	768	9	0	Stanly
2714	North Carolina	US	07/26/2020	35.31647813	-80.25093221	778	9	0	Stanly
2714	North Carolina	US	07/27/2020	35.31647813	-80.25093221	793	9	0	Stanly
2714	North Carolina	US	07/28/2020	35.31647813	-80.25093221	802	9	0	Stanly
2718	North Carolina	US	07/29/2020	35.31647813	-80.25093221	854	9	0	Stanly
2718	North Carolina	US	07/30/2020	35.31647813	-80.25093221	854	10	0	Stanly
2720	North Carolina	US	07/31/2020	35.31647813	-80.25093221	866	11	0	Stanly
2720	North Carolina	US	08/01/2020	35.31647813	-80.25093221	884	11	0	Stanly
