	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2407	North Carolina	US	03/22/2020	36.36880673	-78.40670845	0	0	0	Vance
2914	North Carolina	US	03/23/2020	36.36880673	-78.40670845	1	0	0	Vance
2913	North Carolina	US	03/24/2020	36.36880673	-78.40670845	1	0	0	Vance
2913	North Carolina	US	03/25/2020	36.36880673	-78.40670845	2	0	0	Vance
2910	North Carolina	US	03/26/2020	36.36880673	-78.40670845	2	0	0	Vance
2917	North Carolina	US	03/27/2020	36.36880673	-78.40670845	2	0	0	Vance
2914	North Carolina	US	03/28/2020	36.36880673	-78.40670845	2	0	0	Vance
2918	North Carolina	US	03/29/2020	36.36880673	-78.40670845	3	0	0	Vance
2922	North Carolina	US	03/30/2020	36.36880673	-78.40670845	3	0	0	Vance
1984	North Carolina	US	03/31/2020	36.36880673	-78.40670845	4	0	0	Vance
2031	North Carolina	US	04/01/2020	36.36880673	-78.40670845	5	0	0	Vance
2109	North Carolina	US	04/02/2020	36.36880673	-78.40670845	6	0	0	Vance
2153	North Carolina	US	04/03/2020	36.36880673	-78.40670845	7	0	0	Vance
2208	North Carolina	US	04/04/2020	36.36880673	-78.40670845	10	0	0	Vance
2284	North Carolina	US	04/05/2020	36.36880673	-78.40670845	12	0	0	Vance
2323	North Carolina	US	04/06/2020	36.36880673	-78.40670845	12	0	0	Vance
2373	North Carolina	US	04/07/2020	36.36880673	-78.40670845	12	0	0	Vance
2397	North Carolina	US	04/08/2020	36.36880673	-78.40670845	14	0	0	Vance
2424	North Carolina	US	04/09/2020	36.36880673	-78.40670845	17	0	0	Vance
2449	North Carolina	US	04/10/2020	36.36880673	-78.40670845	19	0	0	Vance
2471	North Carolina	US	04/11/2020	36.36880673	-78.40670845	19	0	0	Vance
2494	North Carolina	US	04/12/2020	36.36880673	-78.40670845	19	0	0	Vance
2508	North Carolina	US	04/13/2020	36.36880673	-78.40670845	19	0	0	Vance
2519	North Carolina	US	04/14/2020	36.36880673	-78.40670845	21	0	0	Vance
2532	North Carolina	US	04/15/2020	36.36880673	-78.40670845	22	0	0	Vance
2546	North Carolina	US	04/16/2020	36.36880673	-78.40670845	25	0	0	Vance
2548	North Carolina	US	04/17/2020	36.36880673	-78.40670845	28	1	0	Vance
