	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2418	North Dakota	US	03/22/2020	46.11285362	-103.5203343	0	0	0	Bowman
249	North Dakota	US	03/23/2020	46.11285362	-103.5203343	0	0	0	Bowman
249	North Dakota	US	03/24/2020	46.11285362	-103.5203343	0	0	0	Bowman
249	North Dakota	US	03/25/2020	46.11285362	-103.5203343	0	0	0	Bowman
249	North Dakota	US	03/26/2020	46.11285362	-103.5203343	0	0	0	Bowman
249	North Dakota	US	03/27/2020	46.11285362	-103.5203343	0	0	0	Bowman
249	North Dakota	US	03/28/2020	46.11285362	-103.5203343	0	0	0	Bowman
249	North Dakota	US	03/29/2020	46.11285362	-103.5203343	0	0	0	Bowman
249	North Dakota	US	03/30/2020	46.11285362	-103.5203343	0	0	0	Bowman
202	North Dakota	US	04/07/2020	46.11285362	-103.5203343	1	0	0	Bowman
204	North Dakota	US	04/08/2020	46.11285362	-103.5203343	1	0	0	Bowman
206	North Dakota	US	04/09/2020	46.11285362	-103.5203343	1	0	0	Bowman
207	North Dakota	US	04/10/2020	46.11285362	-103.5203343	1	0	0	Bowman
209	North Dakota	US	04/11/2020	46.11285362	-103.5203343	1	0	0	Bowman
211	North Dakota	US	04/12/2020	46.11285362	-103.5203343	1	0	0	Bowman
213	North Dakota	US	04/13/2020	46.11285362	-103.5203343	1	0	0	Bowman
214	North Dakota	US	04/14/2020	46.11285362	-103.5203343	1	0	0	Bowman
216	North Dakota	US	04/15/2020	46.11285362	-103.5203343	1	0	0	Bowman
216	North Dakota	US	04/16/2020	46.11285362	-103.5203343	1	0	0	Bowman
219	North Dakota	US	04/17/2020	46.11285362	-103.5203343	1	0	0	Bowman
219	North Dakota	US	04/18/2020	46.11285362	-103.5203343	1	0	0	Bowman
220	North Dakota	US	04/19/2020	46.11285362	-103.5203343	1	0	0	Bowman
220	North Dakota	US	04/20/2020	46.11285362	-103.5203343	1	0	0	Bowman
221	North Dakota	US	04/21/2020	46.11285362	-103.5203343	1	0	0	Bowman
221	North Dakota	US	04/22/2020	46.11285362	-103.5203343	1	0	0	Bowman
221	North Dakota	US	04/23/2020	46.11285362	-103.5203343	1	0	0	Bowman
221	North Dakota	US	04/24/2020	46.11285362	-103.5203343	1	0	0	Bowman
221	North Dakota	US	04/25/2020	46.11285362	-103.5203343	1	0	0	Bowman
222	North Dakota	US	04/26/2020	46.11285362	-103.5203343	1	0	0	Bowman
222	North Dakota	US	04/27/2020	46.11285362	-103.5203343	1	0	0	Bowman
222	North Dakota	US	04/28/2020	46.11285362	-103.5203343	1	0	0	Bowman
222	North Dakota	US	04/29/2020	46.11285362	-103.5203343	1	0	0	Bowman
222	North Dakota	US	04/30/2020	46.11285362	-103.5203343	1	0	0	Bowman
222	North Dakota	US	05/01/2020	46.11285362	-103.5203343	1	0	0	Bowman
222	North Dakota	US	05/02/2020	46.11285362	-103.5203343	1	0	0	Bowman
222	North Dakota	US	05/03/2020	46.11285362	-103.5203343	1	0	0	Bowman
