	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
1121	North Dakota	US	03/22/2020	46.97847375	-100.4645214	15	0	0	Burleigh
316	North Dakota	US	03/23/2020	46.97847375	-100.4645214	16	0	0	Burleigh
316	North Dakota	US	03/24/2020	46.97847375	-100.4645214	18	0	0	Burleigh
316	North Dakota	US	03/25/2020	46.97847375	-100.4645214	18	0	0	Burleigh
316	North Dakota	US	03/26/2020	46.97847375	-100.4645214	22	0	0	Burleigh
316	North Dakota	US	03/27/2020	46.97847375	-100.4645214	25	0	0	Burleigh
316	North Dakota	US	03/28/2020	46.97847375	-100.4645214	28	0	0	Burleigh
316	North Dakota	US	03/29/2020	46.97847375	-100.4645214	28	0	0	Burleigh
316	North Dakota	US	03/30/2020	46.97847375	-100.4645214	29	0	0	Burleigh
218	North Dakota	US	03/31/2020	46.97847375	-100.4645214	29	0	0	Burleigh
224	North Dakota	US	04/01/2020	46.97847375	-100.4645214	31	0	0	Burleigh
232	North Dakota	US	04/02/2020	46.97847375	-100.4645214	31	0	0	Burleigh
234	North Dakota	US	04/03/2020	46.97847375	-100.4645214	33	0	0	Burleigh
238	North Dakota	US	04/04/2020	46.97847375	-100.4645214	36	0	0	Burleigh
248	North Dakota	US	04/05/2020	46.97847375	-100.4645214	37	0	0	Burleigh
249	North Dakota	US	04/06/2020	46.97847375	-100.4645214	38	0	0	Burleigh
255	North Dakota	US	04/07/2020	46.97847375	-100.4645214	41	0	0	Burleigh
259	North Dakota	US	04/08/2020	46.97847375	-100.4645214	45	0	0	Burleigh
261	North Dakota	US	04/09/2020	46.97847375	-100.4645214	47	0	0	Burleigh
262	North Dakota	US	04/10/2020	46.97847375	-100.4645214	48	0	0	Burleigh
265	North Dakota	US	04/11/2020	46.97847375	-100.4645214	49	0	0	Burleigh
268	North Dakota	US	04/12/2020	46.97847375	-100.4645214	50	0	0	Burleigh
270	North Dakota	US	04/13/2020	46.97847375	-100.4645214	51	0	0	Burleigh
271	North Dakota	US	04/14/2020	46.97847375	-100.4645214	51	0	0	Burleigh
273	North Dakota	US	04/15/2020	46.97847375	-100.4645214	53	0	0	Burleigh
273	North Dakota	US	04/16/2020	46.97847375	-100.4645214	56	0	0	Burleigh
276	North Dakota	US	04/17/2020	46.97847375	-100.4645214	61	0	0	Burleigh
276	North Dakota	US	04/18/2020	46.97847375	-100.4645214	62	0	0	Burleigh
276	North Dakota	US	04/19/2020	46.97847375	-100.4645214	62	0	0	Burleigh
276	North Dakota	US	04/20/2020	46.97847375	-100.4645214	62	0	0	Burleigh
277	North Dakota	US	04/21/2020	46.97847375	-100.4645214	64	0	0	Burleigh
278	North Dakota	US	04/22/2020	46.97847375	-100.4645214	66	0	0	Burleigh
278	North Dakota	US	04/23/2020	46.97847375	-100.4645214	67	0	0	Burleigh
278	North Dakota	US	04/24/2020	46.97847375	-100.4645214	73	0	0	Burleigh
278	North Dakota	US	04/25/2020	46.97847375	-100.4645214	73	0	0	Burleigh
279	North Dakota	US	04/26/2020	46.97847375	-100.4645214	73	0	0	Burleigh
279	North Dakota	US	04/27/2020	46.97847375	-100.4645214	73	0	0	Burleigh
280	North Dakota	US	04/28/2020	46.97847375	-100.4645214	75	0	0	Burleigh
280	North Dakota	US	04/29/2020	46.97847375	-100.4645214	76	0	0	Burleigh
280	North Dakota	US	04/30/2020	46.97847375	-100.4645214	78	0	0	Burleigh
282	North Dakota	US	05/01/2020	46.97847375	-100.4645214	79	0	0	Burleigh
283	North Dakota	US	05/02/2020	46.97847375	-100.4645214	79	0	0	Burleigh
284	North Dakota	US	05/03/2020	46.97847375	-100.4645214	82	0	0	Burleigh
285	North Dakota	US	05/04/2020	46.97847375	-100.4645214	91	0	0	Burleigh
287	North Dakota	US	05/05/2020	46.97847375	-100.4645214	100	0	0	Burleigh
288	North Dakota	US	05/06/2020	46.97847375	-100.4645214	100	0	0	Burleigh
289	North Dakota	US	05/07/2020	46.97847375	-100.4645214	101	0	0	Burleigh
289	North Dakota	US	05/08/2020	46.97847375	-100.4645214	101	0	0	Burleigh
289	North Dakota	US	05/09/2020	46.97847375	-100.4645214	101	0	0	Burleigh
290	North Dakota	US	05/10/2020	46.97847375	-100.4645214	103	0	0	Burleigh
290	North Dakota	US	05/11/2020	46.97847375	-100.4645214	104	0	0	Burleigh
290	North Dakota	US	05/12/2020	46.97847375	-100.4645214	105	0	0	Burleigh
290	North Dakota	US	05/13/2020	46.97847375	-100.4645214	106	0	0	Burleigh
290	North Dakota	US	05/14/2020	46.97847375	-100.4645214	108	0	0	Burleigh
291	North Dakota	US	05/15/2020	46.97847375	-100.4645214	111	0	0	Burleigh
291	North Dakota	US	05/16/2020	46.97847375	-100.4645214	112	0	0	Burleigh
292	North Dakota	US	05/17/2020	46.97847375	-100.4645214	115	0	0	Burleigh
293	North Dakota	US	05/18/2020	46.97847375	-100.4645214	116	0	0	Burleigh
295	North Dakota	US	05/19/2020	46.97847375	-100.4645214	119	0	0	Burleigh
295	North Dakota	US	05/20/2020	46.97847375	-100.4645214	119	0	0	Burleigh
295	North Dakota	US	05/21/2020	46.97847375	-100.4645214	119	0	0	Burleigh
296	North Dakota	US	05/22/2020	46.97847375	-100.4645214	120	0	0	Burleigh
296	North Dakota	US	05/23/2020	46.97847375	-100.4645214	122	0	0	Burleigh
296	North Dakota	US	05/24/2020	46.97847375	-100.4645214	122	0	0	Burleigh
296	North Dakota	US	05/25/2020	46.97847375	-100.4645214	122	0	0	Burleigh
296	North Dakota	US	05/26/2020	46.97847375	-100.4645214	122	0	0	Burleigh
297	North Dakota	US	05/27/2020	46.97847375	-100.4645214	124	0	0	Burleigh
297	North Dakota	US	05/28/2020	46.97847375	-100.4645214	125	0	0	Burleigh
297	North Dakota	US	05/29/2020	46.97847375	-100.4645214	126	0	0	Burleigh
297	North Dakota	US	05/30/2020	46.97847375	-100.4645214	126	0	0	Burleigh
297	North Dakota	US	05/31/2020	46.97847375	-100.4645214	127	0	0	Burleigh
298	North Dakota	US	06/01/2020	46.97847375	-100.4645214	128	0	0	Burleigh
298	North Dakota	US	06/02/2020	46.97847375	-100.4645214	130	0	0	Burleigh
298	North Dakota	US	06/03/2020	46.97847375	-100.4645214	132	0	0	Burleigh
298	North Dakota	US	06/04/2020	46.97847375	-100.4645214	135	0	0	Burleigh
299	North Dakota	US	06/05/2020	46.97847375	-100.4645214	142	0	0	Burleigh
299	North Dakota	US	06/06/2020	46.97847375	-100.4645214	143	0	0	Burleigh
299	North Dakota	US	06/07/2020	46.97847375	-100.4645214	144	0	0	Burleigh
299	North Dakota	US	06/08/2020	46.97847375	-100.4645214	145	0	0	Burleigh
299	North Dakota	US	06/09/2020	46.97847375	-100.4645214	148	0	0	Burleigh
300	North Dakota	US	06/10/2020	46.97847375	-100.4645214	151	0	0	Burleigh
301	North Dakota	US	06/11/2020	46.97847375	-100.4645214	157	0	0	Burleigh
302	North Dakota	US	06/12/2020	46.97847375	-100.4645214	160	0	0	Burleigh
302	North Dakota	US	06/13/2020	46.97847375	-100.4645214	166	0	0	Burleigh
302	North Dakota	US	06/14/2020	46.97847375	-100.4645214	168	0	0	Burleigh
303	North Dakota	US	06/15/2020	46.97847375	-100.4645214	177	0	0	Burleigh
303	North Dakota	US	06/16/2020	46.97847375	-100.4645214	181	0	0	Burleigh
303	North Dakota	US	06/17/2020	46.97847375	-100.4645214	181	0	0	Burleigh
303	North Dakota	US	06/18/2020	46.97847375	-100.4645214	189	0	0	Burleigh
303	North Dakota	US	06/19/2020	46.97847375	-100.4645214	193	0	0	Burleigh
304	North Dakota	US	06/20/2020	46.97847375	-100.4645214	199	0	0	Burleigh
304	North Dakota	US	06/21/2020	46.97847375	-100.4645214	203	0	0	Burleigh
304	North Dakota	US	06/22/2020	46.97847375	-100.4645214	203	0	0	Burleigh
304	North Dakota	US	06/23/2020	46.97847375	-100.4645214	216	0	0	Burleigh
306	North Dakota	US	06/24/2020	46.97847375	-100.4645214	217	0	0	Burleigh
307	North Dakota	US	06/25/2020	46.97847375	-100.4645214	223	0	0	Burleigh
307	North Dakota	US	06/26/2020	46.97847375	-100.4645214	233	0	0	Burleigh
307	North Dakota	US	06/27/2020	46.97847375	-100.4645214	240	0	0	Burleigh
307	North Dakota	US	06/28/2020	46.97847375	-100.4645214	249	0	0	Burleigh
307	North Dakota	US	06/29/2020	46.97847375	-100.4645214	259	0	0	Burleigh
308	North Dakota	US	06/30/2020	46.97847375	-100.4645214	269	0	0	Burleigh
308	North Dakota	US	07/01/2020	46.97847375	-100.4645214	282	0	0	Burleigh
308	North Dakota	US	07/02/2020	46.97847375	-100.4645214	304	0	0	Burleigh
308	North Dakota	US	07/03/2020	46.97847375	-100.4645214	316	0	0	Burleigh
308	North Dakota	US	07/04/2020	46.97847375	-100.4645214	325	0	0	Burleigh
308	North Dakota	US	07/05/2020	46.97847375	-100.4645214	331	0	0	Burleigh
308	North Dakota	US	07/06/2020	46.97847375	-100.4645214	347	0	0	Burleigh
308	North Dakota	US	07/07/2020	46.97847375	-100.4645214	366	0	0	Burleigh
309	North Dakota	US	07/08/2020	46.97847375	-100.4645214	388	0	0	Burleigh
309	North Dakota	US	07/09/2020	46.97847375	-100.4645214	411	0	0	Burleigh
310	North Dakota	US	07/10/2020	46.97847375	-100.4645214	427	0	0	Burleigh
310	North Dakota	US	07/11/2020	46.97847375	-100.4645214	449	0	0	Burleigh
310	North Dakota	US	07/12/2020	46.97847375	-100.4645214	465	0	0	Burleigh
310	North Dakota	US	07/13/2020	46.97847375	-100.4645214	473	0	0	Burleigh
310	North Dakota	US	07/14/2020	46.97847375	-100.4645214	482	0	0	Burleigh
310	North Dakota	US	07/15/2020	46.97847375	-100.4645214	504	0	0	Burleigh
311	North Dakota	US	07/16/2020	46.97847375	-100.4645214	532	0	0	Burleigh
311	North Dakota	US	07/17/2020	46.97847375	-100.4645214	554	0	0	Burleigh
322	North Dakota	US	07/18/2020	46.97847375	-100.4645214	573	0	0	Burleigh
322	North Dakota	US	07/19/2020	46.97847375	-100.4645214	588	1	0	Burleigh
314	North Dakota	US	07/20/2020	46.97847375	-100.4645214	602	1	0	Burleigh
323	North Dakota	US	07/21/2020	46.97847375	-100.4645214	640	1	0	Burleigh
323	North Dakota	US	07/22/2020	46.97847375	-100.4645214	689	2	0	Burleigh
324	North Dakota	US	07/23/2020	46.97847375	-100.4645214	704	3	0	Burleigh
324	North Dakota	US	07/24/2020	46.97847375	-100.4645214	738	3	0	Burleigh
324	North Dakota	US	07/25/2020	46.97847375	-100.4645214	770	3	0	Burleigh
324	North Dakota	US	07/26/2020	46.97847375	-100.4645214	795	3	0	Burleigh
324	North Dakota	US	07/27/2020	46.97847375	-100.4645214	845	3	0	Burleigh
324	North Dakota	US	07/28/2020	46.97847375	-100.4645214	872	3	0	Burleigh
324	North Dakota	US	07/29/2020	46.97847375	-100.4645214	884	4	0	Burleigh
324	North Dakota	US	07/30/2020	46.97847375	-100.4645214	920	4	0	Burleigh
324	North Dakota	US	07/31/2020	46.97847375	-100.4645214	946	4	0	Burleigh
324	North Dakota	US	08/01/2020	46.97847375	-100.4645214	963	4	0	Burleigh
324	North Dakota	US	08/02/2020	46.97847375	-100.4645214	979	5	0	Burleigh
324	North Dakota	US	08/03/2020	46.97847375	-100.4645214	1008	5	0	Burleigh
324	North Dakota	US	08/04/2020	46.97847375	-100.4645214	1048	5	0	Burleigh
325	North Dakota	US	08/05/2020	46.97847375	-100.4645214	1081	5	0	Burleigh
325	North Dakota	US	08/06/2020	46.97847375	-100.4645214	1106	5	0	Burleigh
325	North Dakota	US	08/07/2020	46.97847375	-100.4645214	1141	5	0	Burleigh
