	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2423	North Dakota	US	03/22/2020	47.35423935	-102.6160468	0	0	0	Dunn
828	North Dakota	US	03/23/2020	47.35423935	-102.6160468	0	0	0	Dunn
828	North Dakota	US	03/24/2020	47.35423935	-102.6160468	1	0	0	Dunn
828	North Dakota	US	03/25/2020	47.35423935	-102.6160468	1	0	0	Dunn
828	North Dakota	US	03/26/2020	47.35423935	-102.6160468	1	0	0	Dunn
828	North Dakota	US	03/27/2020	47.35423935	-102.6160468	1	0	0	Dunn
828	North Dakota	US	03/28/2020	47.35423935	-102.6160468	1	0	0	Dunn
828	North Dakota	US	03/29/2020	47.35423935	-102.6160468	1	0	0	Dunn
828	North Dakota	US	03/30/2020	47.35423935	-102.6160468	1	0	0	Dunn
577	North Dakota	US	03/31/2020	47.35423935	-102.6160468	1	0	0	Dunn
595	North Dakota	US	04/01/2020	47.35423935	-102.6160468	1	0	0	Dunn
617	North Dakota	US	04/02/2020	47.35423935	-102.6160468	1	0	0	Dunn
625	North Dakota	US	04/03/2020	47.35423935	-102.6160468	1	0	0	Dunn
640	North Dakota	US	04/04/2020	47.35423935	-102.6160468	1	0	0	Dunn
661	North Dakota	US	04/05/2020	47.35423935	-102.6160468	1	0	0	Dunn
671	North Dakota	US	04/06/2020	47.35423935	-102.6160468	1	0	0	Dunn
683	North Dakota	US	04/07/2020	47.35423935	-102.6160468	1	0	0	Dunn
689	North Dakota	US	04/08/2020	47.35423935	-102.6160468	1	0	0	Dunn
694	North Dakota	US	04/09/2020	47.35423935	-102.6160468	2	0	0	Dunn
698	North Dakota	US	04/10/2020	47.35423935	-102.6160468	2	0	0	Dunn
704	North Dakota	US	04/11/2020	47.35423935	-102.6160468	2	0	0	Dunn
708	North Dakota	US	04/12/2020	47.35423935	-102.6160468	3	0	0	Dunn
712	North Dakota	US	04/13/2020	47.35423935	-102.6160468	3	0	0	Dunn
714	North Dakota	US	04/14/2020	47.35423935	-102.6160468	3	0	0	Dunn
718	North Dakota	US	04/15/2020	47.35423935	-102.6160468	4	0	0	Dunn
719	North Dakota	US	04/16/2020	47.35423935	-102.6160468	6	0	0	Dunn
721	North Dakota	US	04/17/2020	47.35423935	-102.6160468	6	0	0	Dunn
723	North Dakota	US	04/18/2020	47.35423935	-102.6160468	9	0	0	Dunn
727	North Dakota	US	04/19/2020	47.35423935	-102.6160468	10	0	0	Dunn
729	North Dakota	US	04/20/2020	47.35423935	-102.6160468	10	0	0	Dunn
733	North Dakota	US	04/21/2020	47.35423935	-102.6160468	10	0	0	Dunn
735	North Dakota	US	04/22/2020	47.35423935	-102.6160468	10	0	0	Dunn
738	North Dakota	US	04/23/2020	47.35423935	-102.6160468	10	0	0	Dunn
739	North Dakota	US	04/24/2020	47.35423935	-102.6160468	10	0	0	Dunn
739	North Dakota	US	04/25/2020	47.35423935	-102.6160468	10	0	0	Dunn
741	North Dakota	US	04/26/2020	47.35423935	-102.6160468	10	0	0	Dunn
743	North Dakota	US	04/27/2020	47.35423935	-102.6160468	10	0	0	Dunn
746	North Dakota	US	04/28/2020	47.35423935	-102.6160468	10	0	0	Dunn
747	North Dakota	US	04/29/2020	47.35423935	-102.6160468	10	0	0	Dunn
747	North Dakota	US	04/30/2020	47.35423935	-102.6160468	10	0	0	Dunn
752	North Dakota	US	05/01/2020	47.35423935	-102.6160468	11	0	0	Dunn
753	North Dakota	US	05/02/2020	47.35423935	-102.6160468	11	0	0	Dunn
754	North Dakota	US	05/03/2020	47.35423935	-102.6160468	11	0	0	Dunn
756	North Dakota	US	05/04/2020	47.35423935	-102.6160468	11	0	0	Dunn
760	North Dakota	US	05/05/2020	47.35423935	-102.6160468	11	0	0	Dunn
761	North Dakota	US	05/06/2020	47.35423935	-102.6160468	11	0	0	Dunn
762	North Dakota	US	05/07/2020	47.35423935	-102.6160468	11	0	0	Dunn
765	North Dakota	US	05/08/2020	47.35423935	-102.6160468	11	0	0	Dunn
765	North Dakota	US	05/09/2020	47.35423935	-102.6160468	11	0	0	Dunn
766	North Dakota	US	05/10/2020	47.35423935	-102.6160468	11	0	0	Dunn
766	North Dakota	US	05/11/2020	47.35423935	-102.6160468	11	0	0	Dunn
766	North Dakota	US	05/12/2020	47.35423935	-102.6160468	11	0	0	Dunn
766	North Dakota	US	05/13/2020	47.35423935	-102.6160468	11	0	0	Dunn
767	North Dakota	US	05/14/2020	47.35423935	-102.6160468	11	0	0	Dunn
768	North Dakota	US	05/15/2020	47.35423935	-102.6160468	11	0	0	Dunn
769	North Dakota	US	05/16/2020	47.35423935	-102.6160468	11	0	0	Dunn
770	North Dakota	US	05/17/2020	47.35423935	-102.6160468	11	0	0	Dunn
771	North Dakota	US	05/18/2020	47.35423935	-102.6160468	11	0	0	Dunn
773	North Dakota	US	05/19/2020	47.35423935	-102.6160468	11	0	0	Dunn
774	North Dakota	US	05/20/2020	47.35423935	-102.6160468	11	0	0	Dunn
774	North Dakota	US	05/21/2020	47.35423935	-102.6160468	11	0	0	Dunn
776	North Dakota	US	05/22/2020	47.35423935	-102.6160468	11	0	0	Dunn
776	North Dakota	US	05/23/2020	47.35423935	-102.6160468	11	0	0	Dunn
777	North Dakota	US	05/24/2020	47.35423935	-102.6160468	11	0	0	Dunn
777	North Dakota	US	05/25/2020	47.35423935	-102.6160468	11	0	0	Dunn
777	North Dakota	US	05/26/2020	47.35423935	-102.6160468	11	0	0	Dunn
778	North Dakota	US	05/27/2020	47.35423935	-102.6160468	11	0	0	Dunn
778	North Dakota	US	05/28/2020	47.35423935	-102.6160468	11	0	0	Dunn
778	North Dakota	US	05/29/2020	47.35423935	-102.6160468	11	0	0	Dunn
778	North Dakota	US	05/30/2020	47.35423935	-102.6160468	11	0	0	Dunn
778	North Dakota	US	05/31/2020	47.35423935	-102.6160468	11	0	0	Dunn
779	North Dakota	US	06/01/2020	47.35423935	-102.6160468	11	0	0	Dunn
780	North Dakota	US	06/02/2020	47.35423935	-102.6160468	11	0	0	Dunn
780	North Dakota	US	06/03/2020	47.35423935	-102.6160468	11	0	0	Dunn
781	North Dakota	US	06/04/2020	47.35423935	-102.6160468	11	0	0	Dunn
783	North Dakota	US	06/05/2020	47.35423935	-102.6160468	11	0	0	Dunn
783	North Dakota	US	06/06/2020	47.35423935	-102.6160468	11	0	0	Dunn
783	North Dakota	US	06/07/2020	47.35423935	-102.6160468	11	0	0	Dunn
783	North Dakota	US	06/08/2020	47.35423935	-102.6160468	11	0	0	Dunn
783	North Dakota	US	06/09/2020	47.35423935	-102.6160468	11	0	0	Dunn
784	North Dakota	US	06/10/2020	47.35423935	-102.6160468	11	0	0	Dunn
785	North Dakota	US	06/11/2020	47.35423935	-102.6160468	11	0	0	Dunn
790	North Dakota	US	06/12/2020	47.35423935	-102.6160468	11	0	0	Dunn
791	North Dakota	US	06/13/2020	47.35423935	-102.6160468	11	0	0	Dunn
791	North Dakota	US	06/14/2020	47.35423935	-102.6160468	11	0	0	Dunn
