	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2428	North Dakota	US	03/22/2020	47.92093639	-97.45450447	0	0	0	Grand Forks
1077	North Dakota	US	03/23/2020	47.92093639	-97.45450447	0	0	0	Grand Forks
1077	North Dakota	US	03/24/2020	47.92093639	-97.45450447	0	0	0	Grand Forks
1077	North Dakota	US	03/25/2020	47.92093639	-97.45450447	0	0	0	Grand Forks
1076	North Dakota	US	03/26/2020	47.92093639	-97.45450447	0	0	0	Grand Forks
1076	North Dakota	US	03/27/2020	47.92093639	-97.45450447	0	0	0	Grand Forks
1076	North Dakota	US	03/28/2020	47.92093639	-97.45450447	0	0	0	Grand Forks
1076	North Dakota	US	03/29/2020	47.92093639	-97.45450447	0	0	0	Grand Forks
1076	North Dakota	US	03/30/2020	47.92093639	-97.45450447	2	0	0	Grand Forks
739	North Dakota	US	03/31/2020	47.92093639	-97.45450447	2	0	0	Grand Forks
761	North Dakota	US	04/01/2020	47.92093639	-97.45450447	5	0	0	Grand Forks
788	North Dakota	US	04/02/2020	47.92093639	-97.45450447	6	0	0	Grand Forks
802	North Dakota	US	04/03/2020	47.92093639	-97.45450447	10	0	0	Grand Forks
817	North Dakota	US	04/04/2020	47.92093639	-97.45450447	11	0	0	Grand Forks
849	North Dakota	US	04/05/2020	47.92093639	-97.45450447	11	0	0	Grand Forks
860	North Dakota	US	04/06/2020	47.92093639	-97.45450447	11	0	0	Grand Forks
878	North Dakota	US	04/07/2020	47.92093639	-97.45450447	11	0	0	Grand Forks
886	North Dakota	US	04/08/2020	47.92093639	-97.45450447	11	0	0	Grand Forks
892	North Dakota	US	04/09/2020	47.92093639	-97.45450447	11	0	0	Grand Forks
898	North Dakota	US	04/10/2020	47.92093639	-97.45450447	11	0	0	Grand Forks
906	North Dakota	US	04/11/2020	47.92093639	-97.45450447	11	0	0	Grand Forks
914	North Dakota	US	04/12/2020	47.92093639	-97.45450447	11	0	0	Grand Forks
920	North Dakota	US	04/13/2020	47.92093639	-97.45450447	12	0	0	Grand Forks
923	North Dakota	US	04/14/2020	47.92093639	-97.45450447	19	0	0	Grand Forks
929	North Dakota	US	04/15/2020	47.92093639	-97.45450447	22	0	0	Grand Forks
930	North Dakota	US	04/16/2020	47.92093639	-97.45450447	31	0	0	Grand Forks
929	North Dakota	US	04/17/2020	47.92093639	-97.45450447	99	0	0	Grand Forks
931	North Dakota	US	04/18/2020	47.92093639	-97.45450447	134	0	0	Grand Forks
937	North Dakota	US	04/19/2020	47.92093639	-97.45450447	138	0	0	Grand Forks
940	North Dakota	US	04/20/2020	47.92093639	-97.45450447	143	0	0	Grand Forks
944	North Dakota	US	04/21/2020	47.92093639	-97.45450447	154	0	0	Grand Forks
947	North Dakota	US	04/22/2020	47.92093639	-97.45450447	162	0	0	Grand Forks
953	North Dakota	US	04/23/2020	47.92093639	-97.45450447	170	0	0	Grand Forks
954	North Dakota	US	04/24/2020	47.92093639	-97.45450447	174	0	0	Grand Forks
954	North Dakota	US	04/25/2020	47.92093639	-97.45450447	196	0	0	Grand Forks
958	North Dakota	US	04/26/2020	47.92093639	-97.45450447	233	0	0	Grand Forks
960	North Dakota	US	04/27/2020	47.92093639	-97.45450447	236	0	0	Grand Forks
964	North Dakota	US	04/28/2020	47.92093639	-97.45450447	252	0	0	Grand Forks
966	North Dakota	US	04/29/2020	47.92093639	-97.45450447	259	0	0	Grand Forks
970	North Dakota	US	04/30/2020	47.92093639	-97.45450447	263	0	0	Grand Forks
976	North Dakota	US	05/01/2020	47.92093639	-97.45450447	266	0	0	Grand Forks
977	North Dakota	US	05/02/2020	47.92093639	-97.45450447	268	0	0	Grand Forks
978	North Dakota	US	05/03/2020	47.92093639	-97.45450447	270	0	0	Grand Forks
980	North Dakota	US	05/04/2020	47.92093639	-97.45450447	271	0	0	Grand Forks
985	North Dakota	US	05/05/2020	47.92093639	-97.45450447	272	0	0	Grand Forks
987	North Dakota	US	05/06/2020	47.92093639	-97.45450447	278	1	0	Grand Forks
989	North Dakota	US	05/07/2020	47.92093639	-97.45450447	285	1	0	Grand Forks
993	North Dakota	US	05/08/2020	47.92093639	-97.45450447	287	1	0	Grand Forks
993	North Dakota	US	05/09/2020	47.92093639	-97.45450447	288	2	0	Grand Forks
994	North Dakota	US	05/10/2020	47.92093639	-97.45450447	290	2	0	Grand Forks
994	North Dakota	US	05/11/2020	47.92093639	-97.45450447	295	2	0	Grand Forks
995	North Dakota	US	05/12/2020	47.92093639	-97.45450447	296	2	0	Grand Forks
995	North Dakota	US	05/13/2020	47.92093639	-97.45450447	302	2	0	Grand Forks
996	North Dakota	US	05/14/2020	47.92093639	-97.45450447	305	2	0	Grand Forks
999	North Dakota	US	05/15/2020	47.92093639	-97.45450447	313	3	0	Grand Forks
1000	North Dakota	US	05/16/2020	47.92093639	-97.45450447	315	3	0	Grand Forks
1001	North Dakota	US	05/17/2020	47.92093639	-97.45450447	315	3	0	Grand Forks
1002	North Dakota	US	05/18/2020	47.92093639	-97.45450447	316	3	0	Grand Forks
1004	North Dakota	US	05/19/2020	47.92093639	-97.45450447	316	3	0	Grand Forks
1006	North Dakota	US	05/20/2020	47.92093639	-97.45450447	317	3	0	Grand Forks
1006	North Dakota	US	05/21/2020	47.92093639	-97.45450447	318	3	0	Grand Forks
1008	North Dakota	US	05/22/2020	47.92093639	-97.45450447	319	3	0	Grand Forks
1008	North Dakota	US	05/23/2020	47.92093639	-97.45450447	321	3	0	Grand Forks
1009	North Dakota	US	05/24/2020	47.92093639	-97.45450447	323	3	0	Grand Forks
1009	North Dakota	US	05/25/2020	47.92093639	-97.45450447	326	3	0	Grand Forks
1009	North Dakota	US	05/26/2020	47.92093639	-97.45450447	327	3	0	Grand Forks
1010	North Dakota	US	05/27/2020	47.92093639	-97.45450447	328	3	0	Grand Forks
1010	North Dakota	US	05/28/2020	47.92093639	-97.45450447	331	3	0	Grand Forks
1012	North Dakota	US	05/29/2020	47.92093639	-97.45450447	333	3	0	Grand Forks
1013	North Dakota	US	05/30/2020	47.92093639	-97.45450447	334	3	0	Grand Forks
1013	North Dakota	US	05/31/2020	47.92093639	-97.45450447	335	3	0	Grand Forks
1015	North Dakota	US	06/01/2020	47.92093639	-97.45450447	335	3	0	Grand Forks
1017	North Dakota	US	06/02/2020	47.92093639	-97.45450447	336	3	0	Grand Forks
1017	North Dakota	US	06/03/2020	47.92093639	-97.45450447	336	3	0	Grand Forks
1018	North Dakota	US	06/04/2020	47.92093639	-97.45450447	336	3	0	Grand Forks
1020	North Dakota	US	06/05/2020	47.92093639	-97.45450447	336	4	0	Grand Forks
1020	North Dakota	US	06/06/2020	47.92093639	-97.45450447	337	4	0	Grand Forks
1020	North Dakota	US	06/07/2020	47.92093639	-97.45450447	339	4	0	Grand Forks
1020	North Dakota	US	06/08/2020	47.92093639	-97.45450447	339	4	0	Grand Forks
1020	North Dakota	US	06/09/2020	47.92093639	-97.45450447	339	4	0	Grand Forks
1021	North Dakota	US	06/10/2020	47.92093639	-97.45450447	339	4	0	Grand Forks
1022	North Dakota	US	06/11/2020	47.92093639	-97.45450447	341	4	0	Grand Forks
1027	North Dakota	US	06/12/2020	47.92093639	-97.45450447	342	4	0	Grand Forks
1028	North Dakota	US	06/13/2020	47.92093639	-97.45450447	343	4	0	Grand Forks
1028	North Dakota	US	06/14/2020	47.92093639	-97.45450447	345	4	0	Grand Forks
1030	North Dakota	US	06/15/2020	47.92093639	-97.45450447	346	4	0	Grand Forks
1029	North Dakota	US	06/16/2020	47.92093639	-97.45450447	350	4	0	Grand Forks
1030	North Dakota	US	06/17/2020	47.92093639	-97.45450447	356	4	0	Grand Forks
1030	North Dakota	US	06/18/2020	47.92093639	-97.45450447	358	4	0	Grand Forks
1030	North Dakota	US	06/19/2020	47.92093639	-97.45450447	361	4	0	Grand Forks
1034	North Dakota	US	06/20/2020	47.92093639	-97.45450447	361	4	0	Grand Forks
1034	North Dakota	US	06/21/2020	47.92093639	-97.45450447	365	4	0	Grand Forks
1035	North Dakota	US	06/22/2020	47.92093639	-97.45450447	365	4	0	Grand Forks
1035	North Dakota	US	06/23/2020	47.92093639	-97.45450447	366	4	0	Grand Forks
1039	North Dakota	US	06/24/2020	47.92093639	-97.45450447	373	4	0	Grand Forks
1042	North Dakota	US	06/25/2020	47.92093639	-97.45450447	376	4	0	Grand Forks
1042	North Dakota	US	06/26/2020	47.92093639	-97.45450447	379	4	0	Grand Forks
1043	North Dakota	US	06/27/2020	47.92093639	-97.45450447	383	4	0	Grand Forks
1043	North Dakota	US	06/28/2020	47.92093639	-97.45450447	385	4	0	Grand Forks
1043	North Dakota	US	06/29/2020	47.92093639	-97.45450447	385	4	0	Grand Forks
1044	North Dakota	US	06/30/2020	47.92093639	-97.45450447	387	4	0	Grand Forks
1044	North Dakota	US	07/01/2020	47.92093639	-97.45450447	390	4	0	Grand Forks
1045	North Dakota	US	07/02/2020	47.92093639	-97.45450447	396	4	0	Grand Forks
1046	North Dakota	US	07/03/2020	47.92093639	-97.45450447	401	4	0	Grand Forks
1046	North Dakota	US	07/04/2020	47.92093639	-97.45450447	402	4	0	Grand Forks
1046	North Dakota	US	07/05/2020	47.92093639	-97.45450447	405	4	0	Grand Forks
1047	North Dakota	US	07/06/2020	47.92093639	-97.45450447	408	4	0	Grand Forks
1047	North Dakota	US	07/07/2020	47.92093639	-97.45450447	413	4	0	Grand Forks
1048	North Dakota	US	07/08/2020	47.92093639	-97.45450447	413	4	0	Grand Forks
1048	North Dakota	US	07/09/2020	47.92093639	-97.45450447	422	4	0	Grand Forks
1050	North Dakota	US	07/10/2020	47.92093639	-97.45450447	431	4	0	Grand Forks
1050	North Dakota	US	07/11/2020	47.92093639	-97.45450447	447	4	0	Grand Forks
1051	North Dakota	US	07/12/2020	47.92093639	-97.45450447	458	4	0	Grand Forks
1053	North Dakota	US	07/13/2020	47.92093639	-97.45450447	461	4	0	Grand Forks
1054	North Dakota	US	07/14/2020	47.92093639	-97.45450447	462	4	0	Grand Forks
1054	North Dakota	US	07/15/2020	47.92093639	-97.45450447	471	4	0	Grand Forks
