	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2431	North Dakota	US	03/22/2020	46.43375068	-102.4632417	0	0	0	Hettinger
1261	North Dakota	US	03/23/2020	46.43375068	-102.4632417	0	0	0	Hettinger
1261	North Dakota	US	03/24/2020	46.43375068	-102.4632417	0	0	0	Hettinger
1261	North Dakota	US	03/25/2020	46.43375068	-102.4632417	0	0	0	Hettinger
1260	North Dakota	US	03/26/2020	46.43375068	-102.4632417	0	0	0	Hettinger
1260	North Dakota	US	03/27/2020	46.43375068	-102.4632417	0	0	0	Hettinger
1260	North Dakota	US	03/28/2020	46.43375068	-102.4632417	0	0	0	Hettinger
1260	North Dakota	US	03/29/2020	46.43375068	-102.4632417	0	0	0	Hettinger
1260	North Dakota	US	03/30/2020	46.43375068	-102.4632417	0	0	0	Hettinger
1223	North Dakota	US	06/26/2020	46.43375068	-102.4632417	1	0	0	Hettinger
1224	North Dakota	US	06/27/2020	46.43375068	-102.4632417	1	0	0	Hettinger
1224	North Dakota	US	06/28/2020	46.43375068	-102.4632417	1	0	0	Hettinger
1224	North Dakota	US	06/29/2020	46.43375068	-102.4632417	1	0	0	Hettinger
1225	North Dakota	US	06/30/2020	46.43375068	-102.4632417	1	0	0	Hettinger
1225	North Dakota	US	07/01/2020	46.43375068	-102.4632417	1	0	0	Hettinger
1226	North Dakota	US	07/02/2020	46.43375068	-102.4632417	1	0	0	Hettinger
1227	North Dakota	US	07/03/2020	46.43375068	-102.4632417	1	0	0	Hettinger
1227	North Dakota	US	07/04/2020	46.43375068	-102.4632417	1	0	0	Hettinger
1227	North Dakota	US	07/05/2020	46.43375068	-102.4632417	1	0	0	Hettinger
1229	North Dakota	US	07/06/2020	46.43375068	-102.4632417	1	0	0	Hettinger
1229	North Dakota	US	07/07/2020	46.43375068	-102.4632417	1	0	0	Hettinger
1230	North Dakota	US	07/08/2020	46.43375068	-102.4632417	1	0	0	Hettinger
1230	North Dakota	US	07/09/2020	46.43375068	-102.4632417	1	0	0	Hettinger
1232	North Dakota	US	07/10/2020	46.43375068	-102.4632417	1	0	0	Hettinger
