	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2433	North Dakota	US	03/22/2020	46.45681054	-98.53542355	0	0	0	LaMoure
1547	North Dakota	US	03/23/2020	46.45681054	-98.53542355	0	0	0	LaMoure
1547	North Dakota	US	03/24/2020	46.45681054	-98.53542355	0	0	0	LaMoure
1547	North Dakota	US	03/25/2020	46.45681054	-98.53542355	0	0	0	LaMoure
1546	North Dakota	US	03/26/2020	46.45681054	-98.53542355	0	0	0	LaMoure
1546	North Dakota	US	03/27/2020	46.45681054	-98.53542355	0	0	0	LaMoure
1546	North Dakota	US	03/28/2020	46.45681054	-98.53542355	0	0	0	LaMoure
1546	North Dakota	US	03/29/2020	46.45681054	-98.53542355	0	0	0	LaMoure
1546	North Dakota	US	03/30/2020	46.45681054	-98.53542355	0	0	0	LaMoure
1459	North Dakota	US	06/06/2020	46.45681054	-98.53542355	1	0	0	LaMoure
1459	North Dakota	US	06/07/2020	46.45681054	-98.53542355	1	0	0	LaMoure
1459	North Dakota	US	06/08/2020	46.45681054	-98.53542355	1	0	0	LaMoure
1461	North Dakota	US	06/09/2020	46.45681054	-98.53542355	1	0	0	LaMoure
1463	North Dakota	US	06/10/2020	46.45681054	-98.53542355	6	0	0	LaMoure
1464	North Dakota	US	06/11/2020	46.45681054	-98.53542355	6	0	0	LaMoure
1472	North Dakota	US	06/12/2020	46.45681054	-98.53542355	8	0	0	LaMoure
1473	North Dakota	US	06/13/2020	46.45681054	-98.53542355	9	0	0	LaMoure
1473	North Dakota	US	06/14/2020	46.45681054	-98.53542355	10	0	0	LaMoure
1475	North Dakota	US	06/15/2020	46.45681054	-98.53542355	10	0	0	LaMoure
1474	North Dakota	US	06/16/2020	46.45681054	-98.53542355	10	0	0	LaMoure
1476	North Dakota	US	06/17/2020	46.45681054	-98.53542355	10	0	0	LaMoure
1476	North Dakota	US	06/18/2020	46.45681054	-98.53542355	10	0	0	LaMoure
1476	North Dakota	US	06/19/2020	46.45681054	-98.53542355	10	0	0	LaMoure
1480	North Dakota	US	06/20/2020	46.45681054	-98.53542355	10	0	0	LaMoure
1480	North Dakota	US	06/21/2020	46.45681054	-98.53542355	11	0	0	LaMoure
1481	North Dakota	US	06/22/2020	46.45681054	-98.53542355	11	0	0	LaMoure
1482	North Dakota	US	06/23/2020	46.45681054	-98.53542355	11	0	0	LaMoure
1518	North Dakota	US	06/24/2020	46.45681054	-98.53542355	11	0	0	LaMoure
1493	North Dakota	US	06/25/2020	46.45681054	-98.53542355	11	0	0	LaMoure
1524	North Dakota	US	06/26/2020	46.45681054	-98.53542355	11	0	0	LaMoure
1495	North Dakota	US	06/27/2020	46.45681054	-98.53542355	13	0	0	LaMoure
1495	North Dakota	US	06/28/2020	46.45681054	-98.53542355	13	0	0	LaMoure
1525	North Dakota	US	06/29/2020	46.45681054	-98.53542355	13	0	0	LaMoure
1496	North Dakota	US	06/30/2020	46.45681054	-98.53542355	13	0	0	LaMoure
1496	North Dakota	US	07/01/2020	46.45681054	-98.53542355	13	0	0	LaMoure
1498	North Dakota	US	07/02/2020	46.45681054	-98.53542355	13	0	0	LaMoure
1501	North Dakota	US	07/03/2020	46.45681054	-98.53542355	13	0	0	LaMoure
1501	North Dakota	US	07/04/2020	46.45681054	-98.53542355	13	0	0	LaMoure
1501	North Dakota	US	07/05/2020	46.45681054	-98.53542355	13	0	0	LaMoure
1504	North Dakota	US	07/06/2020	46.45681054	-98.53542355	13	0	0	LaMoure
1504	North Dakota	US	07/07/2020	46.45681054	-98.53542355	13	0	0	LaMoure
1506	North Dakota	US	07/08/2020	46.45681054	-98.53542355	13	0	0	LaMoure
1506	North Dakota	US	07/09/2020	46.45681054	-98.53542355	13	0	0	LaMoure
1508	North Dakota	US	07/10/2020	46.45681054	-98.53542355	13	0	0	LaMoure
1508	North Dakota	US	07/11/2020	46.45681054	-98.53542355	13	0	0	LaMoure
1510	North Dakota	US	07/12/2020	46.45681054	-98.53542355	13	0	0	LaMoure
