	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2435	North Dakota	US	03/22/2020	48.23104458	-100.6324822	0	0	0	McHenry
1860	North Dakota	US	03/23/2020	48.23104458	-100.6324822	0	0	0	McHenry
1860	North Dakota	US	03/24/2020	48.23104458	-100.6324822	0	0	0	McHenry
1860	North Dakota	US	03/25/2020	48.23104458	-100.6324822	0	0	0	McHenry
1859	North Dakota	US	03/26/2020	48.23104458	-100.6324822	1	0	0	McHenry
1859	North Dakota	US	03/27/2020	48.23104458	-100.6324822	1	0	0	McHenry
1859	North Dakota	US	03/28/2020	48.23104458	-100.6324822	1	0	0	McHenry
1859	North Dakota	US	03/29/2020	48.23104458	-100.6324822	1	0	0	McHenry
1859	North Dakota	US	03/30/2020	48.23104458	-100.6324822	1	0	0	McHenry
1254	North Dakota	US	03/31/2020	48.23104458	-100.6324822	1	1	0	McHenry
1287	North Dakota	US	04/01/2020	48.23104458	-100.6324822	1	1	0	McHenry
1339	North Dakota	US	04/02/2020	48.23104458	-100.6324822	1	1	0	McHenry
1368	North Dakota	US	04/03/2020	48.23104458	-100.6324822	1	1	0	McHenry
1402	North Dakota	US	04/04/2020	48.23104458	-100.6324822	1	1	0	McHenry
1448	North Dakota	US	04/05/2020	48.23104458	-100.6324822	1	1	0	McHenry
1470	North Dakota	US	04/06/2020	48.23104458	-100.6324822	1	1	0	McHenry
1504	North Dakota	US	04/07/2020	48.23104458	-100.6324822	1	1	0	McHenry
1519	North Dakota	US	04/08/2020	48.23104458	-100.6324822	1	1	0	McHenry
1537	North Dakota	US	04/09/2020	48.23104458	-100.6324822	1	1	0	McHenry
1544	North Dakota	US	04/10/2020	48.23104458	-100.6324822	1	1	0	McHenry
1562	North Dakota	US	04/11/2020	48.23104458	-100.6324822	1	1	0	McHenry
1574	North Dakota	US	04/12/2020	48.23104458	-100.6324822	1	1	0	McHenry
1584	North Dakota	US	04/13/2020	48.23104458	-100.6324822	1	1	0	McHenry
1590	North Dakota	US	04/14/2020	48.23104458	-100.6324822	1	1	0	McHenry
1598	North Dakota	US	04/15/2020	48.23104458	-100.6324822	1	1	0	McHenry
1604	North Dakota	US	04/16/2020	48.23104458	-100.6324822	1	1	0	McHenry
1603	North Dakota	US	04/17/2020	48.23104458	-100.6324822	1	1	0	McHenry
1609	North Dakota	US	04/18/2020	48.23104458	-100.6324822	1	1	0	McHenry
1618	North Dakota	US	04/19/2020	48.23104458	-100.6324822	1	1	0	McHenry
1624	North Dakota	US	04/20/2020	48.23104458	-100.6324822	1	1	0	McHenry
1632	North Dakota	US	04/21/2020	48.23104458	-100.6324822	1	1	0	McHenry
1637	North Dakota	US	04/22/2020	48.23104458	-100.6324822	1	1	0	McHenry
1647	North Dakota	US	04/23/2020	48.23104458	-100.6324822	1	1	0	McHenry
1649	North Dakota	US	04/24/2020	48.23104458	-100.6324822	1	1	0	McHenry
1652	North Dakota	US	04/25/2020	48.23104458	-100.6324822	1	1	0	McHenry
1658	North Dakota	US	04/26/2020	48.23104458	-100.6324822	1	1	0	McHenry
1660	North Dakota	US	04/27/2020	48.23104458	-100.6324822	1	1	0	McHenry
1666	North Dakota	US	04/28/2020	48.23104458	-100.6324822	1	1	0	McHenry
1669	North Dakota	US	04/29/2020	48.23104458	-100.6324822	1	1	0	McHenry
1675	North Dakota	US	04/30/2020	48.23104458	-100.6324822	1	1	0	McHenry
1683	North Dakota	US	05/01/2020	48.23104458	-100.6324822	1	1	0	McHenry
1687	North Dakota	US	05/02/2020	48.23104458	-100.6324822	1	1	0	McHenry
1689	North Dakota	US	05/03/2020	48.23104458	-100.6324822	1	1	0	McHenry
1691	North Dakota	US	05/04/2020	48.23104458	-100.6324822	1	1	0	McHenry
