	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2447	North Dakota	US	03/22/2020	48.77245354	-99.84097493	0	0	0	Rolette
2465	North Dakota	US	03/23/2020	48.77245354	-99.84097493	0	0	0	Rolette
2465	North Dakota	US	03/24/2020	48.77245354	-99.84097493	0	0	0	Rolette
2465	North Dakota	US	03/25/2020	48.77245354	-99.84097493	0	0	0	Rolette
2464	North Dakota	US	03/26/2020	48.77245354	-99.84097493	0	0	0	Rolette
2464	North Dakota	US	03/27/2020	48.77245354	-99.84097493	0	0	0	Rolette
2464	North Dakota	US	03/28/2020	48.77245354	-99.84097493	0	0	0	Rolette
2464	North Dakota	US	03/29/2020	48.77245354	-99.84097493	0	0	0	Rolette
2464	North Dakota	US	03/30/2020	48.77245354	-99.84097493	0	0	0	Rolette
1698	North Dakota	US	04/01/2020	48.77245354	-99.84097493	0	0	0	Rolette
1762	North Dakota	US	04/02/2020	48.77245354	-99.84097493	0	0	0	Rolette
1914	North Dakota	US	04/05/2020	48.77245354	-99.84097493	0	0	0	Rolette
1947	North Dakota	US	04/06/2020	48.77245354	-99.84097493	0	0	0	Rolette
1988	North Dakota	US	04/07/2020	48.77245354	-99.84097493	0	0	0	Rolette
2006	North Dakota	US	04/08/2020	48.77245354	-99.84097493	0	0	0	Rolette
2029	North Dakota	US	04/09/2020	48.77245354	-99.84097493	0	0	0	Rolette
2048	North Dakota	US	04/10/2020	48.77245354	-99.84097493	1	0	0	Rolette
2072	North Dakota	US	04/11/2020	48.77245354	-99.84097493	1	0	0	Rolette
2088	North Dakota	US	04/12/2020	48.77245354	-99.84097493	1	0	0	Rolette
2102	North Dakota	US	04/13/2020	48.77245354	-99.84097493	1	0	0	Rolette
2110	North Dakota	US	04/14/2020	48.77245354	-99.84097493	1	0	0	Rolette
2121	North Dakota	US	04/15/2020	48.77245354	-99.84097493	1	0	0	Rolette
2132	North Dakota	US	04/16/2020	48.77245354	-99.84097493	1	0	0	Rolette
2134	North Dakota	US	04/17/2020	48.77245354	-99.84097493	1	0	0	Rolette
2141	North Dakota	US	04/18/2020	48.77245354	-99.84097493	1	0	0	Rolette
2154	North Dakota	US	04/19/2020	48.77245354	-99.84097493	1	0	0	Rolette
2161	North Dakota	US	04/20/2020	48.77245354	-99.84097493	1	0	0	Rolette
2170	North Dakota	US	04/21/2020	48.77245354	-99.84097493	1	0	0	Rolette
2177	North Dakota	US	04/22/2020	48.77245354	-99.84097493	1	0	0	Rolette
2191	North Dakota	US	04/23/2020	48.77245354	-99.84097493	1	0	0	Rolette
2196	North Dakota	US	04/24/2020	48.77245354	-99.84097493	1	0	0	Rolette
2201	North Dakota	US	04/25/2020	48.77245354	-99.84097493	1	0	0	Rolette
2208	North Dakota	US	04/26/2020	48.77245354	-99.84097493	1	0	0	Rolette
2214	North Dakota	US	04/27/2020	48.77245354	-99.84097493	1	0	0	Rolette
2222	North Dakota	US	04/28/2020	48.77245354	-99.84097493	1	0	0	Rolette
2225	North Dakota	US	04/29/2020	48.77245354	-99.84097493	1	0	0	Rolette
2231	North Dakota	US	04/30/2020	48.77245354	-99.84097493	1	0	0	Rolette
2241	North Dakota	US	05/01/2020	48.77245354	-99.84097493	1	0	0	Rolette
2245	North Dakota	US	05/02/2020	48.77245354	-99.84097493	1	0	0	Rolette
2249	North Dakota	US	05/03/2020	48.77245354	-99.84097493	1	0	0	Rolette
2252	North Dakota	US	05/04/2020	48.77245354	-99.84097493	1	0	0	Rolette
2259	North Dakota	US	05/05/2020	48.77245354	-99.84097493	1	0	0	Rolette
2264	North Dakota	US	05/06/2020	48.77245354	-99.84097493	2	0	0	Rolette
2268	North Dakota	US	05/07/2020	48.77245354	-99.84097493	2	0	0	Rolette
2275	North Dakota	US	05/08/2020	48.77245354	-99.84097493	3	0	0	Rolette
2276	North Dakota	US	05/09/2020	48.77245354	-99.84097493	3	0	0	Rolette
