	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2459	North Dakota	US	03/22/2020	48.34522353	-103.4793387	0	0	0	Williams
3088	North Dakota	US	03/23/2020	48.34522353	-103.4793387	0	0	0	Williams
3087	North Dakota	US	03/24/2020	48.34522353	-103.4793387	0	0	0	Williams
3087	North Dakota	US	03/25/2020	48.34522353	-103.4793387	0	0	0	Williams
3084	North Dakota	US	03/26/2020	48.34522353	-103.4793387	0	0	0	Williams
3091	North Dakota	US	03/27/2020	48.34522353	-103.4793387	0	0	0	Williams
3088	North Dakota	US	03/28/2020	48.34522353	-103.4793387	0	0	0	Williams
3092	North Dakota	US	03/29/2020	48.34522353	-103.4793387	0	0	0	Williams
3096	North Dakota	US	03/30/2020	48.34522353	-103.4793387	0	0	0	Williams
2113	North Dakota	US	03/31/2020	48.34522353	-103.4793387	2	0	0	Williams
2161	North Dakota	US	04/01/2020	48.34522353	-103.4793387	4	0	0	Williams
2241	North Dakota	US	04/02/2020	48.34522353	-103.4793387	5	0	0	Williams
2293	North Dakota	US	04/03/2020	48.34522353	-103.4793387	5	0	0	Williams
2347	North Dakota	US	04/04/2020	48.34522353	-103.4793387	5	0	0	Williams
2426	North Dakota	US	04/05/2020	48.34522353	-103.4793387	5	0	0	Williams
2468	North Dakota	US	04/06/2020	48.34522353	-103.4793387	5	0	0	Williams
2516	North Dakota	US	04/07/2020	48.34522353	-103.4793387	5	0	0	Williams
2541	North Dakota	US	04/08/2020	48.34522353	-103.4793387	6	0	0	Williams
2569	North Dakota	US	04/09/2020	48.34522353	-103.4793387	6	0	0	Williams
2597	North Dakota	US	04/10/2020	48.34522353	-103.4793387	8	0	0	Williams
2621	North Dakota	US	04/11/2020	48.34522353	-103.4793387	8	0	0	Williams
2645	North Dakota	US	04/12/2020	48.34522353	-103.4793387	8	0	0	Williams
2659	North Dakota	US	04/13/2020	48.34522353	-103.4793387	8	0	0	Williams
2671	North Dakota	US	04/14/2020	48.34522353	-103.4793387	8	0	0	Williams
2684	North Dakota	US	04/15/2020	48.34522353	-103.4793387	8	0	0	Williams
2699	North Dakota	US	04/16/2020	48.34522353	-103.4793387	9	0	0	Williams
2701	North Dakota	US	04/17/2020	48.34522353	-103.4793387	9	0	0	Williams
2709	North Dakota	US	04/18/2020	48.34522353	-103.4793387	9	0	0	Williams
2726	North Dakota	US	04/19/2020	48.34522353	-103.4793387	9	0	0	Williams
2735	North Dakota	US	04/20/2020	48.34522353	-103.4793387	9	0	0	Williams
2745	North Dakota	US	04/21/2020	48.34522353	-103.4793387	9	0	0	Williams
2754	North Dakota	US	04/22/2020	48.34522353	-103.4793387	9	0	0	Williams
2774	North Dakota	US	04/23/2020	48.34522353	-103.4793387	10	0	0	Williams
2783	North Dakota	US	04/24/2020	48.34522353	-103.4793387	10	0	0	Williams
2789	North Dakota	US	04/25/2020	48.34522353	-103.4793387	10	0	0	Williams
2797	North Dakota	US	04/26/2020	48.34522353	-103.4793387	10	0	0	Williams
2805	North Dakota	US	04/27/2020	48.34522353	-103.4793387	10	0	0	Williams
2816	North Dakota	US	04/28/2020	48.34522353	-103.4793387	10	0	0	Williams
2821	North Dakota	US	04/29/2020	48.34522353	-103.4793387	10	0	0	Williams
2828	North Dakota	US	04/30/2020	48.34522353	-103.4793387	10	0	0	Williams
2839	North Dakota	US	05/01/2020	48.34522353	-103.4793387	10	0	0	Williams
2843	North Dakota	US	05/02/2020	48.34522353	-103.4793387	11	0	0	Williams
2848	North Dakota	US	05/03/2020	48.34522353	-103.4793387	11	0	0	Williams
2851	North Dakota	US	05/04/2020	48.34522353	-103.4793387	13	0	0	Williams
2859	North Dakota	US	05/05/2020	48.34522353	-103.4793387	13	0	0	Williams
2865	North Dakota	US	05/06/2020	48.34522353	-103.4793387	18	0	0	Williams
2872	North Dakota	US	05/07/2020	48.34522353	-103.4793387	18	0	0	Williams
2879	North Dakota	US	05/08/2020	48.34522353	-103.4793387	18	0	0	Williams
2881	North Dakota	US	05/09/2020	48.34522353	-103.4793387	18	0	0	Williams
2883	North Dakota	US	05/10/2020	48.34522353	-103.4793387	19	0	0	Williams
2883	North Dakota	US	05/11/2020	48.34522353	-103.4793387	20	0	0	Williams
2886	North Dakota	US	05/12/2020	48.34522353	-103.4793387	20	0	0	Williams
2887	North Dakota	US	05/13/2020	48.34522353	-103.4793387	21	0	0	Williams
2889	North Dakota	US	05/14/2020	48.34522353	-103.4793387	21	0	0	Williams
2895	North Dakota	US	05/15/2020	48.34522353	-103.4793387	21	0	0	Williams
2899	North Dakota	US	05/16/2020	48.34522353	-103.4793387	21	0	0	Williams
2902	North Dakota	US	05/17/2020	48.34522353	-103.4793387	21	0	0	Williams
2903	North Dakota	US	05/18/2020	48.34522353	-103.4793387	21	0	0	Williams
2907	North Dakota	US	05/19/2020	48.34522353	-103.4793387	21	0	0	Williams
2913	North Dakota	US	05/20/2020	48.34522353	-103.4793387	21	0	0	Williams
2915	North Dakota	US	05/21/2020	48.34522353	-103.4793387	24	0	0	Williams
2922	North Dakota	US	05/22/2020	48.34522353	-103.4793387	24	0	0	Williams
2924	North Dakota	US	05/23/2020	48.34522353	-103.4793387	24	0	0	Williams
2928	North Dakota	US	05/24/2020	48.34522353	-103.4793387	24	0	0	Williams
2929	North Dakota	US	05/25/2020	48.34522353	-103.4793387	24	0	0	Williams
2930	North Dakota	US	05/26/2020	48.34522353	-103.4793387	24	0	0	Williams
2934	North Dakota	US	05/27/2020	48.34522353	-103.4793387	24	0	0	Williams
2937	North Dakota	US	05/28/2020	48.34522353	-103.4793387	24	0	0	Williams
2940	North Dakota	US	05/29/2020	48.34522353	-103.4793387	25	0	0	Williams
2942	North Dakota	US	05/30/2020	48.34522353	-103.4793387	25	0	0	Williams
2943	North Dakota	US	05/31/2020	48.34522353	-103.4793387	25	0	0	Williams
2945	North Dakota	US	06/01/2020	48.34522353	-103.4793387	25	0	0	Williams
2950	North Dakota	US	06/02/2020	48.34522353	-103.4793387	25	0	0	Williams
2952	North Dakota	US	06/03/2020	48.34522353	-103.4793387	25	0	0	Williams
2953	North Dakota	US	06/04/2020	48.34522353	-103.4793387	25	0	0	Williams
2957	North Dakota	US	06/05/2020	48.34522353	-103.4793387	25	0	0	Williams
2959	North Dakota	US	06/06/2020	48.34522353	-103.4793387	25	0	0	Williams
2959	North Dakota	US	06/07/2020	48.34522353	-103.4793387	25	0	0	Williams
2959	North Dakota	US	06/08/2020	48.34522353	-103.4793387	25	0	0	Williams
2961	North Dakota	US	06/09/2020	48.34522353	-103.4793387	25	0	0	Williams
2963	North Dakota	US	06/10/2020	48.34522353	-103.4793387	26	0	0	Williams
2965	North Dakota	US	06/11/2020	48.34522353	-103.4793387	26	0	0	Williams
2980	North Dakota	US	06/12/2020	48.34522353	-103.4793387	26	0	0	Williams
2983	North Dakota	US	06/13/2020	48.34522353	-103.4793387	26	0	0	Williams
2983	North Dakota	US	06/14/2020	48.34522353	-103.4793387	26	0	0	Williams
2988	North Dakota	US	06/15/2020	48.34522353	-103.4793387	26	0	0	Williams
2986	North Dakota	US	06/16/2020	48.34522353	-103.4793387	26	0	0	Williams
2989	North Dakota	US	06/17/2020	48.34522353	-103.4793387	26	0	0	Williams
2990	North Dakota	US	06/18/2020	48.34522353	-103.4793387	26	0	0	Williams
2991	North Dakota	US	06/19/2020	48.34522353	-103.4793387	26	0	0	Williams
2995	North Dakota	US	06/20/2020	48.34522353	-103.4793387	26	0	0	Williams
2995	North Dakota	US	06/21/2020	48.34522353	-103.4793387	26	0	0	Williams
2998	North Dakota	US	06/22/2020	48.34522353	-103.4793387	26	0	0	Williams
3003	North Dakota	US	06/23/2020	48.34522353	-103.4793387	26	0	0	Williams
3016	North Dakota	US	06/24/2020	48.34522353	-103.4793387	28	0	0	Williams
3023	North Dakota	US	06/25/2020	48.34522353	-103.4793387	29	0	0	Williams
3024	North Dakota	US	06/26/2020	48.34522353	-103.4793387	29	0	0	Williams
3025	North Dakota	US	06/27/2020	48.34522353	-103.4793387	32	0	0	Williams
3025	North Dakota	US	06/28/2020	48.34522353	-103.4793387	32	0	0	Williams
3027	North Dakota	US	06/29/2020	48.34522353	-103.4793387	32	0	0	Williams
3029	North Dakota	US	06/30/2020	48.34522353	-103.4793387	37	0	0	Williams
3031	North Dakota	US	07/01/2020	48.34522353	-103.4793387	37	0	0	Williams
3034	North Dakota	US	07/02/2020	48.34522353	-103.4793387	38	0	0	Williams
3039	North Dakota	US	07/03/2020	48.34522353	-103.4793387	39	0	0	Williams
3040	North Dakota	US	07/04/2020	48.34522353	-103.4793387	43	0	0	Williams
3041	North Dakota	US	07/05/2020	48.34522353	-103.4793387	43	0	0	Williams
3043	North Dakota	US	07/06/2020	48.34522353	-103.4793387	49	0	0	Williams
3044	North Dakota	US	07/07/2020	48.34522353	-103.4793387	52	0	0	Williams
3047	North Dakota	US	07/08/2020	48.34522353	-103.4793387	57	0	0	Williams
3046	North Dakota	US	07/09/2020	48.34522353	-103.4793387	61	0	0	Williams
3050	North Dakota	US	07/10/2020	48.34522353	-103.4793387	64	0	0	Williams
3051	North Dakota	US	07/11/2020	48.34522353	-103.4793387	68	0	0	Williams
3053	North Dakota	US	07/12/2020	48.34522353	-103.4793387	75	0	0	Williams
3054	North Dakota	US	07/13/2020	48.34522353	-103.4793387	90	0	0	Williams
3061	North Dakota	US	07/14/2020	48.34522353	-103.4793387	98	0	0	Williams
3062	North Dakota	US	07/15/2020	48.34522353	-103.4793387	109	0	0	Williams
3064	North Dakota	US	07/16/2020	48.34522353	-103.4793387	116	0	0	Williams
3064	North Dakota	US	07/17/2020	48.34522353	-103.4793387	124	0	0	Williams
3143	North Dakota	US	07/18/2020	48.34522353	-103.4793387	133	0	0	Williams
3143	North Dakota	US	07/19/2020	48.34522353	-103.4793387	154	0	0	Williams
3060	North Dakota	US	07/20/2020	48.34522353	-103.4793387	163	1	0	Williams
3148	North Dakota	US	07/21/2020	48.34522353	-103.4793387	174	1	0	Williams
3149	North Dakota	US	07/22/2020	48.34522353	-103.4793387	181	1	0	Williams
3152	North Dakota	US	07/23/2020	48.34522353	-103.4793387	188	1	0	Williams
3151	North Dakota	US	07/24/2020	48.34522353	-103.4793387	192	2	0	Williams
3152	North Dakota	US	07/25/2020	48.34522353	-103.4793387	193	2	0	Williams
3153	North Dakota	US	07/26/2020	48.34522353	-103.4793387	199	2	0	Williams
3153	North Dakota	US	07/27/2020	48.34522353	-103.4793387	204	2	0	Williams
3153	North Dakota	US	07/28/2020	48.34522353	-103.4793387	207	2	0	Williams
3157	North Dakota	US	07/29/2020	48.34522353	-103.4793387	216	2	0	Williams
3157	North Dakota	US	07/30/2020	48.34522353	-103.4793387	219	2	0	Williams
3159	North Dakota	US	07/31/2020	48.34522353	-103.4793387	224	2	0	Williams
3159	North Dakota	US	08/01/2020	48.34522353	-103.4793387	225	2	0	Williams
3159	North Dakota	US	08/02/2020	48.34522353	-103.4793387	228	2	0	Williams
3159	North Dakota	US	08/03/2020	48.34522353	-103.4793387	240	2	0	Williams
3159	North Dakota	US	08/04/2020	48.34522353	-103.4793387	243	2	0	Williams
3162	North Dakota	US	08/05/2020	48.34522353	-103.4793387	246	2	0	Williams
3162	North Dakota	US	08/06/2020	48.34522353	-103.4793387	260	2	0	Williams
3162	North Dakota	US	08/07/2020	48.34522353	-103.4793387	266	2	0	Williams
3162	North Dakota	US	08/08/2020	48.34522353	-103.4793387	268	2	0	Williams
3162	North Dakota	US	08/09/2020	48.34522353	-103.4793387	270	2	0	Williams
3162	North Dakota	US	08/10/2020	48.34522353	-103.4793387	274	2	0	Williams
2753	North Dakota	US	08/11/2020	48.34522353	-103.4793387	286	2	0	Williams
2707	North Dakota	US	08/12/2020	48.34522353	-103.4793387	290	2	0	Williams
2708	North Dakota	US	08/13/2020	48.34522353	-103.4793387	295	2	0	Williams
2708	North Dakota	US	08/14/2020	48.34522353	-103.4793387	297	2	0	Williams
