	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
573	Ohio	US	03/22/2020	41.49952319	-81.17935342	2	0	0	Geauga
1028	Ohio	US	03/23/2020	41.49952319	-81.17935342	2	0	0	Geauga
1028	Ohio	US	03/24/2020	41.49952319	-81.17935342	5	0	0	Geauga
1028	Ohio	US	03/25/2020	41.49952319	-81.17935342	4	0	0	Geauga
1027	Ohio	US	03/26/2020	41.49952319	-81.17935342	7	0	0	Geauga
1027	Ohio	US	03/27/2020	41.49952319	-81.17935342	10	0	0	Geauga
1027	Ohio	US	03/28/2020	41.49952319	-81.17935342	14	0	0	Geauga
1027	Ohio	US	03/29/2020	41.49952319	-81.17935342	17	0	0	Geauga
1027	Ohio	US	03/30/2020	41.49952319	-81.17935342	22	0	0	Geauga
708	Ohio	US	03/31/2020	41.49952319	-81.17935342	24	0	0	Geauga
728	Ohio	US	04/01/2020	41.49952319	-81.17935342	25	0	0	Geauga
753	Ohio	US	04/02/2020	41.49952319	-81.17935342	33	0	0	Geauga
766	Ohio	US	04/03/2020	41.49952319	-81.17935342	41	0	0	Geauga
781	Ohio	US	04/04/2020	41.49952319	-81.17935342	38	0	0	Geauga
811	Ohio	US	04/05/2020	41.49952319	-81.17935342	38	0	0	Geauga
822	Ohio	US	04/06/2020	41.49952319	-81.17935342	40	0	0	Geauga
839	Ohio	US	04/07/2020	41.49952319	-81.17935342	41	1	0	Geauga
846	Ohio	US	04/08/2020	41.49952319	-81.17935342	44	1	0	Geauga
852	Ohio	US	04/09/2020	41.49952319	-81.17935342	47	1	0	Geauga
858	Ohio	US	04/10/2020	41.49952319	-81.17935342	49	2	0	Geauga
865	Ohio	US	04/11/2020	41.49952319	-81.17935342	53	2	0	Geauga
872	Ohio	US	04/12/2020	41.49952319	-81.17935342	61	2	0	Geauga
878	Ohio	US	04/13/2020	41.49952319	-81.17935342	68	3	0	Geauga
881	Ohio	US	04/14/2020	41.49952319	-81.17935342	69	3	0	Geauga
887	Ohio	US	04/15/2020	41.49952319	-81.17935342	82	4	0	Geauga
888	Ohio	US	04/16/2020	41.49952319	-81.17935342	92	4	0	Geauga
888	Ohio	US	04/17/2020	41.49952319	-81.17935342	96	5	0	Geauga
890	Ohio	US	04/18/2020	41.49952319	-81.17935342	98	6	0	Geauga
896	Ohio	US	04/19/2020	41.49952319	-81.17935342	100	8	0	Geauga
899	Ohio	US	04/20/2020	41.49952319	-81.17935342	105	8	0	Geauga
903	Ohio	US	04/21/2020	41.49952319	-81.17935342	113	9	0	Geauga
906	Ohio	US	04/22/2020	41.49952319	-81.17935342	117	10	0	Geauga
912	Ohio	US	04/23/2020	41.49952319	-81.17935342	119	12	0	Geauga
913	Ohio	US	04/24/2020	41.49952319	-81.17935342	126	12	0	Geauga
913	Ohio	US	04/25/2020	41.49952319	-81.17935342	128	12	0	Geauga
916	Ohio	US	04/26/2020	41.49952319	-81.17935342	137	13	0	Geauga
918	Ohio	US	04/27/2020	41.49952319	-81.17935342	146	14	0	Geauga
921	Ohio	US	04/28/2020	41.49952319	-81.17935342	148	14	0	Geauga
923	Ohio	US	04/29/2020	41.49952319	-81.17935342	153	15	0	Geauga
926	Ohio	US	04/30/2020	41.49952319	-81.17935342	154	15	0	Geauga
932	Ohio	US	05/01/2020	41.49952319	-81.17935342	155	16	0	Geauga
933	Ohio	US	05/02/2020	41.49952319	-81.17935342	159	16	0	Geauga
934	Ohio	US	05/03/2020	41.49952319	-81.17935342	163	16	0	Geauga
936	Ohio	US	05/04/2020	41.49952319	-81.17935342	169	16	0	Geauga
941	Ohio	US	05/05/2020	41.49952319	-81.17935342	172	16	0	Geauga
943	Ohio	US	05/06/2020	41.49952319	-81.17935342	181	17	0	Geauga
944	Ohio	US	05/07/2020	41.49952319	-81.17935342	184	18	0	Geauga
948	Ohio	US	05/08/2020	41.49952319	-81.17935342	187	18	0	Geauga
948	Ohio	US	05/09/2020	41.49952319	-81.17935342	189	18	0	Geauga
949	Ohio	US	05/10/2020	41.49952319	-81.17935342	189	18	0	Geauga
949	Ohio	US	05/11/2020	41.49952319	-81.17935342	191	19	0	Geauga
950	Ohio	US	05/12/2020	41.49952319	-81.17935342	195	21	0	Geauga
950	Ohio	US	05/13/2020	41.49952319	-81.17935342	198	21	0	Geauga
951	Ohio	US	05/14/2020	41.49952319	-81.17935342	206	22	0	Geauga
954	Ohio	US	05/15/2020	41.49952319	-81.17935342	212	22	0	Geauga
955	Ohio	US	05/16/2020	41.49952319	-81.17935342	220	24	0	Geauga
956	Ohio	US	05/17/2020	41.49952319	-81.17935342	220	25	0	Geauga
957	Ohio	US	05/18/2020	41.49952319	-81.17935342	221	25	0	Geauga
959	Ohio	US	05/19/2020	41.49952319	-81.17935342	226	25	0	Geauga
961	Ohio	US	05/20/2020	41.49952319	-81.17935342	231	27	0	Geauga
961	Ohio	US	05/21/2020	41.49952319	-81.17935342	241	28	0	Geauga
963	Ohio	US	05/22/2020	41.49952319	-81.17935342	248	28	0	Geauga
963	Ohio	US	05/23/2020	41.49952319	-81.17935342	250	30	0	Geauga
964	Ohio	US	05/24/2020	41.49952319	-81.17935342	256	30	0	Geauga
964	Ohio	US	05/25/2020	41.49952319	-81.17935342	257	30	0	Geauga
964	Ohio	US	05/26/2020	41.49952319	-81.17935342	258	30	0	Geauga
965	Ohio	US	05/27/2020	41.49952319	-81.17935342	261	31	0	Geauga
965	Ohio	US	05/28/2020	41.49952319	-81.17935342	272	31	0	Geauga
967	Ohio	US	05/29/2020	41.49952319	-81.17935342	277	31	0	Geauga
968	Ohio	US	05/30/2020	41.49952319	-81.17935342	282	32	0	Geauga
968	Ohio	US	05/31/2020	41.49952319	-81.17935342	284	32	0	Geauga
970	Ohio	US	06/01/2020	41.49952319	-81.17935342	286	32	0	Geauga
972	Ohio	US	06/02/2020	41.49952319	-81.17935342	292	32	0	Geauga
972	Ohio	US	06/03/2020	41.49952319	-81.17935342	295	33	0	Geauga
973	Ohio	US	06/04/2020	41.49952319	-81.17935342	300	33	0	Geauga
975	Ohio	US	06/05/2020	41.49952319	-81.17935342	303	33	0	Geauga
975	Ohio	US	06/06/2020	41.49952319	-81.17935342	306	33	0	Geauga
975	Ohio	US	06/07/2020	41.49952319	-81.17935342	309	33	0	Geauga
975	Ohio	US	06/08/2020	41.49952319	-81.17935342	313	33	0	Geauga
975	Ohio	US	06/09/2020	41.49952319	-81.17935342	317	33	0	Geauga
976	Ohio	US	06/10/2020	41.49952319	-81.17935342	327	33	0	Geauga
977	Ohio	US	06/11/2020	41.49952319	-81.17935342	331	33	0	Geauga
982	Ohio	US	06/12/2020	41.49952319	-81.17935342	331	34	0	Geauga
983	Ohio	US	06/13/2020	41.49952319	-81.17935342	331	34	0	Geauga
983	Ohio	US	06/14/2020	41.49952319	-81.17935342	334	34	0	Geauga
985	Ohio	US	06/15/2020	41.49952319	-81.17935342	337	35	0	Geauga
984	Ohio	US	06/16/2020	41.49952319	-81.17935342	342	35	0	Geauga
984	Ohio	US	06/17/2020	41.49952319	-81.17935342	344	35	0	Geauga
984	Ohio	US	06/18/2020	41.49952319	-81.17935342	349	35	0	Geauga
984	Ohio	US	06/19/2020	41.49952319	-81.17935342	353	36	0	Geauga
988	Ohio	US	06/20/2020	41.49952319	-81.17935342	355	36	0	Geauga
988	Ohio	US	06/21/2020	41.49952319	-81.17935342	357	37	0	Geauga
989	Ohio	US	06/22/2020	41.49952319	-81.17935342	361	37	0	Geauga
989	Ohio	US	06/23/2020	41.49952319	-81.17935342	363	37	0	Geauga
993	Ohio	US	06/24/2020	41.49952319	-81.17935342	369	37	0	Geauga
996	Ohio	US	06/25/2020	41.49952319	-81.17935342	372	37	0	Geauga
996	Ohio	US	06/26/2020	41.49952319	-81.17935342	378	37	0	Geauga
997	Ohio	US	06/27/2020	41.49952319	-81.17935342	379	37	0	Geauga
997	Ohio	US	06/28/2020	41.49952319	-81.17935342	382	37	0	Geauga
997	Ohio	US	06/29/2020	41.49952319	-81.17935342	383	38	0	Geauga
998	Ohio	US	06/30/2020	41.49952319	-81.17935342	387	38	0	Geauga
998	Ohio	US	07/01/2020	41.49952319	-81.17935342	390	38	0	Geauga
999	Ohio	US	07/02/2020	41.49952319	-81.17935342	390	38	0	Geauga
1000	Ohio	US	07/03/2020	41.49952319	-81.17935342	399	38	0	Geauga
1000	Ohio	US	07/04/2020	41.49952319	-81.17935342	400	38	0	Geauga
1000	Ohio	US	07/05/2020	41.49952319	-81.17935342	405	38	0	Geauga
1000	Ohio	US	07/06/2020	41.49952319	-81.17935342	407	39	0	Geauga
1000	Ohio	US	07/07/2020	41.49952319	-81.17935342	408	39	0	Geauga
1001	Ohio	US	07/08/2020	41.49952319	-81.17935342	414	39	0	Geauga
1001	Ohio	US	07/09/2020	41.49952319	-81.17935342	415	39	0	Geauga
1003	Ohio	US	07/10/2020	41.49952319	-81.17935342	425	39	0	Geauga
