	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
584	Ohio	US	03/22/2020	40.09136236	-82.48185785	1	0	0	Licking
1661	Ohio	US	03/23/2020	40.09136236	-82.48185785	1	0	0	Licking
1661	Ohio	US	03/24/2020	40.09136236	-82.48185785	2	0	0	Licking
1661	Ohio	US	03/25/2020	40.09136236	-82.48185785	3	0	0	Licking
1660	Ohio	US	03/26/2020	40.09136236	-82.48185785	5	0	0	Licking
1660	Ohio	US	03/27/2020	40.09136236	-82.48185785	10	0	0	Licking
1660	Ohio	US	03/28/2020	40.09136236	-82.48185785	14	0	0	Licking
1660	Ohio	US	03/29/2020	40.09136236	-82.48185785	15	1	0	Licking
1660	Ohio	US	03/30/2020	40.09136236	-82.48185785	21	1	0	Licking
1114	Ohio	US	03/31/2020	40.09136236	-82.48185785	25	1	0	Licking
1145	Ohio	US	04/01/2020	40.09136236	-82.48185785	24	1	0	Licking
1191	Ohio	US	04/02/2020	40.09136236	-82.48185785	30	1	0	Licking
1212	Ohio	US	04/03/2020	40.09136236	-82.48185785	35	2	0	Licking
1242	Ohio	US	04/04/2020	40.09136236	-82.48185785	50	2	0	Licking
1283	Ohio	US	04/05/2020	40.09136236	-82.48185785	55	2	0	Licking
1302	Ohio	US	04/06/2020	40.09136236	-82.48185785	57	2	0	Licking
1331	Ohio	US	04/07/2020	40.09136236	-82.48185785	61	2	0	Licking
1346	Ohio	US	04/08/2020	40.09136236	-82.48185785	64	2	0	Licking
1361	Ohio	US	04/09/2020	40.09136236	-82.48185785	78	2	0	Licking
1368	Ohio	US	04/10/2020	40.09136236	-82.48185785	79	2	0	Licking
1383	Ohio	US	04/11/2020	40.09136236	-82.48185785	80	2	0	Licking
1394	Ohio	US	04/12/2020	40.09136236	-82.48185785	83	2	0	Licking
1404	Ohio	US	04/13/2020	40.09136236	-82.48185785	86	2	0	Licking
1410	Ohio	US	04/14/2020	40.09136236	-82.48185785	86	2	0	Licking
1416	Ohio	US	04/15/2020	40.09136236	-82.48185785	88	3	0	Licking
1421	Ohio	US	04/16/2020	40.09136236	-82.48185785	92	3	0	Licking
1420	Ohio	US	04/17/2020	40.09136236	-82.48185785	94	3	0	Licking
1426	Ohio	US	04/18/2020	40.09136236	-82.48185785	94	3	0	Licking
1436	Ohio	US	04/19/2020	40.09136236	-82.48185785	102	3	0	Licking
1440	Ohio	US	04/20/2020	40.09136236	-82.48185785	100	3	0	Licking
1447	Ohio	US	04/21/2020	40.09136236	-82.48185785	102	3	0	Licking
1452	Ohio	US	04/22/2020	40.09136236	-82.48185785	103	3	0	Licking
1462	Ohio	US	04/23/2020	40.09136236	-82.48185785	104	3	0	Licking
1464	Ohio	US	04/24/2020	40.09136236	-82.48185785	105	3	0	Licking
1466	Ohio	US	04/25/2020	40.09136236	-82.48185785	108	3	0	Licking
1472	Ohio	US	04/26/2020	40.09136236	-82.48185785	108	4	0	Licking
1474	Ohio	US	04/27/2020	40.09136236	-82.48185785	110	4	0	Licking
1479	Ohio	US	04/28/2020	40.09136236	-82.48185785	114	4	0	Licking
1481	Ohio	US	04/29/2020	40.09136236	-82.48185785	115	4	0	Licking
1487	Ohio	US	04/30/2020	40.09136236	-82.48185785	118	5	0	Licking
1494	Ohio	US	05/01/2020	40.09136236	-82.48185785	121	5	0	Licking
1498	Ohio	US	05/02/2020	40.09136236	-82.48185785	122	5	0	Licking
1500	Ohio	US	05/03/2020	40.09136236	-82.48185785	125	5	0	Licking
1502	Ohio	US	05/04/2020	40.09136236	-82.48185785	130	6	0	Licking
1508	Ohio	US	05/05/2020	40.09136236	-82.48185785	133	7	0	Licking
1511	Ohio	US	05/06/2020	40.09136236	-82.48185785	137	7	0	Licking
1515	Ohio	US	05/07/2020	40.09136236	-82.48185785	146	8	0	Licking
1520	Ohio	US	05/08/2020	40.09136236	-82.48185785	150	10	0	Licking
1521	Ohio	US	05/09/2020	40.09136236	-82.48185785	162	10	0	Licking
1522	Ohio	US	05/10/2020	40.09136236	-82.48185785	162	10	0	Licking
1522	Ohio	US	05/11/2020	40.09136236	-82.48185785	164	10	0	Licking
1524	Ohio	US	05/12/2020	40.09136236	-82.48185785	172	10	0	Licking
1524	Ohio	US	05/13/2020	40.09136236	-82.48185785	175	10	0	Licking
1525	Ohio	US	05/14/2020	40.09136236	-82.48185785	180	10	0	Licking
1529	Ohio	US	05/15/2020	40.09136236	-82.48185785	182	10	0	Licking
1530	Ohio	US	05/16/2020	40.09136236	-82.48185785	184	10	0	Licking
1531	Ohio	US	05/17/2020	40.09136236	-82.48185785	185	11	0	Licking
1532	Ohio	US	05/18/2020	40.09136236	-82.48185785	190	12	0	Licking
1534	Ohio	US	05/19/2020	40.09136236	-82.48185785	190	12	0	Licking
1539	Ohio	US	05/20/2020	40.09136236	-82.48185785	197	12	0	Licking
1540	Ohio	US	05/21/2020	40.09136236	-82.48185785	199	12	0	Licking
1545	Ohio	US	05/22/2020	40.09136236	-82.48185785	200	12	0	Licking
1547	Ohio	US	05/23/2020	40.09136236	-82.48185785	201	12	0	Licking
1550	Ohio	US	05/24/2020	40.09136236	-82.48185785	204	13	0	Licking
1550	Ohio	US	05/25/2020	40.09136236	-82.48185785	207	13	0	Licking
1551	Ohio	US	05/26/2020	40.09136236	-82.48185785	214	13	0	Licking
1553	Ohio	US	05/27/2020	40.09136236	-82.48185785	218	13	0	Licking
1554	Ohio	US	05/28/2020	40.09136236	-82.48185785	222	13	0	Licking
1557	Ohio	US	05/29/2020	40.09136236	-82.48185785	230	13	0	Licking
1559	Ohio	US	05/30/2020	40.09136236	-82.48185785	243	13	0	Licking
1560	Ohio	US	05/31/2020	40.09136236	-82.48185785	248	13	0	Licking
1562	Ohio	US	06/01/2020	40.09136236	-82.48185785	249	13	0	Licking
1566	Ohio	US	06/02/2020	40.09136236	-82.48185785	258	13	0	Licking
1567	Ohio	US	06/03/2020	40.09136236	-82.48185785	265	13	0	Licking
1568	Ohio	US	06/04/2020	40.09136236	-82.48185785	267	13	0	Licking
1570	Ohio	US	06/05/2020	40.09136236	-82.48185785	271	13	0	Licking
1571	Ohio	US	06/06/2020	40.09136236	-82.48185785	275	14	0	Licking
1571	Ohio	US	06/07/2020	40.09136236	-82.48185785	277	14	0	Licking
1571	Ohio	US	06/08/2020	40.09136236	-82.48185785	280	14	0	Licking
1573	Ohio	US	06/09/2020	40.09136236	-82.48185785	284	14	0	Licking
1575	Ohio	US	06/10/2020	40.09136236	-82.48185785	285	14	0	Licking
1576	Ohio	US	06/11/2020	40.09136236	-82.48185785	287	14	0	Licking
1584	Ohio	US	06/12/2020	40.09136236	-82.48185785	297	14	0	Licking
1585	Ohio	US	06/13/2020	40.09136236	-82.48185785	305	14	0	Licking
1585	Ohio	US	06/14/2020	40.09136236	-82.48185785	312	14	0	Licking
1587	Ohio	US	06/15/2020	40.09136236	-82.48185785	314	14	0	Licking
1586	Ohio	US	06/16/2020	40.09136236	-82.48185785	317	14	0	Licking
1588	Ohio	US	06/17/2020	40.09136236	-82.48185785	321	14	0	Licking
1588	Ohio	US	06/18/2020	40.09136236	-82.48185785	324	14	0	Licking
1588	Ohio	US	06/19/2020	40.09136236	-82.48185785	329	14	0	Licking
1592	Ohio	US	06/20/2020	40.09136236	-82.48185785	330	15	0	Licking
1592	Ohio	US	06/21/2020	40.09136236	-82.48185785	331	15	0	Licking
1593	Ohio	US	06/22/2020	40.09136236	-82.48185785	337	15	0	Licking
1595	Ohio	US	06/23/2020	40.09136236	-82.48185785	340	15	0	Licking
1601	Ohio	US	06/24/2020	40.09136236	-82.48185785	344	15	0	Licking
1606	Ohio	US	06/25/2020	40.09136236	-82.48185785	351	15	0	Licking
1607	Ohio	US	06/26/2020	40.09136236	-82.48185785	358	15	0	Licking
1608	Ohio	US	06/27/2020	40.09136236	-82.48185785	371	15	0	Licking
1608	Ohio	US	06/28/2020	40.09136236	-82.48185785	381	15	0	Licking
1608	Ohio	US	06/29/2020	40.09136236	-82.48185785	396	15	0	Licking
1609	Ohio	US	06/30/2020	40.09136236	-82.48185785	404	16	0	Licking
1609	Ohio	US	07/01/2020	40.09136236	-82.48185785	416	16	0	Licking
1611	Ohio	US	07/02/2020	40.09136236	-82.48185785	416	16	0	Licking
1614	Ohio	US	07/03/2020	40.09136236	-82.48185785	442	16	0	Licking
1614	Ohio	US	07/04/2020	40.09136236	-82.48185785	466	16	0	Licking
1614	Ohio	US	07/05/2020	40.09136236	-82.48185785	477	16	0	Licking
1617	Ohio	US	07/06/2020	40.09136236	-82.48185785	493	16	0	Licking
1617	Ohio	US	07/07/2020	40.09136236	-82.48185785	496	16	0	Licking
1619	Ohio	US	07/08/2020	40.09136236	-82.48185785	520	16	0	Licking
1618	Ohio	US	07/09/2020	40.09136236	-82.48185785	536	16	0	Licking
1620	Ohio	US	07/10/2020	40.09136236	-82.48185785	560	16	0	Licking
1620	Ohio	US	07/11/2020	40.09136236	-82.48185785	568	18	0	Licking
1622	Ohio	US	07/12/2020	40.09136236	-82.48185785	583	18	0	Licking
1624	Ohio	US	07/13/2020	40.09136236	-82.48185785	600	18	0	Licking
1626	Ohio	US	07/14/2020	40.09136236	-82.48185785	619	19	0	Licking
1626	Ohio	US	07/15/2020	40.09136236	-82.48185785	640	20	0	Licking
1628	Ohio	US	07/16/2020	40.09136236	-82.48185785	664	21	0	Licking
1628	Ohio	US	07/17/2020	40.09136236	-82.48185785	684	22	0	Licking
1672	Ohio	US	07/18/2020	40.09136236	-82.48185785	697	23	0	Licking
1673	Ohio	US	07/19/2020	40.09136236	-82.48185785	705	24	0	Licking
1634	Ohio	US	07/20/2020	40.09136236	-82.48185785	733	27	0	Licking
1676	Ohio	US	07/21/2020	40.09136236	-82.48185785	766	27	0	Licking
1677	Ohio	US	07/22/2020	40.09136236	-82.48185785	808	29	0	Licking
1678	Ohio	US	07/23/2020	40.09136236	-82.48185785	829	31	0	Licking
1677	Ohio	US	07/24/2020	40.09136236	-82.48185785	859	32	0	Licking
1678	Ohio	US	07/25/2020	40.09136236	-82.48185785	910	35	0	Licking
1679	Ohio	US	07/26/2020	40.09136236	-82.48185785	918	36	0	Licking
1679	Ohio	US	07/27/2020	40.09136236	-82.48185785	953	37	0	Licking
1679	Ohio	US	07/28/2020	40.09136236	-82.48185785	985	41	0	Licking
1680	Ohio	US	07/29/2020	40.09136236	-82.48185785	1014	43	0	Licking
1680	Ohio	US	07/30/2020	40.09136236	-82.48185785	1059	45	0	Licking
1681	Ohio	US	07/31/2020	40.09136236	-82.48185785	1081	45	0	Licking
1681	Ohio	US	08/01/2020	40.09136236	-82.48185785	1094	45	0	Licking
1681	Ohio	US	08/02/2020	40.09136236	-82.48185785	1116	46	0	Licking
1681	Ohio	US	08/03/2020	40.09136236	-82.48185785	1125	47	0	Licking
1681	Ohio	US	08/04/2020	40.09136236	-82.48185785	1158	50	0	Licking
1683	Ohio	US	08/05/2020	40.09136236	-82.48185785	1179	51	0	Licking
1683	Ohio	US	08/06/2020	40.09136236	-82.48185785	1202	51	0	Licking
1683	Ohio	US	08/07/2020	40.09136236	-82.48185785	1224	51	0	Licking
1683	Ohio	US	08/08/2020	40.09136236	-82.48185785	1260	52	0	Licking
1683	Ohio	US	08/09/2020	40.09136236	-82.48185785	1281	53	0	Licking
1683	Ohio	US	08/10/2020	40.09136236	-82.48185785	1299	54	0	Licking
2799	Ohio	US	08/11/2020	40.09136236	-82.48185785	1319	54	0	Licking
2753	Ohio	US	08/12/2020	40.09136236	-82.48185785	1345	54	0	Licking
2754	Ohio	US	08/13/2020	40.09136236	-82.48185785	1367	54	0	Licking
2754	Ohio	US	08/14/2020	40.09136236	-82.48185785	1390	54	0	Licking
2754	Ohio	US	08/15/2020	40.09136236	-82.48185785	1409	54	0	Licking
2754	Ohio	US	08/16/2020	40.09136236	-82.48185785	1419	54	0	Licking
2756	Ohio	US	08/17/2020	40.09136236	-82.48185785	1431	54	0	Licking
2756	Ohio	US	08/18/2020	40.09136236	-82.48185785	1443	55	0	Licking
2758	Ohio	US	08/19/2020	40.09136236	-82.48185785	1457	55	0	Licking
2758	Ohio	US	08/20/2020	40.09136236	-82.48185785	1469	55	0	Licking
2758	Ohio	US	08/21/2020	40.09136236	-82.48185785	1484	55	0	Licking
2759	Ohio	US	08/22/2020	40.09136236	-82.48185785	1489	55	0	Licking
2759	Ohio	US	08/23/2020	40.09136236	-82.48185785	1492	55	0	Licking
2759	Ohio	US	08/24/2020	40.09136236	-82.48185785	1499	56	0	Licking
2759	Ohio	US	08/25/2020	40.09136236	-82.48185785	1512	56	0	Licking
2759	Ohio	US	08/26/2020	40.09136236	-82.48185785	1520	56	0	Licking
2759	Ohio	US	08/27/2020	40.09136236	-82.48185785	1536	56	0	Licking
2759	Ohio	US	08/28/2020	40.09136236	-82.48185785	1547	56	0	Licking
2759	Ohio	US	08/29/2020	40.09136236	-82.48185785	1565	56	0	Licking
2759	Ohio	US	08/30/2020	40.09136236	-82.48185785	1576	56	0	Licking
2763	Ohio	US	08/31/2020	40.09136236	-82.48185785	1589	56	0	Licking
2763	Ohio	US	09/01/2020	40.09136236	-82.48185785	1611	56	0	Licking
2763	Ohio	US	09/02/2020	40.09136236	-82.48185785	1622	56	0	Licking
2763	Ohio	US	09/03/2020	40.09136236	-82.48185785	1639	56	0	Licking
2763	Ohio	US	09/04/2020	40.09136236	-82.48185785	1654	57	0	Licking
2763	Ohio	US	09/05/2020	40.09136236	-82.48185785	1668	57	0	Licking
2763	Ohio	US	09/06/2020	40.09136236	-82.48185785	1674	57	0	Licking
2763	Ohio	US	09/07/2020	40.09136236	-82.48185785	1689	57	0	Licking
2763	Ohio	US	09/08/2020	40.09136236	-82.48185785	1698	57	0	Licking
2763	Ohio	US	09/09/2020	40.09136236	-82.48185785	1709	57	0	Licking
2763	Ohio	US	09/10/2020	40.09136236	-82.48185785	1716	57	0	Licking
2763	Ohio	US	09/11/2020	40.09136236	-82.48185785	1746	57	0	Licking
2763	Ohio	US	09/12/2020	40.09136236	-82.48185785	1762	57	0	Licking
2763	Ohio	US	09/13/2020	40.09136236	-82.48185785	1773	58	0	Licking
2763	Ohio	US	09/14/2020	40.09136236	-82.48185785	1792	59	0	Licking
2763	Ohio	US	09/15/2020	40.09136236	-82.48185785	1801	60	0	Licking
2763	Ohio	US	09/16/2020	40.09136236	-82.48185785	1809	60	0	Licking
2763	Ohio	US	09/17/2020	40.09136236	-82.48185785	1824	61	0	Licking
2763	Ohio	US	09/18/2020	40.09136236	-82.48185785	1835	61	0	Licking
2763	Ohio	US	09/19/2020	40.09136236	-82.48185785	1853	61	0	Licking
2763	Ohio	US	09/20/2020	40.09136236	-82.48185785	1857	62	0	Licking
2765	Ohio	US	09/21/2020	40.09136236	-82.48185785	1868	62	0	Licking
2765	Ohio	US	09/22/2020	40.09136236	-82.48185785	1875	62	0	Licking
2765	Ohio	US	09/23/2020	40.09136236	-82.48185785	1883	62	0	Licking
2765	Ohio	US	09/24/2020	40.09136236	-82.48185785	1898	62	0	Licking
2765	Ohio	US	09/25/2020	40.09136236	-82.48185785	1910	63	0	Licking
2765	Ohio	US	09/26/2020	40.09136236	-82.48185785	1927	63	0	Licking
2765	Ohio	US	09/27/2020	40.09136236	-82.48185785	1936	63	0	Licking
2765	Ohio	US	09/28/2020	40.09136236	-82.48185785	1949	63	0	Licking
2765	Ohio	US	09/29/2020	40.09136236	-82.48185785	1960	63	0	Licking
2765	Ohio	US	09/30/2020	40.09136236	-82.48185785	1967	63	0	Licking
2765	Ohio	US	10/01/2020	40.09136236	-82.48185785	1977	64	0	Licking
2765	Ohio	US	10/02/2020	40.09136236	-82.48185785	1995	64	0	Licking
2765	Ohio	US	10/03/2020	40.09136236	-82.48185785	2009	64	0	Licking
2765	Ohio	US	10/04/2020	40.09136236	-82.48185785	2019	64	0	Licking
2765	Ohio	US	10/05/2020	40.09136236	-82.48185785	2028	64	0	Licking
2765	Ohio	US	10/06/2020	40.09136236	-82.48185785	2044	64	0	Licking
2765	Ohio	US	10/07/2020	40.09136236	-82.48185785	2061	64	0	Licking
2765	Ohio	US	10/08/2020	40.09136236	-82.48185785	2076	65	0	Licking
2765	Ohio	US	10/09/2020	40.09136236	-82.48185785	2138	65	0	Licking
2765	Ohio	US	10/10/2020	40.09136236	-82.48185785	2158	65	0	Licking
2765	Ohio	US	10/11/2020	40.09136236	-82.48185785	2170	65	0	Licking
2766	Ohio	US	10/12/2020	40.09136236	-82.48185785	2200	65	0	Licking
2766	Ohio	US	10/13/2020	40.09136236	-82.48185785	2212	66	0	Licking
2766	Ohio	US	10/14/2020	40.09136236	-82.48185785	2248	66	0	Licking
2766	Ohio	US	10/15/2020	40.09136236	-82.48185785	2279	66	0	Licking
2767	Ohio	US	10/16/2020	40.09136236	-82.48185785	2333	66	0	Licking
2767	Ohio	US	10/17/2020	40.09136236	-82.48185785	2380	66	0	Licking
2767	Ohio	US	10/18/2020	40.09136236	-82.48185785	2410	67	0	Licking
2768	Ohio	US	10/19/2020	40.09136236	-82.48185785	2449	67	0	Licking
2768	Ohio	US	10/20/2020	40.09136236	-82.48185785	2488	68	0	Licking
2768	Ohio	US	10/21/2020	40.09136236	-82.48185785	2524	69	0	Licking
2768	Ohio	US	10/22/2020	40.09136236	-82.48185785	2579	69	0	Licking
2768	Ohio	US	10/23/2020	40.09136236	-82.48185785	2623	69	0	Licking
2768	Ohio	US	10/24/2020	40.09136236	-82.48185785	2674	69	0	Licking
2768	Ohio	US	10/25/2020	40.09136236	-82.48185785	2710	70	0	Licking
2768	Ohio	US	10/26/2020	40.09136236	-82.48185785	2743	70	0	Licking
2768	Ohio	US	10/27/2020	40.09136236	-82.48185785	2816	70	0	Licking
2769	Ohio	US	10/28/2020	40.09136236	-82.48185785	2851	70.0	0	Licking
2769	Ohio	US	10/29/2020	40.09136236	-82.48185785	2905	70	0	Licking
2769	Ohio	US	10/30/2020	40.09136236	-82.48185785	2978	70	0	Licking
2769	Ohio	US	10/31/2020	40.09136236	-82.48185785	3007	70	0	Licking
2769	Ohio	US	11/01/2020	40.09136236	-82.48185785	3064	71	0	Licking
2769	Ohio	US	11/02/2020	40.09136236	-82.48185785	3104	71	0	Licking
2769	Ohio	US	11/03/2020	40.09136236	-82.48185785	3168	71	0	Licking
2770	Ohio	US	11/04/2020	40.09136236	-82.48185785	3233	72	0	Licking
2770	Ohio	US	11/05/2020	40.09136236	-82.48185785	3299	72	0	Licking
2770	Ohio	US	11/06/2020	40.09136236	-82.48185785	3361	72	0	Licking
2770	Ohio	US	11/07/2020	40.09136236	-82.48185785	3452	73	0	Licking
2770	Ohio	US	11/08/2020	40.09136236	-82.48185785	3497	75	0	Licking
2770	Ohio	US	11/09/2020	40.09136236	-82.48185785	3594	76	0.0	Licking
2770	Ohio	US	11/10/2020	40.09136236	-82.48185785	3694	77	0.0	Licking
2770	Ohio	US	11/11/2020	40.09136236	-82.48185785	3792	77	0.0	Licking
2782	Ohio	US	11/12/2020	40.09136236	-82.48185785	3865	82	0	Licking
2782	Ohio	US	11/13/2020	40.09136236	-82.48185785	3987	84	0	Licking
2782	Ohio	US	11/14/2020	40.09136236	-82.48185785	4086	84	0	Licking
2782	Ohio	US	11/15/2020	40.09136236	-82.48185785	4203	86	0	Licking
2782	Ohio	US	11/16/2020	40.09136236	-82.48185785	4342	86	0	Licking
2782	Ohio	US	11/17/2020	40.09136236	-82.48185785	4432	86	0	Licking
2782	Ohio	US	11/18/2020	40.09136236	-82.48185785	4540	88	0	Licking
2782	Ohio	US	11/19/2020	40.09136236	-82.48185785	4646	89	0	Licking
2782	Ohio	US	11/20/2020	40.09136236	-82.48185785	4806	92	0	Licking
2782	Ohio	US	11/21/2020	40.09136236	-82.48185785	4948	93	0	Licking
2782	Ohio	US	11/22/2020	40.09136236	-82.48185785	5062	93	0	Licking
2782	Ohio	US	11/23/2020	40.09136236	-82.48185785	5358	94	0	Licking
2783	Ohio	US	11/24/2020	40.09136236	-82.48185785	5492	96	0	Licking
2783	Ohio	US	11/25/2020	40.09136236	-82.48185785	5645	96	0	Licking
2783	Ohio	US	11/26/2020	40.09136236	-82.48185785	5645	96	0	Licking
2783	Ohio	US	11/27/2020	40.09136236	-82.48185785	5899	96	0	Licking
2783	Ohio	US	11/28/2020	40.09136236	-82.48185785	6028	98	0	Licking
2783	Ohio	US	11/29/2020	40.09136236	-82.48185785	6110	100	0	Licking
2783	Ohio	US	11/30/2020	40.09136236	-82.48185785	6195	101	0	Licking
2783	Ohio	US	12/01/2020	40.09136236	-82.48185785	6319	103	0	Licking
2783	Ohio	US	12/02/2020	40.09136236	-82.48185785	6457	104	0	Licking
2783	Ohio	US	12/03/2020	40.09136236	-82.48185785	6586	107	0	Licking
2783	Ohio	US	12/04/2020	40.09136236	-82.48185785	6696	108	0	Licking
2783	Ohio	US	12/05/2020	40.09136236	-82.48185785	6883	109	0	Licking
2783	Ohio	US	12/06/2020	40.09136236	-82.48185785	6999	109	0	Licking
2783	Ohio	US	12/07/2020	40.09136236	-82.48185785	7114	111	0	Licking
2783	Ohio	US	12/08/2020	40.09136236	-82.48185785	7632	111	0	Licking
2783	Ohio	US	12/09/2020	40.09136236	-82.48185785	7829	115	0	Licking
2783	Ohio	US	12/10/2020	40.09136236	-82.48185785	8005	116	0	Licking
2783	Ohio	US	12/11/2020	40.09136236	-82.48185785	8127	118	0	Licking
2783	Ohio	US	12/12/2020	40.09136236	-82.48185785	8306	119	0	Licking
2783	Ohio	US	12/13/2020	40.09136236	-82.48185785	8433	121	0	Licking
2783	Ohio	US	12/14/2020	40.09136236	-82.48185785	8548	121	0	Licking
2783	Ohio	US	12/15/2020	40.09136236	-82.48185785	8641	124	0	Licking
2783	Ohio	US	12/16/2020	40.09136236	-82.48185785	8754	127	0	Licking
2783	Ohio	US	12/17/2020	40.09136236	-82.48185785	8937	128	0	Licking
2783	Ohio	US	12/18/2020	40.09136236	-82.48185785	9073	128	0	Licking
2783	Ohio	US	12/19/2020	40.09136236	-82.48185785	9196	129	0	Licking
2783	Ohio	US	12/20/2020	40.09136236	-82.48185785	9309	130	0	Licking
2783	Ohio	US	12/21/2020	40.09136236	-82.48185785	9437	131	0	Licking
2783	Ohio	US	12/22/2020	40.09136236	-82.48185785	9557	132	0	Licking
2783	Ohio	US	12/23/2020	40.09136236	-82.48185785	9642	133	0	Licking
2783	Ohio	US	12/24/2020	40.09136236	-82.48185785	9778	136	0	Licking
2783	Ohio	US	12/25/2020	40.09136236	-82.48185785	9778	139	0	Licking
2783	Ohio	US	12/26/2020	40.09136236	-82.48185785	9938	140	0	Licking
2783	Ohio	US	12/27/2020	40.09136236	-82.48185785	10053	142	0	Licking
2783	Ohio	US	12/28/2020	40.09136236	-82.48185785	10130	146	0	Licking
2783	Ohio	US	12/29/2020	40.09136236	-82.48185785	10215	148	0	Licking
2783	Ohio	US	12/30/2020	40.09136236	-82.48185785	10347	149	0	Licking
2783	Ohio	US	12/31/2020	40.09136236	-82.48185785	10528	151	0	Licking
2783	Ohio	US	01/01/2021	40.09136236	-82.48185785	10528	151	0	Licking
2783	Ohio	US	01/02/2021	40.09136236	-82.48185785	10718	151	0	Licking
