	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
557	Ohio	US	03/22/2020	41.29553751	-82.15083537	19	0	0	Lorain
1715	Ohio	US	03/23/2020	41.29553751	-82.15083537	24	0	0	Lorain
1715	Ohio	US	03/24/2020	41.29553751	-82.15083537	30	0	0	Lorain
1715	Ohio	US	03/25/2020	41.29553751	-82.15083537	37	0	0	Lorain
1714	Ohio	US	03/26/2020	41.29553751	-82.15083537	44	0	0	Lorain
1714	Ohio	US	03/27/2020	41.29553751	-82.15083537	56	0	0	Lorain
1714	Ohio	US	03/28/2020	41.29553751	-82.15083537	65	0	0	Lorain
1714	Ohio	US	03/29/2020	41.29553751	-82.15083537	74	1	0	Lorain
1714	Ohio	US	03/30/2020	41.29553751	-82.15083537	78	2	0	Lorain
1152	Ohio	US	03/31/2020	41.29553751	-82.15083537	82	2	0	Lorain
1183	Ohio	US	04/01/2020	41.29553751	-82.15083537	85	2	0	Lorain
1230	Ohio	US	04/02/2020	41.29553751	-82.15083537	90	2	0	Lorain
1252	Ohio	US	04/03/2020	41.29553751	-82.15083537	95	2	0	Lorain
1282	Ohio	US	04/04/2020	41.29553751	-82.15083537	105	3	0	Lorain
1324	Ohio	US	04/05/2020	41.29553751	-82.15083537	110	4	0	Lorain
1345	Ohio	US	04/06/2020	41.29553751	-82.15083537	117	4	0	Lorain
1375	Ohio	US	04/07/2020	41.29553751	-82.15083537	116	6	0	Lorain
1390	Ohio	US	04/08/2020	41.29553751	-82.15083537	136	6	0	Lorain
1406	Ohio	US	04/09/2020	41.29553751	-82.15083537	140	6	0	Lorain
1413	Ohio	US	04/10/2020	41.29553751	-82.15083537	150	6	0	Lorain
1428	Ohio	US	04/11/2020	41.29553751	-82.15083537	161	6	0	Lorain
1440	Ohio	US	04/12/2020	41.29553751	-82.15083537	176	7	0	Lorain
1450	Ohio	US	04/13/2020	41.29553751	-82.15083537	184	7	0	Lorain
1456	Ohio	US	04/14/2020	41.29553751	-82.15083537	191	10	0	Lorain
1464	Ohio	US	04/15/2020	41.29553751	-82.15083537	203	13	0	Lorain
1469	Ohio	US	04/16/2020	41.29553751	-82.15083537	221	14	0	Lorain
1468	Ohio	US	04/17/2020	41.29553751	-82.15083537	245	14	0	Lorain
1474	Ohio	US	04/18/2020	41.29553751	-82.15083537	291	14	0	Lorain
1484	Ohio	US	04/19/2020	41.29553751	-82.15083537	294	16	0	Lorain
1488	Ohio	US	04/20/2020	41.29553751	-82.15083537	303	18	0	Lorain
1495	Ohio	US	04/21/2020	41.29553751	-82.15083537	320	19	0	Lorain
1500	Ohio	US	04/22/2020	41.29553751	-82.15083537	332	21	0	Lorain
1510	Ohio	US	04/23/2020	41.29553751	-82.15083537	344	21	0	Lorain
1512	Ohio	US	04/24/2020	41.29553751	-82.15083537	366	24	0	Lorain
1514	Ohio	US	04/25/2020	41.29553751	-82.15083537	374	24	0	Lorain
1520	Ohio	US	04/26/2020	41.29553751	-82.15083537	377	26	0	Lorain
1522	Ohio	US	04/27/2020	41.29553751	-82.15083537	395	26	0	Lorain
1527	Ohio	US	04/28/2020	41.29553751	-82.15083537	406	28	0	Lorain
1530	Ohio	US	04/29/2020	41.29553751	-82.15083537	418	29	0	Lorain
1536	Ohio	US	04/30/2020	41.29553751	-82.15083537	452	29	0	Lorain
1544	Ohio	US	05/01/2020	41.29553751	-82.15083537	471	32	0	Lorain
1548	Ohio	US	05/02/2020	41.29553751	-82.15083537	480	32	0	Lorain
1550	Ohio	US	05/03/2020	41.29553751	-82.15083537	490	33	0	Lorain
1552	Ohio	US	05/04/2020	41.29553751	-82.15083537	503	33	0	Lorain
1558	Ohio	US	05/05/2020	41.29553751	-82.15083537	510	34	0	Lorain
1561	Ohio	US	05/06/2020	41.29553751	-82.15083537	518	37	0	Lorain
1565	Ohio	US	05/07/2020	41.29553751	-82.15083537	528	38	0	Lorain
