	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2481	Meigs	0	US	0	39.09224872	-82.0305041	Ohio	0	03/22/2020
1888	Meigs	0	US	0	39.09224872	-82.0305041	Ohio	0	03/23/2020
1888	Meigs	0	US	0	39.09224872	-82.0305041	Ohio	0	03/24/2020
1888	Meigs	0	US	0	39.09224872	-82.0305041	Ohio	0	03/25/2020
1887	Meigs	0	US	0	39.09224872	-82.0305041	Ohio	0	03/26/2020
1887	Meigs	0	US	0	39.09224872	-82.0305041	Ohio	0	03/27/2020
1887	Meigs	0	US	0	39.09224872	-82.0305041	Ohio	0	03/28/2020
1887	Meigs	0	US	0	39.09224872	-82.0305041	Ohio	0	03/29/2020
1887	Meigs	0	US	0	39.09224872	-82.0305041	Ohio	0	03/30/2020
1528	Meigs	1	US	0	39.09224872	-82.0305041	Ohio	0	04/07/2020
1543	Meigs	1	US	0	39.09224872	-82.0305041	Ohio	0	04/08/2020
1561	Meigs	1	US	0	39.09224872	-82.0305041	Ohio	0	04/09/2020
1568	Meigs	1	US	0	39.09224872	-82.0305041	Ohio	0	04/10/2020
1586	Meigs	1	US	0	39.09224872	-82.0305041	Ohio	0	04/11/2020
1598	Meigs	1	US	1	39.09224872	-82.0305041	Ohio	0	04/12/2020
1608	Meigs	1	US	1	39.09224872	-82.0305041	Ohio	0	04/13/2020
1614	Meigs	1	US	1	39.09224872	-82.0305041	Ohio	0	04/14/2020
1622	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	04/15/2020
1628	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	04/16/2020
1627	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	04/17/2020
1633	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	04/18/2020
1641	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	04/19/2020
1648	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	04/20/2020
1656	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	04/21/2020
1661	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	04/22/2020
1671	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	04/23/2020
1674	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	04/24/2020
1678	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	04/25/2020
1684	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	04/26/2020
1686	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	04/27/2020
1692	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	04/28/2020
1695	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	04/29/2020
1701	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	04/30/2020
1709	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	05/01/2020
1713	Meigs	2	US	1	39.09224872	-82.0305041	Ohio	0	05/02/2020
1715	Meigs	3	US	1	39.09224872	-82.0305041	Ohio	0	05/03/2020
1717	Meigs	3	US	1	39.09224872	-82.0305041	Ohio	0	05/04/2020
1723	Meigs	3	US	1	39.09224872	-82.0305041	Ohio	0	05/05/2020
1727	Meigs	3	US	1	39.09224872	-82.0305041	Ohio	0	05/06/2020
1731	Meigs	3	US	1	39.09224872	-82.0305041	Ohio	0	05/07/2020
1736	Meigs	3	US	2	39.09224872	-82.0305041	Ohio	0	05/08/2020
1737	Meigs	3	US	2	39.09224872	-82.0305041	Ohio	0	05/09/2020
1738	Meigs	3	US	2	39.09224872	-82.0305041	Ohio	0	05/10/2020
1738	Meigs	3	US	2	39.09224872	-82.0305041	Ohio	0	05/11/2020
1740	Meigs	3	US	3	39.09224872	-82.0305041	Ohio	0	05/12/2020
1740	Meigs	3	US	3	39.09224872	-82.0305041	Ohio	0	05/13/2020
1741	Meigs	3	US	3	39.09224872	-82.0305041	Ohio	0	05/14/2020
1745	Meigs	3	US	3	39.09224872	-82.0305041	Ohio	0	05/15/2020
1748	Meigs	3	US	3	39.09224872	-82.0305041	Ohio	0	05/16/2020
