	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
561	Ohio	US	03/22/2020	40.0543329	-84.22871271	13	1	0	Miami
1913	Ohio	US	03/23/2020	40.0543329	-84.22871271	17	1	0	Miami
1913	Ohio	US	03/24/2020	40.0543329	-84.22871271	19	1	0	Miami
1913	Ohio	US	03/25/2020	40.0543329	-84.22871271	19	2	0	Miami
1912	Ohio	US	03/26/2020	40.0543329	-84.22871271	20	2	0	Miami
1912	Ohio	US	03/27/2020	40.0543329	-84.22871271	32	3	0	Miami
1912	Ohio	US	03/28/2020	40.0543329	-84.22871271	38	5	0	Miami
1912	Ohio	US	03/29/2020	40.0543329	-84.22871271	43	6	0	Miami
1912	Ohio	US	03/30/2020	40.0543329	-84.22871271	46	7	0	Miami
1289	Ohio	US	03/31/2020	40.0543329	-84.22871271	52	8	0	Miami
1323	Ohio	US	04/01/2020	40.0543329	-84.22871271	60	9	0	Miami
1377	Ohio	US	04/02/2020	40.0543329	-84.22871271	62	9	0	Miami
1405	Ohio	US	04/03/2020	40.0543329	-84.22871271	66	11	0	Miami
1443	Ohio	US	04/04/2020	40.0543329	-84.22871271	69	11	0	Miami
1491	Ohio	US	04/05/2020	40.0543329	-84.22871271	76	13	0	Miami
1513	Ohio	US	04/06/2020	40.0543329	-84.22871271	90	14	0	Miami
1548	Ohio	US	04/07/2020	40.0543329	-84.22871271	101	14	0	Miami
1563	Ohio	US	04/08/2020	40.0543329	-84.22871271	107	15	0	Miami
1581	Ohio	US	04/09/2020	40.0543329	-84.22871271	110	15	0	Miami
1589	Ohio	US	04/10/2020	40.0543329	-84.22871271	113	16	0	Miami
1607	Ohio	US	04/11/2020	40.0543329	-84.22871271	116	16	0	Miami
1619	Ohio	US	04/12/2020	40.0543329	-84.22871271	117	17	0	Miami
1629	Ohio	US	04/13/2020	40.0543329	-84.22871271	121	20	0	Miami
1635	Ohio	US	04/14/2020	40.0543329	-84.22871271	122	20	0	Miami
1643	Ohio	US	04/15/2020	40.0543329	-84.22871271	125	20	0	Miami
1649	Ohio	US	04/16/2020	40.0543329	-84.22871271	127	20	0	Miami
1648	Ohio	US	04/17/2020	40.0543329	-84.22871271	129	20	0	Miami
1654	Ohio	US	04/18/2020	40.0543329	-84.22871271	129	20	0	Miami
1662	Ohio	US	04/19/2020	40.0543329	-84.22871271	129	21	0	Miami
1669	Ohio	US	04/20/2020	40.0543329	-84.22871271	131	21	0	Miami
1677	Ohio	US	04/21/2020	40.0543329	-84.22871271	133	21	0	Miami
1682	Ohio	US	04/22/2020	40.0543329	-84.22871271	134	21	0	Miami
1692	Ohio	US	04/23/2020	40.0543329	-84.22871271	134	22	0	Miami
1695	Ohio	US	04/24/2020	40.0543329	-84.22871271	134	22	0	Miami
1699	Ohio	US	04/25/2020	40.0543329	-84.22871271	135	22	0	Miami
1705	Ohio	US	04/26/2020	40.0543329	-84.22871271	135	22	0	Miami
1707	Ohio	US	04/27/2020	40.0543329	-84.22871271	136	22	0	Miami
1714	Ohio	US	04/28/2020	40.0543329	-84.22871271	136	22	0	Miami
1717	Ohio	US	04/29/2020	40.0543329	-84.22871271	138	22	0	Miami
1723	Ohio	US	04/30/2020	40.0543329	-84.22871271	139	22	0	Miami
1731	Ohio	US	05/01/2020	40.0543329	-84.22871271	142	22	0	Miami
1735	Ohio	US	05/02/2020	40.0543329	-84.22871271	143	22	0	Miami
1737	Ohio	US	05/03/2020	40.0543329	-84.22871271	143	22	0	Miami
1739	Ohio	US	05/04/2020	40.0543329	-84.22871271	144	22	0	Miami
1745	Ohio	US	05/05/2020	40.0543329	-84.22871271	144	22	0	Miami
1749	Ohio	US	05/06/2020	40.0543329	-84.22871271	144	22	0	Miami
1753	Ohio	US	05/07/2020	40.0543329	-84.22871271	145	22	0	Miami
1758	Ohio	US	05/08/2020	40.0543329	-84.22871271	176	23	0	Miami
1759	Ohio	US	05/09/2020	40.0543329	-84.22871271	244	23	0	Miami
1760	Ohio	US	05/10/2020	40.0543329	-84.22871271	268	23	0	Miami
1760	Ohio	US	05/11/2020	40.0543329	-84.22871271	313	23	0	Miami
1762	Ohio	US	05/12/2020	40.0543329	-84.22871271	314	24	0	Miami
1762	Ohio	US	05/13/2020	40.0543329	-84.22871271	316	24	0	Miami
1763	Ohio	US	05/14/2020	40.0543329	-84.22871271	317	24	0	Miami
1767	Ohio	US	05/15/2020	40.0543329	-84.22871271	326	24	0	Miami
1770	Ohio	US	05/16/2020	40.0543329	-84.22871271	327	24	0	Miami
1772	Ohio	US	05/17/2020	40.0543329	-84.22871271	332	24	0	Miami
1773	Ohio	US	05/18/2020	40.0543329	-84.22871271	332	24	0	Miami
1775	Ohio	US	05/19/2020	40.0543329	-84.22871271	332	24	0	Miami
1780	Ohio	US	05/20/2020	40.0543329	-84.22871271	337	24	0	Miami
1781	Ohio	US	05/21/2020	40.0543329	-84.22871271	337	24	0	Miami
1786	Ohio	US	05/22/2020	40.0543329	-84.22871271	337	24	0	Miami
1788	Ohio	US	05/23/2020	40.0543329	-84.22871271	346	24	0	Miami
1791	Ohio	US	05/24/2020	40.0543329	-84.22871271	348	24	0	Miami
