	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2485	Ohio	US	03/22/2020	40.5236356	-82.7892599	0	0	0	Morrow
2021	Ohio	US	03/23/2020	40.52363560000001	-82.7892599	0	0	0	Morrow
2021	Ohio	US	03/24/2020	40.52363560000001	-82.7892599	0	0	0	Morrow
2021	Ohio	US	03/25/2020	40.52363560000001	-82.7892599	0	0	0	Morrow
2020	Ohio	US	03/26/2020	40.52363560000001	-82.7892599	0	0	0	Morrow
2020	Ohio	US	03/27/2020	40.52363560000001	-82.7892599	0	0	0	Morrow
2020	Ohio	US	03/28/2020	40.5236356	-82.7892599	0	0	0	Morrow
2020	Ohio	US	03/29/2020	40.5236356	-82.7892599	0	0	0	Morrow
2020	Ohio	US	03/30/2020	40.5236356	-82.7892599	0	0	0	Morrow
1399	Ohio	US	04/01/2020	40.52363560000001	-82.7892599	1	0	0	Morrow
1453	Ohio	US	04/02/2020	40.5236356	-82.7892599	1	0	0	Morrow
1484	Ohio	US	04/03/2020	40.52363560000001	-82.7892599	1	0	0	Morrow
1523	Ohio	US	04/04/2020	40.5236356	-82.7892599	3	0	0	Morrow
1573	Ohio	US	04/05/2020	40.52363560000001	-82.7892599	5	0	0	Morrow
1597	Ohio	US	04/06/2020	40.5236356	-82.7892599	5	0	0	Morrow
1633	Ohio	US	04/07/2020	40.52363560000001	-82.7892599	6	0	0	Morrow
1648	Ohio	US	04/08/2020	40.52363560000001	-82.7892599	6	0	0	Morrow
1667	Ohio	US	04/09/2020	40.52363560000001	-82.7892599	6	0	0	Morrow
1677	Ohio	US	04/10/2020	40.52363560000001	-82.7892599	8	0	0	Morrow
1695	Ohio	US	04/11/2020	40.52363560000001	-82.7892599	8	0	0	Morrow
1708	Ohio	US	04/12/2020	40.5236356	-82.7892599	8	0	0	Morrow
1721	Ohio	US	04/13/2020	40.52363560000001	-82.7892599	9	0	0	Morrow
1728	Ohio	US	04/14/2020	40.52363560000001	-82.7892599	10	0	0	Morrow
1736	Ohio	US	04/15/2020	40.52363560000001	-82.7892599	14	0	0	Morrow
1744	Ohio	US	04/16/2020	40.52363560000001	-82.7892599	14	0	0	Morrow
1745	Ohio	US	04/17/2020	40.52363560000001	-82.7892599	16	0	0	Morrow
1751	Ohio	US	04/18/2020	40.5236356	-82.7892599	19	0	0	Morrow
1760	Ohio	US	04/19/2020	40.5236356	-82.7892599	20	0	0	Morrow
1767	Ohio	US	04/20/2020	40.52363560000001	-82.7892599	23	0	0	Morrow
1775	Ohio	US	04/21/2020	40.52363560000001	-82.7892599	24	0	0	Morrow
1782	Ohio	US	04/22/2020	40.52363560000001	-82.7892599	25	0	0	Morrow
1793	Ohio	US	04/23/2020	40.52363560000001	-82.7892599	25	0	0	Morrow
1796	Ohio	US	04/24/2020	40.52363560000001	-82.7892599	26	0	0	Morrow
1800	Ohio	US	04/25/2020	40.52363560000001	-82.7892599	26	1	0	Morrow
1806	Ohio	US	04/26/2020	40.52363560000001	-82.7892599	34	1	0	Morrow
1808	Ohio	US	04/27/2020	40.52363560000001	-82.7892599	34	1	0	Morrow
1815	Ohio	US	04/28/2020	40.52363560000001	-82.7892599	36	1	0	Morrow
1818	Ohio	US	04/29/2020	40.52363560000001	-82.7892599	41	1	0	Morrow
1824	Ohio	US	04/30/2020	40.52363560000001	-82.7892599	42	1	0	Morrow
1832	Ohio	US	05/01/2020	40.52363560000001	-82.7892599	45	1	0	Morrow
1836	Ohio	US	05/02/2020	40.52363560000001	-82.7892599	75	1	0	Morrow
1839	Ohio	US	05/03/2020	40.52363560000001	-82.7892599	75	1	0	Morrow
1841	Ohio	US	05/04/2020	40.52363560000001	-82.7892599	75	1	0	Morrow
1847	Ohio	US	05/05/2020	40.52363560000001	-82.7892599	83	1	0	Morrow
1851	Ohio	US	05/06/2020	40.52363560000001	-82.7892599	83	1	0	Morrow
1855	Ohio	US	05/07/2020	40.52363560000001	-82.7892599	83	1	0	Morrow
1860	Ohio	US	05/08/2020	40.52363560000001	-82.7892599	84	1	0	Morrow
1861	Ohio	US	05/09/2020	40.52363560000001	-82.7892599	84	1	0	Morrow
1862	Ohio	US	05/10/2020	40.52363560000001	-82.7892599	84	1	0	Morrow
1862	Ohio	US	05/11/2020	40.52363560000001	-82.7892599	87	1	0	Morrow
1865	Ohio	US	05/12/2020	40.52363560000001	-82.7892599	87	1	0	Morrow
1865	Ohio	US	05/13/2020	40.52363560000001	-82.7892599	91	1	0	Morrow
1866	Ohio	US	05/14/2020	40.52363560000001	-82.7892599	93	1	0	Morrow
1870	Ohio	US	05/15/2020	40.52363560000001	-82.7892599	97	1	0	Morrow
1873	Ohio	US	05/16/2020	40.52363560000001	-82.7892599	97	1	0	Morrow
1875	Ohio	US	05/17/2020	40.52363560000001	-82.7892599	97	1	0	Morrow
1876	Ohio	US	05/18/2020	40.52363560000001	-82.7892599	98	1	0	Morrow
1878	Ohio	US	05/19/2020	40.52363560000001	-82.7892599	101	1	0	Morrow
1883	Ohio	US	05/20/2020	40.52363560000001	-82.7892599	104	1	0	Morrow
1884	Ohio	US	05/21/2020	40.52363560000001	-82.7892599	104	1	0	Morrow
1889	Ohio	US	05/22/2020	40.52363560000001	-82.7892599	103	1	0	Morrow
1891	Ohio	US	05/23/2020	40.52363560000001	-82.7892599	104	1	0	Morrow
1894	Ohio	US	05/24/2020	40.52363560000001	-82.7892599	104	1	0	Morrow
1894	Ohio	US	05/25/2020	40.52363560000001	-82.7892599	104	1	0	Morrow
1895	Ohio	US	05/26/2020	40.52363560000001	-82.7892599	104	1	0	Morrow
1897	Ohio	US	05/27/2020	40.52363560000001	-82.7892599	104	1	0	Morrow
1898	Ohio	US	05/28/2020	40.52363560000001	-82.7892599	104	1	0	Morrow
1901	Ohio	US	05/29/2020	40.52363560000001	-82.7892599	105	1	0	Morrow
1903	Ohio	US	05/30/2020	40.52363560000001	-82.7892599	107	1	0	Morrow
1904	Ohio	US	05/31/2020	40.52363560000001	-82.7892599	107	1	0	Morrow
1906	Ohio	US	06/01/2020	40.52363560000001	-82.7892599	107	1	0	Morrow
1910	Ohio	US	06/02/2020	40.52363560000001	-82.7892599	107	1	0	Morrow
1911	Ohio	US	06/03/2020	40.52363560000001	-82.7892599	107	1	0	Morrow
1912	Ohio	US	06/04/2020	40.52363560000001	-82.7892599	108	1	0	Morrow
1914	Ohio	US	06/05/2020	40.52363560000001	-82.7892599	108	1	0	Morrow
1915	Ohio	US	06/06/2020	40.52363560000001	-82.7892599	108	1	0	Morrow
1915	Ohio	US	06/07/2020	40.52363560000001	-82.7892599	108	1	0	Morrow
1915	Ohio	US	06/08/2020	40.52363560000001	-82.7892599	108	1	0	Morrow
1917	Ohio	US	06/09/2020	40.52363560000001	-82.7892599	108	1	0	Morrow
1919	Ohio	US	06/10/2020	40.52363560000001	-82.7892599	108	1	0	Morrow
1920	Ohio	US	06/11/2020	40.52363560000001	-82.7892599	110	1	0	Morrow
1930	Ohio	US	06/12/2020	40.52363560000001	-82.7892599	110	1	0	Morrow
1932	Ohio	US	06/13/2020	40.52363560000001	-82.7892599	110	1	0	Morrow
1932	Ohio	US	06/14/2020	40.52363560000001	-82.7892599	110	1	0	Morrow
1934	Ohio	US	06/15/2020	40.52363560000001	-82.7892599	110	1	0	Morrow
1933	Ohio	US	06/16/2020	40.52363560000001	-82.7892599	110	1	0	Morrow
1935	Ohio	US	06/17/2020	40.52363560000001	-82.7892599	110	1	0	Morrow
1935	Ohio	US	06/18/2020	40.52363560000001	-82.7892599	110	1	0	Morrow
1935	Ohio	US	06/19/2020	40.52363560000001	-82.7892599	110	1	0	Morrow
1939	Ohio	US	06/20/2020	40.52363560000001	-82.7892599	110	1	0	Morrow
1939	Ohio	US	06/21/2020	40.52363560000001	-82.7892599	110	1	0	Morrow
1941	Ohio	US	06/22/2020	40.52363560000001	-82.7892599	110	1	0	Morrow
1944	Ohio	US	06/23/2020	40.52363560000001	-82.7892599	110	1	0	Morrow
