	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
593	Ohio	US	03/22/2020	41.16793482	-81.19735782	1	0	0	Portage
2320	Ohio	US	03/23/2020	41.16793482	-81.19735782	2	0	0	Portage
2320	Ohio	US	03/24/2020	41.16793482	-81.19735782	4	0	0	Portage
2320	Ohio	US	03/25/2020	41.16793482	-81.19735782	4	0	0	Portage
2319	Ohio	US	03/26/2020	41.16793482	-81.19735782	8	0	0	Portage
2319	Ohio	US	03/27/2020	41.16793482	-81.19735782	13	0	0	Portage
2319	Ohio	US	03/28/2020	41.16793482	-81.19735782	19	0	0	Portage
2319	Ohio	US	03/29/2020	41.16793482	-81.19735782	27	1	0	Portage
2319	Ohio	US	03/30/2020	41.16793482	-81.19735782	32	1	0	Portage
1566	Ohio	US	03/31/2020	41.16793482	-81.19735782	38	1	0	Portage
1606	Ohio	US	04/01/2020	41.16793482	-81.19735782	44	2	0	Portage
1669	Ohio	US	04/02/2020	41.16793482	-81.19735782	59	2	0	Portage
1709	Ohio	US	04/03/2020	41.16793482	-81.19735782	64	2	0	Portage
1753	Ohio	US	04/04/2020	41.16793482	-81.19735782	74	4	0	Portage
1813	Ohio	US	04/05/2020	41.16793482	-81.19735782	84	6	0	Portage
1842	Ohio	US	04/06/2020	41.16793482	-81.19735782	94	7	0	Portage
1882	Ohio	US	04/07/2020	41.16793482	-81.19735782	101	8	0	Portage
1897	Ohio	US	04/08/2020	41.16793482	-81.19735782	108	11	0	Portage
1918	Ohio	US	04/09/2020	41.16793482	-81.19735782	116	11	0	Portage
1935	Ohio	US	04/10/2020	41.16793482	-81.19735782	124	11	0	Portage
1957	Ohio	US	04/11/2020	41.16793482	-81.19735782	134	11	0	Portage
1970	Ohio	US	04/12/2020	41.16793482	-81.19735782	137	14	0	Portage
1984	Ohio	US	04/13/2020	41.16793482	-81.19735782	144	15	0	Portage
1992	Ohio	US	04/14/2020	41.16793482	-81.19735782	146	16	0	Portage
2003	Ohio	US	04/15/2020	41.16793482	-81.19735782	158	18	0	Portage
2012	Ohio	US	04/16/2020	41.16793482	-81.19735782	162	19	0	Portage
2014	Ohio	US	04/17/2020	41.16793482	-81.19735782	166	20	0	Portage
2020	Ohio	US	04/18/2020	41.16793482	-81.19735782	168	20	0	Portage
2033	Ohio	US	04/19/2020	41.16793482	-81.19735782	176	20	0	Portage
2040	Ohio	US	04/20/2020	41.16793482	-81.19735782	180	22	0	Portage
2049	Ohio	US	04/21/2020	41.16793482	-81.19735782	186	24	0	Portage
2056	Ohio	US	04/22/2020	41.16793482	-81.19735782	197	24	0	Portage
2069	Ohio	US	04/23/2020	41.16793482	-81.19735782	206	24	0	Portage
2074	Ohio	US	04/24/2020	41.16793482	-81.19735782	213	25	0	Portage
2079	Ohio	US	04/25/2020	41.16793482	-81.19735782	214	26	0	Portage
2085	Ohio	US	04/26/2020	41.16793482	-81.19735782	220	27	0	Portage
2090	Ohio	US	04/27/2020	41.16793482	-81.19735782	221	28	0	Portage
2098	Ohio	US	04/28/2020	41.16793482	-81.19735782	226	30	0	Portage
2101	Ohio	US	04/29/2020	41.16793482	-81.19735782	230	32	0	Portage
2107	Ohio	US	04/30/2020	41.16793482	-81.19735782	236	34	0	Portage
2116	Ohio	US	05/01/2020	41.16793482	-81.19735782	237	36	0	Portage
2120	Ohio	US	05/02/2020	41.16793482	-81.19735782	243	36	0	Portage
2123	Ohio	US	05/03/2020	41.16793482	-81.19735782	247	37	0	Portage
2125	Ohio	US	05/04/2020	41.16793482	-81.19735782	251	37	0	Portage
2132	Ohio	US	05/05/2020	41.16793482	-81.19735782	254	38	0	Portage
2137	Ohio	US	05/06/2020	41.16793482	-81.19735782	262	40	0	Portage
2141	Ohio	US	05/07/2020	41.16793482	-81.19735782	265	40	0	Portage
2148	Ohio	US	05/08/2020	41.16793482	-81.19735782	272	41	0	Portage
2149	Ohio	US	05/09/2020	41.16793482	-81.19735782	274	42	0	Portage
2151	Ohio	US	05/10/2020	41.16793482	-81.19735782	276	43	0	Portage
2151	Ohio	US	05/11/2020	41.16793482	-81.19735782	280	43	0	Portage
2154	Ohio	US	05/12/2020	41.16793482	-81.19735782	275	44	0	Portage
2154	Ohio	US	05/13/2020	41.16793482	-81.19735782	280	44	0	Portage
2155	Ohio	US	05/14/2020	41.16793482	-81.19735782	284	44	0	Portage
2159	Ohio	US	05/15/2020	41.16793482	-81.19735782	289	45	0	Portage
2163	Ohio	US	05/16/2020	41.16793482	-81.19735782	290	46	0	Portage
2165	Ohio	US	05/17/2020	41.16793482	-81.19735782	292	47	0	Portage
2167	Ohio	US	05/18/2020	41.16793482	-81.19735782	296	47	0	Portage
2169	Ohio	US	05/19/2020	41.16793482	-81.19735782	297	47	0	Portage
2175	Ohio	US	05/20/2020	41.16793482	-81.19735782	298	47	0	Portage
2176	Ohio	US	05/21/2020	41.16793482	-81.19735782	303	47	0	Portage
2180	Ohio	US	05/22/2020	41.16793482	-81.19735782	308	47	0	Portage
2182	Ohio	US	05/23/2020	41.16793482	-81.19735782	309	47	0	Portage
2185	Ohio	US	05/24/2020	41.16793482	-81.19735782	310	47	0	Portage
2185	Ohio	US	05/25/2020	41.16793482	-81.19735782	314	48	0	Portage
