	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
569	Ohio	US	03/22/2020	41.31735028	-80.76109643	3	0	0	Trumbull
2836	Ohio	US	03/23/2020	41.31735028	-80.76109643	3	0	0	Trumbull
2836	Ohio	US	03/24/2020	41.31735028	-80.76109643	4	0	0	Trumbull
2836	Ohio	US	03/25/2020	41.31735028	-80.76109643	9	1	0	Trumbull
2835	Ohio	US	03/26/2020	41.31735028	-80.76109643	12	1	0	Trumbull
2835	Ohio	US	03/27/2020	41.31735028	-80.76109643	17	2	0	Trumbull
2835	Ohio	US	03/28/2020	41.31735028	-80.76109643	27	3	0	Trumbull
2835	Ohio	US	03/29/2020	41.31735028	-80.76109643	36	3	0	Trumbull
2835	Ohio	US	03/30/2020	41.31735028	-80.76109643	42	3	0	Trumbull
1909	Ohio	US	03/31/2020	41.31735028	-80.76109643	50	3	0	Trumbull
1955	Ohio	US	04/01/2020	41.31735028	-80.76109643	58	4	0	Trumbull
2024	Ohio	US	04/02/2020	41.31735028	-80.76109643	63	4	0	Trumbull
2072	Ohio	US	04/03/2020	41.31735028	-80.76109643	72	7	0	Trumbull
2125	Ohio	US	04/04/2020	41.31735028	-80.76109643	90	7	0	Trumbull
2197	Ohio	US	04/05/2020	41.31735028	-80.76109643	89	7	0	Trumbull
2234	Ohio	US	04/06/2020	41.31735028	-80.76109643	102	9	0	Trumbull
2280	Ohio	US	04/07/2020	41.31735028	-80.76109643	110	9	0	Trumbull
2303	Ohio	US	04/08/2020	41.31735028	-80.76109643	126	10	0	Trumbull
2329	Ohio	US	04/09/2020	41.31735028	-80.76109643	132	10	0	Trumbull
2353	Ohio	US	04/10/2020	41.31735028	-80.76109643	149	10	0	Trumbull
2378	Ohio	US	04/11/2020	41.31735028	-80.76109643	155	12	0	Trumbull
2400	Ohio	US	04/12/2020	41.31735028	-80.76109643	168	12	0	Trumbull
2414	Ohio	US	04/13/2020	41.31735028	-80.76109643	174	13	0	Trumbull
2424	Ohio	US	04/14/2020	41.31735028	-80.76109643	187	14	0	Trumbull
2436	Ohio	US	04/15/2020	41.31735028	-80.76109643	199	16	0	Trumbull
2449	Ohio	US	04/16/2020	41.31735028	-80.76109643	203	18	0	Trumbull
2452	Ohio	US	04/17/2020	41.31735028	-80.76109643	213	22	0	Trumbull
2459	Ohio	US	04/18/2020	41.31735028	-80.76109643	231	25	0	Trumbull
2476	Ohio	US	04/19/2020	41.31735028	-80.76109643	237	25	0	Trumbull
2484	Ohio	US	04/20/2020	41.31735028	-80.76109643	249	26	0	Trumbull
2493	Ohio	US	04/21/2020	41.31735028	-80.76109643	257	27	0	Trumbull
2500	Ohio	US	04/22/2020	41.31735028	-80.76109643	261	29	0	Trumbull
2517	Ohio	US	04/23/2020	41.31735028	-80.76109643	272	29	0	Trumbull
2523	Ohio	US	04/24/2020	41.31735028	-80.76109643	278	30	0	Trumbull
2528	Ohio	US	04/25/2020	41.31735028	-80.76109643	287	30	0	Trumbull
2536	Ohio	US	04/26/2020	41.31735028	-80.76109643	293	33	0	Trumbull
2543	Ohio	US	04/27/2020	41.31735028	-80.76109643	295	33	0	Trumbull
2552	Ohio	US	04/28/2020	41.31735028	-80.76109643	299	34	0	Trumbull
2557	Ohio	US	04/29/2020	41.31735028	-80.76109643	305	37	0	Trumbull
2563	Ohio	US	04/30/2020	41.31735028	-80.76109643	308	37	0	Trumbull
2574	Ohio	US	05/01/2020	41.31735028	-80.76109643	318	37	0	Trumbull
2577	Ohio	US	05/02/2020	41.31735028	-80.76109643	324	37	0	Trumbull
2582	Ohio	US	05/03/2020	41.31735028	-80.76109643	331	37	0	Trumbull
2585	Ohio	US	05/04/2020	41.31735028	-80.76109643	347	38	0	Trumbull
2593	Ohio	US	05/05/2020	41.31735028	-80.76109643	356	38	0	Trumbull
2599	Ohio	US	05/06/2020	41.31735028	-80.76109643	363	40	0	Trumbull
2606	Ohio	US	05/07/2020	41.31735028	-80.76109643	371	40	0	Trumbull
2613	Ohio	US	05/08/2020	41.31735028	-80.76109643	392	40	0	Trumbull
2615	Ohio	US	05/09/2020	41.31735028	-80.76109643	404	40	0	Trumbull
2617	Ohio	US	05/10/2020	41.31735028	-80.76109643	406	40	0	Trumbull
2617	Ohio	US	05/11/2020	41.31735028	-80.76109643	408	41	0	Trumbull
2620	Ohio	US	05/12/2020	41.31735028	-80.76109643	413	41	0	Trumbull
2621	Ohio	US	05/13/2020	41.31735028	-80.76109643	420	41	0	Trumbull
2623	Ohio	US	05/14/2020	41.31735028	-80.76109643	432	42	0	Trumbull
2628	Ohio	US	05/15/2020	41.31735028	-80.76109643	440	43	0	Trumbull
2632	Ohio	US	05/16/2020	41.31735028	-80.76109643	447	44	0	Trumbull
2635	Ohio	US	05/17/2020	41.31735028	-80.76109643	450	45	0	Trumbull
2637	Ohio	US	05/18/2020	41.31735028	-80.76109643	461	45	0	Trumbull
2641	Ohio	US	05/19/2020	41.31735028	-80.76109643	469	46	0	Trumbull
2647	Ohio	US	05/20/2020	41.31735028	-80.76109643	478	47	0	Trumbull
2649	Ohio	US	05/21/2020	41.31735028	-80.76109643	499	47	0	Trumbull
2656	Ohio	US	05/22/2020	41.31735028	-80.76109643	507	47	0	Trumbull
2658	Ohio	US	05/23/2020	41.31735028	-80.76109643	514	47	0	Trumbull
2661	Ohio	US	05/24/2020	41.31735028	-80.76109643	525	47	0	Trumbull
2662	Ohio	US	05/25/2020	41.31735028	-80.76109643	529	49	0	Trumbull
2663	Ohio	US	05/26/2020	41.31735028	-80.76109643	540	51	0	Trumbull
2666	Ohio	US	05/27/2020	41.31735028	-80.76109643	544	52	0	Trumbull
2669	Ohio	US	05/28/2020	41.31735028	-80.76109643	551	52	0	Trumbull
2672	Ohio	US	05/29/2020	41.31735028	-80.76109643	562	54	0	Trumbull
2674	Ohio	US	05/30/2020	41.31735028	-80.76109643	569	54	0	Trumbull
2675	Ohio	US	05/31/2020	41.31735028	-80.76109643	573	54	0	Trumbull
2677	Ohio	US	06/01/2020	41.31735028	-80.76109643	582	54	0	Trumbull
2682	Ohio	US	06/02/2020	41.31735028	-80.76109643	584	54	0	Trumbull
2684	Ohio	US	06/03/2020	41.31735028	-80.76109643	584	54	0	Trumbull
2685	Ohio	US	06/04/2020	41.31735028	-80.76109643	594	55	0	Trumbull
2689	Ohio	US	06/05/2020	41.31735028	-80.76109643	600	55	0	Trumbull
2691	Ohio	US	06/06/2020	41.31735028	-80.76109643	607	55	0	Trumbull
2691	Ohio	US	06/07/2020	41.31735028	-80.76109643	612	55	0	Trumbull
2691	Ohio	US	06/08/2020	41.31735028	-80.76109643	616	56	0	Trumbull
2693	Ohio	US	06/09/2020	41.31735028	-80.76109643	618	56	0	Trumbull
2695	Ohio	US	06/10/2020	41.31735028	-80.76109643	620	56	0	Trumbull
2697	Ohio	US	06/11/2020	41.31735028	-80.76109643	625	56	0	Trumbull
2711	Ohio	US	06/12/2020	41.31735028	-80.76109643	642	56	0	Trumbull
2714	Ohio	US	06/13/2020	41.31735028	-80.76109643	652	56	0	Trumbull
2714	Ohio	US	06/14/2020	41.31735028	-80.76109643	656	57	0	Trumbull
2718	Ohio	US	06/15/2020	41.31735028	-80.76109643	658	57	0	Trumbull
2716	Ohio	US	06/16/2020	41.31735028	-80.76109643	665	57	0	Trumbull
2718	Ohio	US	06/17/2020	41.31735028	-80.76109643	675	57	0	Trumbull
2718	Ohio	US	06/18/2020	41.31735028	-80.76109643	682	58	0	Trumbull
2719	Ohio	US	06/19/2020	41.31735028	-80.76109643	693	59	0	Trumbull
2723	Ohio	US	06/20/2020	41.31735028	-80.76109643	698	59	0	Trumbull
2723	Ohio	US	06/21/2020	41.31735028	-80.76109643	711	59	0	Trumbull
2726	Ohio	US	06/22/2020	41.31735028	-80.76109643	726	60	0	Trumbull
2731	Ohio	US	06/23/2020	41.31735028	-80.76109643	742	60	0	Trumbull
2743	Ohio	US	06/24/2020	41.31735028	-80.76109643	756	62	0	Trumbull
2748	Ohio	US	06/25/2020	41.31735028	-80.76109643	771	62	0	Trumbull
2749	Ohio	US	06/26/2020	41.31735028	-80.76109643	788	64	0	Trumbull
2750	Ohio	US	06/27/2020	41.31735028	-80.76109643	800	64	0	Trumbull
2750	Ohio	US	06/28/2020	41.31735028	-80.76109643	809	67	0	Trumbull
2752	Ohio	US	06/29/2020	41.31735028	-80.76109643	824	69	0	Trumbull
2754	Ohio	US	06/30/2020	41.31735028	-80.76109643	834	69	0	Trumbull
2756	Ohio	US	07/01/2020	41.31735028	-80.76109643	863	71	0	Trumbull
2759	Ohio	US	07/02/2020	41.31735028	-80.76109643	863	71	0	Trumbull
2764	Ohio	US	07/03/2020	41.31735028	-80.76109643	916	71	0	Trumbull
2765	Ohio	US	07/04/2020	41.31735028	-80.76109643	925	71	0	Trumbull
2766	Ohio	US	07/05/2020	41.31735028	-80.76109643	939	72	0	Trumbull
2769	Ohio	US	07/06/2020	41.31735028	-80.76109643	967	72	0	Trumbull
2770	Ohio	US	07/07/2020	41.31735028	-80.76109643	974	73	0	Trumbull
2773	Ohio	US	07/08/2020	41.31735028	-80.76109643	997	74	0	Trumbull
2772	Ohio	US	07/09/2020	41.31735028	-80.76109643	1014	75	0	Trumbull
2776	Ohio	US	07/10/2020	41.31735028	-80.76109643	1032	76	0	Trumbull
2777	Ohio	US	07/11/2020	41.31735028	-80.76109643	1045	78	0	Trumbull
2779	Ohio	US	07/12/2020	41.31735028	-80.76109643	1053	79	0	Trumbull
2781	Ohio	US	07/13/2020	41.31735028	-80.76109643	1066	79	0	Trumbull
2786	Ohio	US	07/14/2020	41.31735028	-80.76109643	1071	80	0	Trumbull
2787	Ohio	US	07/15/2020	41.31735028	-80.76109643	1084	80	0	Trumbull
2789	Ohio	US	07/16/2020	41.31735028	-80.76109643	1094	81	0	Trumbull
2789	Ohio	US	07/17/2020	41.31735028	-80.76109643	1117	81	0	Trumbull
2862	Ohio	US	07/18/2020	41.31735028	-80.76109643	1139	82	0	Trumbull
2862	Ohio	US	07/19/2020	41.31735028	-80.76109643	1159	84	0	Trumbull
2786	Ohio	US	07/20/2020	41.31735028	-80.76109643	1171	85	0	Trumbull
2866	Ohio	US	07/21/2020	41.31735028	-80.76109643	1179	87	0	Trumbull
2867	Ohio	US	07/22/2020	41.31735028	-80.76109643	1210	87	0	Trumbull
2870	Ohio	US	07/23/2020	41.31735028	-80.76109643	1242	88	0	Trumbull
2869	Ohio	US	07/24/2020	41.31735028	-80.76109643	1262	90	0	Trumbull
2870	Ohio	US	07/25/2020	41.31735028	-80.76109643	1286	92	0	Trumbull
2871	Ohio	US	07/26/2020	41.31735028	-80.76109643	1300	92	0	Trumbull
2871	Ohio	US	07/27/2020	41.31735028	-80.76109643	1312	93	0	Trumbull
2871	Ohio	US	07/28/2020	41.31735028	-80.76109643	1324	93	0	Trumbull
2875	Ohio	US	07/29/2020	41.31735028	-80.76109643	1347	93	0	Trumbull
2875	Ohio	US	07/30/2020	41.31735028	-80.76109643	1374	93	0	Trumbull
2877	Ohio	US	07/31/2020	41.31735028	-80.76109643	1393	94	0	Trumbull
2877	Ohio	US	08/01/2020	41.31735028	-80.76109643	1408	94	0	Trumbull
2877	Ohio	US	08/02/2020	41.31735028	-80.76109643	1421	94	0	Trumbull
2877	Ohio	US	08/03/2020	41.31735028	-80.76109643	1433	95	0	Trumbull
2878	Ohio	US	08/04/2020	41.31735028	-80.76109643	1451	95	0	Trumbull
2882	Ohio	US	08/05/2020	41.31735028	-80.76109643	1465	95	0	Trumbull
