	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
585	Ohio	US	03/22/2020	40.30016061	-83.37239023	1	0	0	Union
2890	Ohio	US	03/23/2020	40.30016061	-83.37239023	1	0	0	Union
2889	Ohio	US	03/24/2020	40.30016061	-83.37239023	2	0	0	Union
2889	Ohio	US	03/25/2020	40.30016061	-83.37239023	3	0	0	Union
2886	Ohio	US	03/26/2020	40.30016061	-83.37239023	3	0	0	Union
2893	Ohio	US	03/27/2020	40.30016061	-83.37239023	3	0	0	Union
2890	Ohio	US	03/28/2020	40.30016061	-83.37239023	3	0	0	Union
2894	Ohio	US	03/29/2020	40.30016061	-83.37239023	3	0	0	Union
2898	Ohio	US	03/30/2020	40.30016061	-83.37239023	4	0	0	Union
1965	Ohio	US	03/31/2020	40.30016061	-83.37239023	4	0	0	Union
2012	Ohio	US	04/01/2020	40.30016061	-83.37239023	4	0	0	Union
2090	Ohio	US	04/02/2020	40.30016061	-83.37239023	4	0	0	Union
2134	Ohio	US	04/03/2020	40.30016061	-83.37239023	4	0	0	Union
2189	Ohio	US	04/04/2020	40.30016061	-83.37239023	7	0	0	Union
2265	Ohio	US	04/05/2020	40.30016061	-83.37239023	8	0	0	Union
2303	Ohio	US	04/06/2020	40.30016061	-83.37239023	8	0	0	Union
2353	Ohio	US	04/07/2020	40.30016061	-83.37239023	8	0	0	Union
2377	Ohio	US	04/08/2020	40.30016061	-83.37239023	8	0	0	Union
2404	Ohio	US	04/09/2020	40.30016061	-83.37239023	9	0	0	Union
2429	Ohio	US	04/10/2020	40.30016061	-83.37239023	10	0	0	Union
2451	Ohio	US	04/11/2020	40.30016061	-83.37239023	10	0	0	Union
2474	Ohio	US	04/12/2020	40.30016061	-83.37239023	10	0	0	Union
2488	Ohio	US	04/13/2020	40.30016061	-83.37239023	11	0	0	Union
2499	Ohio	US	04/14/2020	40.30016061	-83.37239023	11	0	0	Union
2512	Ohio	US	04/15/2020	40.30016061	-83.37239023	11	0	0	Union
2526	Ohio	US	04/16/2020	40.30016061	-83.37239023	11	0	0	Union
2528	Ohio	US	04/17/2020	40.30016061	-83.37239023	12	0	0	Union
