	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
1036	Cleveland	13	US	0	35.20413532	-97.32519562	Oklahoma	0	03/22/2020
567	Cleveland	16	US	0	35.20413532	-97.32519562	Oklahoma	0	03/23/2020
567	Cleveland	22	US	1	35.20413532	-97.32519562	Oklahoma	0	03/24/2020
567	Cleveland	27	US	1	35.20413532	-97.32519562	Oklahoma	0	03/25/2020
567	Cleveland	39	US	3	35.20413532	-97.32519562	Oklahoma	0	03/26/2020
567	Cleveland	39	US	3	35.20413532	-97.32519562	Oklahoma	0	03/27/2020
567	Cleveland	46	US	5	35.20413532	-97.32519562	Oklahoma	0	03/28/2020
567	Cleveland	51	US	5	35.20413532	-97.32519562	Oklahoma	0	03/29/2020
567	Cleveland	60	US	5	35.20413532	-97.32519562	Oklahoma	0	03/30/2020
405	Cleveland	65	US	6	35.20413532	-97.32519562	Oklahoma	0	03/31/2020
417	Cleveland	87	US	6	35.20413532	-97.32519562	Oklahoma	0	04/01/2020
431	Cleveland	121	US	6	35.20413532	-97.32519562	Oklahoma	0	04/02/2020
435	Cleveland	130	US	7	35.20413532	-97.32519562	Oklahoma	0	04/03/2020
445	Cleveland	169	US	8	35.20413532	-97.32519562	Oklahoma	0	04/04/2020
459	Cleveland	171	US	11	35.20413532	-97.32519562	Oklahoma	0	04/05/2020
462	Cleveland	180	US	11	35.20413532	-97.32519562	Oklahoma	0	04/06/2020
471	Cleveland	203	US	12	35.20413532	-97.32519562	Oklahoma	0	04/07/2020
475	Cleveland	212	US	14	35.20413532	-97.32519562	Oklahoma	0	04/08/2020
478	Cleveland	231	US	14	35.20413532	-97.32519562	Oklahoma	0	04/09/2020
479	Cleveland	236	US	14	35.20413532	-97.32519562	Oklahoma	0	04/10/2020
484	Cleveland	247	US	17	35.20413532	-97.32519562	Oklahoma	0	04/11/2020
487	Cleveland	264	US	17	35.20413532	-97.32519562	Oklahoma	0	04/12/2020
490	Cleveland	267	US	17	35.20413532	-97.32519562	Oklahoma	0	04/13/2020
492	Cleveland	277	US	17	35.20413532	-97.32519562	Oklahoma	0	04/14/2020
495	Cleveland	294	US	18	35.20413532	-97.32519562	Oklahoma	0	04/15/2020
496	Cleveland	301	US	21	35.20413532	-97.32519562	Oklahoma	0	04/16/2020
498	Cleveland	301	US	21	35.20413532	-97.32519562	Oklahoma	0	04/17/2020
499	Cleveland	301	US	21	35.20413532	-97.32519562	Oklahoma	0	04/18/2020
503	Cleveland	313	US	21	35.20413532	-97.32519562	Oklahoma	0	04/19/2020
504	Cleveland	324	US	23	35.20413532	-97.32519562	Oklahoma	0	04/20/2020
508	Cleveland	345	US	23	35.20413532	-97.32519562	Oklahoma	0	04/21/2020
510	Cleveland	372	US	24	35.20413532	-97.32519562	Oklahoma	0	04/22/2020
512	Cleveland	388	US	26	35.20413532	-97.32519562	Oklahoma	0	04/23/2020
512	Cleveland	393	US	27	35.20413532	-97.32519562	Oklahoma	0	04/24/2020
512	Cleveland	400	US	27	35.20413532	-97.32519562	Oklahoma	0	04/25/2020
513	Cleveland	403	US	27	35.20413532	-97.32519562	Oklahoma	0	04/26/2020
514	Cleveland	404	US	27	35.20413532	-97.32519562	Oklahoma	0	04/27/2020
516	Cleveland	410	US	28	35.20413532	-97.32519562	Oklahoma	0	04/28/2020
516	Cleveland	417	US	28	35.20413532	-97.32519562	Oklahoma	0	04/29/2020
516	Cleveland	419	US	28	35.20413532	-97.32519562	Oklahoma	0	04/30/2020
519	Cleveland	426	US	29	35.20413532	-97.32519562	Oklahoma	0	05/01/2020
520	Cleveland	430	US	29	35.20413532	-97.32519562	Oklahoma	0	05/02/2020
521	Cleveland	432	US	29	35.20413532	-97.32519562	Oklahoma	0	05/03/2020
522	Cleveland	436	US	29	35.20413532	-97.32519562	Oklahoma	0	05/04/2020
524	Cleveland	439	US	30	35.20413532	-97.32519562	Oklahoma	0	05/05/2020
525	Cleveland	447	US	31	35.20413532	-97.32519562	Oklahoma	0	05/06/2020
526	Cleveland	448	US	32	35.20413532	-97.32519562	Oklahoma	0	05/07/2020
528	Cleveland	453	US	32	35.20413532	-97.32519562	Oklahoma	0	05/08/2020
528	Cleveland	455	US	32	35.20413532	-97.32519562	Oklahoma	0	05/09/2020
529	Cleveland	456	US	32	35.20413532	-97.32519562	Oklahoma	0	05/10/2020
529	Cleveland	456	US	32	35.20413532	-97.32519562	Oklahoma	0	05/11/2020
529	Cleveland	457	US	33	35.20413532	-97.32519562	Oklahoma	0	05/12/2020
529	Cleveland	458	US	33	35.20413532	-97.32519562	Oklahoma	0	05/13/2020
530	Cleveland	458	US	35	35.20413532	-97.32519562	Oklahoma	0	05/14/2020
531	Cleveland	459	US	35	35.20413532	-97.32519562	Oklahoma	0	05/15/2020
532	Cleveland	466	US	36	35.20413532	-97.32519562	Oklahoma	0	05/16/2020
533	Cleveland	468	US	36	35.20413532	-97.32519562	Oklahoma	0	05/17/2020
534	Cleveland	468	US	36	35.20413532	-97.32519562	Oklahoma	0	05/18/2020
536	Cleveland	470	US	36	35.20413532	-97.32519562	Oklahoma	0	05/19/2020
536	Cleveland	472	US	37	35.20413532	-97.32519562	Oklahoma	0	05/20/2020
536	Cleveland	482	US	37	35.20413532	-97.32519562	Oklahoma	0	05/21/2020
537	Cleveland	481	US	37	35.20413532	-97.32519562	Oklahoma	0	05/22/2020
537	Cleveland	487	US	37	35.20413532	-97.32519562	Oklahoma	0	05/23/2020
538	Cleveland	489	US	37	35.20413532	-97.32519562	Oklahoma	0	05/24/2020
538	Cleveland	490	US	37	35.20413532	-97.32519562	Oklahoma	0	05/25/2020
538	Cleveland	493	US	37	35.20413532	-97.32519562	Oklahoma	0	05/26/2020
539	Cleveland	494	US	37	35.20413532	-97.32519562	Oklahoma	0	05/27/2020
