	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2520	Oklahoma	US	03/22/2020	36.76268118	-95.20916602	0	0	0	Craig
650	Oklahoma	US	03/23/2020	36.76268118	-95.20916602	0	0	0	Craig
650	Oklahoma	US	03/24/2020	36.76268118	-95.20916602	0	0	0	Craig
650	Oklahoma	US	03/25/2020	36.76268118	-95.20916602	0	0	0	Craig
650	Oklahoma	US	03/26/2020	36.76268118	-95.20916602	1	0	0	Craig
650	Oklahoma	US	03/27/2020	36.76268118	-95.20916602	1	0	0	Craig
650	Oklahoma	US	03/28/2020	36.76268118	-95.20916602	1	0	0	Craig
650	Oklahoma	US	03/29/2020	36.76268118	-95.20916602	1	0	0	Craig
650	Oklahoma	US	03/30/2020	36.76268118	-95.20916602	1	0	0	Craig
463	Oklahoma	US	03/31/2020	36.76268118	-95.20916602	1	0	0	Craig
476	Oklahoma	US	04/01/2020	36.76268118	-95.20916602	2	0	0	Craig
494	Oklahoma	US	04/02/2020	36.76268118	-95.20916602	2	0	0	Craig
500	Oklahoma	US	04/03/2020	36.76268118	-95.20916602	2	0	0	Craig
512	Oklahoma	US	04/04/2020	36.76268118	-95.20916602	3	0	0	Craig
527	Oklahoma	US	04/05/2020	36.76268118	-95.20916602	3	0	0	Craig
530	Oklahoma	US	04/06/2020	36.76268118	-95.20916602	5	0	0	Craig
539	Oklahoma	US	04/07/2020	36.76268118	-95.20916602	4	0	0	Craig
544	Oklahoma	US	04/08/2020	36.76268118	-95.20916602	5	0	0	Craig
548	Oklahoma	US	04/09/2020	36.76268118	-95.20916602	5	0	0	Craig
552	Oklahoma	US	04/10/2020	36.76268118	-95.20916602	6	0	0	Craig
557	Oklahoma	US	04/11/2020	36.76268118	-95.20916602	6	0	0	Craig
560	Oklahoma	US	04/12/2020	36.76268118	-95.20916602	7	0	0	Craig
564	Oklahoma	US	04/13/2020	36.76268118	-95.20916602	7	0	0	Craig
566	Oklahoma	US	04/14/2020	36.76268118	-95.20916602	9	0	0	Craig
569	Oklahoma	US	04/15/2020	36.76268118	-95.20916602	8	0	0	Craig
570	Oklahoma	US	04/16/2020	36.76268118	-95.20916602	7	0	0	Craig
572	Oklahoma	US	04/17/2020	36.76268118	-95.20916602	7	0	0	Craig
573	Oklahoma	US	04/18/2020	36.76268118	-95.20916602	7	0	0	Craig
577	Oklahoma	US	04/19/2020	36.76268118	-95.20916602	8	0	0	Craig
578	Oklahoma	US	04/20/2020	36.76268118	-95.20916602	8	0	0	Craig
582	Oklahoma	US	04/21/2020	36.76268118	-95.20916602	8	0	0	Craig
584	Oklahoma	US	04/22/2020	36.76268118	-95.20916602	8	0	0	Craig
587	Oklahoma	US	04/23/2020	36.76268118	-95.20916602	9	0	0	Craig
588	Oklahoma	US	04/24/2020	36.76268118	-95.20916602	9	0	0	Craig
588	Oklahoma	US	04/25/2020	36.76268118	-95.20916602	9	0	0	Craig
589	Oklahoma	US	04/26/2020	36.76268118	-95.20916602	9	0	0	Craig
591	Oklahoma	US	04/27/2020	36.76268118	-95.20916602	9	0	0	Craig
593	Oklahoma	US	04/28/2020	36.76268118	-95.20916602	10	0	0	Craig
593	Oklahoma	US	04/29/2020	36.76268118	-95.20916602	10	0	0	Craig
593	Oklahoma	US	04/30/2020	36.76268118	-95.20916602	10	0	0	Craig
596	Oklahoma	US	05/01/2020	36.76268118	-95.20916602	11	0	0	Craig
597	Oklahoma	US	05/02/2020	36.76268118	-95.20916602	11	0	0	Craig
598	Oklahoma	US	05/03/2020	36.76268118	-95.20916602	11	0	0	Craig
599	Oklahoma	US	05/04/2020	36.76268118	-95.20916602	12	0	0	Craig
603	Oklahoma	US	05/05/2020	36.76268118	-95.20916602	12	0	0	Craig
604	Oklahoma	US	05/06/2020	36.76268118	-95.20916602	13	0	0	Craig
605	Oklahoma	US	05/07/2020	36.76268118	-95.20916602	13	0	0	Craig
608	Oklahoma	US	05/08/2020	36.76268118	-95.20916602	13	0	0	Craig
608	Oklahoma	US	05/09/2020	36.76268118	-95.20916602	13	0	0	Craig
609	Oklahoma	US	05/10/2020	36.76268118	-95.20916602	13	0	0	Craig
609	Oklahoma	US	05/11/2020	36.76268118	-95.20916602	13	0	0	Craig
609	Oklahoma	US	05/12/2020	36.76268118	-95.20916602	12	0	0	Craig
609	Oklahoma	US	05/13/2020	36.76268118	-95.20916602	12	0	0	Craig
610	Oklahoma	US	05/14/2020	36.76268118	-95.20916602	13	0	0	Craig
611	Oklahoma	US	05/15/2020	36.76268118	-95.20916602	13	0	0	Craig
612	Oklahoma	US	05/16/2020	36.76268118	-95.20916602	13	0	0	Craig
613	Oklahoma	US	05/17/2020	36.76268118	-95.20916602	14	0	0	Craig
614	Oklahoma	US	05/18/2020	36.76268118	-95.20916602	14	0	0	Craig
616	Oklahoma	US	05/19/2020	36.76268118	-95.20916602	15	0	0	Craig
617	Oklahoma	US	05/20/2020	36.76268118	-95.20916602	15	0	0	Craig
617	Oklahoma	US	05/21/2020	36.76268118	-95.20916602	15	0	0	Craig
619	Oklahoma	US	05/22/2020	36.76268118	-95.20916602	15	0	0	Craig
619	Oklahoma	US	05/23/2020	36.76268118	-95.20916602	15	0	0	Craig
620	Oklahoma	US	05/24/2020	36.76268118	-95.20916602	15	0	0	Craig
620	Oklahoma	US	05/25/2020	36.76268118	-95.20916602	15	0	0	Craig
620	Oklahoma	US	05/26/2020	36.76268118	-95.20916602	15	0	0	Craig
621	Oklahoma	US	05/27/2020	36.76268118	-95.20916602	15	0	0	Craig
621	Oklahoma	US	05/28/2020	36.76268118	-95.20916602	15	0	0	Craig
621	Oklahoma	US	05/29/2020	36.76268118	-95.20916602	15	0	0	Craig
621	Oklahoma	US	05/30/2020	36.76268118	-95.20916602	15	0	0	Craig
621	Oklahoma	US	05/31/2020	36.76268118	-95.20916602	15	0	0	Craig
622	Oklahoma	US	06/01/2020	36.76268118	-95.20916602	15	0	0	Craig
622	Oklahoma	US	06/02/2020	36.76268118	-95.20916602	15	0	0	Craig
622	Oklahoma	US	06/03/2020	36.76268118	-95.20916602	15	0	0	Craig
622	Oklahoma	US	06/04/2020	36.76268118	-95.20916602	15	0	0	Craig
623	Oklahoma	US	06/05/2020	36.76268118	-95.20916602	15	0	0	Craig
623	Oklahoma	US	06/06/2020	36.76268118	-95.20916602	15	0	0	Craig
623	Oklahoma	US	06/07/2020	36.76268118	-95.20916602	16	0	0	Craig
623	Oklahoma	US	06/08/2020	36.76268118	-95.20916602	16	0	0	Craig
623	Oklahoma	US	06/09/2020	36.76268118	-95.20916602	16	0	0	Craig
624	Oklahoma	US	06/10/2020	36.76268118	-95.20916602	16	0	0	Craig
625	Oklahoma	US	06/11/2020	36.76268118	-95.20916602	16	0	0	Craig
626	Oklahoma	US	06/12/2020	36.76268118	-95.20916602	16	0	0	Craig
627	Oklahoma	US	06/13/2020	36.76268118	-95.20916602	16	0	0	Craig
627	Oklahoma	US	06/14/2020	36.76268118	-95.20916602	16	0	0	Craig
628	Oklahoma	US	06/15/2020	36.76268118	-95.20916602	16	0	0	Craig
628	Oklahoma	US	06/16/2020	36.76268118	-95.20916602	16	0	0	Craig
628	Oklahoma	US	06/17/2020	36.76268118	-95.20916602	16	0	0	Craig
628	Oklahoma	US	06/18/2020	36.76268118	-95.20916602	17	0	0	Craig
628	Oklahoma	US	06/19/2020	36.76268118	-95.20916602	17	0	0	Craig
630	Oklahoma	US	06/20/2020	36.76268118	-95.20916602	18	0	0	Craig
630	Oklahoma	US	06/21/2020	36.76268118	-95.20916602	18	0	0	Craig
630	Oklahoma	US	06/22/2020	36.76268118	-95.20916602	18	0	0	Craig
630	Oklahoma	US	06/23/2020	36.76268118	-95.20916602	18	0	0	Craig
632	Oklahoma	US	06/24/2020	36.76268118	-95.20916602	18	0	0	Craig
633	Oklahoma	US	06/25/2020	36.76268118	-95.20916602	19	0	0	Craig
633	Oklahoma	US	06/26/2020	36.76268118	-95.20916602	19	0	0	Craig
634	Oklahoma	US	06/27/2020	36.76268118	-95.20916602	19	0	0	Craig
634	Oklahoma	US	06/28/2020	36.76268118	-95.20916602	19	0	0	Craig
634	Oklahoma	US	06/29/2020	36.76268118	-95.20916602	19	0	0	Craig
635	Oklahoma	US	06/30/2020	36.76268118	-95.20916602	21	0	0	Craig
635	Oklahoma	US	07/01/2020	36.76268118	-95.20916602	22	0	0	Craig
636	Oklahoma	US	07/02/2020	36.76268118	-95.20916602	22	0	0	Craig
637	Oklahoma	US	07/03/2020	36.76268118	-95.20916602	22	0	0	Craig
637	Oklahoma	US	07/04/2020	36.76268118	-95.20916602	22	0	0	Craig
637	Oklahoma	US	07/05/2020	36.76268118	-95.20916602	22	0	0	Craig
637	Oklahoma	US	07/06/2020	36.76268118	-95.20916602	21	0	0	Craig
637	Oklahoma	US	07/07/2020	36.76268118	-95.20916602	22	0	0	Craig
638	Oklahoma	US	07/08/2020	36.76268118	-95.20916602	23	0	0	Craig
638	Oklahoma	US	07/09/2020	36.76268118	-95.20916602	26	0	0	Craig
639	Oklahoma	US	07/10/2020	36.76268118	-95.20916602	27	0	0	Craig
639	Oklahoma	US	07/11/2020	36.76268118	-95.20916602	27	0	0	Craig
639	Oklahoma	US	07/12/2020	36.76268118	-95.20916602	27	0	0	Craig
639	Oklahoma	US	07/13/2020	36.76268118	-95.20916602	27	0	0	Craig
639	Oklahoma	US	07/14/2020	36.76268118	-95.20916602	27	0	0	Craig
639	Oklahoma	US	07/15/2020	36.76268118	-95.20916602	29	0	0	Craig
640	Oklahoma	US	07/16/2020	36.76268118	-95.20916602	31	0	0	Craig
640	Oklahoma	US	07/17/2020	36.76268118	-95.20916602	35	0	0	Craig
664	Oklahoma	US	07/18/2020	36.76268118	-95.20916602	37	0	0	Craig
665	Oklahoma	US	07/19/2020	36.76268118	-95.20916602	37	0	0	Craig
648	Oklahoma	US	07/20/2020	36.76268118	-95.20916602	37	0	0	Craig
667	Oklahoma	US	07/21/2020	36.76268118	-95.20916602	41	0	0	Craig
667	Oklahoma	US	07/22/2020	36.76268118	-95.20916602	44	0	0	Craig
668	Oklahoma	US	07/23/2020	36.76268118	-95.20916602	44	0	0	Craig
668	Oklahoma	US	07/24/2020	36.76268118	-95.20916602	47	0	0	Craig
668	Oklahoma	US	07/25/2020	36.76268118	-95.20916602	53	0	0	Craig
668	Oklahoma	US	07/26/2020	36.76268118	-95.20916602	53	0	0	Craig
668	Oklahoma	US	07/27/2020	36.76268118	-95.20916602	52	0	0	Craig
668	Oklahoma	US	07/28/2020	36.76268118	-95.20916602	62	0	0	Craig
668	Oklahoma	US	07/29/2020	36.76268118	-95.20916602	64	0	0	Craig
668	Oklahoma	US	07/30/2020	36.76268118	-95.20916602	68	0	0	Craig
668	Oklahoma	US	07/31/2020	36.76268118	-95.20916602	69	0	0	Craig
668	Oklahoma	US	08/01/2020	36.76268118	-95.20916602	72	0	0	Craig
668	Oklahoma	US	08/02/2020	36.76268118	-95.20916602	77	0	0	Craig
668	Oklahoma	US	08/03/2020	36.76268118	-95.20916602	77	0	0	Craig
668	Oklahoma	US	08/04/2020	36.76268118	-95.20916602	77	0	0	Craig
669	Oklahoma	US	08/05/2020	36.76268118	-95.20916602	77	0	0	Craig
669	Oklahoma	US	08/06/2020	36.76268118	-95.20916602	78	0	0	Craig
669	Oklahoma	US	08/07/2020	36.76268118	-95.20916602	79	0	0	Craig
669	Oklahoma	US	08/08/2020	36.76268118	-95.20916602	82	0	0	Craig
669	Oklahoma	US	08/09/2020	36.76268118	-95.20916602	82	0	0	Craig
669	Oklahoma	US	08/10/2020	36.76268118	-95.20916602	86	0	0	Craig
2861	Oklahoma	US	08/11/2020	36.76268118	-95.20916602	86	1	0	Craig
2815	Oklahoma	US	08/12/2020	36.76268118	-95.20916602	89	1	0	Craig
2816	Oklahoma	US	08/13/2020	36.76268118	-95.20916602	90	1	0	Craig
2816	Oklahoma	US	08/14/2020	36.76268118	-95.20916602	92	1	0	Craig
2816	Oklahoma	US	08/15/2020	36.76268118	-95.20916602	93	1	0	Craig
2816	Oklahoma	US	08/16/2020	36.76268118	-95.20916602	94	1	0	Craig
2818	Oklahoma	US	08/17/2020	36.76268118	-95.20916602	94	1	0	Craig
2818	Oklahoma	US	08/18/2020	36.76268118	-95.20916602	95	1	0	Craig
2820	Oklahoma	US	08/19/2020	36.76268118	-95.20916602	95	1	0	Craig
2820	Oklahoma	US	08/20/2020	36.76268118	-95.20916602	97	1	0	Craig
2820	Oklahoma	US	08/21/2020	36.76268118	-95.20916602	98	1	0	Craig
2821	Oklahoma	US	08/22/2020	36.76268118	-95.20916602	101	1	0	Craig
2821	Oklahoma	US	08/23/2020	36.76268118	-95.20916602	106	1	0	Craig
2821	Oklahoma	US	08/24/2020	36.76268118	-95.20916602	106	1	0	Craig
2821	Oklahoma	US	08/25/2020	36.76268118	-95.20916602	108	1	0	Craig
2821	Oklahoma	US	08/26/2020	36.76268118	-95.20916602	112	1	0	Craig
2821	Oklahoma	US	08/27/2020	36.76268118	-95.20916602	113	1	0	Craig
2821	Oklahoma	US	08/28/2020	36.76268118	-95.20916602	115	1	0	Craig
2821	Oklahoma	US	08/29/2020	36.76268118	-95.20916602	118	1	0	Craig
2821	Oklahoma	US	08/30/2020	36.76268118	-95.20916602	118	1	0	Craig
2825	Oklahoma	US	08/31/2020	36.76268118	-95.20916602	119	1	0	Craig
2825	Oklahoma	US	09/01/2020	36.76268118	-95.20916602	123	1	0	Craig
2825	Oklahoma	US	09/02/2020	36.76268118	-95.20916602	129	1	0	Craig
2825	Oklahoma	US	09/03/2020	36.76268118	-95.20916602	144	1	0	Craig
2825	Oklahoma	US	09/04/2020	36.76268118	-95.20916602	154	1	0	Craig
2825	Oklahoma	US	09/05/2020	36.76268118	-95.20916602	163	1	0	Craig
2825	Oklahoma	US	09/06/2020	36.76268118	-95.20916602	165	1	0	Craig
2825	Oklahoma	US	09/07/2020	36.76268118	-95.20916602	169	1	0	Craig
2825	Oklahoma	US	09/08/2020	36.76268118	-95.20916602	175	1	0	Craig
2825	Oklahoma	US	09/09/2020	36.76268118	-95.20916602	182	1	0	Craig
2825	Oklahoma	US	09/10/2020	36.76268118	-95.20916602	184	1	0	Craig
2825	Oklahoma	US	09/11/2020	36.76268118	-95.20916602	185	1	0	Craig
2825	Oklahoma	US	09/12/2020	36.76268118	-95.20916602	196	1	0	Craig
2825	Oklahoma	US	09/13/2020	36.76268118	-95.20916602	195	1	0	Craig
2825	Oklahoma	US	09/14/2020	36.76268118	-95.20916602	379	1	0	Craig
2825	Oklahoma	US	09/15/2020	36.76268118	-95.20916602	398	1	0	Craig
2825	Oklahoma	US	09/16/2020	36.76268118	-95.20916602	399	1	0	Craig
2825	Oklahoma	US	09/17/2020	36.76268118	-95.20916602	400	1	0	Craig
2825	Oklahoma	US	09/18/2020	36.76268118	-95.20916602	403	1	0	Craig
