	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2540	Major	0	US	0	36.31149996	-98.53467076	Oklahoma	0	03/22/2020
1779	Major	0	US	0	36.31149996	-98.53467076	Oklahoma	0	03/23/2020
1779	Major	0	US	0	36.31149996	-98.53467076	Oklahoma	0	03/24/2020
1779	Major	0	US	0	36.31149996	-98.53467076	Oklahoma	0	03/25/2020
1778	Major	0	US	0	36.31149996	-98.53467076	Oklahoma	0	03/26/2020
1778	Major	0	US	0	36.31149996	-98.53467076	Oklahoma	0	03/27/2020
1778	Major	0	US	0	36.31149996	-98.53467076	Oklahoma	0	03/28/2020
1778	Major	0	US	0	36.31149996	-98.53467076	Oklahoma	0	03/29/2020
1778	Major	0	US	0	36.31149996	-98.53467076	Oklahoma	0	03/30/2020
1305	Major	1	US	0	36.31149996	-98.53467076	Oklahoma	0	04/03/2020
1335	Major	1	US	0	36.31149996	-98.53467076	Oklahoma	0	04/04/2020
1379	Major	1	US	0	36.31149996	-98.53467076	Oklahoma	0	04/05/2020
1401	Major	1	US	0	36.31149996	-98.53467076	Oklahoma	0	04/06/2020
1431	Major	1	US	0	36.31149996	-98.53467076	Oklahoma	0	04/07/2020
1446	Major	1	US	0	36.31149996	-98.53467076	Oklahoma	0	04/08/2020
1464	Major	1	US	0	36.31149996	-98.53467076	Oklahoma	0	04/09/2020
1471	Major	1	US	0	36.31149996	-98.53467076	Oklahoma	0	04/10/2020
1487	Major	1	US	0	36.31149996	-98.53467076	Oklahoma	0	04/11/2020
1499	Major	1	US	0	36.31149996	-98.53467076	Oklahoma	0	04/12/2020
1509	Major	1	US	0	36.31149996	-98.53467076	Oklahoma	0	04/13/2020
1515	Major	2	US	1	36.31149996	-98.53467076	Oklahoma	0	04/14/2020
1523	Major	2	US	1	36.31149996	-98.53467076	Oklahoma	0	04/15/2020
1528	Major	2	US	1	36.31149996	-98.53467076	Oklahoma	0	04/16/2020
1527	Major	2	US	1	36.31149996	-98.53467076	Oklahoma	0	04/17/2020
1533	Major	2	US	1	36.31149996	-98.53467076	Oklahoma	0	04/18/2020
1543	Major	2	US	1	36.31149996	-98.53467076	Oklahoma	0	04/19/2020
1547	Major	2	US	1	36.31149996	-98.53467076	Oklahoma	0	04/20/2020
1554	Major	2	US	1	36.31149996	-98.53467076	Oklahoma	0	04/21/2020
1559	Major	2	US	1	36.31149996	-98.53467076	Oklahoma	0	04/22/2020
1569	Major	2	US	1	36.31149996	-98.53467076	Oklahoma	0	04/23/2020
1571	Major	2	US	1	36.31149996	-98.53467076	Oklahoma	0	04/24/2020
1574	Major	2	US	1	36.31149996	-98.53467076	Oklahoma	0	04/25/2020
1580	Major	2	US	1	36.31149996	-98.53467076	Oklahoma	0	04/26/2020
1582	Major	2	US	1	36.31149996	-98.53467076	Oklahoma	0	04/27/2020
1587	Major	3	US	1	36.31149996	-98.53467076	Oklahoma	0	04/28/2020
1590	Major	3	US	1	36.31149996	-98.53467076	Oklahoma	0	04/29/2020
1596	Major	3	US	1	36.31149996	-98.53467076	Oklahoma	0	04/30/2020
1604	Major	3	US	1	36.31149996	-98.53467076	Oklahoma	0	05/01/2020
1608	Major	3	US	1	36.31149996	-98.53467076	Oklahoma	0	05/02/2020
1610	Major	3	US	1	36.31149996	-98.53467076	Oklahoma	0	05/03/2020
1612	Major	3	US	1	36.31149996	-98.53467076	Oklahoma	0	05/04/2020
1618	Major	4	US	1	36.31149996	-98.53467076	Oklahoma	0	05/05/2020
1621	Major	4	US	1	36.31149996	-98.53467076	Oklahoma	0	05/06/2020
1625	Major	4	US	1	36.31149996	-98.53467076	Oklahoma	0	05/07/2020
1630	Major	5	US	1	36.31149996	-98.53467076	Oklahoma	0	05/08/2020
1631	Major	5	US	1	36.31149996	-98.53467076	Oklahoma	0	05/09/2020
1632	Major	5	US	1	36.31149996	-98.53467076	Oklahoma	0	05/10/2020
1632	Major	5	US	1	36.31149996	-98.53467076	Oklahoma	0	05/11/2020
1634	Major	6	US	1	36.31149996	-98.53467076	Oklahoma	0	05/12/2020
1634	Major	6	US	1	36.31149996	-98.53467076	Oklahoma	0	05/13/2020
1635	Major	6	US	1	36.31149996	-98.53467076	Oklahoma	0	05/14/2020
1639	Major	6	US	1	36.31149996	-98.53467076	Oklahoma	0	05/15/2020
1642	Major	6	US	1	36.31149996	-98.53467076	Oklahoma	0	05/16/2020
1644	Major	6	US	1	36.31149996	-98.53467076	Oklahoma	0	05/17/2020
1645	Major	6	US	1	36.31149996	-98.53467076	Oklahoma	0	05/18/2020
1647	Major	6	US	1	36.31149996	-98.53467076	Oklahoma	0	05/19/2020
1652	Major	6	US	1	36.31149996	-98.53467076	Oklahoma	0	05/20/2020
