	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2542	Mayes	0	US	0	36.30179091	-95.23175116	Oklahoma	0	03/22/2020
1845	Mayes	0	US	0	36.30179091	-95.23175116	Oklahoma	0	03/23/2020
1845	Mayes	1	US	0	36.30179091	-95.23175116	Oklahoma	0	03/24/2020
1845	Mayes	1	US	0	36.30179091	-95.23175116	Oklahoma	0	03/25/2020
1844	Mayes	2	US	0	36.30179091	-95.23175116	Oklahoma	0	03/26/2020
1844	Mayes	2	US	0	36.30179091	-95.23175116	Oklahoma	0	03/27/2020
1844	Mayes	3	US	0	36.30179091	-95.23175116	Oklahoma	0	03/28/2020
1844	Mayes	3	US	0	36.30179091	-95.23175116	Oklahoma	0	03/29/2020
1844	Mayes	4	US	0	36.30179091	-95.23175116	Oklahoma	0	03/30/2020
1245	Mayes	4	US	0	36.30179091	-95.23175116	Oklahoma	0	03/31/2020
1278	Mayes	5	US	1	36.30179091	-95.23175116	Oklahoma	0	04/01/2020
1329	Mayes	5	US	1	36.30179091	-95.23175116	Oklahoma	0	04/02/2020
1357	Mayes	5	US	1	36.30179091	-95.23175116	Oklahoma	0	04/03/2020
1391	Mayes	7	US	1	36.30179091	-95.23175116	Oklahoma	0	04/04/2020
1437	Mayes	9	US	1	36.30179091	-95.23175116	Oklahoma	0	04/05/2020
1459	Mayes	10	US	1	36.30179091	-95.23175116	Oklahoma	0	04/06/2020
1491	Mayes	12	US	2	36.30179091	-95.23175116	Oklahoma	0	04/07/2020
1506	Mayes	12	US	2	36.30179091	-95.23175116	Oklahoma	0	04/08/2020
1524	Mayes	12	US	2	36.30179091	-95.23175116	Oklahoma	0	04/09/2020
1531	Mayes	13	US	2	36.30179091	-95.23175116	Oklahoma	0	04/10/2020
1548	Mayes	13	US	2	36.30179091	-95.23175116	Oklahoma	0	04/11/2020
1560	Mayes	14	US	2	36.30179091	-95.23175116	Oklahoma	0	04/12/2020
1570	Mayes	15	US	2	36.30179091	-95.23175116	Oklahoma	0	04/13/2020
1576	Mayes	14	US	3	36.30179091	-95.23175116	Oklahoma	0	04/14/2020
1584	Mayes	16	US	3	36.30179091	-95.23175116	Oklahoma	0	04/15/2020
1590	Mayes	19	US	3	36.30179091	-95.23175116	Oklahoma	0	04/16/2020
1589	Mayes	19	US	3	36.30179091	-95.23175116	Oklahoma	0	04/17/2020
1595	Mayes	19	US	3	36.30179091	-95.23175116	Oklahoma	0	04/18/2020
1606	Mayes	19	US	3	36.30179091	-95.23175116	Oklahoma	0	04/19/2020
1610	Mayes	19	US	3	36.30179091	-95.23175116	Oklahoma	0	04/20/2020
1618	Mayes	19	US	3	36.30179091	-95.23175116	Oklahoma	0	04/21/2020
1623	Mayes	19	US	3	36.30179091	-95.23175116	Oklahoma	0	04/22/2020
1633	Mayes	19	US	3	36.30179091	-95.23175116	Oklahoma	0	04/23/2020
1635	Mayes	19	US	3	36.30179091	-95.23175116	Oklahoma	0	04/24/2020
1638	Mayes	21	US	3	36.30179091	-95.23175116	Oklahoma	0	04/25/2020
1644	Mayes	21	US	3	36.30179091	-95.23175116	Oklahoma	0	04/26/2020
1646	Mayes	21	US	3	36.30179091	-95.23175116	Oklahoma	0	04/27/2020
1652	Mayes	21	US	3	36.30179091	-95.23175116	Oklahoma	0	04/28/2020
1655	Mayes	21	US	3	36.30179091	-95.23175116	Oklahoma	0	04/29/2020
1661	Mayes	22	US	4	36.30179091	-95.23175116	Oklahoma	0	04/30/2020
1669	Mayes	24	US	4	36.30179091	-95.23175116	Oklahoma	0	05/01/2020
1673	Mayes	24	US	4	36.30179091	-95.23175116	Oklahoma	0	05/02/2020
1675	Mayes	24	US	4	36.30179091	-95.23175116	Oklahoma	0	05/03/2020
