	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2554	Pushmataha	0	US	0	34.41635232	-95.37603505	Oklahoma	0	03/22/2020
2361	Pushmataha	0	US	0	34.41635232	-95.37603505	Oklahoma	0	03/23/2020
2361	Pushmataha	0	US	0	34.41635232	-95.37603505	Oklahoma	0	03/24/2020
2361	Pushmataha	0	US	0	34.41635232	-95.37603505	Oklahoma	0	03/25/2020
2360	Pushmataha	0	US	0	34.41635232	-95.37603505	Oklahoma	0	03/26/2020
2360	Pushmataha	0	US	0	34.41635232	-95.37603505	Oklahoma	0	03/27/2020
2360	Pushmataha	0	US	0	34.41635232	-95.37603505	Oklahoma	0	03/28/2020
2360	Pushmataha	0	US	0	34.41635232	-95.37603505	Oklahoma	0	03/29/2020
2360	Pushmataha	0	US	0	34.41635232	-95.37603505	Oklahoma	0	03/30/2020
2126	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	04/27/2020
2134	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	04/28/2020
2137	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	04/29/2020
2143	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	04/30/2020
2152	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/01/2020
2156	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/02/2020
2159	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/03/2020
2161	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/04/2020
2168	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/05/2020
2173	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/06/2020
2177	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/07/2020
2184	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/08/2020
2185	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/09/2020
2187	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/10/2020
2187	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/11/2020
2190	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/12/2020
2190	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/13/2020
2191	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/14/2020
2195	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/15/2020
2199	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/16/2020
2201	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/17/2020
2203	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/18/2020
2205	Pushmataha	1	US	0	34.41635232	-95.37603505	Oklahoma	0	05/19/2020
2211	Pushmataha	2	US	0	34.41635232	-95.37603505	Oklahoma	0	05/20/2020
2212	Pushmataha	2	US	0	34.41635232	-95.37603505	Oklahoma	0	05/21/2020
2216	Pushmataha	2	US	0	34.41635232	-95.37603505	Oklahoma	0	05/22/2020
2218	Pushmataha	2	US	0	34.41635232	-95.37603505	Oklahoma	0	05/23/2020
2221	Pushmataha	2	US	0	34.41635232	-95.37603505	Oklahoma	0	05/24/2020
2222	Pushmataha	2	US	0	34.41635232	-95.37603505	Oklahoma	0	05/25/2020
2223	Pushmataha	2	US	0	34.41635232	-95.37603505	Oklahoma	0	05/26/2020
2225	Pushmataha	2	US	0	34.41635232	-95.37603505	Oklahoma	0	05/27/2020
2227	Pushmataha	2	US	0	34.41635232	-95.37603505	Oklahoma	0	05/28/2020
2230	Pushmataha	2	US	0	34.41635232	-95.37603505	Oklahoma	0	05/29/2020
2232	Pushmataha	2	US	0	34.41635232	-95.37603505	Oklahoma	0	05/30/2020
2233	Pushmataha	2	US	0	34.41635232	-95.37603505	Oklahoma	0	05/31/2020
2235	Pushmataha	2	US	0	34.41635232	-95.37603505	Oklahoma	0	06/01/2020
2239	Pushmataha	3	US	0	34.41635232	-95.37603505	Oklahoma	0	06/02/2020
2241	Pushmataha	5	US	0	34.41635232	-95.37603505	Oklahoma	0	06/03/2020
2242	Pushmataha	5	US	0	34.41635232	-95.37603505	Oklahoma	0	06/04/2020
2244	Pushmataha	5	US	0	34.41635232	-95.37603505	Oklahoma	0	06/05/2020
2245	Pushmataha	5	US	0	34.41635232	-95.37603505	Oklahoma	0	06/06/2020
2245	Pushmataha	5	US	0	34.41635232	-95.37603505	Oklahoma	0	06/07/2020
2245	Pushmataha	5	US	0	34.41635232	-95.37603505	Oklahoma	0	06/08/2020
