	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2557	Oklahoma	US	03/22/2020	35.16478725	-96.61686741	0	0	0	Seminole
2574	Oklahoma	US	03/23/2020	35.16478725	-96.61686741	0	0	0	Seminole
2574	Oklahoma	US	03/24/2020	35.16478725	-96.61686741	0	0	0	Seminole
2574	Oklahoma	US	03/25/2020	35.16478725	-96.61686741	0	0	0	Seminole
2573	Oklahoma	US	03/26/2020	35.16478725	-96.61686741	0	0	0	Seminole
2573	Oklahoma	US	03/27/2020	35.16478725	-96.61686741	0	0	0	Seminole
2573	Oklahoma	US	03/28/2020	35.16478725	-96.61686741	0	0	0	Seminole
2573	Oklahoma	US	03/29/2020	35.16478725	-96.61686741	1	0	0	Seminole
2573	Oklahoma	US	03/30/2020	35.16478725	-96.61686741	1	0	0	Seminole
1732	Oklahoma	US	03/31/2020	35.16478725	-96.61686741	1	0	0	Seminole
1775	Oklahoma	US	04/01/2020	35.16478725	-96.61686741	1	0	0	Seminole
1840	Oklahoma	US	04/02/2020	35.16478725	-96.61686741	1	0	0	Seminole
1883	Oklahoma	US	04/03/2020	35.16478725	-96.61686741	1	0	0	Seminole
1929	Oklahoma	US	04/04/2020	35.16478725	-96.61686741	2	0	0	Seminole
1997	Oklahoma	US	04/05/2020	35.16478725	-96.61686741	2	1	0	Seminole
2031	Oklahoma	US	04/06/2020	35.16478725	-96.61686741	3	1	0	Seminole
2074	Oklahoma	US	04/07/2020	35.16478725	-96.61686741	3	1	0	Seminole
2094	Oklahoma	US	04/08/2020	35.16478725	-96.61686741	4	1	0	Seminole
2118	Oklahoma	US	04/09/2020	35.16478725	-96.61686741	4	1	0	Seminole
2140	Oklahoma	US	04/10/2020	35.16478725	-96.61686741	6	1	0	Seminole
2165	Oklahoma	US	04/11/2020	35.16478725	-96.61686741	6	1	0	Seminole
2182	Oklahoma	US	04/12/2020	35.16478725	-96.61686741	7	1	0	Seminole
2196	Oklahoma	US	04/13/2020	35.16478725	-96.61686741	7	1	0	Seminole
2204	Oklahoma	US	04/14/2020	35.16478725	-96.61686741	7	1	0	Seminole
2216	Oklahoma	US	04/15/2020	35.16478725	-96.61686741	7	1	0	Seminole
2228	Oklahoma	US	04/16/2020	35.16478725	-96.61686741	7	1	0	Seminole
2230	Oklahoma	US	04/17/2020	35.16478725	-96.61686741	7	1	0	Seminole
2237	Oklahoma	US	04/18/2020	35.16478725	-96.61686741	7	1	0	Seminole
2250	Oklahoma	US	04/19/2020	35.16478725	-96.61686741	7	1	0	Seminole
2257	Oklahoma	US	04/20/2020	35.16478725	-96.61686741	7	1	0	Seminole
2266	Oklahoma	US	04/21/2020	35.16478725	-96.61686741	9	1	0	Seminole
2273	Oklahoma	US	04/22/2020	35.16478725	-96.61686741	9	1	0	Seminole
2287	Oklahoma	US	04/23/2020	35.16478725	-96.61686741	8	1	0	Seminole
2292	Oklahoma	US	04/24/2020	35.16478725	-96.61686741	8	1	0	Seminole
2297	Oklahoma	US	04/25/2020	35.16478725	-96.61686741	8	1	0	Seminole
2305	Oklahoma	US	04/26/2020	35.16478725	-96.61686741	8	1	0	Seminole
2311	Oklahoma	US	04/27/2020	35.16478725	-96.61686741	8	1	0	Seminole
2320	Oklahoma	US	04/28/2020	35.16478725	-96.61686741	10	1	0	Seminole
2323	Oklahoma	US	04/29/2020	35.16478725	-96.61686741	10	1	0	Seminole
2329	Oklahoma	US	04/30/2020	35.16478725	-96.61686741	10	1	0	Seminole
2340	Oklahoma	US	05/01/2020	35.16478725	-96.61686741	11	2	0	Seminole
2344	Oklahoma	US	05/02/2020	35.16478725	-96.61686741	12	2	0	Seminole
2348	Oklahoma	US	05/03/2020	35.16478725	-96.61686741	12	2	0	Seminole
2351	Oklahoma	US	05/04/2020	35.16478725	-96.61686741	12	2	0	Seminole
