	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2558	Oklahoma	US	03/22/2020	35.49447108	-94.75463785	0	0	0	Sequoyah
2578	Oklahoma	US	03/23/2020	35.49447108	-94.75463785	0	0	0	Sequoyah
2578	Oklahoma	US	03/24/2020	35.49447108	-94.75463785	0	0	0	Sequoyah
2578	Oklahoma	US	03/25/2020	35.49447108	-94.75463785	0	0	0	Sequoyah
2577	Oklahoma	US	03/26/2020	35.49447108	-94.75463785	1	0	0	Sequoyah
2577	Oklahoma	US	03/27/2020	35.49447108	-94.75463785	1	0	0	Sequoyah
2577	Oklahoma	US	03/28/2020	35.49447108	-94.75463785	2	1	0	Sequoyah
2577	Oklahoma	US	03/29/2020	35.49447108	-94.75463785	2	1	0	Sequoyah
2577	Oklahoma	US	03/30/2020	35.49447108	-94.75463785	2	1	0	Sequoyah
1735	Oklahoma	US	03/31/2020	35.49447108	-94.75463785	2	1	0	Sequoyah
1779	Oklahoma	US	04/01/2020	35.49447108	-94.75463785	2	1	0	Sequoyah
1844	Oklahoma	US	04/02/2020	35.49447108	-94.75463785	4	1	0	Sequoyah
1887	Oklahoma	US	04/03/2020	35.49447108	-94.75463785	4	1	0	Sequoyah
1933	Oklahoma	US	04/04/2020	35.49447108	-94.75463785	4	1	0	Sequoyah
2001	Oklahoma	US	04/05/2020	35.49447108	-94.75463785	4	1	0	Sequoyah
2035	Oklahoma	US	04/06/2020	35.49447108	-94.75463785	7	1	0	Sequoyah
2078	Oklahoma	US	04/07/2020	35.49447108	-94.75463785	10	1	0	Sequoyah
2098	Oklahoma	US	04/08/2020	35.49447108	-94.75463785	10	1	0	Sequoyah
2122	Oklahoma	US	04/09/2020	35.49447108	-94.75463785	10	2	0	Sequoyah
2144	Oklahoma	US	04/10/2020	35.49447108	-94.75463785	10	2	0	Sequoyah
2169	Oklahoma	US	04/11/2020	35.49447108	-94.75463785	9	2	0	Sequoyah
2186	Oklahoma	US	04/12/2020	35.49447108	-94.75463785	9	2	0	Sequoyah
2200	Oklahoma	US	04/13/2020	35.49447108	-94.75463785	11	2	0	Sequoyah
2208	Oklahoma	US	04/14/2020	35.49447108	-94.75463785	11	2	0	Sequoyah
2220	Oklahoma	US	04/15/2020	35.49447108	-94.75463785	10	2	0	Sequoyah
2232	Oklahoma	US	04/16/2020	35.49447108	-94.75463785	10	2	0	Sequoyah
2234	Oklahoma	US	04/17/2020	35.49447108	-94.75463785	10	2	0	Sequoyah
2241	Oklahoma	US	04/18/2020	35.49447108	-94.75463785	10	2	0	Sequoyah
2254	Oklahoma	US	04/19/2020	35.49447108	-94.75463785	10	2	0	Sequoyah
2261	Oklahoma	US	04/20/2020	35.49447108	-94.75463785	10	2	0	Sequoyah
