	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
902	Marion	22	US	1	44.90287942	-122.58151170000001	Oregon	0	03/22/2020
1804	Marion	30	US	1	44.90287942	-122.5815117	Oregon	0	03/23/2020
1804	Marion	32	US	1	44.90287942	-122.5815117	Oregon	0	03/24/2020
1804	Marion	43	US	2	44.90287942	-122.5815117	Oregon	0	03/25/2020
1803	Marion	57	US	2	44.90287942	-122.5815117	Oregon	0	03/26/2020
1803	Marion	83	US	3	44.90287942	-122.5815117	Oregon	0	03/27/2020
1803	Marion	94	US	3	44.90287942	-122.58151170000001	Oregon	0	03/28/2020
1803	Marion	109	US	3	44.90287942	-122.58151170000001	Oregon	0	03/29/2020
1803	Marion	123	US	3	44.90287942	-122.58151170000001	Oregon	0	03/30/2020
1215	Marion	141	US	3	44.90287942	-122.5815117	Oregon	0	03/31/2020
1248	Marion	151	US	3	44.90287942	-122.5815117	Oregon	0	04/01/2020
1298	Marion	164	US	4	44.90287942	-122.58151170000001	Oregon	0	04/02/2020
1326	Marion	178	US	4	44.90287942	-122.5815117	Oregon	0	04/03/2020
1357	Marion	178	US	4	44.90287942	-122.58151170000001	Oregon	0	04/04/2020
1402	Marion	198	US	5	44.90287942	-122.5815117	Oregon	0	04/05/2020
1424	Marion	198	US	5	44.90287942	-122.58151170000001	Oregon	0	04/06/2020
1454	Marion	209	US	6	44.90287942	-122.5815117	Oregon	0	04/07/2020
1469	Marion	215	US	9	44.90287942	-122.5815117	Oregon	0	04/08/2020
1487	Marion	235	US	9	44.90287942	-122.5815117	Oregon	0	04/09/2020
1494	Marion	235	US	9	44.90287942	-122.5815117	Oregon	0	04/10/2020
1511	Marion	246	US	9	44.90287942	-122.5815117	Oregon	0	04/11/2020
1523	Marion	276	US	9	44.90287942	-122.58151170000001	Oregon	0	04/12/2020
1533	Marion	280	US	9	44.90287942	-122.5815117	Oregon	0	04/13/2020
1539	Marion	289	US	9	44.90287942	-122.5815117	Oregon	0	04/14/2020
1547	Marion	294	US	10	44.90287942	-122.5815117	Oregon	0	04/15/2020
1552	Marion	309	US	11	44.90287942	-122.5815117	Oregon	0	04/16/2020
1551	Marion	317	US	12	44.90287942	-122.5815117	Oregon	0	04/17/2020
1557	Marion	335	US	13	44.90287942	-122.58151170000001	Oregon	0	04/18/2020
1567	Marion	358	US	13	44.90287942	-122.58151170000001	Oregon	0	04/19/2020
1571	Marion	371	US	14	44.90287942	-122.58151170000001	Oregon	0	04/20/2020
1579	Marion	381	US	14	44.90287942	-122.58151170000001	Oregon	0	04/21/2020
1584	Marion	388	US	14	44.90287942	-122.58151170000001	Oregon	0	04/22/2020
1594	Marion	397	US	14	44.90287942	-122.58151170000001	Oregon	0	04/23/2020
1596	Marion	417	US	14	44.90287942	-122.58151170000001	Oregon	0	04/24/2020
1599	Marion	432	US	14	44.90287942	-122.58151170000001	Oregon	0	04/25/2020
1605	Marion	436	US	15	44.90287942	-122.58151170000001	Oregon	0	04/26/2020
1607	Marion	447	US	15	44.90287942	-122.58151170000001	Oregon	0	04/27/2020
1612	Marion	456	US	17	44.90287942	-122.58151170000001	Oregon	0	04/28/2020
1615	Marion	474	US	17	44.90287942	-122.5815117	Oregon	0	04/29/2020
1621	Marion	491	US	18	44.90287942	-122.5815117	Oregon	0	04/30/2020
1629	Marion	508	US	18	44.90287942	-122.5815117	Oregon	0	05/01/2020
1633	Marion	523	US	19	44.90287942	-122.5815117	Oregon	0	05/02/2020
1635	Marion	544	US	19	44.90287942	-122.5815117	Oregon	0	05/03/2020
1637	Marion	561	US	19	44.90287942	-122.5815117	Oregon	0	05/04/2020
1643	Marion	574	US	19	44.90287942	-122.5815117	Oregon	0	05/05/2020
1646	Marion	592	US	19	44.90287942	-122.5815117	Oregon	0	05/06/2020
1650	Marion	613	US	21	44.90287942	-122.5815117	Oregon	0	05/07/2020
1655	Marion	626	US	23	44.90287942	-122.58151170000001	Oregon	0	05/08/2020
1656	Marion	663	US	23	44.90287942	-122.58151170000001	Oregon	0	05/09/2020
1657	Marion	677	US	23	44.90287942	-122.58151170000001	Oregon	0	05/10/2020
1657	Marion	694	US	23	44.90287942	-122.58151170000001	Oregon	0	05/11/2020
1659	Marion	723	US	23	44.90287942	-122.58151170000001	Oregon	0	05/12/2020
1659	Marion	746	US	23	44.90287942	-122.58151170000001	Oregon	0	05/13/2020
1660	Marion	779	US	23	44.90287942	-122.58151170000001	Oregon	0	05/14/2020
1664	Marion	797	US	23	44.90287942	-122.58151170000001	Oregon	0	05/15/2020
1667	Marion	824	US	23	44.90287942	-122.58151170000001	Oregon	0	05/16/2020
1669	Marion	827	US	23	44.90287942	-122.58151170000001	Oregon	0	05/17/2020
1670	Marion	843	US	24	44.90287942	-122.58151170000001	Oregon	0	05/18/2020
1672	Marion	855	US	24	44.90287942	-122.58151170000001	Oregon	0	05/19/2020
1677	Marion	879	US	24	44.90287942	-122.58151170000001	Oregon	0	05/20/2020
1678	Marion	882	US	24	44.90287942	-122.58151170000001	Oregon	0	05/21/2020
1683	Marion	890	US	25	44.90287942	-122.58151170000001	Oregon	0	05/22/2020
1685	Marion	898	US	25	44.90287942	-122.58151170000001	Oregon	0	05/23/2020
1688	Marion	905	US	25	44.90287942	-122.58151170000001	Oregon	0	05/24/2020
1688	Marion	909	US	25	44.90287942	-122.58151170000001	Oregon	0	05/25/2020
1689	Marion	914	US	25	44.90287942	-122.58151170000001	Oregon	0	05/26/2020
1691	Marion	920	US	25	44.90287942	-122.58151170000001	Oregon	0	05/27/2020
1692	Marion	931	US	25	44.90287942	-122.58151170000001	Oregon	0	05/28/2020
1695	Marion	942	US	25	44.90287942	-122.58151170000001	Oregon	0	05/29/2020
1697	Marion	949	US	25	44.90287942	-122.58151170000001	Oregon	0	05/30/2020
1698	Marion	960	US	25	44.90287942	-122.58151170000001	Oregon	0	05/31/2020
1700	Marion	973	US	26	44.90287942	-122.58151170000001	Oregon	0	06/01/2020
1704	Marion	981	US	26	44.90287942	-122.58151170000001	Oregon	0	06/02/2020
1705	Marion	999	US	26	44.90287942	-122.58151170000001	Oregon	0	06/03/2020
1706	Marion	1011	US	26	44.90287942	-122.58151170000001	Oregon	0	06/04/2020
1708	Marion	1028	US	27	44.90287942	-122.58151170000001	Oregon	0	06/05/2020
1709	Marion	1028	US	27	44.90287942	-122.58151170000001	Oregon	0	06/06/2020
1709	Marion	1039	US	27	44.90287942	-122.58151170000001	Oregon	0	06/07/2020
1709	Marion	1058	US	27	44.90287942	-122.58151170000001	Oregon	0	06/08/2020
1711	Marion	1066	US	30	44.90287942	-122.5815117	Oregon	0	06/09/2020
1713	Marion	1071	US	30	44.90287942	-122.5815117	Oregon	0	06/10/2020
1714	Marion	1105	US	30	44.90287942	-122.5815117	Oregon	0	06/11/2020
1722	Marion	1134	US	30	44.90287942	-122.58151170000001	Oregon	0	06/12/2020
1723	Marion	1134	US	30	44.90287942	-122.58151170000001	Oregon	0	06/13/2020
1723	Marion	1134	US	30	44.90287942	-122.58151170000001	Oregon	0	06/14/2020
1725	Marion	1179	US	30	44.90287942	-122.58151170000001	Oregon	0	06/15/2020
1724	Marion	1201	US	31	44.90287942	-122.58151170000001	Oregon	0	06/16/2020
1726	Marion	1218	US	31	44.90287942	-122.58151170000001	Oregon	0	06/17/2020
1726	Marion	1244	US	33	44.90287942	-122.58151170000001	Oregon	0	06/18/2020
1726	Marion	1264	US	34	44.90287942	-122.5815117	Oregon	0	06/19/2020
1730	Marion	1264	US	34	44.90287942	-122.5815117	Oregon	0	06/20/2020
1730	Marion	1264	US	34	44.90287942	-122.5815117	Oregon	0	06/21/2020
1731	Marion	1348	US	35	44.90287942	-122.58151170000001	Oregon	0	06/22/2020
1734	Marion	1365	US	35	44.90287942	-122.58151170000001	Oregon	0	06/23/2020
1741	Marion	1378	US	36	44.90287942	-122.58151170000001	Oregon	0	06/24/2020
1746	Marion	1382	US	38	44.90287942	-122.58151170000001	Oregon	0	06/25/2020
1747	Marion	1400	US	41	44.90287942	-122.58151170000001	Oregon	0	06/26/2020
1748	Marion	1432	US	41	44.90287942	-122.5815117	Oregon	0	06/27/2020
1748	Marion	1475	US	41	44.90287942	-122.5815117	Oregon	0	06/28/2020
1749	Marion	1489	US	43	44.90287942	-122.58151170000001	Oregon	0	06/29/2020
1750	Marion	1514	US	46	44.90287942	-122.5815117	Oregon	0	06/30/2020
1750	Marion	1539	US	47	44.90287942	-122.5815117	Oregon	0	07/01/2020
1752	Marion	1564	US	47	44.90287942	-122.58151170000001	Oregon	0	07/02/2020
1755	Marion	1595	US	47	44.90287942	-122.5815117	Oregon	0	07/03/2020
1755	Marion	1610	US	47	44.90287942	-122.5815117	Oregon	0	07/04/2020
