	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2579	Oregon	US	03/22/2020	45.41846568	-119.584546	0	0	0	Morrow
2022	Oregon	US	03/23/2020	45.41846568	-119.584546	0	0	0	Morrow
2022	Oregon	US	03/24/2020	45.41846568	-119.584546	0	0	0	Morrow
2022	Oregon	US	03/25/2020	45.41846568	-119.584546	0	0	0	Morrow
2021	Oregon	US	03/26/2020	45.41846568	-119.584546	0	0	0	Morrow
2021	Oregon	US	03/27/2020	45.41846568	-119.584546	1	0	0	Morrow
2021	Oregon	US	03/28/2020	45.41846568	-119.584546	1	0	0	Morrow
2021	Oregon	US	03/29/2020	45.41846568	-119.584546	1	0	0	Morrow
2021	Oregon	US	03/30/2020	45.41846568	-119.584546	1	0	0	Morrow
1363	Oregon	US	03/31/2020	45.41846568	-119.584546	1	0	0	Morrow
1400	Oregon	US	04/01/2020	45.41846568	-119.584546	1	0	0	Morrow
1454	Oregon	US	04/02/2020	45.41846568	-119.584546	1	0	0	Morrow
1485	Oregon	US	04/03/2020	45.41846568	-119.584546	2	0	0	Morrow
1524	Oregon	US	04/04/2020	45.41846568	-119.584546	2	0	0	Morrow
1574	Oregon	US	04/05/2020	45.41846568	-119.584546	2	0	0	Morrow
1598	Oregon	US	04/06/2020	45.41846568	-119.584546	2	0	0	Morrow
1634	Oregon	US	04/07/2020	45.41846568	-119.584546	2	0	0	Morrow
1649	Oregon	US	04/08/2020	45.41846568	-119.584546	2	0	0	Morrow
1668	Oregon	US	04/09/2020	45.41846568	-119.584546	5	0	0	Morrow
1678	Oregon	US	04/10/2020	45.41846568	-119.584546	5	0	0	Morrow
1696	Oregon	US	04/11/2020	45.41846568	-119.584546	5	0	0	Morrow
1709	Oregon	US	04/12/2020	45.41846568	-119.584546	5	0	0	Morrow
1722	Oregon	US	04/13/2020	45.41846568	-119.584546	5	0	0	Morrow
1729	Oregon	US	04/14/2020	45.41846568	-119.584546	5	0	0	Morrow
1737	Oregon	US	04/15/2020	45.41846568	-119.584546	5	0	0	Morrow
1745	Oregon	US	04/16/2020	45.41846568	-119.584546	5	0	0	Morrow
1746	Oregon	US	04/17/2020	45.41846568	-119.584546	5	0	0	Morrow
1752	Oregon	US	04/18/2020	45.41846568	-119.584546	5	0	0	Morrow
1761	Oregon	US	04/19/2020	45.41846568	-119.584546	5	0	0	Morrow
1768	Oregon	US	04/20/2020	45.41846568	-119.584546	5	0	0	Morrow
1776	Oregon	US	04/21/2020	45.41846568	-119.584546	5	0	0	Morrow
1783	Oregon	US	04/22/2020	45.41846568	-119.584546	5	0	0	Morrow
1794	Oregon	US	04/23/2020	45.41846568	-119.584546	5	0	0	Morrow
1797	Oregon	US	04/24/2020	45.41846568	-119.584546	5	0	0	Morrow
1801	Oregon	US	04/25/2020	45.41846568	-119.584546	5	0	0	Morrow
1807	Oregon	US	04/26/2020	45.41846568	-119.584546	5	0	0	Morrow
1809	Oregon	US	04/27/2020	45.41846568	-119.584546	5	0	0	Morrow
1816	Oregon	US	04/28/2020	45.41846568	-119.584546	6	0	0	Morrow
1819	Oregon	US	04/29/2020	45.41846568	-119.584546	6	0	0	Morrow
1825	Oregon	US	04/30/2020	45.41846568	-119.584546	6	0	0	Morrow
1833	Oregon	US	05/01/2020	45.41846568	-119.584546	8	0	0	Morrow
1837	Oregon	US	05/02/2020	45.41846568	-119.584546	9	0	0	Morrow
1840	Oregon	US	05/03/2020	45.41846568	-119.584546	9	0	0	Morrow
1842	Oregon	US	05/04/2020	45.41846568	-119.584546	9	0	0	Morrow
1848	Oregon	US	05/05/2020	45.41846568	-119.584546	10	0	0	Morrow
1852	Oregon	US	05/06/2020	45.41846568	-119.584546	10	0	0	Morrow
1856	Oregon	US	05/07/2020	45.41846568	-119.584546	11	0	0	Morrow
1861	Oregon	US	05/08/2020	45.41846568	-119.584546	12	0	0	Morrow
1862	Oregon	US	05/09/2020	45.41846568	-119.584546	12	0	0	Morrow
1863	Oregon	US	05/10/2020	45.41846568	-119.584546	12	0	0	Morrow
1863	Oregon	US	05/11/2020	45.41846568	-119.584546	12	0	0	Morrow
1866	Oregon	US	05/12/2020	45.41846568	-119.584546	12	0	0	Morrow
1866	Oregon	US	05/13/2020	45.41846568	-119.584546	12	0	0	Morrow
1867	Oregon	US	05/14/2020	45.41846568	-119.584546	12	0	0	Morrow
1871	Oregon	US	05/15/2020	45.41846568	-119.584546	12	0	0	Morrow
1874	Oregon	US	05/16/2020	45.41846568	-119.584546	12	0	0	Morrow
1876	Oregon	US	05/17/2020	45.41846568	-119.584546	12	0	0	Morrow
1877	Oregon	US	05/18/2020	45.41846568	-119.584546	12	0	0	Morrow
1879	Oregon	US	05/19/2020	45.41846568	-119.584546	12	0	0	Morrow
1884	Oregon	US	05/20/2020	45.41846568	-119.584546	12	0	0	Morrow
1885	Oregon	US	05/21/2020	45.41846568	-119.584546	12	0	0	Morrow
1890	Oregon	US	05/22/2020	45.41846568	-119.584546	12	0	0	Morrow
1892	Oregon	US	05/23/2020	45.41846568	-119.584546	12	0	0	Morrow
1895	Oregon	US	05/24/2020	45.41846568	-119.584546	12	0	0	Morrow
1895	Oregon	US	05/25/2020	45.41846568	-119.584546	12	0	0	Morrow
1896	Oregon	US	05/26/2020	45.41846568	-119.584546	12	0	0	Morrow
1898	Oregon	US	05/27/2020	45.41846568	-119.584546	12	0	0	Morrow
1899	Oregon	US	05/28/2020	45.41846568	-119.584546	12	0	0	Morrow
1902	Oregon	US	05/29/2020	45.41846568	-119.584546	12	0	0	Morrow
1904	Oregon	US	05/30/2020	45.41846568	-119.584546	11	0	0	Morrow
1905	Oregon	US	05/31/2020	45.41846568	-119.584546	11	0	0	Morrow
1907	Oregon	US	06/01/2020	45.41846568	-119.584546	12	0	0	Morrow
1911	Oregon	US	06/02/2020	45.41846568	-119.584546	12	0	0	Morrow
1912	Oregon	US	06/03/2020	45.41846568	-119.584546	12	0	0	Morrow
1913	Oregon	US	06/04/2020	45.41846568	-119.584546	12	0	0	Morrow
1915	Oregon	US	06/05/2020	45.41846568	-119.584546	12	0	0	Morrow
1916	Oregon	US	06/06/2020	45.41846568	-119.584546	12	0	0	Morrow
1916	Oregon	US	06/07/2020	45.41846568	-119.584546	13	0	0	Morrow
1916	Oregon	US	06/08/2020	45.41846568	-119.584546	13	0	0	Morrow
1918	Oregon	US	06/09/2020	45.41846568	-119.584546	13	0	0	Morrow
1920	Oregon	US	06/10/2020	45.41846568	-119.584546	13	0	0	Morrow
1921	Oregon	US	06/11/2020	45.41846568	-119.584546	13	0	0	Morrow
1931	Oregon	US	06/12/2020	45.41846568	-119.584546	13	0	0	Morrow
1933	Oregon	US	06/13/2020	45.41846568	-119.584546	13	0	0	Morrow
1933	Oregon	US	06/14/2020	45.41846568	-119.584546	13	0	0	Morrow
1935	Oregon	US	06/15/2020	45.41846568	-119.584546	15	0	0	Morrow
1934	Oregon	US	06/16/2020	45.41846568	-119.584546	17	0	0	Morrow
1936	Oregon	US	06/17/2020	45.41846568	-119.584546	18	0	0	Morrow
1936	Oregon	US	06/18/2020	45.41846568	-119.584546	22	0	0	Morrow
1936	Oregon	US	06/19/2020	45.41846568	-119.584546	27	0	0	Morrow
1940	Oregon	US	06/20/2020	45.41846568	-119.584546	27	0	0	Morrow
1940	Oregon	US	06/21/2020	45.41846568	-119.584546	27	0	0	Morrow
1942	Oregon	US	06/22/2020	45.41846568	-119.584546	32	1	0	Morrow
1945	Oregon	US	06/23/2020	45.41846568	-119.584546	35	1	0	Morrow
1953	Oregon	US	06/24/2020	45.41846568	-119.584546	35	1	0	Morrow
1958	Oregon	US	06/25/2020	45.41846568	-119.584546	36	1	0	Morrow
1959	Oregon	US	06/26/2020	45.41846568	-119.584546	48	2	0	Morrow
1960	Oregon	US	06/27/2020	45.41846568	-119.584546	53	1	0	Morrow
1960	Oregon	US	06/28/2020	45.41846568	-119.584546	61	1	0	Morrow
1961	Oregon	US	06/29/2020	45.41846568	-119.584546	61	1	0	Morrow
1962	Oregon	US	06/30/2020	45.41846568	-119.584546	61	1	0	Morrow
1962	Oregon	US	07/01/2020	45.41846568	-119.584546	64	1	0	Morrow
1964	Oregon	US	07/02/2020	45.41846568	-119.584546	72	1	0	Morrow
1967	Oregon	US	07/03/2020	45.41846568	-119.584546	82	1	0	Morrow
1967	Oregon	US	07/04/2020	45.41846568	-119.584546	93	1	0	Morrow
1967	Oregon	US	07/05/2020	45.41846568	-119.584546	102	1	0	Morrow
1970	Oregon	US	07/06/2020	45.41846568	-119.584546	107	1	0	Morrow
1970	Oregon	US	07/07/2020	45.41846568	-119.584546	109	1	0	Morrow
1973	Oregon	US	07/08/2020	45.41846568	-119.584546	119	1	0	Morrow
1972	Oregon	US	07/09/2020	45.41846568	-119.584546	132	1	0	Morrow
1975	Oregon	US	07/10/2020	45.41846568	-119.584546	131	1	0	Morrow
1975	Oregon	US	07/11/2020	45.41846568	-119.584546	138	1	0	Morrow
1977	Oregon	US	07/12/2020	45.41846568	-119.584546	145	1	0	Morrow
1979	Oregon	US	07/13/2020	45.41846568	-119.584546	154	1	0	Morrow
1982	Oregon	US	07/14/2020	45.41846568	-119.584546	161	1	0	Morrow
1982	Oregon	US	07/15/2020	45.41846568	-119.584546	165	1	0	Morrow
1984	Oregon	US	07/16/2020	45.41846568	-119.584546	173	1	0	Morrow
1984	Oregon	US	07/17/2020	45.41846568	-119.584546	176	1	0	Morrow
2036	Oregon	US	07/18/2020	45.41846568	-119.584546	186	1	0	Morrow
2037	Oregon	US	07/19/2020	45.41846568	-119.584546	194	1	0	Morrow
1989	Oregon	US	07/20/2020	45.41846568	-119.584546	195	1	0	Morrow
2040	Oregon	US	07/21/2020	45.41846568	-119.584546	205	1	0	Morrow
2041	Oregon	US	07/22/2020	45.41846568	-119.584546	208	1	0	Morrow
2042	Oregon	US	07/23/2020	45.41846568	-119.584546	212	1	0	Morrow
2041	Oregon	US	07/24/2020	45.41846568	-119.584546	222	1	0	Morrow
2042	Oregon	US	07/25/2020	45.41846568	-119.584546	222	1	0	Morrow
2043	Oregon	US	07/26/2020	45.41846568	-119.584546	245	1	0	Morrow
2043	Oregon	US	07/27/2020	45.41846568	-119.584546	250	1	0	Morrow
2043	Oregon	US	07/28/2020	45.41846568	-119.584546	256	1	0	Morrow
2046	Oregon	US	07/29/2020	45.41846568	-119.584546	260	2	0	Morrow
2046	Oregon	US	07/30/2020	45.41846568	-119.584546	271	2	0	Morrow
2047	Oregon	US	07/31/2020	45.41846568	-119.584546	289	2	0	Morrow
2047	Oregon	US	08/01/2020	45.41846568	-119.584546	296	1	0	Morrow
2047	Oregon	US	08/02/2020	45.41846568	-119.584546	304	1	0	Morrow
2047	Oregon	US	08/03/2020	45.41846568	-119.584546	305	1	0	Morrow
2047	Oregon	US	08/04/2020	45.41846568	-119.584546	316	2	0	Morrow
2050	Oregon	US	08/05/2020	45.41846568	-119.584546	327	2	0	Morrow
2050	Oregon	US	08/06/2020	45.41846568	-119.584546	329	3	0	Morrow
2050	Oregon	US	08/07/2020	45.41846568	-119.584546	349	3	0	Morrow
2050	Oregon	US	08/08/2020	45.41846568	-119.584546	354	3	0	Morrow
2050	Oregon	US	08/09/2020	45.41846568	-119.584546	357	3	0	Morrow
2050	Oregon	US	08/10/2020	45.41846568	-119.584546	372	3	0	Morrow
2947	Oregon	US	08/11/2020	45.41846568	-119.584546	377	3	0	Morrow
2901	Oregon	US	08/12/2020	45.41846568	-119.584546	378	3	0	Morrow
2902	Oregon	US	08/13/2020	45.41846568	-119.584546	384	3	0	Morrow
2902	Oregon	US	08/14/2020	45.41846568	-119.584546	393	3	0	Morrow
2902	Oregon	US	08/15/2020	45.41846568	-119.584546	400	3	0	Morrow
2902	Oregon	US	08/16/2020	45.41846568	-119.584546	407	3	0	Morrow
