	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
465	Pennsylvania	US	03/22/2020	39.87140411	-77.21610347	5	0	0	Adams
17	Pennsylvania	US	03/23/2020	39.87140411	-77.21610347	6	0	0	Adams
17	Pennsylvania	US	03/24/2020	39.87140411	-77.21610347	6	0	0	Adams
17	Pennsylvania	US	03/25/2020	39.87140411	-77.21610347	6	0	0	Adams
17	Pennsylvania	US	03/26/2020	39.87140411	-77.21610347	7	0	0	Adams
17	Pennsylvania	US	03/27/2020	39.87140411	-77.21610347	8	0	0	Adams
17	Pennsylvania	US	03/28/2020	39.87140411	-77.21610347	8	0	0	Adams
17	Pennsylvania	US	03/29/2020	39.87140411	-77.21610347	8	0	0	Adams
17	Pennsylvania	US	03/30/2020	39.87140411	-77.21610347	8	0	0	Adams
12	Pennsylvania	US	03/31/2020	39.87140411	-77.21610347	9	0	0	Adams
12	Pennsylvania	US	04/01/2020	39.87140411	-77.21610347	12	0	0	Adams
13	Pennsylvania	US	04/02/2020	39.87140411	-77.21610347	18	0	0	Adams
13	Pennsylvania	US	04/03/2020	39.87140411	-77.21610347	19	0	0	Adams
15	Pennsylvania	US	04/04/2020	39.87140411	-77.21610347	21	0	0	Adams
15	Pennsylvania	US	04/05/2020	39.87140411	-77.21610347	22	0	0	Adams
15	Pennsylvania	US	04/06/2020	39.87140411	-77.21610347	25	0	0	Adams
15	Pennsylvania	US	04/07/2020	39.87140411	-77.21610347	28	0	0	Adams
15	Pennsylvania	US	04/08/2020	39.87140411	-77.21610347	33	0	0	Adams
15	Pennsylvania	US	04/09/2020	39.87140411	-77.21610347	38	1	0	Adams
15	Pennsylvania	US	04/10/2020	39.87140411	-77.21610347	43	1	0	Adams
15	Pennsylvania	US	04/11/2020	39.87140411	-77.21610347	44	1	0	Adams
15	Pennsylvania	US	04/12/2020	39.87140411	-77.21610347	48	1	0	Adams
15	Pennsylvania	US	04/13/2020	39.87140411	-77.21610347	56	1	0	Adams
15	Pennsylvania	US	04/14/2020	39.87140411	-77.21610347	63	1	0	Adams
15	Pennsylvania	US	04/15/2020	39.87140411	-77.21610347	64	1	0	Adams
15	Pennsylvania	US	04/16/2020	39.87140411	-77.21610347	67	1	0	Adams
15	Pennsylvania	US	04/17/2020	39.87140411	-77.21610347	70	1	0	Adams
15	Pennsylvania	US	04/18/2020	39.87140411	-77.21610347	74	1	0	Adams
15	Pennsylvania	US	04/19/2020	39.87140411	-77.21610347	80	1	0	Adams
15	Pennsylvania	US	04/20/2020	39.87140411	-77.21610347	85	1	0	Adams
15	Pennsylvania	US	04/21/2020	39.87140411	-77.21610347	91	2	0	Adams
15	Pennsylvania	US	04/22/2020	39.87140411	-77.21610347	92	2	0	Adams
15	Pennsylvania	US	04/23/2020	39.87140411	-77.21610347	95	2	0	Adams
15	Pennsylvania	US	04/24/2020	39.87140411	-77.21610347	110	2	0	Adams
15	Pennsylvania	US	04/25/2020	39.87140411	-77.21610347	113	1	0	Adams
15	Pennsylvania	US	04/26/2020	39.87140411	-77.21610347	117	1	0	Adams
15	Pennsylvania	US	04/27/2020	39.87140411	-77.21610347	122	1	0	Adams
15	Pennsylvania	US	04/28/2020	39.87140411	-77.21610347	124	1	0	Adams
15	Pennsylvania	US	04/29/2020	39.87140411	-77.21610347	130	4	0	Adams
15	Pennsylvania	US	04/30/2020	39.87140411	-77.21610347	137	4	0	Adams
15	Pennsylvania	US	05/01/2020	39.87140411	-77.21610347	140	4	0	Adams
15	Pennsylvania	US	05/02/2020	39.87140411	-77.21610347	141	4	0	Adams
15	Pennsylvania	US	05/03/2020	39.87140411	-77.21610347	145	4	0	Adams
15	Pennsylvania	US	05/04/2020	39.87140411	-77.21610347	148	4	0	Adams
15	Pennsylvania	US	05/05/2020	39.87140411	-77.21610347	148	5	0	Adams
15	Pennsylvania	US	05/06/2020	39.87140411	-77.21610347	148	5	0	Adams
15	Pennsylvania	US	05/07/2020	39.87140411	-77.21610347	151	5	0	Adams
15	Pennsylvania	US	05/08/2020	39.87140411	-77.21610347	154	5	0	Adams
15	Pennsylvania	US	05/09/2020	39.87140411	-77.21610347	156	5	0	Adams
15	Pennsylvania	US	05/10/2020	39.87140411	-77.21610347	159	5	0	Adams
15	Pennsylvania	US	05/11/2020	39.87140411	-77.21610347	167	5	0	Adams
15	Pennsylvania	US	05/12/2020	39.87140411	-77.21610347	167	5	0	Adams
15	Pennsylvania	US	05/13/2020	39.87140411	-77.21610347	169	5	0	Adams
15	Pennsylvania	US	05/14/2020	39.87140411	-77.21610347	174	5	0	Adams
15	Pennsylvania	US	05/15/2020	39.87140411	-77.21610347	183	6	0	Adams
15	Pennsylvania	US	05/16/2020	39.87140411	-77.21610347	185	6	0	Adams
16	Pennsylvania	US	05/17/2020	39.87140411	-77.21610347	189	6	0	Adams
16	Pennsylvania	US	05/18/2020	39.87140411	-77.21610347	194	5	0	Adams
16	Pennsylvania	US	05/19/2020	39.87140411	-77.21610347	194	5	0	Adams
16	Pennsylvania	US	05/20/2020	39.87140411	-77.21610347	197	5	0	Adams
16	Pennsylvania	US	05/21/2020	39.87140411	-77.21610347	204	5	0	Adams
16	Pennsylvania	US	05/22/2020	39.87140411	-77.21610347	214	5	0	Adams
16	Pennsylvania	US	05/23/2020	39.87140411	-77.21610347	222	6	0	Adams
16	Pennsylvania	US	05/24/2020	39.87140411	-77.21610347	226	7	0	Adams
16	Pennsylvania	US	05/25/2020	39.87140411	-77.21610347	227	7	0	Adams
16	Pennsylvania	US	05/26/2020	39.87140411	-77.21610347	233	7	0	Adams
16	Pennsylvania	US	05/27/2020	39.87140411	-77.21610347	236	7	0	Adams
16	Pennsylvania	US	05/28/2020	39.87140411	-77.21610347	240	7	0	Adams
16	Pennsylvania	US	05/29/2020	39.87140411	-77.21610347	241	7	0	Adams
16	Pennsylvania	US	05/30/2020	39.87140411	-77.21610347	245	8	0	Adams
16	Pennsylvania	US	05/31/2020	39.87140411	-77.21610347	251	8	0	Adams
16	Pennsylvania	US	06/01/2020	39.87140411	-77.21610347	250	8	0	Adams
16	Pennsylvania	US	06/02/2020	39.87140411	-77.21610347	255	8	0	Adams
16	Pennsylvania	US	06/03/2020	39.87140411	-77.21610347	260	8	0	Adams
16	Pennsylvania	US	06/04/2020	39.87140411	-77.21610347	263	8	0	Adams
16	Pennsylvania	US	06/05/2020	39.87140411	-77.21610347	264	8	0	Adams
16	Pennsylvania	US	06/06/2020	39.87140411	-77.21610347	269	8	0	Adams
16	Pennsylvania	US	06/07/2020	39.87140411	-77.21610347	273	8	0	Adams
16	Pennsylvania	US	06/08/2020	39.87140411	-77.21610347	275	8	0	Adams
16	Pennsylvania	US	06/09/2020	39.87140411	-77.21610347	275	9	0	Adams
