	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
453	Pennsylvania	US	03/22/2020	40.33682119	-75.10836643	34	0	0	Bucks
302	Pennsylvania	US	03/23/2020	40.33682119	-75.10836643	43	0	0	Bucks
302	Pennsylvania	US	03/24/2020	40.33682119	-75.10836643	69	0	0	Bucks
302	Pennsylvania	US	03/25/2020	40.33682119	-75.10836643	86	0	0	Bucks
302	Pennsylvania	US	03/26/2020	40.33682119	-75.10836643	110	0	0	Bucks
302	Pennsylvania	US	03/27/2020	40.33682119	-75.10836643	144	0	0	Bucks
302	Pennsylvania	US	03/28/2020	40.33682119	-75.10836643	152	0	0	Bucks
302	Pennsylvania	US	03/29/2020	40.33682119	-75.10836643	216	1	0	Bucks
302	Pennsylvania	US	03/30/2020	40.33682119	-75.10836643	249	4	0	Bucks
208	Pennsylvania	US	03/31/2020	40.33682119	-75.10836643	288	3	0	Bucks
213	Pennsylvania	US	04/01/2020	40.33682119	-75.10836643	313	6	0	Bucks
221	Pennsylvania	US	04/02/2020	40.33682119	-75.10836643	371	6	0	Bucks
222	Pennsylvania	US	04/03/2020	40.33682119	-75.10836643	448	8	0	Bucks
226	Pennsylvania	US	04/04/2020	40.33682119	-75.10836643	510	11	0	Bucks
236	Pennsylvania	US	04/05/2020	40.33682119	-75.10836643	576	14	0	Bucks
237	Pennsylvania	US	04/06/2020	40.33682119	-75.10836643	645	17	0	Bucks
243	Pennsylvania	US	04/07/2020	40.33682119	-75.10836643	715	21	0	Bucks
246	Pennsylvania	US	04/08/2020	40.33682119	-75.10836643	796	24	0	Bucks
248	Pennsylvania	US	04/09/2020	40.33682119	-75.10836643	921	25	0	Bucks
249	Pennsylvania	US	04/10/2020	40.33682119	-75.10836643	1010	28	0	Bucks
252	Pennsylvania	US	04/11/2020	40.33682119	-75.10836643	1104	32	0	Bucks
255	Pennsylvania	US	04/12/2020	40.33682119	-75.10836643	1157	35	0	Bucks
257	Pennsylvania	US	04/13/2020	40.33682119	-75.10836643	1201	38	0	Bucks
