	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2589	Pennsylvania	US	03/22/2020	40.49527404	-78.71377428	0	0	0	Cambria
364	Pennsylvania	US	03/23/2020	40.49527404	-78.71377428	1	0	0	Cambria
364	Pennsylvania	US	03/24/2020	40.49527404	-78.71377428	1	0	0	Cambria
364	Pennsylvania	US	03/25/2020	40.49527404	-78.71377428	1	0	0	Cambria
364	Pennsylvania	US	03/26/2020	40.49527404	-78.71377428	1	0	0	Cambria
364	Pennsylvania	US	03/27/2020	40.49527404	-78.71377428	1	0	0	Cambria
364	Pennsylvania	US	03/28/2020	40.49527404	-78.71377428	1	0	0	Cambria
364	Pennsylvania	US	03/29/2020	40.49527404	-78.71377428	1	0	0	Cambria
364	Pennsylvania	US	03/30/2020	40.49527404	-78.71377428	2	0	0	Cambria
253	Pennsylvania	US	03/31/2020	40.49527404	-78.71377428	2	0	0	Cambria
261	Pennsylvania	US	04/01/2020	40.49527404	-78.71377428	3	0	0	Cambria
269	Pennsylvania	US	04/02/2020	40.49527404	-78.71377428	4	0	0	Cambria
271	Pennsylvania	US	04/03/2020	40.49527404	-78.71377428	4	0	0	Cambria
276	Pennsylvania	US	04/04/2020	40.49527404	-78.71377428	6	0	0	Cambria
288	Pennsylvania	US	04/05/2020	40.49527404	-78.71377428	7	0	0	Cambria
289	Pennsylvania	US	04/06/2020	40.49527404	-78.71377428	7	0	0	Cambria
296	Pennsylvania	US	04/07/2020	40.49527404	-78.71377428	7	1	0	Cambria
300	Pennsylvania	US	04/08/2020	40.49527404	-78.71377428	9	1	0	Cambria
303	Pennsylvania	US	04/09/2020	40.49527404	-78.71377428	10	1	0	Cambria
304	Pennsylvania	US	04/10/2020	40.49527404	-78.71377428	11	1	0	Cambria
307	Pennsylvania	US	04/11/2020	40.49527404	-78.71377428	13	1	0	Cambria
310	Pennsylvania	US	04/12/2020	40.49527404	-78.71377428	13	1	0	Cambria
312	Pennsylvania	US	04/13/2020	40.49527404	-78.71377428	14	1	0	Cambria
313	Pennsylvania	US	04/14/2020	40.49527404	-78.71377428	14	1	0	Cambria
315	Pennsylvania	US	04/15/2020	40.49527404	-78.71377428	14	1	0	Cambria
315	Pennsylvania	US	04/16/2020	40.49527404	-78.71377428	14	1	0	Cambria
317	Pennsylvania	US	04/17/2020	40.49527404	-78.71377428	14	1	0	Cambria
318	Pennsylvania	US	04/18/2020	40.49527404	-78.71377428	17	1	0	Cambria
318	Pennsylvania	US	04/19/2020	40.49527404	-78.71377428	19	1	0	Cambria
318	Pennsylvania	US	04/20/2020	40.49527404	-78.71377428	19	1	0	Cambria
319	Pennsylvania	US	04/21/2020	40.49527404	-78.71377428	20	2	0	Cambria
320	Pennsylvania	US	04/22/2020	40.49527404	-78.71377428	21	2	0	Cambria
320	Pennsylvania	US	04/23/2020	40.49527404	-78.71377428	20	2	0	Cambria
320	Pennsylvania	US	04/24/2020	40.49527404	-78.71377428	20	2	0	Cambria
320	Pennsylvania	US	04/25/2020	40.49527404	-78.71377428	21	1	0	Cambria
321	Pennsylvania	US	04/26/2020	40.49527404	-78.71377428	21	1	0	Cambria
