	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
473	Pennsylvania	US	03/22/2020	40.92058903	-77.82200624	1	0	0	Centre
440	Pennsylvania	US	03/23/2020	40.92058903	-77.82200624	3	0	0	Centre
440	Pennsylvania	US	03/24/2020	40.92058903	-77.82200624	7	0	0	Centre
440	Pennsylvania	US	03/25/2020	40.92058903	-77.82200624	8	0	0	Centre
440	Pennsylvania	US	03/26/2020	40.92058903	-77.82200624	9	0	0	Centre
440	Pennsylvania	US	03/27/2020	40.92058903	-77.82200624	11	0	0	Centre
440	Pennsylvania	US	03/28/2020	40.92058903	-77.82200624	15	0	0	Centre
440	Pennsylvania	US	03/29/2020	40.92058903	-77.82200624	22	0	0	Centre
440	Pennsylvania	US	03/30/2020	40.92058903	-77.82200624	24	0	0	Centre
309	Pennsylvania	US	03/31/2020	40.92058903	-77.82200624	26	0	0	Centre
318	Pennsylvania	US	04/01/2020	40.92058903	-77.82200624	27	0	0	Centre
328	Pennsylvania	US	04/02/2020	40.92058903	-77.82200624	28	0	0	Centre
332	Pennsylvania	US	04/03/2020	40.92058903	-77.82200624	32	0	0	Centre
339	Pennsylvania	US	04/04/2020	40.92058903	-77.82200624	39	0	0	Centre
352	Pennsylvania	US	04/05/2020	40.92058903	-77.82200624	43	0	0	Centre
353	Pennsylvania	US	04/06/2020	40.92058903	-77.82200624	44	0	0	Centre
361	Pennsylvania	US	04/07/2020	40.92058903	-77.82200624	55	0	0	Centre
365	Pennsylvania	US	04/08/2020	40.92058903	-77.82200624	57	0	0	Centre
368	Pennsylvania	US	04/09/2020	40.92058903	-77.82200624	59	0	0	Centre
369	Pennsylvania	US	04/10/2020	40.92058903	-77.82200624	61	0	0	Centre
373	Pennsylvania	US	04/11/2020	40.92058903	-77.82200624	69	0	0	Centre
376	Pennsylvania	US	04/12/2020	40.92058903	-77.82200624	70	0	0	Centre
379	Pennsylvania	US	04/13/2020	40.92058903	-77.82200624	70	0	0	Centre
380	Pennsylvania	US	04/14/2020	40.92058903	-77.82200624	70	0	0	Centre
383	Pennsylvania	US	04/15/2020	40.92058903	-77.82200624	72	0	0	Centre
383	Pennsylvania	US	04/16/2020	40.92058903	-77.82200624	73	0	0	Centre
384	Pennsylvania	US	04/17/2020	40.92058903	-77.82200624	73	1	0	Centre
385	Pennsylvania	US	04/18/2020	40.92058903	-77.82200624	73	1	0	Centre
387	Pennsylvania	US	04/19/2020	40.92058903	-77.82200624	73	1	0	Centre
387	Pennsylvania	US	04/20/2020	40.92058903	-77.82200624	73	1	0	Centre
389	Pennsylvania	US	04/21/2020	40.92058903	-77.82200624	77	2	0	Centre
391	Pennsylvania	US	04/22/2020	40.92058903	-77.82200624	77	2	0	Centre
392	Pennsylvania	US	04/23/2020	40.92058903	-77.82200624	76	2	0	Centre
392	Pennsylvania	US	04/24/2020	40.92058903	-77.82200624	77	2	0	Centre
392	Pennsylvania	US	04/25/2020	40.92058903	-77.82200624	81	1	0	Centre
393	Pennsylvania	US	04/26/2020	40.92058903	-77.82200624	81	1	0	Centre
394	Pennsylvania	US	04/27/2020	40.92058903	-77.82200624	87	1	0	Centre
395	Pennsylvania	US	04/28/2020	40.92058903	-77.82200624	93	1	0	Centre
395	Pennsylvania	US	04/29/2020	40.92058903	-77.82200624	95	1	0	Centre
395	Pennsylvania	US	04/30/2020	40.92058903	-77.82200624	96	1	0	Centre
398	Pennsylvania	US	05/01/2020	40.92058903	-77.82200624	96	1	0	Centre
399	Pennsylvania	US	05/02/2020	40.92058903	-77.82200624	96	1	0	Centre
400	Pennsylvania	US	05/03/2020	40.92058903	-77.82200624	102	1	0	Centre
401	Pennsylvania	US	05/04/2020	40.92058903	-77.82200624	105	1	0	Centre
403	Pennsylvania	US	05/05/2020	40.92058903	-77.82200624	106	1	0	Centre
404	Pennsylvania	US	05/06/2020	40.92058903	-77.82200624	113	1	0	Centre
405	Pennsylvania	US	05/07/2020	40.92058903	-77.82200624	116	1	0	Centre
405	Pennsylvania	US	05/08/2020	40.92058903	-77.82200624	117	1	0	Centre
405	Pennsylvania	US	05/09/2020	40.92058903	-77.82200624	117	2	0	Centre
406	Pennsylvania	US	05/10/2020	40.92058903	-77.82200624	119	2	0	Centre
406	Pennsylvania	US	05/11/2020	40.92058903	-77.82200624	119	2	0	Centre
406	Pennsylvania	US	05/12/2020	40.92058903	-77.82200624	122	2	0	Centre
406	Pennsylvania	US	05/13/2020	40.92058903	-77.82200624	126	4	0	Centre
407	Pennsylvania	US	05/14/2020	40.92058903	-77.82200624	128	6	0	Centre
408	Pennsylvania	US	05/15/2020	40.92058903	-77.82200624	129	6	0	Centre
409	Pennsylvania	US	05/16/2020	40.92058903	-77.82200624	129	6	0	Centre
410	Pennsylvania	US	05/17/2020	40.92058903	-77.82200624	131	6	0	Centre
411	Pennsylvania	US	05/18/2020	40.92058903	-77.82200624	133	5	0	Centre
413	Pennsylvania	US	05/19/2020	40.92058903	-77.82200624	132	5	0	Centre
413	Pennsylvania	US	05/20/2020	40.92058903	-77.82200624	133	5	0	Centre
413	Pennsylvania	US	05/21/2020	40.92058903	-77.82200624	136	5	0	Centre
414	Pennsylvania	US	05/22/2020	40.92058903	-77.82200624	138	5	0	Centre
414	Pennsylvania	US	05/23/2020	40.92058903	-77.82200624	143	6	0	Centre
414	Pennsylvania	US	05/24/2020	40.92058903	-77.82200624	146	6	0	Centre
414	Pennsylvania	US	05/25/2020	40.92058903	-77.82200624	147	6	0	Centre
414	Pennsylvania	US	05/26/2020	40.92058903	-77.82200624	148	6	0	Centre
415	Pennsylvania	US	05/27/2020	40.92058903	-77.82200624	149	6	0	Centre
415	Pennsylvania	US	05/28/2020	40.92058903	-77.82200624	150	6	0	Centre
415	Pennsylvania	US	05/29/2020	40.92058903	-77.82200624	151	6	0	Centre
415	Pennsylvania	US	05/30/2020	40.92058903	-77.82200624	152	7	0	Centre
415	Pennsylvania	US	05/31/2020	40.92058903	-77.82200624	153	7	0	Centre
416	Pennsylvania	US	06/01/2020	40.92058903	-77.82200624	154	7	0	Centre
416	Pennsylvania	US	06/02/2020	40.92058903	-77.82200624	154	7	0	Centre
416	Pennsylvania	US	06/03/2020	40.92058903	-77.82200624	154	7	0	Centre
416	Pennsylvania	US	06/04/2020	40.92058903	-77.82200624	154	7	0	Centre
417	Pennsylvania	US	06/05/2020	40.92058903	-77.82200624	154	7	0	Centre
417	Pennsylvania	US	06/06/2020	40.92058903	-77.82200624	155	7	0	Centre
417	Pennsylvania	US	06/07/2020	40.92058903	-77.82200624	156	7	0	Centre
417	Pennsylvania	US	06/08/2020	40.92058903	-77.82200624	157	7	0	Centre
417	Pennsylvania	US	06/09/2020	40.92058903	-77.82200624	157	7	0	Centre
418	Pennsylvania	US	06/10/2020	40.92058903	-77.82200624	158	7	0	Centre
419	Pennsylvania	US	06/11/2020	40.92058903	-77.82200624	158	7	0	Centre
420	Pennsylvania	US	06/12/2020	40.92058903	-77.82200624	165	7	0	Centre
420	Pennsylvania	US	06/13/2020	40.92058903	-77.82200624	167	7	0	Centre
420	Pennsylvania	US	06/14/2020	40.92058903	-77.82200624	169	7	0	Centre
421	Pennsylvania	US	06/15/2020	40.92058903	-77.82200624	171	6	0	Centre
421	Pennsylvania	US	06/16/2020	40.92058903	-77.82200624	177	6	0	Centre
421	Pennsylvania	US	06/17/2020	40.92058903	-77.82200624	172	6	0	Centre
421	Pennsylvania	US	06/18/2020	40.92058903	-77.82200624	172	6	0	Centre
421	Pennsylvania	US	06/19/2020	40.92058903	-77.82200624	176	6	0	Centre
423	Pennsylvania	US	06/20/2020	40.92058903	-77.82200624	180	6	0	Centre
423	Pennsylvania	US	06/21/2020	40.92058903	-77.82200624	180	6	0	Centre
423	Pennsylvania	US	06/22/2020	40.92058903	-77.82200624	184	6	0	Centre
423	Pennsylvania	US	06/23/2020	40.92058903	-77.82200624	195	6	0	Centre
425	Pennsylvania	US	06/24/2020	40.92058903	-77.82200624	196	6	0	Centre
426	Pennsylvania	US	06/25/2020	40.92058903	-77.82200624	197	6	0	Centre
426	Pennsylvania	US	06/26/2020	40.92058903	-77.82200624	198	6	0	Centre
426	Pennsylvania	US	06/27/2020	40.92058903	-77.82200624	200	7	0	Centre
426	Pennsylvania	US	06/28/2020	40.92058903	-77.82200624	201	7	0	Centre
426	Pennsylvania	US	06/29/2020	40.92058903	-77.82200624	201	7	0	Centre
427	Pennsylvania	US	06/30/2020	40.92058903	-77.82200624	201	7	0	Centre
427	Pennsylvania	US	07/01/2020	40.92058903	-77.82200624	205	7	0	Centre
428	Pennsylvania	US	07/02/2020	40.92058903	-77.82200624	211	7	0	Centre
429	Pennsylvania	US	07/03/2020	40.92058903	-77.82200624	218	7	0	Centre
429	Pennsylvania	US	07/04/2020	40.92058903	-77.82200624	224	7	0	Centre
429	Pennsylvania	US	07/05/2020	40.92058903	-77.82200624	227	8	0	Centre
429	Pennsylvania	US	07/06/2020	40.92058903	-77.82200624	228	8	0	Centre
429	Pennsylvania	US	07/07/2020	40.92058903	-77.82200624	230	8	0	Centre
430	Pennsylvania	US	07/08/2020	40.92058903	-77.82200624	232	8	0	Centre
430	Pennsylvania	US	07/09/2020	40.92058903	-77.82200624	235	8	0	Centre
431	Pennsylvania	US	07/10/2020	40.92058903	-77.82200624	239	8	0	Centre
431	Pennsylvania	US	07/11/2020	40.92058903	-77.82200624	241	8	0	Centre
431	Pennsylvania	US	07/12/2020	40.92058903	-77.82200624	243	8	0	Centre
431	Pennsylvania	US	07/13/2020	40.92058903	-77.82200624	251	8	0	Centre
431	Pennsylvania	US	07/14/2020	40.92058903	-77.82200624	253	8	0	Centre
431	Pennsylvania	US	07/15/2020	40.92058903	-77.82200624	262	8	0	Centre
432	Pennsylvania	US	07/16/2020	40.92058903	-77.82200624	262	9	0	Centre
432	Pennsylvania	US	07/17/2020	40.92058903	-77.82200624	270	9	0	Centre
451	Pennsylvania	US	07/18/2020	40.92058903	-77.82200624	277	9	0	Centre
451	Pennsylvania	US	07/19/2020	40.92058903	-77.82200624	279	9	0	Centre
440	Pennsylvania	US	07/20/2020	40.92058903	-77.82200624	288	9	0	Centre
452	Pennsylvania	US	07/21/2020	40.92058903	-77.82200624	294	9	0	Centre
452	Pennsylvania	US	07/22/2020	40.92058903	-77.82200624	299	9	0	Centre
453	Pennsylvania	US	07/23/2020	40.92058903	-77.82200624	304	9	0	Centre
453	Pennsylvania	US	07/24/2020	40.92058903	-77.82200624	306	9	0	Centre
453	Pennsylvania	US	07/25/2020	40.92058903	-77.82200624	313	9	0	Centre
453	Pennsylvania	US	07/26/2020	40.92058903	-77.82200624	356	9	0	Centre
453	Pennsylvania	US	07/27/2020	40.92058903	-77.82200624	357	9	0	Centre
453	Pennsylvania	US	07/28/2020	40.92058903	-77.82200624	365	10	0	Centre
453	Pennsylvania	US	07/29/2020	40.92058903	-77.82200624	370	10	0	Centre
453	Pennsylvania	US	07/30/2020	40.92058903	-77.82200624	353	10	0	Centre
453	Pennsylvania	US	07/31/2020	40.92058903	-77.82200624	357	10	0	Centre
453	Pennsylvania	US	08/01/2020	40.92058903	-77.82200624	354	10	0	Centre
453	Pennsylvania	US	08/02/2020	40.92058903	-77.82200624	357	10	0	Centre
453	Pennsylvania	US	08/03/2020	40.92058903	-77.82200624	358	10	0	Centre
453	Pennsylvania	US	08/04/2020	40.92058903	-77.82200624	359	10	0	Centre
454	Pennsylvania	US	08/05/2020	40.92058903	-77.82200624	361	10	0	Centre
454	Pennsylvania	US	08/06/2020	40.92058903	-77.82200624	364	10	0	Centre
454	Pennsylvania	US	08/07/2020	40.92058903	-77.82200624	368	10	0	Centre
454	Pennsylvania	US	08/08/2020	40.92058903	-77.82200624	370	10	0	Centre
454	Pennsylvania	US	08/09/2020	40.92058903	-77.82200624	372	10	0	Centre
