	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2594	Pennsylvania	US	03/22/2020	41.23255967	-77.63785995	0	0	0	Clinton
577	Pennsylvania	US	03/23/2020	41.23255967	-77.63785995	0	0	0	Clinton
577	Pennsylvania	US	03/24/2020	41.23255967	-77.63785995	0	0	0	Clinton
577	Pennsylvania	US	03/25/2020	41.23255967	-77.63785995	0	0	0	Clinton
577	Pennsylvania	US	03/26/2020	41.23255967	-77.63785995	0	0	0	Clinton
577	Pennsylvania	US	03/27/2020	41.23255967	-77.63785995	0	0	0	Clinton
577	Pennsylvania	US	03/28/2020	41.23255967	-77.63785995	0	0	0	Clinton
577	Pennsylvania	US	03/29/2020	41.23255967	-77.63785995	0	0	0	Clinton
577	Pennsylvania	US	03/30/2020	41.23255967	-77.63785995	0	0	0	Clinton
444	Pennsylvania	US	04/03/2020	41.23255967	-77.63785995	2	0	0	Clinton
455	Pennsylvania	US	04/04/2020	41.23255967	-77.63785995	2	0	0	Clinton
469	Pennsylvania	US	04/05/2020	41.23255967	-77.63785995	2	0	0	Clinton
472	Pennsylvania	US	04/06/2020	41.23255967	-77.63785995	4	0	0	Clinton
481	Pennsylvania	US	04/07/2020	41.23255967	-77.63785995	4	0	0	Clinton
485	Pennsylvania	US	04/08/2020	41.23255967	-77.63785995	4	0	0	Clinton
488	Pennsylvania	US	04/09/2020	41.23255967	-77.63785995	5	0	0	Clinton
489	Pennsylvania	US	04/10/2020	41.23255967	-77.63785995	6	0	0	Clinton
494	Pennsylvania	US	04/11/2020	41.23255967	-77.63785995	7	0	0	Clinton
497	Pennsylvania	US	04/12/2020	41.23255967	-77.63785995	8	0	0	Clinton
500	Pennsylvania	US	04/13/2020	41.23255967	-77.63785995	8	0	0	Clinton
502	Pennsylvania	US	04/14/2020	41.23255967	-77.63785995	8	0	0	Clinton
505	Pennsylvania	US	04/15/2020	41.23255967	-77.63785995	8	0	0	Clinton
506	Pennsylvania	US	04/16/2020	41.23255967	-77.63785995	8	0	0	Clinton
508	Pennsylvania	US	04/17/2020	41.23255967	-77.63785995	10	0	0	Clinton
509	Pennsylvania	US	04/18/2020	41.23255967	-77.63785995	11	0	0	Clinton
513	Pennsylvania	US	04/19/2020	41.23255967	-77.63785995	11	0	0	Clinton
514	Pennsylvania	US	04/20/2020	41.23255967	-77.63785995	11	0	0	Clinton
518	Pennsylvania	US	04/21/2020	41.23255967	-77.63785995	11	0	0	Clinton
520	Pennsylvania	US	04/22/2020	41.23255967	-77.63785995	13	0	0	Clinton
522	Pennsylvania	US	04/23/2020	41.23255967	-77.63785995	14	0	0	Clinton
522	Pennsylvania	US	04/24/2020	41.23255967	-77.63785995	17	0	0	Clinton
522	Pennsylvania	US	04/25/2020	41.23255967	-77.63785995	19	0	0	Clinton
523	Pennsylvania	US	04/26/2020	41.23255967	-77.63785995	22	0	0	Clinton
524	Pennsylvania	US	04/27/2020	41.23255967	-77.63785995	25	0	0	Clinton
526	Pennsylvania	US	04/28/2020	41.23255967	-77.63785995	29	0	0	Clinton
526	Pennsylvania	US	04/29/2020	41.23255967	-77.63785995	30	0	0	Clinton
526	Pennsylvania	US	04/30/2020	41.23255967	-77.63785995	31	0	0	Clinton
529	Pennsylvania	US	05/01/2020	41.23255967	-77.63785995	32	0	0	Clinton
530	Pennsylvania	US	05/02/2020	41.23255967	-77.63785995	32	0	0	Clinton
531	Pennsylvania	US	05/03/2020	41.23255967	-77.63785995	32	0	0	Clinton
532	Pennsylvania	US	05/04/2020	41.23255967	-77.63785995	33	0	0	Clinton
534	Pennsylvania	US	05/05/2020	41.23255967	-77.63785995	33	0	0	Clinton
535	Pennsylvania	US	05/06/2020	41.23255967	-77.63785995	34	0	0	Clinton
536	Pennsylvania	US	05/07/2020	41.23255967	-77.63785995	35	0	0	Clinton
538	Pennsylvania	US	05/08/2020	41.23255967	-77.63785995	38	0	0	Clinton
538	Pennsylvania	US	05/09/2020	41.23255967	-77.63785995	39	0	0	Clinton
539	Pennsylvania	US	05/10/2020	41.23255967	-77.63785995	39	0	0	Clinton
539	Pennsylvania	US	05/11/2020	41.23255967	-77.63785995	39	0	0	Clinton
539	Pennsylvania	US	05/12/2020	41.23255967	-77.63785995	39	0	0	Clinton
539	Pennsylvania	US	05/13/2020	41.23255967	-77.63785995	41	0	0	Clinton
540	Pennsylvania	US	05/14/2020	41.23255967	-77.63785995	42	0	0	Clinton
541	Pennsylvania	US	05/15/2020	41.23255967	-77.63785995	42	0	0	Clinton
542	Pennsylvania	US	05/16/2020	41.23255967	-77.63785995	42	0	0	Clinton
543	Pennsylvania	US	05/17/2020	41.23255967	-77.63785995	43	0	0	Clinton
544	Pennsylvania	US	05/18/2020	41.23255967	-77.63785995	43	0	0	Clinton
546	Pennsylvania	US	05/19/2020	41.23255967	-77.63785995	44	0	0	Clinton
546	Pennsylvania	US	05/20/2020	41.23255967	-77.63785995	44	0	0	Clinton
546	Pennsylvania	US	05/21/2020	41.23255967	-77.63785995	47	0	0	Clinton
547	Pennsylvania	US	05/22/2020	41.23255967	-77.63785995	47	0	0	Clinton
547	Pennsylvania	US	05/23/2020	41.23255967	-77.63785995	48	1	0	Clinton
548	Pennsylvania	US	05/24/2020	41.23255967	-77.63785995	49	1	0	Clinton
548	Pennsylvania	US	05/25/2020	41.23255967	-77.63785995	51	1	0	Clinton
548	Pennsylvania	US	05/26/2020	41.23255967	-77.63785995	54	1	0	Clinton
549	Pennsylvania	US	05/27/2020	41.23255967	-77.63785995	54	1	0	Clinton
549	Pennsylvania	US	05/28/2020	41.23255967	-77.63785995	54	2	0	Clinton
549	Pennsylvania	US	05/29/2020	41.23255967	-77.63785995	54	2	0	Clinton
549	Pennsylvania	US	05/30/2020	41.23255967	-77.63785995	55	3	0	Clinton
549	Pennsylvania	US	05/31/2020	41.23255967	-77.63785995	55	3	0	Clinton
550	Pennsylvania	US	06/01/2020	41.23255967	-77.63785995	56	3	0	Clinton
550	Pennsylvania	US	06/02/2020	41.23255967	-77.63785995	59	3	0	Clinton
550	Pennsylvania	US	06/03/2020	41.23255967	-77.63785995	59	3	0	Clinton
550	Pennsylvania	US	06/04/2020	41.23255967	-77.63785995	59	3	0	Clinton
551	Pennsylvania	US	06/05/2020	41.23255967	-77.63785995	59	3	0	Clinton
551	Pennsylvania	US	06/06/2020	41.23255967	-77.63785995	59	3	0	Clinton
