	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
464	Pennsylvania	US	03/22/2020	41.43564672	-75.60379201	6	0	0	Lackawanna
1553	Pennsylvania	US	03/23/2020	41.43564672	-75.60379201	7	0	0	Lackawanna
1553	Pennsylvania	US	03/24/2020	41.43564672	-75.60379201	15	1	0	Lackawanna
1553	Pennsylvania	US	03/25/2020	41.43564672	-75.60379201	18	2	0	Lackawanna
1552	Pennsylvania	US	03/26/2020	41.43564672	-75.60379201	28	2	0	Lackawanna
1552	Pennsylvania	US	03/27/2020	41.43564672	-75.60379201	35	2	0	Lackawanna
1552	Pennsylvania	US	03/28/2020	41.43564672	-75.60379201	51	2	0	Lackawanna
1552	Pennsylvania	US	03/29/2020	41.43564672	-75.60379201	56	2	0	Lackawanna
1552	Pennsylvania	US	03/30/2020	41.43564672	-75.60379201	62	2	0	Lackawanna
1043	Pennsylvania	US	03/31/2020	41.43564672	-75.60379201	78	3	0	Lackawanna
1071	Pennsylvania	US	04/01/2020	41.43564672	-75.60379201	85	3	0	Lackawanna
1113	Pennsylvania	US	04/02/2020	41.43564672	-75.60379201	108	3	0	Lackawanna
1131	Pennsylvania	US	04/03/2020	41.43564672	-75.60379201	119	4	0	Lackawanna
1157	Pennsylvania	US	04/04/2020	41.43564672	-75.60379201	146	6	0	Lackawanna
1198	Pennsylvania	US	04/05/2020	41.43564672	-75.60379201	172	6	0	Lackawanna
1214	Pennsylvania	US	04/06/2020	41.43564672	-75.60379201	190	7	0	Lackawanna
1240	Pennsylvania	US	04/07/2020	41.43564672	-75.60379201	235	8	0	Lackawanna
1255	Pennsylvania	US	04/08/2020	41.43564672	-75.60379201	266	12	0	Lackawanna
1268	Pennsylvania	US	04/09/2020	41.43564672	-75.60379201	312	16	0	Lackawanna
1275	Pennsylvania	US	04/10/2020	41.43564672	-75.60379201	346	18	0	Lackawanna
1288	Pennsylvania	US	04/11/2020	41.43564672	-75.60379201	392	20	0	Lackawanna
1299	Pennsylvania	US	04/12/2020	41.43564672	-75.60379201	427	20	0	Lackawanna
1309	Pennsylvania	US	04/13/2020	41.43564672	-75.60379201	459	21	0	Lackawanna
