	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
477	Montour	1	US	0	41.03023987	-76.66345939	Pennsylvania	0	03/22/2020
1997	Montour	1	US	0	41.03023987	-76.66345939	Pennsylvania	0	03/23/2020
1997	Montour	3	US	0	41.03023987	-76.66345939	Pennsylvania	0	03/24/2020
1997	Montour	4	US	0	41.03023987	-76.66345939	Pennsylvania	0	03/25/2020
1996	Montour	4	US	0	41.03023987	-76.66345939	Pennsylvania	0	03/26/2020
1996	Montour	4	US	0	41.03023987	-76.66345939	Pennsylvania	0	03/27/2020
1996	Montour	5	US	0	41.03023987	-76.66345939	Pennsylvania	0	03/28/2020
1996	Montour	4	US	0	41.03023987	-76.66345939	Pennsylvania	0	03/29/2020
1996	Montour	10	US	0	41.03023987	-76.66345939	Pennsylvania	0	03/30/2020
1347	Montour	9	US	0	41.03023987	-76.66345939	Pennsylvania	0	03/31/2020
1383	Montour	13	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/01/2020
1437	Montour	15	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/02/2020
1468	Montour	16	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/03/2020
1507	Montour	19	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/04/2020
1557	Montour	37	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/05/2020
1579	Montour	37	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/06/2020
1615	Montour	37	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/07/2020
1630	Montour	37	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/08/2020
1649	Montour	37	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/09/2020
1659	Montour	37	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/10/2020
1677	Montour	37	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/11/2020
1690	Montour	37	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/12/2020
1703	Montour	39	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/13/2020
1709	Montour	44	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/14/2020
1717	Montour	44	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/15/2020
1723	Montour	48	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/16/2020
1724	Montour	48	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/17/2020
1730	Montour	49	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/18/2020
1738	Montour	48	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/19/2020
1745	Montour	48	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/20/2020
1753	Montour	47	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/21/2020
1760	Montour	47	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/22/2020
1771	Montour	47	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/23/2020
1774	Montour	47	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/24/2020
1778	Montour	47	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/25/2020
1784	Montour	47	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/26/2020
1786	Montour	48	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/27/2020
1793	Montour	47	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/28/2020
1796	Montour	47	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/29/2020
1802	Montour	47	US	0	41.03023987	-76.66345939	Pennsylvania	0	04/30/2020
1810	Montour	48	US	0	41.03023987	-76.66345939	Pennsylvania	0	05/01/2020
1814	Montour	49	US	0	41.03023987	-76.66345939	Pennsylvania	0	05/02/2020
1817	Montour	50	US	0	41.03023987	-76.66345939	Pennsylvania	0	05/03/2020
1819	Montour	50	US	0	41.03023987	-76.66345939	Pennsylvania	0	05/04/2020
1825	Montour	50	US	0	41.03023987	-76.66345939	Pennsylvania	0	05/05/2020
1829	Montour	50	US	0	41.03023987	-76.66345939	Pennsylvania	0	05/06/2020
