	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
160	Bayamon	697	US	0	18.34946	-66.168435	Puerto Rico	0	07/18/2020
160	Bayamon	727	US	0	18.34946	-66.168435	Puerto Rico	0	07/19/2020
158	Bayamon	758	US	0	18.34946	-66.168435	Puerto Rico	0	07/20/2020
161	Bayamon	785	US	0	18.34946	-66.168435	Puerto Rico	0	07/21/2020
161	Bayamon	792	US	0	18.34946	-66.168435	Puerto Rico	0	07/22/2020
162	Bayamon	839	US	0	18.34946	-66.168435	Puerto Rico	0	07/23/2020
162	Bayamon	864	US	0	18.34946	-66.168435	Puerto Rico	0	07/24/2020
162	Bayamon	912	US	0	18.34946	-66.168435	Puerto Rico	0	07/25/2020
162	Bayamon	960	US	0	18.34946	-66.168435	Puerto Rico	0	07/26/2020
162	Bayamon	980	US	0	18.34946	-66.168435	Puerto Rico	0	07/27/2020
162	Bayamon	1011	US	0	18.34946	-66.168435	Puerto Rico	0	07/28/2020
162	Bayamon	1028	US	0	18.34946	-66.168435	Puerto Rico	0	07/29/2020
162	Bayamon	1053	US	0	18.34946	-66.168435	Puerto Rico	0	07/30/2020
162	Bayamon	1064	US	0	18.34946	-66.168435	Puerto Rico	0	07/31/2020
162	Bayamon	1146	US	0	18.34946	-66.168435	Puerto Rico	0	08/01/2020
162	Bayamon	1179	US	0	18.34946	-66.168435	Puerto Rico	0	08/02/2020
162	Bayamon	1209	US	0	18.34946	-66.168435	Puerto Rico	0	08/03/2020
162	Bayamon	1255	US	0	18.34946	-66.168435	Puerto Rico	0	08/04/2020
162	Bayamon	1280	US	0	18.34946	-66.168435	Puerto Rico	0	08/05/2020
162	Bayamon	1293	US	0	18.34946	-66.168435	Puerto Rico	0	08/06/2020
162	Bayamon	1373	US	0	18.34946	-66.168435	Puerto Rico	0	08/07/2020
162	Bayamon	1446	US	0	18.34946	-66.168435	Puerto Rico	0	08/08/2020
162	Bayamon	1511	US	0	18.34946	-66.168435	Puerto Rico	0	08/09/2020
162	Bayamon	1565	US	0	18.34946	-66.168435	Puerto Rico	0	08/10/2020
3039	Bayamon	1604	US	0	18.34946	-66.168435	Puerto Rico	0	08/11/2020
2993	Bayamon	1663	US	0	18.34946	-66.168435	Puerto Rico	0	08/12/2020
2994	Bayamon	1710	US	0	18.34946	-66.168435	Puerto Rico	0	08/13/2020
2994	Bayamon	1783	US	0	18.34946	-66.168435	Puerto Rico	0	08/14/2020
2994	Bayamon	1830	US	0	18.34946	-66.168435	Puerto Rico	0	08/15/2020
2994	Bayamon	1864	US	0	18.34946	-66.168435	Puerto Rico	0	08/16/2020
2996	Bayamon	1944	US	0	18.34946	-66.168435	Puerto Rico	0	08/17/2020
2996	Bayamon	1996	US	0	18.34946	-66.168435	Puerto Rico	0	08/18/2020
