	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
807	South Carolina	US	03/22/2020	34.51828081	-82.63959517	10	0	0	Anderson
61	South Carolina	US	03/23/2020	34.51828081	-82.63959517	15	0	0	Anderson
61	South Carolina	US	03/24/2020	34.51828081	-82.63959517	16	0	0	Anderson
61	South Carolina	US	03/25/2020	34.51828081	-82.63959517	19	0	0	Anderson
61	South Carolina	US	03/26/2020	34.51828081	-82.63959517	19	0	0	Anderson
61	South Carolina	US	03/27/2020	34.51828081	-82.63959517	21	0	0	Anderson
61	South Carolina	US	03/28/2020	34.51828081	-82.63959517	24	0	0	Anderson
61	South Carolina	US	03/29/2020	34.51828081	-82.63959517	29	0	0	Anderson
61	South Carolina	US	03/30/2020	34.51828081	-82.63959517	31	1	0	Anderson
42	South Carolina	US	03/31/2020	34.51828081	-82.63959517	39	1	0	Anderson
44	South Carolina	US	04/01/2020	34.51828081	-82.63959517	47	2	0	Anderson
48	South Carolina	US	04/02/2020	34.51828081	-82.63959517	57	3	0	Anderson
47	South Carolina	US	04/03/2020	34.51828081	-82.63959517	62	3	0	Anderson
49	South Carolina	US	04/04/2020	34.51828081	-82.63959517	68	3	0	Anderson
50	South Carolina	US	04/05/2020	34.51828081	-82.63959517	69	3	0	Anderson
50	South Carolina	US	04/06/2020	34.51828081	-82.63959517	72	4	0	Anderson
50	South Carolina	US	04/07/2020	34.51828081	-82.63959517	75	4	0	Anderson
50	South Carolina	US	04/08/2020	34.51828081	-82.63959517	75	4	0	Anderson
50	South Carolina	US	04/09/2020	34.51828081	-82.63959517	96	5	0	Anderson
50	South Carolina	US	04/10/2020	34.51828081	-82.63959517	100	5	0	Anderson
51	South Carolina	US	04/11/2020	34.51828081	-82.63959517	102	5	0	Anderson
51	South Carolina	US	04/12/2020	34.51828081	-82.63959517	106	5	0	Anderson
52	South Carolina	US	04/13/2020	34.51828081	-82.63959517	109	5	0	Anderson
52	South Carolina	US	04/14/2020	34.51828081	-82.63959517	111	5	0	Anderson
53	South Carolina	US	04/15/2020	34.51828081	-82.63959517	114	5	0	Anderson
