	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
823	Clarendon	1	US	1	33.66610974	-80.21647898	South Carolina	0	03/22/2020
518	Clarendon	4	US	1	33.66610974	-80.21647898	South Carolina	0	03/23/2020
518	Clarendon	5	US	1	33.66610974	-80.21647898	South Carolina	0	03/24/2020
518	Clarendon	5	US	1	33.66610974	-80.21647898	South Carolina	0	03/25/2020
518	Clarendon	5	US	1	33.66610974	-80.21647898	South Carolina	0	03/26/2020
518	Clarendon	6	US	1	33.66610974	-80.21647898	South Carolina	0	03/27/2020
518	Clarendon	7	US	1	33.66610974	-80.21647898	South Carolina	0	03/28/2020
518	Clarendon	16	US	1	33.66610974	-80.21647898	South Carolina	0	03/29/2020
518	Clarendon	18	US	1	33.66610974	-80.21647898	South Carolina	0	03/30/2020
371	Clarendon	25	US	1	33.66610974	-80.21647898	South Carolina	0	03/31/2020
380	Clarendon	28	US	1	33.66610974	-80.21647898	South Carolina	0	04/01/2020
392	Clarendon	31	US	1	33.66610974	-80.21647898	South Carolina	0	04/02/2020
396	Clarendon	34	US	1	33.66610974	-80.21647898	South Carolina	0	04/03/2020
405	Clarendon	45	US	1	33.66610974	-80.21647898	South Carolina	0	04/04/2020
418	Clarendon	54	US	1	33.66610974	-80.21647898	South Carolina	0	04/05/2020
421	Clarendon	58	US	2	33.66610974	-80.21647898	South Carolina	0	04/06/2020
429	Clarendon	68	US	2	33.66610974	-80.21647898	South Carolina	0	04/07/2020
433	Clarendon	68	US	2	33.66610974	-80.21647898	South Carolina	0	04/08/2020
436	Clarendon	75	US	3	33.66610974	-80.21647898	South Carolina	0	04/09/2020
437	Clarendon	80	US	3	33.66610974	-80.21647898	South Carolina	0	04/10/2020
441	Clarendon	85	US	4	33.66610974	-80.21647898	South Carolina	0	04/11/2020
444	Clarendon	85	US	4	33.66610974	-80.21647898	South Carolina	0	04/12/2020
447	Clarendon	86	US	4	33.66610974	-80.21647898	South Carolina	0	04/13/2020
448	Clarendon	89	US	6	33.66610974	-80.21647898	South Carolina	0	04/14/2020
451	Clarendon	90	US	6	33.66610974	-80.21647898	South Carolina	0	04/15/2020
452	Clarendon	98	US	6	33.66610974	-80.21647898	South Carolina	0	04/16/2020
454	Clarendon	106	US	6	33.66610974	-80.21647898	South Carolina	0	04/17/2020
455	Clarendon	109	US	6	33.66610974	-80.21647898	South Carolina	0	04/18/2020
458	Clarendon	112	US	6	33.66610974	-80.21647898	South Carolina	0	04/19/2020
459	Clarendon	120	US	7	33.66610974	-80.21647898	South Carolina	0	04/20/2020
463	Clarendon	120	US	7	33.66610974	-80.21647898	South Carolina	0	04/21/2020
465	Clarendon	138	US	9	33.66610974	-80.21647898	South Carolina	0	04/22/2020
466	Clarendon	151	US	9	33.66610974	-80.21647898	South Carolina	0	04/23/2020
466	Clarendon	163	US	9	33.66610974	-80.21647898	South Carolina	0	04/24/2020
466	Clarendon	172	US	9	33.66610974	-80.21647898	South Carolina	0	04/25/2020
467	Clarendon	181	US	11	33.66610974	-80.21647898	South Carolina	0	04/26/2020
468	Clarendon	185	US	12	33.66610974	-80.21647898	South Carolina	0	04/27/2020
470	Clarendon	194	US	14	33.66610974	-80.21647898	South Carolina	0	04/28/2020
470	Clarendon	201	US	17	33.66610974	-80.21647898	South Carolina	0	04/29/2020
470	Clarendon	210	US	18	33.66610974	-80.21647898	South Carolina	0	04/30/2020
473	Clarendon	214	US	21	33.66610974	-80.21647898	South Carolina	0	05/01/2020
474	Clarendon	218	US	21	33.66610974	-80.21647898	South Carolina	0	05/02/2020
475	Clarendon	229	US	22	33.66610974	-80.21647898	South Carolina	0	05/03/2020
476	Clarendon	232	US	24	33.66610974	-80.21647898	South Carolina	0	05/04/2020
478	Clarendon	237	US	24	33.66610974	-80.21647898	South Carolina	0	05/05/2020
479	Clarendon	248	US	24	33.66610974	-80.21647898	South Carolina	0	05/06/2020
480	Clarendon	253	US	24	33.66610974	-80.21647898	South Carolina	0	05/07/2020
481	Clarendon	258	US	25	33.66610974	-80.21647898	South Carolina	0	05/08/2020
481	Clarendon	262	US	26	33.66610974	-80.21647898	South Carolina	0	05/09/2020
482	Clarendon	263	US	26	33.66610974	-80.21647898	South Carolina	0	05/10/2020
482	Clarendon	265	US	27	33.66610974	-80.21647898	South Carolina	0	05/11/2020
482	Clarendon	267	US	27	33.66610974	-80.21647898	South Carolina	0	05/12/2020
482	Clarendon	266	US	29	33.66610974	-80.21647898	South Carolina	0	05/13/2020
483	Clarendon	266	US	31	33.66610974	-80.21647898	South Carolina	0	05/14/2020
484	Clarendon	274	US	33	33.66610974	-80.21647898	South Carolina	0	05/15/2020
485	Clarendon	274	US	32	33.66610974	-80.21647898	South Carolina	0	05/16/2020
486	Clarendon	286	US	32	33.66610974	-80.21647898	South Carolina	0	05/17/2020
487	Clarendon	290	US	34	33.66610974	-80.21647898	South Carolina	0	05/18/2020
489	Clarendon	293	US	34	33.66610974	-80.21647898	South Carolina	0	05/19/2020
489	Clarendon	290	US	35	33.66610974	-80.21647898	South Carolina	0	05/20/2020
489	Clarendon	290	US	36	33.66610974	-80.21647898	South Carolina	0	05/21/2020
490	Clarendon	289	US	36	33.66610974	-80.21647898	South Carolina	0	05/22/2020
490	Clarendon	289	US	37	33.66610974	-80.21647898	South Carolina	0	05/23/2020
491	Clarendon	293	US	38	33.66610974	-80.21647898	South Carolina	0	05/24/2020
491	Clarendon	293	US	38	33.66610974	-80.21647898	South Carolina	0	05/25/2020
491	Clarendon	294	US	38	33.66610974	-80.21647898	South Carolina	0	05/26/2020
492	Clarendon	295	US	38	33.66610974	-80.21647898	South Carolina	0	05/27/2020
492	Clarendon	296	US	38	33.66610974	-80.21647898	South Carolina	0	05/28/2020
492	Clarendon	296	US	38	33.66610974	-80.21647898	South Carolina	0	05/29/2020
492	Clarendon	301	US	39	33.66610974	-80.21647898	South Carolina	0	05/30/2020
492	Clarendon	301	US	39	33.66610974	-80.21647898	South Carolina	0	05/31/2020
493	Clarendon	301	US	39	33.66610974	-80.21647898	South Carolina	0	06/01/2020
493	Clarendon	302	US	39	33.66610974	-80.21647898	South Carolina	0	06/02/2020
493	Clarendon	302	US	39	33.66610974	-80.21647898	South Carolina	0	06/03/2020
493	Clarendon	302	US	39	33.66610974	-80.21647898	South Carolina	0	06/04/2020
494	Clarendon	304	US	40	33.66610974	-80.21647898	South Carolina	0	06/05/2020
494	Clarendon	304	US	40	33.66610974	-80.21647898	South Carolina	0	06/06/2020
494	Clarendon	306	US	40	33.66610974	-80.21647898	South Carolina	0	06/07/2020
