	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
819	Lee	1	US	0	34.16393091	-80.25690731	South Carolina	0	03/22/2020
1633	Lee	2	US	0	34.16393091	-80.25690731	South Carolina	0	03/23/2020
1633	Lee	2	US	0	34.16393091	-80.25690731	South Carolina	0	03/24/2020
1633	Lee	2	US	0	34.16393091	-80.25690731	South Carolina	0	03/25/2020
1632	Lee	2	US	0	34.16393091	-80.25690731	South Carolina	0	03/26/2020
1632	Lee	2	US	0	34.16393091	-80.25690731	South Carolina	0	03/27/2020
1632	Lee	5	US	0	34.16393091	-80.25690731	South Carolina	0	03/28/2020
1632	Lee	5	US	0	34.16393091	-80.25690731	South Carolina	0	03/29/2020
1632	Lee	5	US	0	34.16393091	-80.25690731	South Carolina	0	03/30/2020
1096	Lee	5	US	0	34.16393091	-80.25690731	South Carolina	0	03/31/2020
1126	Lee	5	US	1	34.16393091	-80.25690731	South Carolina	0	04/01/2020
1171	Lee	8	US	1	34.16393091	-80.25690731	South Carolina	0	04/02/2020
1190	Lee	13	US	1	34.16393091	-80.25690731	South Carolina	0	04/03/2020
1220	Lee	16	US	1	34.16393091	-80.25690731	South Carolina	0	04/04/2020
1261	Lee	17	US	2	34.16393091	-80.25690731	South Carolina	0	04/05/2020
1279	Lee	18	US	2	34.16393091	-80.25690731	South Carolina	0	04/06/2020
1307	Lee	19	US	2	34.16393091	-80.25690731	South Carolina	0	04/07/2020
1322	Lee	19	US	2	34.16393091	-80.25690731	South Carolina	0	04/08/2020
1336	Lee	24	US	3	34.16393091	-80.25690731	South Carolina	0	04/09/2020
1343	Lee	27	US	3	34.16393091	-80.25690731	South Carolina	0	04/10/2020
1357	Lee	27	US	3	34.16393091	-80.25690731	South Carolina	0	04/11/2020
1368	Lee	29	US	3	34.16393091	-80.25690731	South Carolina	0	04/12/2020
1378	Lee	31	US	3	34.16393091	-80.25690731	South Carolina	0	04/13/2020
1384	Lee	33	US	3	34.16393091	-80.25690731	South Carolina	0	04/14/2020
1390	Lee	34	US	3	34.16393091	-80.25690731	South Carolina	0	04/15/2020
1395	Lee	35	US	4	34.16393091	-80.25690731	South Carolina	0	04/16/2020
1394	Lee	40	US	5	34.16393091	-80.25690731	South Carolina	0	04/17/2020
1400	Lee	40	US	5	34.16393091	-80.25690731	South Carolina	0	04/18/2020
1410	Lee	42	US	5	34.16393091	-80.25690731	South Carolina	0	04/19/2020
1414	Lee	42	US	5	34.16393091	-80.25690731	South Carolina	0	04/20/2020
1420	Lee	42	US	5	34.16393091	-80.25690731	South Carolina	0	04/21/2020
1425	Lee	42	US	5	34.16393091	-80.25690731	South Carolina	0	04/22/2020
1435	Lee	45	US	5	34.16393091	-80.25690731	South Carolina	0	04/23/2020
1437	Lee	48	US	5	34.16393091	-80.25690731	South Carolina	0	04/24/2020
1438	Lee	51	US	6	34.16393091	-80.25690731	South Carolina	0	04/25/2020
1444	Lee	51	US	6	34.16393091	-80.25690731	South Carolina	0	04/26/2020
1446	Lee	55	US	6	34.16393091	-80.25690731	South Carolina	0	04/27/2020
