	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2627	South Carolina	US	03/22/2020	34.07859748	-79.36400756	0	0	0	Marion
1805	South Carolina	US	03/23/2020	34.07859748	-79.36400756	0	0	0	Marion
1805	South Carolina	US	03/24/2020	34.07859748	-79.36400756	0	0	0	Marion
1805	South Carolina	US	03/25/2020	34.07859748	-79.36400756	1	0	0	Marion
1804	South Carolina	US	03/26/2020	34.07859748	-79.36400756	1	0	0	Marion
1804	South Carolina	US	03/27/2020	34.07859748	-79.36400756	1	0	0	Marion
1804	South Carolina	US	03/28/2020	34.07859748	-79.36400756	1	0	0	Marion
1804	South Carolina	US	03/29/2020	34.07859748	-79.36400756	1	0	0	Marion
1804	South Carolina	US	03/30/2020	34.07859748	-79.36400756	2	0	0	Marion
1216	South Carolina	US	03/31/2020	34.07859748	-79.36400756	2	1	0	Marion
1249	South Carolina	US	04/01/2020	34.07859748	-79.36400756	2	1	0	Marion
1299	South Carolina	US	04/02/2020	34.07859748	-79.36400756	2	1	0	Marion
1327	South Carolina	US	04/03/2020	34.07859748	-79.36400756	2	1	0	Marion
1358	South Carolina	US	04/04/2020	34.07859748	-79.36400756	2	1	0	Marion
1403	South Carolina	US	04/05/2020	34.07859748	-79.36400756	2	1	0	Marion
1425	South Carolina	US	04/06/2020	34.07859748	-79.36400756	4	1	0	Marion
1455	South Carolina	US	04/07/2020	34.07859748	-79.36400756	5	1	0	Marion
1470	South Carolina	US	04/08/2020	34.07859748	-79.36400756	5	1	0	Marion
1488	South Carolina	US	04/09/2020	34.07859748	-79.36400756	5	1	0	Marion
1495	South Carolina	US	04/10/2020	34.07859748	-79.36400756	5	1	0	Marion
1512	South Carolina	US	04/11/2020	34.07859748	-79.36400756	6	1	0	Marion
1524	South Carolina	US	04/12/2020	34.07859748	-79.36400756	7	1	0	Marion
1534	South Carolina	US	04/13/2020	34.07859748	-79.36400756	7	1	0	Marion
1540	South Carolina	US	04/14/2020	34.07859748	-79.36400756	8	1	0	Marion
1548	South Carolina	US	04/15/2020	34.07859748	-79.36400756	8	1	0	Marion
1553	South Carolina	US	04/16/2020	34.07859748	-79.36400756	8	1	0	Marion
1552	South Carolina	US	04/17/2020	34.07859748	-79.36400756	14	1	0	Marion
1558	South Carolina	US	04/18/2020	34.07859748	-79.36400756	13	1	0	Marion
1568	South Carolina	US	04/19/2020	34.07859748	-79.36400756	15	1	0	Marion
1572	South Carolina	US	04/20/2020	34.07859748	-79.36400756	15	1	0	Marion
1580	South Carolina	US	04/21/2020	34.07859748	-79.36400756	15	1	0	Marion
1585	South Carolina	US	04/22/2020	34.07859748	-79.36400756	22	1	0	Marion
1595	South Carolina	US	04/23/2020	34.07859748	-79.36400756	22	1	0	Marion
1597	South Carolina	US	04/24/2020	34.07859748	-79.36400756	24	1	0	Marion
1600	South Carolina	US	04/25/2020	34.07859748	-79.36400756	29	1	0	Marion
1606	South Carolina	US	04/26/2020	34.07859748	-79.36400756	32	1	0	Marion
1608	South Carolina	US	04/27/2020	34.07859748	-79.36400756	33	1	0	Marion
1613	South Carolina	US	04/28/2020	34.07859748	-79.36400756	32	1	0	Marion
1616	South Carolina	US	04/29/2020	34.07859748	-79.36400756	32	2	0	Marion
1622	South Carolina	US	04/30/2020	34.07859748	-79.36400756	34	2	0	Marion
1630	South Carolina	US	05/01/2020	34.07859748	-79.36400756	36	2	0	Marion
1634	South Carolina	US	05/02/2020	34.07859748	-79.36400756	37	2	0	Marion
1636	South Carolina	US	05/03/2020	34.07859748	-79.36400756	37	2	0	Marion
1638	South Carolina	US	05/04/2020	34.07859748	-79.36400756	40	2	0	Marion
1644	South Carolina	US	05/05/2020	34.07859748	-79.36400756	41	2	0	Marion
1647	South Carolina	US	05/06/2020	34.07859748	-79.36400756	41	2	0	Marion
1651	South Carolina	US	05/07/2020	34.07859748	-79.36400756	43	2	0	Marion
1656	South Carolina	US	05/08/2020	34.07859748	-79.36400756	44	2	0	Marion
1657	South Carolina	US	05/09/2020	34.07859748	-79.36400756	47	2	0	Marion
1658	South Carolina	US	05/10/2020	34.07859748	-79.36400756	48	3	0	Marion
1658	South Carolina	US	05/11/2020	34.07859748	-79.36400756	49	3	0	Marion
1660	South Carolina	US	05/12/2020	34.07859748	-79.36400756	50	3	0	Marion
1660	South Carolina	US	05/13/2020	34.07859748	-79.36400756	48	4	0	Marion
1661	South Carolina	US	05/14/2020	34.07859748	-79.36400756	47	4	0	Marion
1665	South Carolina	US	05/15/2020	34.07859748	-79.36400756	48	4	0	Marion
1668	South Carolina	US	05/16/2020	34.07859748	-79.36400756	51	4	0	Marion
1670	South Carolina	US	05/17/2020	34.07859748	-79.36400756	51	4	0	Marion
1671	South Carolina	US	05/18/2020	34.07859748	-79.36400756	52	4	0	Marion
1673	South Carolina	US	05/19/2020	34.07859748	-79.36400756	53	4	0	Marion
1678	South Carolina	US	05/20/2020	34.07859748	-79.36400756	56	4	0	Marion
1679	South Carolina	US	05/21/2020	34.07859748	-79.36400756	57	4	0	Marion
1684	South Carolina	US	05/22/2020	34.07859748	-79.36400756	60	4	0	Marion
1686	South Carolina	US	05/23/2020	34.07859748	-79.36400756	63	5	0	Marion
1689	South Carolina	US	05/24/2020	34.07859748	-79.36400756	64	5	0	Marion
1689	South Carolina	US	05/25/2020	34.07859748	-79.36400756	65	5	0	Marion
1690	South Carolina	US	05/26/2020	34.07859748	-79.36400756	66	5	0	Marion
1692	South Carolina	US	05/27/2020	34.07859748	-79.36400756	67	5	0	Marion
1693	South Carolina	US	05/28/2020	34.07859748	-79.36400756	67	5	0	Marion
1696	South Carolina	US	05/29/2020	34.07859748	-79.36400756	68	5	0	Marion
1698	South Carolina	US	05/30/2020	34.07859748	-79.36400756	68	5	0	Marion
1699	South Carolina	US	05/31/2020	34.07859748	-79.36400756	69	5	0	Marion
1701	South Carolina	US	06/01/2020	34.07859748	-79.36400756	71	5	0	Marion
1705	South Carolina	US	06/02/2020	34.07859748	-79.36400756	72	5	0	Marion
1706	South Carolina	US	06/03/2020	34.07859748	-79.36400756	72	5	0	Marion
1707	South Carolina	US	06/04/2020	34.07859748	-79.36400756	72	5	0	Marion
1709	South Carolina	US	06/05/2020	34.07859748	-79.36400756	74	5	0	Marion
1710	South Carolina	US	06/06/2020	34.07859748	-79.36400756	74	5	0	Marion
1710	South Carolina	US	06/07/2020	34.07859748	-79.36400756	84	5	0	Marion
1710	South Carolina	US	06/08/2020	34.07859748	-79.36400756	84	5	0	Marion
