	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
829	South Carolina	US	03/22/2020	34.59905577	-79.67561152	1	0	0	Marlboro
1810	South Carolina	US	03/23/2020	34.59905577	-79.67561152	0	0	0	Marlboro
1810	South Carolina	US	03/24/2020	34.59905577	-79.67561152	1	0	0	Marlboro
1810	South Carolina	US	03/25/2020	34.59905577	-79.67561152	1	0	0	Marlboro
1809	South Carolina	US	03/26/2020	34.59905577	-79.67561152	1	0	0	Marlboro
1809	South Carolina	US	03/27/2020	34.59905577	-79.67561152	1	0	0	Marlboro
1809	South Carolina	US	03/28/2020	34.59905577	-79.67561152	1	0	0	Marlboro
1809	South Carolina	US	03/29/2020	34.59905577	-79.67561152	2	0	0	Marlboro
1809	South Carolina	US	03/30/2020	34.59905577	-79.67561152	2	0	0	Marlboro
1219	South Carolina	US	03/31/2020	34.59905577	-79.67561152	2	0	0	Marlboro
1252	South Carolina	US	04/01/2020	34.59905577	-79.67561152	2	0	0	Marlboro
1302	South Carolina	US	04/02/2020	34.59905577	-79.67561152	3	0	0	Marlboro
1330	South Carolina	US	04/03/2020	34.59905577	-79.67561152	3	0	0	Marlboro
1361	South Carolina	US	04/04/2020	34.59905577	-79.67561152	3	0	0	Marlboro
1406	South Carolina	US	04/05/2020	34.59905577	-79.67561152	3	0	0	Marlboro
1428	South Carolina	US	04/06/2020	34.59905577	-79.67561152	6	0	0	Marlboro
1458	South Carolina	US	04/07/2020	34.59905577	-79.67561152	8	0	0	Marlboro
1473	South Carolina	US	04/08/2020	34.59905577	-79.67561152	8	0	0	Marlboro
1491	South Carolina	US	04/09/2020	34.59905577	-79.67561152	10	0	0	Marlboro
1498	South Carolina	US	04/10/2020	34.59905577	-79.67561152	11	0	0	Marlboro
1515	South Carolina	US	04/11/2020	34.59905577	-79.67561152	13	0	0	Marlboro
1527	South Carolina	US	04/12/2020	34.59905577	-79.67561152	14	0	0	Marlboro
1537	South Carolina	US	04/13/2020	34.59905577	-79.67561152	15	0	0	Marlboro
1543	South Carolina	US	04/14/2020	34.59905577	-79.67561152	15	0	0	Marlboro
1551	South Carolina	US	04/15/2020	34.59905577	-79.67561152	15	0	0	Marlboro
1557	South Carolina	US	04/16/2020	34.59905577	-79.67561152	19	0	0	Marlboro
1556	South Carolina	US	04/17/2020	34.59905577	-79.67561152	25	0	0	Marlboro
1562	South Carolina	US	04/18/2020	34.59905577	-79.67561152	25	0	0	Marlboro
1572	South Carolina	US	04/19/2020	34.59905577	-79.67561152	28	0	0	Marlboro
1576	South Carolina	US	04/20/2020	34.59905577	-79.67561152	29	0	0	Marlboro
1584	South Carolina	US	04/21/2020	34.59905577	-79.67561152	29	0	0	Marlboro
1589	South Carolina	US	04/22/2020	34.59905577	-79.67561152	32	0	0	Marlboro
1599	South Carolina	US	04/23/2020	34.59905577	-79.67561152	33	0	0	Marlboro
1601	South Carolina	US	04/24/2020	34.59905577	-79.67561152	35	0	0	Marlboro
1604	South Carolina	US	04/25/2020	34.59905577	-79.67561152	38	0	0	Marlboro
1610	South Carolina	US	04/26/2020	34.59905577	-79.67561152	40	0	0	Marlboro
1612	South Carolina	US	04/27/2020	34.59905577	-79.67561152	41	0	0	Marlboro
1618	South Carolina	US	04/28/2020	34.59905577	-79.67561152	42	0	0	Marlboro
1621	South Carolina	US	04/29/2020	34.59905577	-79.67561152	43	0	0	Marlboro
1627	South Carolina	US	04/30/2020	34.59905577	-79.67561152	45	0	0	Marlboro
1635	South Carolina	US	05/01/2020	34.59905577	-79.67561152	46	0	0	Marlboro
1639	South Carolina	US	05/02/2020	34.59905577	-79.67561152	49	0	0	Marlboro
1641	South Carolina	US	05/03/2020	34.59905577	-79.67561152	50	0	0	Marlboro
1643	South Carolina	US	05/04/2020	34.59905577	-79.67561152	52	1	0	Marlboro
1649	South Carolina	US	05/05/2020	34.59905577	-79.67561152	54	1	0	Marlboro
1652	South Carolina	US	05/06/2020	34.59905577	-79.67561152	54	1	0	Marlboro
1656	South Carolina	US	05/07/2020	34.59905577	-79.67561152	56	1	0	Marlboro
1661	South Carolina	US	05/08/2020	34.59905577	-79.67561152	57	1	0	Marlboro
1662	South Carolina	US	05/09/2020	34.59905577	-79.67561152	57	1	0	Marlboro
1663	South Carolina	US	05/10/2020	34.59905577	-79.67561152	57	1	0	Marlboro
1663	South Carolina	US	05/11/2020	34.59905577	-79.67561152	59	1	0	Marlboro
1665	South Carolina	US	05/12/2020	34.59905577	-79.67561152	59	1	0	Marlboro
1665	South Carolina	US	05/13/2020	34.59905577	-79.67561152	60	0	0	Marlboro
1666	South Carolina	US	05/14/2020	34.59905577	-79.67561152	67	0	0	Marlboro
1670	South Carolina	US	05/15/2020	34.59905577	-79.67561152	71	0	0	Marlboro
1673	South Carolina	US	05/16/2020	34.59905577	-79.67561152	73	0	0	Marlboro
1675	South Carolina	US	05/17/2020	34.59905577	-79.67561152	73	0	0	Marlboro
1676	South Carolina	US	05/18/2020	34.59905577	-79.67561152	75	0	0	Marlboro
1678	South Carolina	US	05/19/2020	34.59905577	-79.67561152	76	0	0	Marlboro
1683	South Carolina	US	05/20/2020	34.59905577	-79.67561152	80	0	0	Marlboro
1684	South Carolina	US	05/21/2020	34.59905577	-79.67561152	88	0	0	Marlboro
1689	South Carolina	US	05/22/2020	34.59905577	-79.67561152	91	0	0	Marlboro
1691	South Carolina	US	05/23/2020	34.59905577	-79.67561152	109	0	0	Marlboro
1694	South Carolina	US	05/24/2020	34.59905577	-79.67561152	111	0	0	Marlboro
1694	South Carolina	US	05/25/2020	34.59905577	-79.67561152	112	0	0	Marlboro
1695	South Carolina	US	05/26/2020	34.59905577	-79.67561152	117	0	0	Marlboro
1697	South Carolina	US	05/27/2020	34.59905577	-79.67561152	132	0	0	Marlboro
1698	South Carolina	US	05/28/2020	34.59905577	-79.67561152	137	0	0	Marlboro
1701	South Carolina	US	05/29/2020	34.59905577	-79.67561152	149	0	0	Marlboro
1703	South Carolina	US	05/30/2020	34.59905577	-79.67561152	161	0	0	Marlboro
1704	South Carolina	US	05/31/2020	34.59905577	-79.67561152	171	1	0	Marlboro
1706	South Carolina	US	06/01/2020	34.59905577	-79.67561152	173	1	0	Marlboro
1710	South Carolina	US	06/02/2020	34.59905577	-79.67561152	183	1	0	Marlboro
1711	South Carolina	US	06/03/2020	34.59905577	-79.67561152	183	1	0	Marlboro
