	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
2628	McCormick	0	US	0	33.90161443	-82.30794338	South Carolina	0	03/22/2020
1849	McCormick	0	US	0	33.90161443	-82.30794338	South Carolina	0	03/23/2020
1849	McCormick	0	US	0	33.90161443	-82.30794338	South Carolina	0	03/24/2020
1849	McCormick	0	US	0	33.90161443	-82.30794338	South Carolina	0	03/25/2020
1848	McCormick	0	US	0	33.90161443	-82.30794338	South Carolina	0	03/26/2020
1848	McCormick	0	US	0	33.90161443	-82.30794338	South Carolina	0	03/27/2020
1848	McCormick	0	US	0	33.90161443	-82.30794338	South Carolina	0	03/28/2020
1848	McCormick	0	US	0	33.90161443	-82.30794338	South Carolina	0	03/29/2020
1848	McCormick	0	US	0	33.90161443	-82.30794338	South Carolina	0	03/30/2020
1332	McCormick	1	US	0	33.90161443	-82.30794338	South Carolina	0	04/02/2020
1360	McCormick	1	US	0	33.90161443	-82.30794338	South Carolina	0	04/03/2020
1394	McCormick	1	US	0	33.90161443	-82.30794338	South Carolina	0	04/04/2020
1440	McCormick	1	US	0	33.90161443	-82.30794338	South Carolina	0	04/05/2020
1462	McCormick	2	US	0	33.90161443	-82.30794338	South Carolina	0	04/06/2020
1494	McCormick	2	US	0	33.90161443	-82.30794338	South Carolina	0	04/07/2020
1509	McCormick	2	US	0	33.90161443	-82.30794338	South Carolina	0	04/08/2020
1527	McCormick	3	US	1	33.90161443	-82.30794338	South Carolina	0	04/09/2020
1534	McCormick	3	US	1	33.90161443	-82.30794338	South Carolina	0	04/10/2020
1551	McCormick	3	US	1	33.90161443	-82.30794338	South Carolina	0	04/11/2020
1563	McCormick	3	US	1	33.90161443	-82.30794338	South Carolina	0	04/12/2020
1573	McCormick	3	US	1	33.90161443	-82.30794338	South Carolina	0	04/13/2020
1579	McCormick	4	US	1	33.90161443	-82.30794338	South Carolina	0	04/14/2020
