	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2644	South Dakota	US	03/22/2020	45.367281	-97.60737498	0	0	0	Day
734	South Dakota	US	03/23/2020	45.367281	-97.60737498	0	0	0	Day
734	South Dakota	US	03/24/2020	45.367281	-97.60737498	0	0	0	Day
734	South Dakota	US	03/25/2020	45.367281	-97.60737498	0	0	0	Day
734	South Dakota	US	03/26/2020	45.367281	-97.60737498	0	0	0	Day
734	South Dakota	US	03/27/2020	45.367281	-97.60737498	0	0	0	Day
734	South Dakota	US	03/28/2020	45.367281	-97.60737498	0	0	0	Day
734	South Dakota	US	03/29/2020	45.367281	-97.60737498	0	0	0	Day
734	South Dakota	US	03/30/2020	45.367281	-97.60737498	0	0	0	Day
647	South Dakota	US	04/18/2020	45.367281	-97.60737498	1	0	0	Day
651	South Dakota	US	04/19/2020	45.367281	-97.60737498	0	0	0	Day
652	South Dakota	US	04/20/2020	45.367281	-97.60737498	0	0	0	Day
656	South Dakota	US	04/21/2020	45.367281	-97.60737498	0	0	0	Day
658	South Dakota	US	04/22/2020	45.367281	-97.60737498	0	0	0	Day
661	South Dakota	US	04/23/2020	45.367281	-97.60737498	0	0	0	Day
662	South Dakota	US	04/24/2020	45.367281	-97.60737498	0	0	0	Day
662	South Dakota	US	04/25/2020	45.367281	-97.60737498	0	0	0	Day
664	South Dakota	US	04/26/2020	45.367281	-97.60737498	0	0	0	Day
666	South Dakota	US	04/27/2020	45.367281	-97.60737498	0	0	0	Day
668	South Dakota	US	04/28/2020	45.367281	-97.60737498	0	0	0	Day
669	South Dakota	US	04/29/2020	45.367281	-97.60737498	1	0	0	Day
669	South Dakota	US	04/30/2020	45.367281	-97.60737498	1	0	0	Day
672	South Dakota	US	05/01/2020	45.367281	-97.60737498	4	0	0	Day
673	South Dakota	US	05/02/2020	45.367281	-97.60737498	8	0	0	Day
674	South Dakota	US	05/03/2020	45.367281	-97.60737498	8	0	0	Day
675	South Dakota	US	05/04/2020	45.367281	-97.60737498	8	0	0	Day
679	South Dakota	US	05/05/2020	45.367281	-97.60737498	8	0	0	Day
680	South Dakota	US	05/06/2020	45.367281	-97.60737498	10	0	0	Day
681	South Dakota	US	05/07/2020	45.367281	-97.60737498	10	0	0	Day
684	South Dakota	US	05/08/2020	45.367281	-97.60737498	10	0	0	Day
684	South Dakota	US	05/09/2020	45.367281	-97.60737498	10	0	0	Day
685	South Dakota	US	05/10/2020	45.367281	-97.60737498	10	0	0	Day
685	South Dakota	US	05/11/2020	45.367281	-97.60737498	10	0	0	Day
