	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2672	South Dakota	US	03/22/2020	43.58078848	-100.7563186	0	0	0	Mellette
1890	South Dakota	US	03/23/2020	43.58078848	-100.7563186	0	0	0	Mellette
1890	South Dakota	US	03/24/2020	43.58078848	-100.7563186	0	0	0	Mellette
1890	South Dakota	US	03/25/2020	43.58078848	-100.7563186	0	0	0	Mellette
1889	South Dakota	US	03/26/2020	43.58078848	-100.7563186	0	0	0	Mellette
1889	South Dakota	US	03/27/2020	43.58078848	-100.7563186	0	0	0	Mellette
1889	South Dakota	US	03/28/2020	43.58078848	-100.7563186	0	0	0	Mellette
1889	South Dakota	US	03/29/2020	43.58078848	-100.7563186	0	0	0	Mellette
1889	South Dakota	US	03/30/2020	43.58078848	-100.7563186	0	0	0	Mellette
1806	South Dakota	US	06/13/2020	43.58078848	-100.7563186	1	0	0	Mellette
1806	South Dakota	US	06/14/2020	43.58078848	-100.7563186	1	0	0	Mellette
1808	South Dakota	US	06/15/2020	43.58078848	-100.7563186	1	0	0	Mellette
1807	South Dakota	US	06/16/2020	43.58078848	-100.7563186	2	0	0	Mellette
1809	South Dakota	US	06/17/2020	43.58078848	-100.7563186	2	0	0	Mellette
1809	South Dakota	US	06/18/2020	43.58078848	-100.7563186	2	0	0	Mellette
1809	South Dakota	US	06/19/2020	43.58078848	-100.7563186	2	0	0	Mellette
1813	South Dakota	US	06/20/2020	43.58078848	-100.7563186	2	0	0	Mellette
1813	South Dakota	US	06/21/2020	43.58078848	-100.7563186	2	0	0	Mellette
1814	South Dakota	US	06/22/2020	43.58078848	-100.7563186	2	0	0	Mellette
1817	South Dakota	US	06/23/2020	43.58078848	-100.7563186	2	0	0	Mellette
1825	South Dakota	US	06/24/2020	43.58078848	-100.7563186	3	0	0	Mellette
1830	South Dakota	US	06/25/2020	43.58078848	-100.7563186	3	0	0	Mellette
1831	South Dakota	US	06/26/2020	43.58078848	-100.7563186	3	0	0	Mellette
1832	South Dakota	US	06/27/2020	43.58078848	-100.7563186	3	0	0	Mellette
1832	South Dakota	US	06/28/2020	43.58078848	-100.7563186	3	0	0	Mellette
1833	South Dakota	US	06/29/2020	43.58078848	-100.7563186	3	0	0	Mellette
1834	South Dakota	US	06/30/2020	43.58078848	-100.7563186	3	0	0	Mellette
1834	South Dakota	US	07/01/2020	43.58078848	-100.7563186	4	0	0	Mellette
1836	South Dakota	US	07/02/2020	43.58078848	-100.7563186	5	0	0	Mellette
1839	South Dakota	US	07/03/2020	43.58078848	-100.7563186	5	0	0	Mellette
1839	South Dakota	US	07/04/2020	43.58078848	-100.7563186	7	0	0	Mellette
1839	South Dakota	US	07/05/2020	43.58078848	-100.7563186	7	0	0	Mellette
1842	South Dakota	US	07/06/2020	43.58078848	-100.7563186	7	0	0	Mellette
1842	South Dakota	US	07/07/2020	43.58078848	-100.7563186	6	0	0	Mellette
1845	South Dakota	US	07/08/2020	43.58078848	-100.7563186	6	0	0	Mellette
1844	South Dakota	US	07/09/2020	43.58078848	-100.7563186	6	0	0	Mellette
1846	South Dakota	US	07/10/2020	43.58078848	-100.7563186	6	0	0	Mellette
