	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2690	Tennessee	US	03/22/2020	35.51123746	-86.45549096	0	0	0	Bedford
166	Tennessee	US	03/23/2020	35.51123746	-86.45549096	0	0	0	Bedford
166	Tennessee	US	03/24/2020	35.51123746	-86.45549096	0	0	0	Bedford
166	Tennessee	US	03/25/2020	35.51123746	-86.45549096	1	0	0	Bedford
166	Tennessee	US	03/26/2020	35.51123746	-86.45549096	1	0	0	Bedford
166	Tennessee	US	03/27/2020	35.51123746	-86.45549096	1	0	0	Bedford
166	Tennessee	US	03/28/2020	35.51123746	-86.45549096	1	0	0	Bedford
166	Tennessee	US	03/29/2020	35.51123746	-86.45549096	1	0	0	Bedford
166	Tennessee	US	03/30/2020	35.51123746	-86.45549096	1	0	0	Bedford
115	Tennessee	US	03/31/2020	35.51123746	-86.45549096	2	0	0	Bedford
119	Tennessee	US	04/01/2020	35.51123746	-86.45549096	6	0	0	Bedford
124	Tennessee	US	04/02/2020	35.51123746	-86.45549096	6	0	0	Bedford
126	Tennessee	US	04/03/2020	35.51123746	-86.45549096	9	0	0	Bedford
131	Tennessee	US	04/04/2020	35.51123746	-86.45549096	9	0	0	Bedford
135	Tennessee	US	04/05/2020	35.51123746	-86.45549096	9	0	0	Bedford
135	Tennessee	US	04/06/2020	35.51123746	-86.45549096	11	0	0	Bedford
138	Tennessee	US	04/07/2020	35.51123746	-86.45549096	13	0	0	Bedford
139	Tennessee	US	04/08/2020	35.51123746	-86.45549096	13	0	0	Bedford
140	Tennessee	US	04/09/2020	35.51123746	-86.45549096	15	0	0	Bedford
140	Tennessee	US	04/10/2020	35.51123746	-86.45549096	18	1	0	Bedford
142	Tennessee	US	04/11/2020	35.51123746	-86.45549096	21	1	0	Bedford
143	Tennessee	US	04/12/2020	35.51123746	-86.45549096	22	1	0	Bedford
144	Tennessee	US	04/13/2020	35.51123746	-86.45549096	24	1	0	Bedford
145	Tennessee	US	04/14/2020	35.51123746	-86.45549096	28	2	0	Bedford
146	Tennessee	US	04/15/2020	35.51123746	-86.45549096	38	2	0	Bedford
146	Tennessee	US	04/16/2020	35.51123746	-86.45549096	45	2	0	Bedford
149	Tennessee	US	04/17/2020	35.51123746	-86.45549096	61	2	0	Bedford
149	Tennessee	US	04/18/2020	35.51123746	-86.45549096	73	2	0	Bedford
150	Tennessee	US	04/19/2020	35.51123746	-86.45549096	76	2	0	Bedford
150	Tennessee	US	04/20/2020	35.51123746	-86.45549096	111	2	0	Bedford
151	Tennessee	US	04/21/2020	35.51123746	-86.45549096	123	2	0	Bedford
151	Tennessee	US	04/22/2020	35.51123746	-86.45549096	129	2	0	Bedford
151	Tennessee	US	04/23/2020	35.51123746	-86.45549096	136	2	0	Bedford
151	Tennessee	US	04/24/2020	35.51123746	-86.45549096	152	2	0	Bedford
151	Tennessee	US	04/25/2020	35.51123746	-86.45549096	160	2	0	Bedford
152	Tennessee	US	04/26/2020	35.51123746	-86.45549096	166	2	0	Bedford
152	Tennessee	US	04/27/2020	35.51123746	-86.45549096	169	2	0	Bedford
152	Tennessee	US	04/28/2020	35.51123746	-86.45549096	173	2	0	Bedford
152	Tennessee	US	04/29/2020	35.51123746	-86.45549096	177	2	0	Bedford
152	Tennessee	US	04/30/2020	35.51123746	-86.45549096	187	2	0	Bedford
152	Tennessee	US	05/01/2020	35.51123746	-86.45549096	196	2	0	Bedford
152	Tennessee	US	05/02/2020	35.51123746	-86.45549096	197	2	0	Bedford
152	Tennessee	US	05/03/2020	35.51123746	-86.45549096	204	3	0	Bedford
152	Tennessee	US	05/04/2020	35.51123746	-86.45549096	205	3	0	Bedford
153	Tennessee	US	05/05/2020	35.51123746	-86.45549096	211	3	0	Bedford
154	Tennessee	US	05/06/2020	35.51123746	-86.45549096	218	3	0	Bedford
154	Tennessee	US	05/07/2020	35.51123746	-86.45549096	227	3	0	Bedford
154	Tennessee	US	05/08/2020	35.51123746	-86.45549096	234	3	0	Bedford
154	Tennessee	US	05/09/2020	35.51123746	-86.45549096	239	3	0	Bedford
154	Tennessee	US	05/10/2020	35.51123746	-86.45549096	241	3	0	Bedford
154	Tennessee	US	05/11/2020	35.51123746	-86.45549096	242	3	0	Bedford
154	Tennessee	US	05/12/2020	35.51123746	-86.45549096	246	3	0	Bedford
154	Tennessee	US	05/13/2020	35.51123746	-86.45549096	250	3	0	Bedford
154	Tennessee	US	05/14/2020	35.51123746	-86.45549096	250	4	0	Bedford
155	Tennessee	US	05/15/2020	35.51123746	-86.45549096	253	4	0	Bedford
155	Tennessee	US	05/16/2020	35.51123746	-86.45549096	253	4	0	Bedford
156	Tennessee	US	05/17/2020	35.51123746	-86.45549096	254	4	0	Bedford
156	Tennessee	US	05/18/2020	35.51123746	-86.45549096	254	4	0	Bedford
157	Tennessee	US	05/19/2020	35.51123746	-86.45549096	258	4	0	Bedford
157	Tennessee	US	05/20/2020	35.51123746	-86.45549096	261	4	0	Bedford
157	Tennessee	US	05/21/2020	35.51123746	-86.45549096	264	4	0	Bedford
158	Tennessee	US	05/22/2020	35.51123746	-86.45549096	265	4	0	Bedford
158	Tennessee	US	05/23/2020	35.51123746	-86.45549096	265	4	0	Bedford
158	Tennessee	US	05/24/2020	35.51123746	-86.45549096	268	4	0	Bedford
158	Tennessee	US	05/25/2020	35.51123746	-86.45549096	271	4	0	Bedford
158	Tennessee	US	05/26/2020	35.51123746	-86.45549096	272	4	0	Bedford
158	Tennessee	US	05/27/2020	35.51123746	-86.45549096	276	4	0	Bedford
158	Tennessee	US	05/28/2020	35.51123746	-86.45549096	284	4	0	Bedford
158	Tennessee	US	05/29/2020	35.51123746	-86.45549096	284	4	0	Bedford
158	Tennessee	US	05/30/2020	35.51123746	-86.45549096	289	4	0	Bedford
158	Tennessee	US	05/31/2020	35.51123746	-86.45549096	293	4	0	Bedford
158	Tennessee	US	06/01/2020	35.51123746	-86.45549096	295	4	0	Bedford
158	Tennessee	US	06/02/2020	35.51123746	-86.45549096	297	4	0	Bedford
158	Tennessee	US	06/03/2020	35.51123746	-86.45549096	299	4	0	Bedford
158	Tennessee	US	06/04/2020	35.51123746	-86.45549096	300	4	0	Bedford
159	Tennessee	US	06/05/2020	35.51123746	-86.45549096	315	4	0	Bedford
159	Tennessee	US	06/06/2020	35.51123746	-86.45549096	328	4	0	Bedford
159	Tennessee	US	06/07/2020	35.51123746	-86.45549096	329	4	0	Bedford
159	Tennessee	US	06/08/2020	35.51123746	-86.45549096	339	4	0	Bedford
159	Tennessee	US	06/09/2020	35.51123746	-86.45549096	344	4	0	Bedford
160	Tennessee	US	06/10/2020	35.51123746	-86.45549096	372	4	0	Bedford
161	Tennessee	US	06/11/2020	35.51123746	-86.45549096	377	4	0	Bedford
162	Tennessee	US	06/12/2020	35.51123746	-86.45549096	379	4	0	Bedford
162	Tennessee	US	06/13/2020	35.51123746	-86.45549096	379	4	0	Bedford
162	Tennessee	US	06/14/2020	35.51123746	-86.45549096	379	4	0	Bedford
162	Tennessee	US	06/15/2020	35.51123746	-86.45549096	392	4	0	Bedford
162	Tennessee	US	06/16/2020	35.51123746	-86.45549096	403	4	0	Bedford
162	Tennessee	US	06/17/2020	35.51123746	-86.45549096	404	4	0	Bedford
162	Tennessee	US	06/18/2020	35.51123746	-86.45549096	417	4	0	Bedford
162	Tennessee	US	06/19/2020	35.51123746	-86.45549096	425	4	0	Bedford
162	Tennessee	US	06/20/2020	35.51123746	-86.45549096	426	4	0	Bedford
162	Tennessee	US	06/21/2020	35.51123746	-86.45549096	433	4	0	Bedford
162	Tennessee	US	06/22/2020	35.51123746	-86.45549096	439	4	0	Bedford
162	Tennessee	US	06/23/2020	35.51123746	-86.45549096	446	4	0	Bedford
