	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
514	Tennessee	US	03/22/2020	35.68938198	-83.92847788	1	0	0	Blount
222	Tennessee	US	03/23/2020	35.68938198	-83.92847788	2	0	0	Blount
222	Tennessee	US	03/24/2020	35.68938198	-83.92847788	3	0	0	Blount
222	Tennessee	US	03/25/2020	35.68938198	-83.92847788	3	0	0	Blount
222	Tennessee	US	03/26/2020	35.68938198	-83.92847788	4	0	0	Blount
222	Tennessee	US	03/27/2020	35.68938198	-83.92847788	6	0	0	Blount
222	Tennessee	US	03/28/2020	35.68938198	-83.92847788	9	0	0	Blount
222	Tennessee	US	03/29/2020	35.68938198	-83.92847788	9	0	0	Blount
222	Tennessee	US	03/30/2020	35.68938198	-83.92847788	9	0	0	Blount
153	Tennessee	US	03/31/2020	35.68938198	-83.92847788	25	0	0	Blount
158	Tennessee	US	04/01/2020	35.68938198	-83.92847788	32	0	0	Blount
165	Tennessee	US	04/02/2020	35.68938198	-83.92847788	32	0	0	Blount
166	Tennessee	US	04/03/2020	35.68938198	-83.92847788	33	0	0	Blount
171	Tennessee	US	04/04/2020	35.68938198	-83.92847788	35	0	0	Blount
178	Tennessee	US	04/05/2020	35.68938198	-83.92847788	36	1	0	Blount
178	Tennessee	US	04/06/2020	35.68938198	-83.92847788	39	2	0	Blount
182	Tennessee	US	04/07/2020	35.68938198	-83.92847788	42	2	0	Blount
183	Tennessee	US	04/08/2020	35.68938198	-83.92847788	44	2	0	Blount
185	Tennessee	US	04/09/2020	35.68938198	-83.92847788	44	3	0	Blount
186	Tennessee	US	04/10/2020	35.68938198	-83.92847788	45	3	0	Blount
188	Tennessee	US	04/11/2020	35.68938198	-83.92847788	45	3	0	Blount
190	Tennessee	US	04/12/2020	35.68938198	-83.92847788	45	3	0	Blount
191	Tennessee	US	04/13/2020	35.68938198	-83.92847788	45	3	0	Blount
192	Tennessee	US	04/14/2020	35.68938198	-83.92847788	46	3	0	Blount
193	Tennessee	US	04/15/2020	35.68938198	-83.92847788	46	3	0	Blount
193	Tennessee	US	04/16/2020	35.68938198	-83.92847788	46	3	0	Blount
196	Tennessee	US	04/17/2020	35.68938198	-83.92847788	46	3	0	Blount
196	Tennessee	US	04/18/2020	35.68938198	-83.92847788	46	3	0	Blount
197	Tennessee	US	04/19/2020	35.68938198	-83.92847788	46	3	0	Blount
197	Tennessee	US	04/20/2020	35.68938198	-83.92847788	46	3	0	Blount
198	Tennessee	US	04/21/2020	35.68938198	-83.92847788	47	3	0	Blount
198	Tennessee	US	04/22/2020	35.68938198	-83.92847788	48	3	0	Blount
198	Tennessee	US	04/23/2020	35.68938198	-83.92847788	50	3	0	Blount
198	Tennessee	US	04/24/2020	35.68938198	-83.92847788	54	3	0	Blount
198	Tennessee	US	04/25/2020	35.68938198	-83.92847788	54	3	0	Blount
199	Tennessee	US	04/26/2020	35.68938198	-83.92847788	54	3	0	Blount
199	Tennessee	US	04/27/2020	35.68938198	-83.92847788	57	3	0	Blount
199	Tennessee	US	04/28/2020	35.68938198	-83.92847788	59	3	0	Blount
199	Tennessee	US	04/29/2020	35.68938198	-83.92847788	60	3	0	Blount
199	Tennessee	US	04/30/2020	35.68938198	-83.92847788	60	3	0	Blount
199	Tennessee	US	05/01/2020	35.68938198	-83.92847788	67	3	0	Blount
199	Tennessee	US	05/02/2020	35.68938198	-83.92847788	67	3	0	Blount
199	Tennessee	US	05/03/2020	35.68938198	-83.92847788	68	3	0	Blount
200	Tennessee	US	05/04/2020	35.68938198	-83.92847788	70	3	0	Blount
201	Tennessee	US	05/05/2020	35.68938198	-83.92847788	71	3	0	Blount
202	Tennessee	US	05/06/2020	35.68938198	-83.92847788	72	3	0	Blount
203	Tennessee	US	05/07/2020	35.68938198	-83.92847788	72	3	0	Blount
203	Tennessee	US	05/08/2020	35.68938198	-83.92847788	73	3	0	Blount
203	Tennessee	US	05/09/2020	35.68938198	-83.92847788	73	3	0	Blount
204	Tennessee	US	05/10/2020	35.68938198	-83.92847788	73	3	0	Blount
204	Tennessee	US	05/11/2020	35.68938198	-83.92847788	77	3	0	Blount
204	Tennessee	US	05/12/2020	35.68938198	-83.92847788	77	3	0	Blount
204	Tennessee	US	05/13/2020	35.68938198	-83.92847788	78	3	0	Blount
204	Tennessee	US	05/14/2020	35.68938198	-83.92847788	79	3	0	Blount
205	Tennessee	US	05/15/2020	35.68938198	-83.92847788	79	3	0	Blount
205	Tennessee	US	05/16/2020	35.68938198	-83.92847788	79	3	0	Blount
206	Tennessee	US	05/17/2020	35.68938198	-83.92847788	79	3	0	Blount
207	Tennessee	US	05/18/2020	35.68938198	-83.92847788	80	3	0	Blount
208	Tennessee	US	05/19/2020	35.68938198	-83.92847788	80	3	0	Blount
208	Tennessee	US	05/20/2020	35.68938198	-83.92847788	81	3	0	Blount
208	Tennessee	US	05/21/2020	35.68938198	-83.92847788	82	3	0	Blount
209	Tennessee	US	05/22/2020	35.68938198	-83.92847788	85	3	0	Blount
209	Tennessee	US	05/23/2020	35.68938198	-83.92847788	85	3	0	Blount
209	Tennessee	US	05/24/2020	35.68938198	-83.92847788	86	3	0	Blount
209	Tennessee	US	05/25/2020	35.68938198	-83.92847788	86	3	0	Blount
209	Tennessee	US	05/26/2020	35.68938198	-83.92847788	91	3	0	Blount
210	Tennessee	US	05/27/2020	35.68938198	-83.92847788	94	3	0	Blount
210	Tennessee	US	05/28/2020	35.68938198	-83.92847788	94	3	0	Blount
210	Tennessee	US	05/29/2020	35.68938198	-83.92847788	95	3	0	Blount
210	Tennessee	US	05/30/2020	35.68938198	-83.92847788	96	3	0	Blount
210	Tennessee	US	05/31/2020	35.68938198	-83.92847788	96	3	0	Blount
210	Tennessee	US	06/01/2020	35.68938198	-83.92847788	97	3	0	Blount
