	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2693	Tennessee	US	03/22/2020	35.80990797	-86.05738983	0	0	0	Cannon
380	Tennessee	US	03/23/2020	35.80990797	-86.05738983	0	0	0	Cannon
380	Tennessee	US	03/24/2020	35.80990797	-86.05738983	0	0	0	Cannon
380	Tennessee	US	03/25/2020	35.80990797	-86.05738983	0	0	0	Cannon
380	Tennessee	US	03/26/2020	35.80990797	-86.05738983	1	0	0	Cannon
380	Tennessee	US	03/27/2020	35.80990797	-86.05738983	2	0	0	Cannon
380	Tennessee	US	03/28/2020	35.80990797	-86.05738983	3	0	0	Cannon
380	Tennessee	US	03/29/2020	35.80990797	-86.05738983	2	0	0	Cannon
380	Tennessee	US	03/30/2020	35.80990797	-86.05738983	3	0	0	Cannon
265	Tennessee	US	03/31/2020	35.80990797	-86.05738983	3	0	0	Cannon
274	Tennessee	US	04/01/2020	35.80990797	-86.05738983	3	0	0	Cannon
282	Tennessee	US	04/02/2020	35.80990797	-86.05738983	3	0	0	Cannon
284	Tennessee	US	04/03/2020	35.80990797	-86.05738983	3	0	0	Cannon
289	Tennessee	US	04/04/2020	35.80990797	-86.05738983	3	0	0	Cannon
301	Tennessee	US	04/05/2020	35.80990797	-86.05738983	6	0	0	Cannon
302	Tennessee	US	04/06/2020	35.80990797	-86.05738983	6	0	0	Cannon
310	Tennessee	US	04/07/2020	35.80990797	-86.05738983	6	0	0	Cannon
314	Tennessee	US	04/08/2020	35.80990797	-86.05738983	6	0	0	Cannon
317	Tennessee	US	04/09/2020	35.80990797	-86.05738983	6	0	0	Cannon
318	Tennessee	US	04/10/2020	35.80990797	-86.05738983	6	0	0	Cannon
321	Tennessee	US	04/11/2020	35.80990797	-86.05738983	6	0	0	Cannon
324	Tennessee	US	04/12/2020	35.80990797	-86.05738983	6	0	0	Cannon
326	Tennessee	US	04/13/2020	35.80990797	-86.05738983	6	0	0	Cannon
327	Tennessee	US	04/14/2020	35.80990797	-86.05738983	6	0	0	Cannon
329	Tennessee	US	04/15/2020	35.80990797	-86.05738983	6	0	0	Cannon
329	Tennessee	US	04/16/2020	35.80990797	-86.05738983	7	0	0	Cannon
331	Tennessee	US	04/17/2020	35.80990797	-86.05738983	7	0	0	Cannon
332	Tennessee	US	04/18/2020	35.80990797	-86.05738983	7	0	0	Cannon
332	Tennessee	US	04/19/2020	35.80990797	-86.05738983	7	0	0	Cannon
