	Admin2	Confirmed	Country/Region	Deaths	Lat	Long	Province/State	Recovered	date
504	Carroll	2	US	0	35.97366108	-88.45189331	Tennessee	0	03/22/2020
404	Carroll	2	US	0	35.97366108	-88.45189331	Tennessee	0	03/23/2020
404	Carroll	3	US	0	35.97366108	-88.45189331	Tennessee	0	03/24/2020
404	Carroll	3	US	0	35.97366108	-88.45189331	Tennessee	0	03/25/2020
404	Carroll	3	US	0	35.97366108	-88.45189331	Tennessee	0	03/26/2020
404	Carroll	4	US	0	35.97366108	-88.45189331	Tennessee	0	03/27/2020
404	Carroll	4	US	0	35.97366108	-88.45189331	Tennessee	0	03/28/2020
404	Carroll	5	US	0	35.97366108	-88.45189331	Tennessee	0	03/29/2020
404	Carroll	5	US	0	35.97366108	-88.45189331	Tennessee	0	03/30/2020
282	Carroll	5	US	0	35.97366108	-88.45189331	Tennessee	0	03/31/2020
291	Carroll	5	US	0	35.97366108	-88.45189331	Tennessee	0	04/01/2020
301	Carroll	5	US	0	35.97366108	-88.45189331	Tennessee	0	04/02/2020
305	Carroll	6	US	0	35.97366108	-88.45189331	Tennessee	0	04/03/2020
310	Carroll	6	US	0	35.97366108	-88.45189331	Tennessee	0	04/04/2020
323	Carroll	7	US	0	35.97366108	-88.45189331	Tennessee	0	04/05/2020
324	Carroll	8	US	0	35.97366108	-88.45189331	Tennessee	0	04/06/2020
332	Carroll	8	US	0	35.97366108	-88.45189331	Tennessee	0	04/07/2020
336	Carroll	8	US	0	35.97366108	-88.45189331	Tennessee	0	04/08/2020
339	Carroll	10	US	0	35.97366108	-88.45189331	Tennessee	0	04/09/2020
340	Carroll	10	US	0	35.97366108	-88.45189331	Tennessee	0	04/10/2020
343	Carroll	10	US	0	35.97366108	-88.45189331	Tennessee	0	04/11/2020
346	Carroll	11	US	0	35.97366108	-88.45189331	Tennessee	0	04/12/2020
348	Carroll	12	US	0	35.97366108	-88.45189331	Tennessee	0	04/13/2020
349	Carroll	12	US	0	35.97366108	-88.45189331	Tennessee	0	04/14/2020
351	Carroll	12	US	0	35.97366108	-88.45189331	Tennessee	0	04/15/2020
351	Carroll	13	US	0	35.97366108	-88.45189331	Tennessee	0	04/16/2020
352	Carroll	13	US	0	35.97366108	-88.45189331	Tennessee	0	04/17/2020
353	Carroll	13	US	0	35.97366108	-88.45189331	Tennessee	0	04/18/2020
353	Carroll	15	US	0	35.97366108	-88.45189331	Tennessee	0	04/19/2020
353	Carroll	15	US	1	35.97366108	-88.45189331	Tennessee	0	04/20/2020
354	Carroll	14	US	1	35.97366108	-88.45189331	Tennessee	0	04/21/2020
356	Carroll	14	US	1	35.97366108	-88.45189331	Tennessee	0	04/22/2020
357	Carroll	14	US	1	35.97366108	-88.45189331	Tennessee	0	04/23/2020
357	Carroll	14	US	1	35.97366108	-88.45189331	Tennessee	0	04/24/2020
357	Carroll	16	US	1	35.97366108	-88.45189331	Tennessee	0	04/25/2020
358	Carroll	16	US	1	35.97366108	-88.45189331	Tennessee	0	04/26/2020
359	Carroll	16	US	1	35.97366108	-88.45189331	Tennessee	0	04/27/2020
360	Carroll	18	US	1	35.97366108	-88.45189331	Tennessee	0	04/28/2020
360	Carroll	18	US	1	35.97366108	-88.45189331	Tennessee	0	04/29/2020
360	Carroll	18	US	1	35.97366108	-88.45189331	Tennessee	0	04/30/2020
363	Carroll	18	US	1	35.97366108	-88.45189331	Tennessee	0	05/01/2020
364	Carroll	18	US	1	35.97366108	-88.45189331	Tennessee	0	05/02/2020
365	Carroll	18	US	1	35.97366108	-88.45189331	Tennessee	0	05/03/2020
366	Carroll	23	US	1	35.97366108	-88.45189331	Tennessee	0	05/04/2020
368	Carroll	22	US	1	35.97366108	-88.45189331	Tennessee	0	05/05/2020
369	Carroll	18	US	1	35.97366108	-88.45189331	Tennessee	0	05/06/2020
370	Carroll	19	US	1	35.97366108	-88.45189331	Tennessee	0	05/07/2020
370	Carroll	19	US	1	35.97366108	-88.45189331	Tennessee	0	05/08/2020
370	Carroll	18	US	1	35.97366108	-88.45189331	Tennessee	0	05/09/2020
371	Carroll	19	US	1	35.97366108	-88.45189331	Tennessee	0	05/10/2020
371	Carroll	21	US	1	35.97366108	-88.45189331	Tennessee	0	05/11/2020
371	Carroll	22	US	1	35.97366108	-88.45189331	Tennessee	0	05/12/2020
371	Carroll	22	US	1	35.97366108	-88.45189331	Tennessee	0	05/13/2020
372	Carroll	23	US	1	35.97366108	-88.45189331	Tennessee	0	05/14/2020
373	Carroll	24	US	1	35.97366108	-88.45189331	Tennessee	0	05/15/2020
374	Carroll	25	US	1	35.97366108	-88.45189331	Tennessee	0	05/16/2020
375	Carroll	25	US	1	35.97366108	-88.45189331	Tennessee	0	05/17/2020
376	Carroll	25	US	1	35.97366108	-88.45189331	Tennessee	0	05/18/2020
378	Carroll	25	US	1	35.97366108	-88.45189331	Tennessee	0	05/19/2020
378	Carroll	25	US	1	35.97366108	-88.45189331	Tennessee	0	05/20/2020
378	Carroll	26	US	1	35.97366108	-88.45189331	Tennessee	0	05/21/2020
379	Carroll	26	US	1	35.97366108	-88.45189331	Tennessee	0	05/22/2020
379	Carroll	27	US	1	35.97366108	-88.45189331	Tennessee	0	05/23/2020
379	Carroll	27	US	1	35.97366108	-88.45189331	Tennessee	0	05/24/2020
379	Carroll	27	US	1	35.97366108	-88.45189331	Tennessee	0	05/25/2020
