	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
493	Tennessee	US	03/22/2020	36.26136216	-87.08903581	4	0	0	Cheatham
466	Tennessee	US	03/23/2020	36.26136216	-87.08903581	4	0	0	Cheatham
466	Tennessee	US	03/24/2020	36.26136216	-87.08903581	5	0	0	Cheatham
466	Tennessee	US	03/25/2020	36.26136216	-87.08903581	7	0	0	Cheatham
466	Tennessee	US	03/26/2020	36.26136216	-87.08903581	7	0	0	Cheatham
466	Tennessee	US	03/27/2020	36.26136216	-87.08903581	7	0	0	Cheatham
466	Tennessee	US	03/28/2020	36.26136216	-87.08903581	7	0	0	Cheatham
466	Tennessee	US	03/29/2020	36.26136216	-87.08903581	8	0	0	Cheatham
466	Tennessee	US	03/30/2020	36.26136216	-87.08903581	8	0	0	Cheatham
332	Tennessee	US	03/31/2020	36.26136216	-87.08903581	10	0	0	Cheatham
341	Tennessee	US	04/01/2020	36.26136216	-87.08903581	12	0	0	Cheatham
351	Tennessee	US	04/02/2020	36.26136216	-87.08903581	12	0	0	Cheatham
355	Tennessee	US	04/03/2020	36.26136216	-87.08903581	13	0	0	Cheatham
363	Tennessee	US	04/04/2020	36.26136216	-87.08903581	14	0	0	Cheatham
376	Tennessee	US	04/05/2020	36.26136216	-87.08903581	16	0	0	Cheatham
377	Tennessee	US	04/06/2020	36.26136216	-87.08903581	16	0	0	Cheatham
385	Tennessee	US	04/07/2020	36.26136216	-87.08903581	16	0	0	Cheatham
389	Tennessee	US	04/08/2020	36.26136216	-87.08903581	17	0	0	Cheatham
392	Tennessee	US	04/09/2020	36.26136216	-87.08903581	17	0	0	Cheatham
393	Tennessee	US	04/10/2020	36.26136216	-87.08903581	17	0	0	Cheatham
397	Tennessee	US	04/11/2020	36.26136216	-87.08903581	18	0	0	Cheatham
400	Tennessee	US	04/12/2020	36.26136216	-87.08903581	20	0	0	Cheatham
403	Tennessee	US	04/13/2020	36.26136216	-87.08903581	20	0	0	Cheatham
404	Tennessee	US	04/14/2020	36.26136216	-87.08903581	20	0	0	Cheatham
407	Tennessee	US	04/15/2020	36.26136216	-87.08903581	20	0	0	Cheatham
407	Tennessee	US	04/16/2020	36.26136216	-87.08903581	22	0	0	Cheatham
409	Tennessee	US	04/17/2020	36.26136216	-87.08903581	23	0	0	Cheatham
410	Tennessee	US	04/18/2020	36.26136216	-87.08903581	23	0	0	Cheatham
412	Tennessee	US	04/19/2020	36.26136216	-87.08903581	24	0	0	Cheatham
412	Tennessee	US	04/20/2020	36.26136216	-87.08903581	24	0	0	Cheatham
414	Tennessee	US	04/21/2020	36.26136216	-87.08903581	26	0	0	Cheatham
416	Tennessee	US	04/22/2020	36.26136216	-87.08903581	30	0	0	Cheatham
417	Tennessee	US	04/23/2020	36.26136216	-87.08903581	33	0	0	Cheatham
417	Tennessee	US	04/24/2020	36.26136216	-87.08903581	37	0	0	Cheatham
417	Tennessee	US	04/25/2020	36.26136216	-87.08903581	37	0	0	Cheatham
418	Tennessee	US	04/26/2020	36.26136216	-87.08903581	37	0	0	Cheatham
419	Tennessee	US	04/27/2020	36.26136216	-87.08903581	43	0	0	Cheatham
420	Tennessee	US	04/28/2020	36.26136216	-87.08903581	43	0	0	Cheatham
420	Tennessee	US	04/29/2020	36.26136216	-87.08903581	47	0	0	Cheatham
420	Tennessee	US	04/30/2020	36.26136216	-87.08903581	48	0	0	Cheatham
423	Tennessee	US	05/01/2020	36.26136216	-87.08903581	52	0	0	Cheatham
424	Tennessee	US	05/02/2020	36.26136216	-87.08903581	53	0	0	Cheatham
425	Tennessee	US	05/03/2020	36.26136216	-87.08903581	59	0	0	Cheatham
426	Tennessee	US	05/04/2020	36.26136216	-87.08903581	63	0	0	Cheatham
428	Tennessee	US	05/05/2020	36.26136216	-87.08903581	63	0	0	Cheatham
429	Tennessee	US	05/06/2020	36.26136216	-87.08903581	64	0	0	Cheatham
430	Tennessee	US	05/07/2020	36.26136216	-87.08903581	70	0	0	Cheatham
430	Tennessee	US	05/08/2020	36.26136216	-87.08903581	71	0	0	Cheatham
430	Tennessee	US	05/09/2020	36.26136216	-87.08903581	71	0	0	Cheatham
431	Tennessee	US	05/10/2020	36.26136216	-87.08903581	72	0	0	Cheatham
431	Tennessee	US	05/11/2020	36.26136216	-87.08903581	75	0	0	Cheatham
431	Tennessee	US	05/12/2020	36.26136216	-87.08903581	86	0	0	Cheatham
431	Tennessee	US	05/13/2020	36.26136216	-87.08903581	93	0	0	Cheatham
432	Tennessee	US	05/14/2020	36.26136216	-87.08903581	96	0	0	Cheatham
433	Tennessee	US	05/15/2020	36.26136216	-87.08903581	97	0	0	Cheatham
434	Tennessee	US	05/16/2020	36.26136216	-87.08903581	97	0	0	Cheatham
435	Tennessee	US	05/17/2020	36.26136216	-87.08903581	102	0	0	Cheatham
436	Tennessee	US	05/18/2020	36.26136216	-87.08903581	103	0	0	Cheatham
438	Tennessee	US	05/19/2020	36.26136216	-87.08903581	103	0	0	Cheatham
438	Tennessee	US	05/20/2020	36.26136216	-87.08903581	105	0	0	Cheatham
438	Tennessee	US	05/21/2020	36.26136216	-87.08903581	106	0	0	Cheatham
439	Tennessee	US	05/22/2020	36.26136216	-87.08903581	109	0	0	Cheatham
439	Tennessee	US	05/23/2020	36.26136216	-87.08903581	112	0	0	Cheatham
440	Tennessee	US	05/24/2020	36.26136216	-87.08903581	113	0	0	Cheatham
