	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2698	Tennessee	US	03/22/2020	35.81830662	-89.14916269	0	0	0	Crockett
671	Tennessee	US	03/23/2020	35.81830662	-89.14916269	0	0	0	Crockett
671	Tennessee	US	03/24/2020	35.81830662	-89.14916269	0	0	0	Crockett
671	Tennessee	US	03/25/2020	35.81830662	-89.14916269	0	0	0	Crockett
671	Tennessee	US	03/26/2020	35.81830662	-89.14916269	0	0	0	Crockett
671	Tennessee	US	03/27/2020	35.81830662	-89.14916269	0	0	0	Crockett
671	Tennessee	US	03/28/2020	35.81830662	-89.14916269	0	0	0	Crockett
671	Tennessee	US	03/29/2020	35.81830662	-89.14916269	0	0	0	Crockett
671	Tennessee	US	03/30/2020	35.81830662	-89.14916269	0	0	0	Crockett
550	Tennessee	US	04/06/2020	35.81830662	-89.14916269	0	0	0	Crockett
560	Tennessee	US	04/07/2020	35.81830662	-89.14916269	0	0	0	Crockett
565	Tennessee	US	04/08/2020	35.81830662	-89.14916269	0	0	0	Crockett
569	Tennessee	US	04/09/2020	35.81830662	-89.14916269	0	0	0	Crockett
573	Tennessee	US	04/10/2020	35.81830662	-89.14916269	0	0	0	Crockett
578	Tennessee	US	04/11/2020	35.81830662	-89.14916269	0	0	0	Crockett
581	Tennessee	US	04/12/2020	35.81830662	-89.14916269	0	0	0	Crockett
585	Tennessee	US	04/13/2020	35.81830662	-89.14916269	0	0	0	Crockett
587	Tennessee	US	04/14/2020	35.81830662	-89.14916269	0	0	0	Crockett
590	Tennessee	US	04/15/2020	35.81830662	-89.14916269	0	0	0	Crockett
591	Tennessee	US	04/16/2020	35.81830662	-89.14916269	0	0	0	Crockett
593	Tennessee	US	04/17/2020	35.81830662	-89.14916269	3	0	0	Crockett
594	Tennessee	US	04/18/2020	35.81830662	-89.14916269	3	0	0	Crockett
598	Tennessee	US	04/19/2020	35.81830662	-89.14916269	6	0	0	Crockett
599	Tennessee	US	04/20/2020	35.81830662	-89.14916269	6	0	0	Crockett
603	Tennessee	US	04/21/2020	35.81830662	-89.14916269	6	0	0	Crockett
605	Tennessee	US	04/22/2020	35.81830662	-89.14916269	6	0	0	Crockett
608	Tennessee	US	04/23/2020	35.81830662	-89.14916269	6	0	0	Crockett
609	Tennessee	US	04/24/2020	35.81830662	-89.14916269	6	1	0	Crockett
609	Tennessee	US	04/25/2020	35.81830662	-89.14916269	6	1	0	Crockett
610	Tennessee	US	04/26/2020	35.81830662	-89.14916269	6	1	0	Crockett
612	Tennessee	US	04/27/2020	35.81830662	-89.14916269	7	1	0	Crockett
614	Tennessee	US	04/28/2020	35.81830662	-89.14916269	7	1	0	Crockett
614	Tennessee	US	04/29/2020	35.81830662	-89.14916269	7	1	0	Crockett
614	Tennessee	US	04/30/2020	35.81830662	-89.14916269	9	1	0	Crockett
617	Tennessee	US	05/01/2020	35.81830662	-89.14916269	9	1	0	Crockett
618	Tennessee	US	05/02/2020	35.81830662	-89.14916269	9	1	0	Crockett
619	Tennessee	US	05/03/2020	35.81830662	-89.14916269	9	1	0	Crockett
620	Tennessee	US	05/04/2020	35.81830662	-89.14916269	9	1	0	Crockett
624	Tennessee	US	05/05/2020	35.81830662	-89.14916269	9	1	0	Crockett
625	Tennessee	US	05/06/2020	35.81830662	-89.14916269	10	1	0	Crockett
626	Tennessee	US	05/07/2020	35.81830662	-89.14916269	10	1	0	Crockett
629	Tennessee	US	05/08/2020	35.81830662	-89.14916269	12	1	0	Crockett
629	Tennessee	US	05/09/2020	35.81830662	-89.14916269	12	1	0	Crockett
630	Tennessee	US	05/10/2020	35.81830662	-89.14916269	14	1	0	Crockett
630	Tennessee	US	05/11/2020	35.81830662	-89.14916269	14	1	0	Crockett
630	Tennessee	US	05/12/2020	35.81830662	-89.14916269	15	1	0	Crockett
630	Tennessee	US	05/13/2020	35.81830662	-89.14916269	17	1	0	Crockett
631	Tennessee	US	05/14/2020	35.81830662	-89.14916269	17	1	0	Crockett
632	Tennessee	US	05/15/2020	35.81830662	-89.14916269	17	1	0	Crockett
633	Tennessee	US	05/16/2020	35.81830662	-89.14916269	17	1	0	Crockett
634	Tennessee	US	05/17/2020	35.81830662	-89.14916269	17	1	0	Crockett
635	Tennessee	US	05/18/2020	35.81830662	-89.14916269	17	1	0	Crockett
637	Tennessee	US	05/19/2020	35.81830662	-89.14916269	17	1	0	Crockett
638	Tennessee	US	05/20/2020	35.81830662	-89.14916269	17	1	0	Crockett
638	Tennessee	US	05/21/2020	35.81830662	-89.14916269	17	2	0	Crockett
640	Tennessee	US	05/22/2020	35.81830662	-89.14916269	17	2	0	Crockett
640	Tennessee	US	05/23/2020	35.81830662	-89.14916269	17	2	0	Crockett
641	Tennessee	US	05/24/2020	35.81830662	-89.14916269	18	2	0	Crockett
641	Tennessee	US	05/25/2020	35.81830662	-89.14916269	19	2	0	Crockett
641	Tennessee	US	05/26/2020	35.81830662	-89.14916269	19	2	0	Crockett
642	Tennessee	US	05/27/2020	35.81830662	-89.14916269	19	2	0	Crockett
642	Tennessee	US	05/28/2020	35.81830662	-89.14916269	19	2	0	Crockett
642	Tennessee	US	05/29/2020	35.81830662	-89.14916269	19	2	0	Crockett
642	Tennessee	US	05/30/2020	35.81830662	-89.14916269	19	3	0	Crockett
642	Tennessee	US	05/31/2020	35.81830662	-89.14916269	19	3	0	Crockett
643	Tennessee	US	06/01/2020	35.81830662	-89.14916269	19	3	0	Crockett
643	Tennessee	US	06/02/2020	35.81830662	-89.14916269	19	3	0	Crockett
643	Tennessee	US	06/03/2020	35.81830662	-89.14916269	19	3	0	Crockett
643	Tennessee	US	06/04/2020	35.81830662	-89.14916269	19	3	0	Crockett
644	Tennessee	US	06/05/2020	35.81830662	-89.14916269	19	3	0	Crockett
644	Tennessee	US	06/06/2020	35.81830662	-89.14916269	19	3	0	Crockett
644	Tennessee	US	06/07/2020	35.81830662	-89.14916269	19	3	0	Crockett
644	Tennessee	US	06/08/2020	35.81830662	-89.14916269	19	3	0	Crockett
644	Tennessee	US	06/09/2020	35.81830662	-89.14916269	19	3	0	Crockett
645	Tennessee	US	06/10/2020	35.81830662	-89.14916269	19	3	0	Crockett
646	Tennessee	US	06/11/2020	35.81830662	-89.14916269	19	4	0	Crockett
647	Tennessee	US	06/12/2020	35.81830662	-89.14916269	19	4	0	Crockett
648	Tennessee	US	06/13/2020	35.81830662	-89.14916269	19	4	0	Crockett
648	Tennessee	US	06/14/2020	35.81830662	-89.14916269	19	4	0	Crockett
649	Tennessee	US	06/15/2020	35.81830662	-89.14916269	19	4	0	Crockett
649	Tennessee	US	06/16/2020	35.81830662	-89.14916269	20	4	0	Crockett
649	Tennessee	US	06/17/2020	35.81830662	-89.14916269	22	4	0	Crockett
649	Tennessee	US	06/18/2020	35.81830662	-89.14916269	25	4	0	Crockett
649	Tennessee	US	06/19/2020	35.81830662	-89.14916269	25	4	0	Crockett
651	Tennessee	US	06/20/2020	35.81830662	-89.14916269	25	4	0	Crockett
651	Tennessee	US	06/21/2020	35.81830662	-89.14916269	25	4	0	Crockett
651	Tennessee	US	06/22/2020	35.81830662	-89.14916269	26	4	0	Crockett
651	Tennessee	US	06/23/2020	35.81830662	-89.14916269	27	4	0	Crockett
653	Tennessee	US	06/24/2020	35.81830662	-89.14916269	27	4	0	Crockett
654	Tennessee	US	06/25/2020	35.81830662	-89.14916269	27	4	0	Crockett
654	Tennessee	US	06/26/2020	35.81830662	-89.14916269	28	4	0	Crockett
655	Tennessee	US	06/27/2020	35.81830662	-89.14916269	29	4	0	Crockett
655	Tennessee	US	06/28/2020	35.81830662	-89.14916269	29	4	0	Crockett
655	Tennessee	US	06/29/2020	35.81830662	-89.14916269	31	4	0	Crockett
656	Tennessee	US	06/30/2020	35.81830662	-89.14916269	32	4	0	Crockett
656	Tennessee	US	07/01/2020	35.81830662	-89.14916269	32	4	0	Crockett
657	Tennessee	US	07/02/2020	35.81830662	-89.14916269	33	4	0	Crockett
658	Tennessee	US	07/03/2020	35.81830662	-89.14916269	35	4	0	Crockett
658	Tennessee	US	07/04/2020	35.81830662	-89.14916269	37	4	0	Crockett
658	Tennessee	US	07/05/2020	35.81830662	-89.14916269	38	4	0	Crockett
658	Tennessee	US	07/06/2020	35.81830662	-89.14916269	39	4	0	Crockett
658	Tennessee	US	07/07/2020	35.81830662	-89.14916269	45	4	0	Crockett
659	Tennessee	US	07/08/2020	35.81830662	-89.14916269	47	4	0	Crockett
659	Tennessee	US	07/09/2020	35.81830662	-89.14916269	48	4	0	Crockett
660	Tennessee	US	07/10/2020	35.81830662	-89.14916269	53	4	0	Crockett
660	Tennessee	US	07/11/2020	35.81830662	-89.14916269	54	4	0	Crockett
660	Tennessee	US	07/12/2020	35.81830662	-89.14916269	63	4	0	Crockett
660	Tennessee	US	07/13/2020	35.81830662	-89.14916269	70	4	0	Crockett
660	Tennessee	US	07/14/2020	35.81830662	-89.14916269	75	4	0	Crockett
660	Tennessee	US	07/15/2020	35.81830662	-89.14916269	86	4	0	Crockett
