	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
482	Tennessee	US	03/22/2020	36.17007426	-86.78646056	167	2	0	Davidson
721	Tennessee	US	03/23/2020	36.17007426	-86.78646056	164	2	0	Davidson
721	Tennessee	US	03/24/2020	36.17007426	-86.78646056	253	2	0	Davidson
721	Tennessee	US	03/25/2020	36.17007426	-86.78646056	257	2	0	Davidson
721	Tennessee	US	03/26/2020	36.17007426	-86.78646056	293	2	0	Davidson
721	Tennessee	US	03/27/2020	36.17007426	-86.78646056	312	2	0	Davidson
721	Tennessee	US	03/28/2020	36.17007426	-86.78646056	376	2	0	Davidson
721	Tennessee	US	03/29/2020	36.17007426	-86.78646056	394	2	0	Davidson
721	Tennessee	US	03/30/2020	36.17007426	-86.78646056	443	3	0	Davidson
507	Tennessee	US	03/31/2020	36.17007426	-86.78646056	541	3	0	Davidson
523	Tennessee	US	04/01/2020	36.17007426	-86.78646056	651	0	0	Davidson
543	Tennessee	US	04/02/2020	36.17007426	-86.78646056	694	6	0	Davidson
551	Tennessee	US	04/03/2020	36.17007426	-86.78646056	766	6	0	Davidson
565	Tennessee	US	04/04/2020	36.17007426	-86.78646056	805	6	0	Davidson
581	Tennessee	US	04/05/2020	36.17007426	-86.78646056	899	6	0	Davidson
591	Tennessee	US	04/06/2020	36.17007426	-86.78646056	945	7	0	Davidson
602	Tennessee	US	04/07/2020	36.17007426	-86.78646056	989	9	0	Davidson
607	Tennessee	US	04/08/2020	36.17007426	-86.78646056	1029	13	0	Davidson
611	Tennessee	US	04/09/2020	36.17007426	-86.78646056	1093	13	0	Davidson
615	Tennessee	US	04/10/2020	36.17007426	-86.78646056	1121	13	0	Davidson
620	Tennessee	US	04/11/2020	36.17007426	-86.78646056	1197	13	0	Davidson
624	Tennessee	US	04/12/2020	36.17007426	-86.78646056	1233	13	0	Davidson
628	Tennessee	US	04/13/2020	36.17007426	-86.78646056	1291	16	0	Davidson
630	Tennessee	US	04/14/2020	36.17007426	-86.78646056	1333	18	0	Davidson
633	Tennessee	US	04/15/2020	36.17007426	-86.78646056	1408	19	0	Davidson
634	Tennessee	US	04/16/2020	36.17007426	-86.78646056	1452	19	0	Davidson
636	Tennessee	US	04/17/2020	36.17007426	-86.78646056	1577	19	0	Davidson
637	Tennessee	US	04/18/2020	36.17007426	-86.78646056	1623	19	0	Davidson
641	Tennessee	US	04/19/2020	36.17007426	-86.78646056	1723	19	0	Davidson
642	Tennessee	US	04/20/2020	36.17007426	-86.78646056	1759	19	0	Davidson
646	Tennessee	US	04/21/2020	36.17007426	-86.78646056	1804	20	0	Davidson
648	Tennessee	US	04/22/2020	36.17007426	-86.78646056	1954	20	0	Davidson
651	Tennessee	US	04/23/2020	36.17007426	-86.78646056	1992	21	0	Davidson
652	Tennessee	US	04/24/2020	36.17007426	-86.78646056	2157	21	0	Davidson
652	Tennessee	US	04/25/2020	36.17007426	-86.78646056	2221	22	0	Davidson
653	Tennessee	US	04/26/2020	36.17007426	-86.78646056	2293	23	0	Davidson
655	Tennessee	US	04/27/2020	36.17007426	-86.78646056	2383	25	0	Davidson
657	Tennessee	US	04/28/2020	36.17007426	-86.78646056	2425	25	0	Davidson
657	Tennessee	US	04/29/2020	36.17007426	-86.78646056	2575	25	0	Davidson
657	Tennessee	US	04/30/2020	36.17007426	-86.78646056	2623	28	0	Davidson
660	Tennessee	US	05/01/2020	36.17007426	-86.78646056	2751	28	0	Davidson
661	Tennessee	US	05/02/2020	36.17007426	-86.78646056	2794	28	0	Davidson
662	Tennessee	US	05/03/2020	36.17007426	-86.78646056	2948	28	0	Davidson
663	Tennessee	US	05/04/2020	36.17007426	-86.78646056	3065	29	0	Davidson
667	Tennessee	US	05/05/2020	36.17007426	-86.78646056	3100	30	0	Davidson
668	Tennessee	US	05/06/2020	36.17007426	-86.78646056	3168	31	0	Davidson
