	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2699	Tennessee	US	03/22/2020	35.60048904	-88.11043779	0	0	0	Decatur
753	Tennessee	US	03/23/2020	35.60048904	-88.11043779	0	0	0	Decatur
753	Tennessee	US	03/24/2020	35.60048904	-88.11043779	0	0	0	Decatur
753	Tennessee	US	03/25/2020	35.60048904	-88.11043779	0	0	0	Decatur
753	Tennessee	US	03/26/2020	35.60048904	-88.11043779	0	0	0	Decatur
753	Tennessee	US	03/27/2020	35.60048904	-88.11043779	0	0	0	Decatur
753	Tennessee	US	03/28/2020	35.60048904	-88.11043779	1	0	0	Decatur
753	Tennessee	US	03/29/2020	35.60048904	-88.11043779	1	0	0	Decatur
753	Tennessee	US	03/30/2020	35.60048904	-88.11043779	1	0	0	Decatur
528	Tennessee	US	03/31/2020	35.60048904	-88.11043779	0	0	0	Decatur
545	Tennessee	US	04/01/2020	35.60048904	-88.11043779	1	0	0	Decatur
565	Tennessee	US	04/02/2020	35.60048904	-88.11043779	1	0	0	Decatur
605	Tennessee	US	04/05/2020	35.60048904	-88.11043779	2	0	0	Decatur
615	Tennessee	US	04/06/2020	35.60048904	-88.11043779	2	0	0	Decatur
626	Tennessee	US	04/07/2020	35.60048904	-88.11043779	2	0	0	Decatur
631	Tennessee	US	04/08/2020	35.60048904	-88.11043779	2	0	0	Decatur
635	Tennessee	US	04/09/2020	35.60048904	-88.11043779	2	0	0	Decatur
639	Tennessee	US	04/10/2020	35.60048904	-88.11043779	2	0	0	Decatur
644	Tennessee	US	04/11/2020	35.60048904	-88.11043779	3	0	0	Decatur
648	Tennessee	US	04/12/2020	35.60048904	-88.11043779	3	0	0	Decatur
652	Tennessee	US	04/13/2020	35.60048904	-88.11043779	3	0	0	Decatur
653	Tennessee	US	04/14/2020	35.60048904	-88.11043779	3	0	0	Decatur
657	Tennessee	US	04/15/2020	35.60048904	-88.11043779	3	0	0	Decatur
658	Tennessee	US	04/16/2020	35.60048904	-88.11043779	3	0	0	Decatur
