	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2702	Tennessee	US	03/22/2020	35.20222469	-87.03992678	0	0	0	Giles
1040	Tennessee	US	03/23/2020	35.20222469	-87.03992678	0	0	0	Giles
1040	Tennessee	US	03/24/2020	35.20222469	-87.03992678	0	0	0	Giles
1040	Tennessee	US	03/25/2020	35.20222469	-87.03992678	0	0	0	Giles
1039	Tennessee	US	03/26/2020	35.20222469	-87.03992678	0	0	0	Giles
1039	Tennessee	US	03/27/2020	35.20222469	-87.03992678	0	0	0	Giles
1039	Tennessee	US	03/28/2020	35.20222469	-87.03992678	0	0	0	Giles
1039	Tennessee	US	03/29/2020	35.20222469	-87.03992678	0	0	0	Giles
1039	Tennessee	US	03/30/2020	35.20222469	-87.03992678	1	0	0	Giles
717	Tennessee	US	03/31/2020	35.20222469	-87.03992678	3	0	0	Giles
737	Tennessee	US	04/01/2020	35.20222469	-87.03992678	3	0	0	Giles
762	Tennessee	US	04/02/2020	35.20222469	-87.03992678	3	0	0	Giles
775	Tennessee	US	04/03/2020	35.20222469	-87.03992678	3	0	0	Giles
790	Tennessee	US	04/04/2020	35.20222469	-87.03992678	3	0	0	Giles
821	Tennessee	US	04/05/2020	35.20222469	-87.03992678	3	0	0	Giles
832	Tennessee	US	04/06/2020	35.20222469	-87.03992678	3	0	0	Giles
850	Tennessee	US	04/07/2020	35.20222469	-87.03992678	3	0	0	Giles
858	Tennessee	US	04/08/2020	35.20222469	-87.03992678	3	0	0	Giles
864	Tennessee	US	04/09/2020	35.20222469	-87.03992678	3	0	0	Giles
869	Tennessee	US	04/10/2020	35.20222469	-87.03992678	3	0	0	Giles
876	Tennessee	US	04/11/2020	35.20222469	-87.03992678	3	0	0	Giles
884	Tennessee	US	04/12/2020	35.20222469	-87.03992678	3	0	0	Giles
890	Tennessee	US	04/13/2020	35.20222469	-87.03992678	3	0	0	Giles
893	Tennessee	US	04/14/2020	35.20222469	-87.03992678	4	0	0	Giles
899	Tennessee	US	04/15/2020	35.20222469	-87.03992678	5	0	0	Giles
900	Tennessee	US	04/16/2020	35.20222469	-87.03992678	5	0	0	Giles
900	Tennessee	US	04/17/2020	35.20222469	-87.03992678	5	0	0	Giles
902	Tennessee	US	04/18/2020	35.20222469	-87.03992678	5	0	0	Giles
908	Tennessee	US	04/19/2020	35.20222469	-87.03992678	5	0	0	Giles
911	Tennessee	US	04/20/2020	35.20222469	-87.03992678	6	0	0	Giles
915	Tennessee	US	04/21/2020	35.20222469	-87.03992678	6	0	0	Giles
918	Tennessee	US	04/22/2020	35.20222469	-87.03992678	6	0	0	Giles
924	Tennessee	US	04/23/2020	35.20222469	-87.03992678	6	0	0	Giles
925	Tennessee	US	04/24/2020	35.20222469	-87.03992678	6	0	0	Giles
925	Tennessee	US	04/25/2020	35.20222469	-87.03992678	6	0	0	Giles
928	Tennessee	US	04/26/2020	35.20222469	-87.03992678	6	0	0	Giles
930	Tennessee	US	04/27/2020	35.20222469	-87.03992678	6	0	0	Giles
933	Tennessee	US	04/28/2020	35.20222469	-87.03992678	8	0	0	Giles
935	Tennessee	US	04/29/2020	35.20222469	-87.03992678	9	0	0	Giles
938	Tennessee	US	04/30/2020	35.20222469	-87.03992678	9	0	0	Giles
944	Tennessee	US	05/01/2020	35.20222469	-87.03992678	9	0	0	Giles
945	Tennessee	US	05/02/2020	35.20222469	-87.03992678	9	0	0	Giles
946	Tennessee	US	05/03/2020	35.20222469	-87.03992678	9	0	0	Giles
948	Tennessee	US	05/04/2020	35.20222469	-87.03992678	9	0	0	Giles
953	Tennessee	US	05/05/2020	35.20222469	-87.03992678	9	0	0	Giles
955	Tennessee	US	05/06/2020	35.20222469	-87.03992678	10	0	0	Giles
956	Tennessee	US	05/07/2020	35.20222469	-87.03992678	10	0	0	Giles
960	Tennessee	US	05/08/2020	35.20222469	-87.03992678	10	0	0	Giles
960	Tennessee	US	05/09/2020	35.20222469	-87.03992678	10	0	0	Giles
961	Tennessee	US	05/10/2020	35.20222469	-87.03992678	10	0	0	Giles
961	Tennessee	US	05/11/2020	35.20222469	-87.03992678	10	0	0	Giles
962	Tennessee	US	05/12/2020	35.20222469	-87.03992678	10	0	0	Giles
962	Tennessee	US	05/13/2020	35.20222469	-87.03992678	10	0	0	Giles
963	Tennessee	US	05/14/2020	35.20222469	-87.03992678	10	0	0	Giles
966	Tennessee	US	05/15/2020	35.20222469	-87.03992678	10	0	0	Giles
967	Tennessee	US	05/16/2020	35.20222469	-87.03992678	11	0	0	Giles
968	Tennessee	US	05/17/2020	35.20222469	-87.03992678	13	0	0	Giles
969	Tennessee	US	05/18/2020	35.20222469	-87.03992678	13	0	0	Giles
971	Tennessee	US	05/19/2020	35.20222469	-87.03992678	13	0	0	Giles
973	Tennessee	US	05/20/2020	35.20222469	-87.03992678	13	0	0	Giles
973	Tennessee	US	05/21/2020	35.20222469	-87.03992678	13	0	0	Giles
