	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2706	Tennessee	US	03/22/2020	35.20772017	-88.99161161	0	0	0	Hardeman
1192	Tennessee	US	03/23/2020	35.20772017	-88.99161161	0	0	0	Hardeman
1192	Tennessee	US	03/24/2020	35.20772017	-88.99161161	0	0	0	Hardeman
1192	Tennessee	US	03/25/2020	35.20772017	-88.99161161	0	0	0	Hardeman
1191	Tennessee	US	03/26/2020	35.20772017	-88.99161161	0	0	0	Hardeman
1191	Tennessee	US	03/27/2020	35.20772017	-88.99161161	0	0	0	Hardeman
1191	Tennessee	US	03/28/2020	35.20772017	-88.99161161	1	0	0	Hardeman
1191	Tennessee	US	03/29/2020	35.20772017	-88.99161161	1	0	0	Hardeman
1191	Tennessee	US	03/30/2020	35.20772017	-88.99161161	1	0	0	Hardeman
805	Tennessee	US	03/31/2020	35.20772017	-88.99161161	1	0	0	Hardeman
829	Tennessee	US	04/01/2020	35.20772017	-88.99161161	5	0	0	Hardeman
863	Tennessee	US	04/02/2020	35.20772017	-88.99161161	6	0	0	Hardeman
878	Tennessee	US	04/03/2020	35.20772017	-88.99161161	6	0	0	Hardeman
897	Tennessee	US	04/04/2020	35.20772017	-88.99161161	6	0	0	Hardeman
931	Tennessee	US	04/05/2020	35.20772017	-88.99161161	6	0	0	Hardeman
946	Tennessee	US	04/06/2020	35.20772017	-88.99161161	6	0	0	Hardeman
967	Tennessee	US	04/07/2020	35.20772017	-88.99161161	6	0	0	Hardeman
978	Tennessee	US	04/08/2020	35.20772017	-88.99161161	6	0	0	Hardeman
985	Tennessee	US	04/09/2020	35.20772017	-88.99161161	8	0	0	Hardeman
992	Tennessee	US	04/10/2020	35.20772017	-88.99161161	8	0	0	Hardeman
1001	Tennessee	US	04/11/2020	35.20772017	-88.99161161	9	0	0	Hardeman
1009	Tennessee	US	04/12/2020	35.20772017	-88.99161161	9	0	0	Hardeman
1017	Tennessee	US	04/13/2020	35.20772017	-88.99161161	9	0	0	Hardeman
1020	Tennessee	US	04/14/2020	35.20772017	-88.99161161	9	0	0	Hardeman
1026	Tennessee	US	04/15/2020	35.20772017	-88.99161161	9	0	0	Hardeman
1027	Tennessee	US	04/16/2020	35.20772017	-88.99161161	9	0	0	Hardeman
1026	Tennessee	US	04/17/2020	35.20772017	-88.99161161	10	0	0	Hardeman
1030	Tennessee	US	04/18/2020	35.20772017	-88.99161161	10	0	0	Hardeman
1037	Tennessee	US	04/19/2020	35.20772017	-88.99161161	10	0	0	Hardeman
1040	Tennessee	US	04/20/2020	35.20772017	-88.99161161	11	0	0	Hardeman
1044	Tennessee	US	04/21/2020	35.20772017	-88.99161161	11	0	0	Hardeman
1047	Tennessee	US	04/22/2020	35.20772017	-88.99161161	11	0	0	Hardeman
1054	Tennessee	US	04/23/2020	35.20772017	-88.99161161	12	0	0	Hardeman
1056	Tennessee	US	04/24/2020	35.20772017	-88.99161161	14	0	0	Hardeman
1056	Tennessee	US	04/25/2020	35.20772017	-88.99161161	14	0	0	Hardeman
1061	Tennessee	US	04/26/2020	35.20772017	-88.99161161	14	0	0	Hardeman
1063	Tennessee	US	04/27/2020	35.20772017	-88.99161161	15	0	0	Hardeman
1067	Tennessee	US	04/28/2020	35.20772017	-88.99161161	15	0	0	Hardeman
1069	Tennessee	US	04/29/2020	35.20772017	-88.99161161	18	0	0	Hardeman
1073	Tennessee	US	04/30/2020	35.20772017	-88.99161161	20	0	0	Hardeman
1079	Tennessee	US	05/01/2020	35.20772017	-88.99161161	23	0	0	Hardeman
1081	Tennessee	US	05/02/2020	35.20772017	-88.99161161	24	0	0	Hardeman
1082	Tennessee	US	05/03/2020	35.20772017	-88.99161161	25	0	0	Hardeman
1084	Tennessee	US	05/04/2020	35.20772017	-88.99161161	25	0	0	Hardeman
1089	Tennessee	US	05/05/2020	35.20772017	-88.99161161	25	0	0	Hardeman
1092	Tennessee	US	05/06/2020	35.20772017	-88.99161161	27	0	0	Hardeman
1094	Tennessee	US	05/07/2020	35.20772017	-88.99161161	68	0	0	Hardeman
1098	Tennessee	US	05/08/2020	35.20772017	-88.99161161	68	0	0	Hardeman
1098	Tennessee	US	05/09/2020	35.20772017	-88.99161161	120	0	0	Hardeman
1099	Tennessee	US	05/10/2020	35.20772017	-88.99161161	154	0	0	Hardeman
1099	Tennessee	US	05/11/2020	35.20772017	-88.99161161	172	0	0	Hardeman
1100	Tennessee	US	05/12/2020	35.20772017	-88.99161161	180	0	0	Hardeman
1100	Tennessee	US	05/13/2020	35.20772017	-88.99161161	183	0	0	Hardeman
1101	Tennessee	US	05/14/2020	35.20772017	-88.99161161	184	0	0	Hardeman
1104	Tennessee	US	05/15/2020	35.20772017	-88.99161161	185	0	0	Hardeman
1105	Tennessee	US	05/16/2020	35.20772017	-88.99161161	187	0	0	Hardeman
1106	Tennessee	US	05/17/2020	35.20772017	-88.99161161	188	0	0	Hardeman
1107	Tennessee	US	05/18/2020	35.20772017	-88.99161161	188	0	0	Hardeman
1109	Tennessee	US	05/19/2020	35.20772017	-88.99161161	188	0	0	Hardeman
1112	Tennessee	US	05/20/2020	35.20772017	-88.99161161	188	0	0	Hardeman
1112	Tennessee	US	05/21/2020	35.20772017	-88.99161161	190	0	0	Hardeman
1115	Tennessee	US	05/22/2020	35.20772017	-88.99161161	191	0	0	Hardeman
1115	Tennessee	US	05/23/2020	35.20772017	-88.99161161	192	0	0	Hardeman
1116	Tennessee	US	05/24/2020	35.20772017	-88.99161161	192	0	0	Hardeman
1116	Tennessee	US	05/25/2020	35.20772017	-88.99161161	192	0	0	Hardeman
1116	Tennessee	US	05/26/2020	35.20772017	-88.99161161	196	0	0	Hardeman
1117	Tennessee	US	05/27/2020	35.20772017	-88.99161161	197	0	0	Hardeman
1117	Tennessee	US	05/28/2020	35.20772017	-88.99161161	199	0	0	Hardeman
1119	Tennessee	US	05/29/2020	35.20772017	-88.99161161	199	0	0	Hardeman
1120	Tennessee	US	05/30/2020	35.20772017	-88.99161161	200	0	0	Hardeman
1121	Tennessee	US	05/31/2020	35.20772017	-88.99161161	204	0	0	Hardeman
1123	Tennessee	US	06/01/2020	35.20772017	-88.99161161	205	0	0	Hardeman
1125	Tennessee	US	06/02/2020	35.20772017	-88.99161161	205	0	0	Hardeman
1126	Tennessee	US	06/03/2020	35.20772017	-88.99161161	206	0	0	Hardeman
1127	Tennessee	US	06/04/2020	35.20772017	-88.99161161	206	0	0	Hardeman
1129	Tennessee	US	06/05/2020	35.20772017	-88.99161161	213	0	0	Hardeman
1129	Tennessee	US	06/06/2020	35.20772017	-88.99161161	214	0	0	Hardeman
1129	Tennessee	US	06/07/2020	35.20772017	-88.99161161	215	0	0	Hardeman
1129	Tennessee	US	06/08/2020	35.20772017	-88.99161161	216	0	0	Hardeman
1130	Tennessee	US	06/09/2020	35.20772017	-88.99161161	216	0	0	Hardeman
1131	Tennessee	US	06/10/2020	35.20772017	-88.99161161	218	0	0	Hardeman
1132	Tennessee	US	06/11/2020	35.20772017	-88.99161161	219	0	0	Hardeman
1138	Tennessee	US	06/12/2020	35.20772017	-88.99161161	220	0	0	Hardeman
1139	Tennessee	US	06/13/2020	35.20772017	-88.99161161	221	0	0	Hardeman
1139	Tennessee	US	06/14/2020	35.20772017	-88.99161161	225	0	0	Hardeman
1141	Tennessee	US	06/15/2020	35.20772017	-88.99161161	228	0	0	Hardeman
1140	Tennessee	US	06/16/2020	35.20772017	-88.99161161	230	0	0	Hardeman
1141	Tennessee	US	06/17/2020	35.20772017	-88.99161161	230	0	0	Hardeman
1141	Tennessee	US	06/18/2020	35.20772017	-88.99161161	255	0	0	Hardeman
1141	Tennessee	US	06/19/2020	35.20772017	-88.99161161	256	1	0	Hardeman
1145	Tennessee	US	06/20/2020	35.20772017	-88.99161161	258	1	0	Hardeman
1145	Tennessee	US	06/21/2020	35.20772017	-88.99161161	260	1	0	Hardeman
1146	Tennessee	US	06/22/2020	35.20772017	-88.99161161	261	1	0	Hardeman
1146	Tennessee	US	06/23/2020	35.20772017	-88.99161161	263	1	0	Hardeman
1151	Tennessee	US	06/24/2020	35.20772017	-88.99161161	272	1	0	Hardeman
1155	Tennessee	US	06/25/2020	35.20772017	-88.99161161	278	1	0	Hardeman
1155	Tennessee	US	06/26/2020	35.20772017	-88.99161161	280	1	0	Hardeman
1156	Tennessee	US	06/27/2020	35.20772017	-88.99161161	282	1	0	Hardeman
1156	Tennessee	US	06/28/2020	35.20772017	-88.99161161	290	1	0	Hardeman
1156	Tennessee	US	06/29/2020	35.20772017	-88.99161161	305	1	0	Hardeman
1157	Tennessee	US	06/30/2020	35.20772017	-88.99161161	308	1	0	Hardeman
1157	Tennessee	US	07/01/2020	35.20772017	-88.99161161	318	1	0	Hardeman
1158	Tennessee	US	07/02/2020	35.20772017	-88.99161161	325	3	0	Hardeman
1159	Tennessee	US	07/03/2020	35.20772017	-88.99161161	330	5	0	Hardeman
1159	Tennessee	US	07/04/2020	35.20772017	-88.99161161	341	5	0	Hardeman
1159	Tennessee	US	07/05/2020	35.20772017	-88.99161161	357	4	0	Hardeman
1161	Tennessee	US	07/06/2020	35.20772017	-88.99161161	361	4	0	Hardeman
1161	Tennessee	US	07/07/2020	35.20772017	-88.99161161	376	4	0	Hardeman
1162	Tennessee	US	07/08/2020	35.20772017	-88.99161161	386	4	0	Hardeman
1162	Tennessee	US	07/09/2020	35.20772017	-88.99161161	406	4	0	Hardeman
1164	Tennessee	US	07/10/2020	35.20772017	-88.99161161	420	4	0	Hardeman
1164	Tennessee	US	07/11/2020	35.20772017	-88.99161161	426	4	0	Hardeman
1166	Tennessee	US	07/12/2020	35.20772017	-88.99161161	443	4	0	Hardeman
1168	Tennessee	US	07/13/2020	35.20772017	-88.99161161	461	4	0	Hardeman
1169	Tennessee	US	07/14/2020	35.20772017	-88.99161161	476	4	0	Hardeman
1169	Tennessee	US	07/15/2020	35.20772017	-88.99161161	498	4	0	Hardeman
1171	Tennessee	US	07/16/2020	35.20772017	-88.99161161	514	4	0	Hardeman
1171	Tennessee	US	07/17/2020	35.20772017	-88.99161161	531	5	0	Hardeman
1204	Tennessee	US	07/18/2020	35.20772017	-88.99161161	546	7	0	Hardeman
1205	Tennessee	US	07/19/2020	35.20772017	-88.99161161	556	7	0	Hardeman
1180	Tennessee	US	07/20/2020	35.20772017	-88.99161161	570	7	0	Hardeman
1208	Tennessee	US	07/21/2020	35.20772017	-88.99161161	602	7	0	Hardeman
1208	Tennessee	US	07/22/2020	35.20772017	-88.99161161	630	8	0	Hardeman
1209	Tennessee	US	07/23/2020	35.20772017	-88.99161161	658	9	0	Hardeman
1208	Tennessee	US	07/24/2020	35.20772017	-88.99161161	669	10	0	Hardeman
1209	Tennessee	US	07/25/2020	35.20772017	-88.99161161	689	11	0	Hardeman
1210	Tennessee	US	07/26/2020	35.20772017	-88.99161161	726	11	0	Hardeman
1210	Tennessee	US	07/27/2020	35.20772017	-88.99161161	745	11	0	Hardeman
1210	Tennessee	US	07/28/2020	35.20772017	-88.99161161	759	11	0	Hardeman
1211	Tennessee	US	07/29/2020	35.20772017	-88.99161161	773	11	0	Hardeman
1211	Tennessee	US	07/30/2020	35.20772017	-88.99161161	786	11	0	Hardeman
1212	Tennessee	US	07/31/2020	35.20772017	-88.99161161	804	11	0	Hardeman
1212	Tennessee	US	08/01/2020	35.20772017	-88.99161161	818	11	0	Hardeman
1212	Tennessee	US	08/02/2020	35.20772017	-88.99161161	828	11	0	Hardeman
1212	Tennessee	US	08/03/2020	35.20772017	-88.99161161	846	11	0	Hardeman
1212	Tennessee	US	08/04/2020	35.20772017	-88.99161161	864	11	0	Hardeman
1213	Tennessee	US	08/05/2020	35.20772017	-88.99161161	884	12	0	Hardeman
1213	Tennessee	US	08/06/2020	35.20772017	-88.99161161	899	15	0	Hardeman
1213	Tennessee	US	08/07/2020	35.20772017	-88.99161161	914	17	0	Hardeman
1213	Tennessee	US	08/08/2020	35.20772017	-88.99161161	946	17	0	Hardeman
1213	Tennessee	US	08/09/2020	35.20772017	-88.99161161	958	17	0	Hardeman
1213	Tennessee	US	08/10/2020	35.20772017	-88.99161161	964	17	0	Hardeman
3262	Tennessee	US	08/11/2020	35.20772017	-88.99161161	987	18	0	Hardeman
3216	Tennessee	US	08/12/2020	35.20772017	-88.99161161	1003	18	0	Hardeman
3218	Tennessee	US	08/13/2020	35.20772017	-88.99161161	1023	18	0	Hardeman
3218	Tennessee	US	08/14/2020	35.20772017	-88.99161161	1049	18	0	Hardeman
3218	Tennessee	US	08/15/2020	35.20772017	-88.99161161	1071	18	0	Hardeman
3218	Tennessee	US	08/16/2020	35.20772017	-88.99161161	1094	18	0	Hardeman
3220	Tennessee	US	08/17/2020	35.20772017	-88.99161161	1110	18	0	Hardeman
3220	Tennessee	US	08/18/2020	35.20772017	-88.99161161	1126	19	0	Hardeman
3222	Tennessee	US	08/19/2020	35.20772017	-88.99161161	1134	19	0	Hardeman
3222	Tennessee	US	08/20/2020	35.20772017	-88.99161161	1168	22	0	Hardeman
3222	Tennessee	US	08/21/2020	35.20772017	-88.99161161	1172	22	0	Hardeman
3223	Tennessee	US	08/22/2020	35.20772017	-88.99161161	1186	22	0	Hardeman
3223	Tennessee	US	08/23/2020	35.20772017	-88.99161161	1197	22	0	Hardeman
3223	Tennessee	US	08/24/2020	35.20772017	-88.99161161	1197	22	0	Hardeman
3223	Tennessee	US	08/25/2020	35.20772017	-88.99161161	1208	22	0	Hardeman
3223	Tennessee	US	08/26/2020	35.20772017	-88.99161161	1215	22	0	Hardeman
3223	Tennessee	US	08/27/2020	35.20772017	-88.99161161	1230	22	0	Hardeman
3223	Tennessee	US	08/28/2020	35.20772017	-88.99161161	1246	21	0	Hardeman
3223	Tennessee	US	08/29/2020	35.20772017	-88.99161161	1252	21	0	Hardeman
3223	Tennessee	US	08/30/2020	35.20772017	-88.99161161	1259	21	0	Hardeman
3227	Tennessee	US	08/31/2020	35.20772017	-88.99161161	1262	21	0	Hardeman
