	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
2710	Tennessee	US	03/22/2020	35.65581134	-88.38600175	0	0	0	Henderson
1242	Tennessee	US	03/23/2020	35.65581134	-88.38600175	0	0	0	Henderson
1242	Tennessee	US	03/24/2020	35.65581134	-88.38600175	0	0	0	Henderson
1242	Tennessee	US	03/25/2020	35.65581134	-88.38600175	0	0	0	Henderson
1241	Tennessee	US	03/26/2020	35.65581134	-88.38600175	0	0	0	Henderson
1241	Tennessee	US	03/27/2020	35.65581134	-88.38600175	0	0	0	Henderson
1241	Tennessee	US	03/28/2020	35.65581134	-88.38600175	0	0	0	Henderson
1241	Tennessee	US	03/29/2020	35.65581134	-88.38600175	0	0	0	Henderson
1241	Tennessee	US	03/30/2020	35.65581134	-88.38600175	0	0	0	Henderson
963	Tennessee	US	04/05/2020	35.65581134	-88.38600175	1	0	0	Henderson
978	Tennessee	US	04/06/2020	35.65581134	-88.38600175	2	0	0	Henderson
999	Tennessee	US	04/07/2020	35.65581134	-88.38600175	2	0	0	Henderson
1010	Tennessee	US	04/08/2020	35.65581134	-88.38600175	2	0	0	Henderson
1018	Tennessee	US	04/09/2020	35.65581134	-88.38600175	2	0	0	Henderson
1025	Tennessee	US	04/10/2020	35.65581134	-88.38600175	2	0	0	Henderson
1034	Tennessee	US	04/11/2020	35.65581134	-88.38600175	2	0	0	Henderson
1042	Tennessee	US	04/12/2020	35.65581134	-88.38600175	2	0	0	Henderson
1050	Tennessee	US	04/13/2020	35.65581134	-88.38600175	2	0	0	Henderson
1053	Tennessee	US	04/14/2020	35.65581134	-88.38600175	2	0	0	Henderson
1059	Tennessee	US	04/15/2020	35.65581134	-88.38600175	2	0	0	Henderson
1061	Tennessee	US	04/16/2020	35.65581134	-88.38600175	2	0	0	Henderson
1061	Tennessee	US	04/17/2020	35.65581134	-88.38600175	4	0	0	Henderson
1065	Tennessee	US	04/18/2020	35.65581134	-88.38600175	4	0	0	Henderson
1075	Tennessee	US	04/19/2020	35.65581134	-88.38600175	4	0	0	Henderson
1079	Tennessee	US	04/20/2020	35.65581134	-88.38600175	4	0	0	Henderson
1084	Tennessee	US	04/21/2020	35.65581134	-88.38600175	5	0	0	Henderson
1087	Tennessee	US	04/22/2020	35.65581134	-88.38600175	5	0	0	Henderson
1095	Tennessee	US	04/23/2020	35.65581134	-88.38600175	5	0	0	Henderson
1097	Tennessee	US	04/24/2020	35.65581134	-88.38600175	5	0	0	Henderson
1097	Tennessee	US	04/25/2020	35.65581134	-88.38600175	6	0	0	Henderson
1102	Tennessee	US	04/26/2020	35.65581134	-88.38600175	6	0	0	Henderson
1104	Tennessee	US	04/27/2020	35.65581134	-88.38600175	6	0	0	Henderson
1109	Tennessee	US	04/28/2020	35.65581134	-88.38600175	6	0	0	Henderson
1111	Tennessee	US	04/29/2020	35.65581134	-88.38600175	7	0	0	Henderson
1116	Tennessee	US	04/30/2020	35.65581134	-88.38600175	7	0	0	Henderson
1122	Tennessee	US	05/01/2020	35.65581134	-88.38600175	8	0	0	Henderson
1124	Tennessee	US	05/02/2020	35.65581134	-88.38600175	9	0	0	Henderson
