	Province/State	Country/Region	date	Lat	Long	Confirmed	Deaths	Recovered	Admin2
499	Tennessee	US	03/22/2020	36.04818632	-83.45148924	2	0	0	Jefferson
1421	Tennessee	US	03/23/2020	36.04818632	-83.45148924	3	0	0	Jefferson
1421	Tennessee	US	03/24/2020	36.04818632	-83.45148924	4	0	0	Jefferson
1421	Tennessee	US	03/25/2020	36.04818632	-83.45148924	4	0	0	Jefferson
1420	Tennessee	US	03/26/2020	36.04818632	-83.45148924	4	0	0	Jefferson
1420	Tennessee	US	03/27/2020	36.04818632	-83.45148924	5	0	0	Jefferson
1420	Tennessee	US	03/28/2020	36.04818632	-83.45148924	5	0	0	Jefferson
1420	Tennessee	US	03/29/2020	36.04818632	-83.45148924	5	0	0	Jefferson
1420	Tennessee	US	03/30/2020	36.04818632	-83.45148924	5	0	0	Jefferson
957	Tennessee	US	03/31/2020	36.04818632	-83.45148924	6	0	0	Jefferson
984	Tennessee	US	04/01/2020	36.04818632	-83.45148924	6	0	0	Jefferson
1021	Tennessee	US	04/02/2020	36.04818632	-83.45148924	6	0	0	Jefferson
1039	Tennessee	US	04/03/2020	36.04818632	-83.45148924	6	0	0	Jefferson
1063	Tennessee	US	04/04/2020	36.04818632	-83.45148924	6	0	0	Jefferson
1102	Tennessee	US	04/05/2020	36.04818632	-83.45148924	6	0	0	Jefferson
1118	Tennessee	US	04/06/2020	36.04818632	-83.45148924	7	0	0	Jefferson
1142	Tennessee	US	04/07/2020	36.04818632	-83.45148924	10	0	0	Jefferson
1155	Tennessee	US	04/08/2020	36.04818632	-83.45148924	11	0	0	Jefferson
1166	Tennessee	US	04/09/2020	36.04818632	-83.45148924	12	0	0	Jefferson
1173	Tennessee	US	04/10/2020	36.04818632	-83.45148924	12	0	0	Jefferson
1186	Tennessee	US	04/11/2020	36.04818632	-83.45148924	12	0	0	Jefferson
1194	Tennessee	US	04/12/2020	36.04818632	-83.45148924	12	0	0	Jefferson
1203	Tennessee	US	04/13/2020	36.04818632	-83.45148924	12	0	0	Jefferson
1208	Tennessee	US	04/14/2020	36.04818632	-83.45148924	12	0	0	Jefferson
1214	Tennessee	US	04/15/2020	36.04818632	-83.45148924	12	1	0	Jefferson
1217	Tennessee	US	04/16/2020	36.04818632	-83.45148924	12	1	0	Jefferson
1217	Tennessee	US	04/17/2020	36.04818632	-83.45148924	13	0	0	Jefferson
1222	Tennessee	US	04/18/2020	36.04818632	-83.45148924	13	0	0	Jefferson
1232	Tennessee	US	04/19/2020	36.04818632	-83.45148924	13	0	0	Jefferson
1236	Tennessee	US	04/20/2020	36.04818632	-83.45148924	13	0	0	Jefferson
1242	Tennessee	US	04/21/2020	36.04818632	-83.45148924	13	0	0	Jefferson
1246	Tennessee	US	04/22/2020	36.04818632	-83.45148924	13	0	0	Jefferson
1254	Tennessee	US	04/23/2020	36.04818632	-83.45148924	14	0	0	Jefferson
1256	Tennessee	US	04/24/2020	36.04818632	-83.45148924	15	0	0	Jefferson
1257	Tennessee	US	04/25/2020	36.04818632	-83.45148924	16	0	0	Jefferson
1263	Tennessee	US	04/26/2020	36.04818632	-83.45148924	16	0	0	Jefferson
1265	Tennessee	US	04/27/2020	36.04818632	-83.45148924	17	0	0	Jefferson
1270	Tennessee	US	04/28/2020	36.04818632	-83.45148924	17	0	0	Jefferson
1272	Tennessee	US	04/29/2020	36.04818632	-83.45148924	20	0	0	Jefferson
1278	Tennessee	US	04/30/2020	36.04818632	-83.45148924	20	0	0	Jefferson
1284	Tennessee	US	05/01/2020	36.04818632	-83.45148924	22	0	0	Jefferson
